modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_leo,1,0.5,0.49000000000000005,0.49444444444444446,0.52,0.5052631578947369,0.49000000000000005,0.5012222222222222,5.2,5.4,4.6,4.8
dt,signo_zodiacal_leo,2,0.5,0.48,0.4701298701298701,0.38,0.4109803921568627,0.472,0.5042337662337661,3.8,4.2,5.8,6.2
dt,signo_zodiacal_leo,3,0.5,0.5399999999999999,0.5529004329004329,0.48,0.5092083149049093,0.54,0.5345974025974026,4.8,4.0,6.0,5.2
dt,signo_zodiacal_leo,4,0.5,0.55,0.5588888888888889,0.4800000000000001,0.5153216374269005,0.55,0.5425555555555556,4.8,3.8,6.2,5.2
dt,signo_zodiacal_leo,5,0.5,0.49000000000000005,0.48528749028749035,0.5,0.48951073335512685,0.49000000000000005,0.5008947163947164,5.0,5.2,4.8,5.0
dt,signo_zodiacal_leo,6,0.5,0.54,0.6088888888888888,0.48,0.5060420281472913,0.54,0.5384646464646465,4.8,4.0,6.0,5.2
dt,signo_zodiacal_leo,7,0.5,0.6000000000000001,0.6004473304473305,0.6199999999999999,0.6042105263157894,0.6,0.5680750360750361,6.2,4.2,5.8,3.8
dt,signo_zodiacal_leo,8,0.5,0.52,0.5061111111111111,0.44000000000000006,0.4652631578947369,0.5199999999999999,0.5180555555555556,4.4,4.0,6.0,5.6
dt,signo_zodiacal_leo,9,0.5,0.6599999999999999,0.6757575757575757,0.62,0.6452798663324979,0.6599999999999999,0.6265656565656565,6.2,3.0,7.0,3.8
dt,signo_zodiacal_leo,10,0.5,0.52,0.5242424242424242,0.5399999999999999,0.5192380952380952,0.52,0.5187878787878788,5.4,5.0,5.0,4.6
dt,signo_zodiacal_leo,11,0.5,0.5900000000000001,0.5854545454545454,0.6199999999999999,0.6019047619047619,0.5900000000000001,0.5576363636363636,6.2,4.4,5.6,3.8
dt,signo_zodiacal_leo,12,0.5,0.45,0.4113131313131313,0.34,0.3592654713707345,0.45,0.483010101010101,3.4,4.4,5.6,6.6
dt,signo_zodiacal_leo,13,0.5,0.55,0.5626984126984127,0.48,0.5121368483597586,0.568,0.543430735930736,4.8,3.8,6.2,5.2
dt,signo_zodiacal_leo,14,0.5,0.53,0.5165584415584414,0.58,0.5428571428571429,0.53,0.5202922077922078,5.8,5.2,4.8,4.2
dt,signo_zodiacal_leo,15,0.5,0.45999999999999996,0.44060606060606056,0.52,0.47251515151515144,0.45999999999999996,0.5037575757575758,5.2,6.0,4.0,4.8
dt,signo_zodiacal_leo,16,0.5,0.51,0.4960567210567211,0.5,0.49318223093966795,0.51,0.5119716394716395,5.0,4.8,5.2,5.0
dt,signo_zodiacal_leo,17,0.5,0.51,0.5116847041847041,0.5399999999999999,0.5162961702899784,0.51,0.5342168109668111,5.4,5.2,4.8,4.6
dt,signo_zodiacal_leo,18,0.5,0.43999999999999995,0.43535353535353527,0.38,0.4018170426065163,0.44499999999999995,0.4765656565656566,3.8,5.0,5.0,6.2
dt,signo_zodiacal_leo,19,0.5,0.55,0.5243290043290043,0.6,0.550952380952381,0.55,0.5336450216450217,6.0,5.0,5.0,4.0
dt,signo_zodiacal_leo,20,0.5,0.5599999999999999,0.5622222222222222,0.4800000000000001,0.5144152046783625,0.5599999999999999,0.5435555555555555,4.8,3.6,6.4,5.2
dt,signo_zodiacal_leo,21,0.5,0.5700000000000001,0.6000000000000001,0.5199999999999999,0.5475935828877005,0.5700000000000001,0.551904761904762,5.2,3.8,6.2,4.8
dt,signo_zodiacal_leo,22,0.5,0.41,0.3821428571428571,0.36,0.36769374416433237,0.41100000000000014,0.4682720057720058,3.6,5.4,4.6,6.4
dt,signo_zodiacal_leo,23,0.5,0.43999999999999995,0.4485281385281385,0.45999999999999996,0.44935574229691877,0.44000000000000006,0.4808354978354979,4.6,5.8,4.2,5.4
dt,signo_zodiacal_leo,24,0.5,0.49000000000000005,0.5209090909090909,0.48,0.4791341991341991,0.49000000000000005,0.5024545454545455,4.8,5.0,5.0,5.2
dt,signo_zodiacal_leo,25,0.5,0.5599999999999999,0.551010101010101,0.6,0.5733880154932786,0.5599999999999999,0.5408585858585859,6.0,4.8,5.2,4.0
dt,signo_zodiacal_leo,26,0.5,0.5200000000000001,0.52,0.48,0.4989473684210527,0.52,0.5231111111111112,4.8,4.4,5.6,5.2
dt,signo_zodiacal_leo,27,0.5,0.5,0.49786324786324787,0.5199999999999999,0.5053047638859995,0.5,0.5214957264957265,5.2,5.2,4.8,4.8
dt,signo_zodiacal_leo,28,0.5,0.4600000000000001,0.4533766233766234,0.4,0.42173669467787117,0.47000000000000003,0.49880519480519486,4.0,4.8,5.2,6.0
dt,signo_zodiacal_leo,29,0.5,0.5,0.4983838383838384,0.4800000000000001,0.487485380116959,0.49399999999999994,0.5126464646464646,4.8,4.8,5.2,5.2
dt,signo_zodiacal_leo,30,0.5,0.4699999999999999,0.45666666666666667,0.45999999999999996,0.4496969696969697,0.46799999999999997,0.5023333333333333,4.6,5.2,4.8,5.4
dt,signo_zodiacal_leo,31,0.5,0.5900000000000001,0.575952380952381,0.56,0.5501984551396316,0.5900000000000001,0.5645476190476191,5.6,3.8,6.2,4.4
dt,signo_zodiacal_leo,32,0.5,0.49000000000000005,0.48571428571428577,0.44000000000000006,0.42967914438502675,0.481,0.4957142857142857,4.4,4.6,5.4,5.6
dt,signo_zodiacal_leo,33,0.5,0.48,0.4588095238095238,0.5,0.4708163992869875,0.48,0.5012619047619047,5.0,5.4,4.6,5.0
dt,signo_zodiacal_leo,34,0.5,0.5599999999999999,0.5585746606334842,0.62,0.5750724637681159,0.56,0.5451787330316742,6.2,5.0,5.0,3.8
dt,signo_zodiacal_leo,35,0.5,0.51,0.5124675324675325,0.45999999999999996,0.4776890756302521,0.51,0.5122597402597402,4.6,4.4,5.6,5.4
dt,signo_zodiacal_leo,36,0.5,0.5700000000000001,0.6133333333333334,0.5,0.5397979797979797,0.57,0.5526666666666668,5.0,3.6,6.4,5.0
dt,signo_zodiacal_leo,37,0.5,0.4,0.4215140415140414,0.48,0.4456715900422994,0.4,0.4653211233211233,4.8,6.8,3.2,5.2
dt,signo_zodiacal_leo,38,0.5,0.49000000000000005,0.48888888888888893,0.4,0.43780529755761954,0.48999999999999994,0.496984126984127,4.0,4.2,5.8,6.0
dt,signo_zodiacal_leo,39,0.5,0.55,0.5438095238095237,0.4800000000000001,0.4988291584576414,0.55,0.5440952380952381,4.8,3.8,6.2,5.2
dt,signo_zodiacal_leo,40,0.5,0.42000000000000004,0.4326806526806527,0.48,0.44928901965057577,0.42000000000000004,0.4719160839160839,4.8,6.4,3.6,5.2
dt,signo_zodiacal_leo,41,0.5,0.5,0.5044444444444445,0.4800000000000001,0.491578947368421,0.5,0.5175555555555555,4.8,4.8,5.2,5.2
dt,signo_zodiacal_leo,42,0.5,0.5700000000000001,0.5592496392496392,0.58,0.560452896948253,0.5660000000000001,0.5536132756132756,5.8,4.4,5.6,4.2
dt,signo_zodiacal_leo,43,0.5,0.49000000000000005,0.49444444444444446,0.36,0.41359649122807013,0.48999999999999994,0.5038888888888888,3.6,3.8,6.2,6.4
dt,signo_zodiacal_leo,44,0.5,0.45,0.4512509712509713,0.45999999999999996,0.4451389342922523,0.45,0.487010101010101,4.6,5.6,4.4,5.4
dt,signo_zodiacal_leo,45,0.5,0.4600000000000001,0.4616161616161616,0.41999999999999993,0.43817878028404345,0.45999999999999996,0.4896464646464646,4.2,5.0,5.0,5.8
dt,signo_zodiacal_leo,46,0.5,0.43,0.4393206793206793,0.45999999999999996,0.4437468584271653,0.43000000000000005,0.47818981018981016,4.6,6.0,4.0,5.4
dt,signo_zodiacal_leo,47,0.5,0.45999999999999996,0.4633877233877234,0.5599999999999999,0.5034960523839243,0.45999999999999996,0.48480497280497287,5.6,6.4,3.6,4.4
dt,signo_zodiacal_leo,48,0.5,0.52,0.513888888888889,0.4600000000000001,0.47774587985114303,0.5199999999999999,0.5160555555555556,4.6,4.2,5.8,5.4
dt,signo_zodiacal_leo,49,0.5,0.39,0.3935198135198135,0.42000000000000004,0.40464857796665576,0.39,0.46374825174825174,4.2,6.4,3.6,5.8
dt,signo_zodiacal_leo,50,0.5,0.43,0.4462925962925963,0.5199999999999999,0.47743518876241986,0.43,0.47741203241203234,5.2,6.6,3.4,4.8
dt,signo_zodiacal_leo,51,0.5,0.49000000000000005,0.48888888888888893,0.44000000000000006,0.44749373433583955,0.49000000000000005,0.4966666666666667,4.4,4.6,5.4,5.6
dt,signo_zodiacal_leo,52,0.5,0.48,0.4738034188034188,0.5199999999999999,0.4903356216628528,0.48,0.4954401709401709,5.2,5.6,4.4,4.8
dt,signo_zodiacal_leo,53,0.5,0.51,0.5116666666666667,0.47999999999999987,0.48346320346320343,0.51,0.5110757575757576,4.8,4.6,5.4,5.2
dt,signo_zodiacal_leo,54,0.5,0.4800000000000001,0.4843156843156843,0.6,0.5336438923395446,0.48,0.49226773226773224,6.0,6.4,3.6,4.0
dt,signo_zodiacal_leo,55,0.5,0.47000000000000003,0.4727272727272728,0.48,0.4658369408369408,0.47000000000000003,0.4890909090909091,4.8,5.4,4.6,5.2
dt,signo_zodiacal_leo,56,0.5,0.45999999999999996,0.44945054945054946,0.42000000000000004,0.4291844273941461,0.45999999999999996,0.48681318681318686,4.2,5.0,5.0,5.8
dt,signo_zodiacal_leo,57,0.5,0.47000000000000003,0.47680652680652685,0.58,0.5229060794278186,0.466,0.49096736596736595,5.8,6.4,3.6,4.2
dt,signo_zodiacal_leo,58,0.5,0.54,0.5387301587301587,0.4600000000000001,0.48812083685148694,0.5469999999999999,0.5297698412698413,4.6,3.8,6.2,5.4
dt,signo_zodiacal_leo,59,0.5,0.5700000000000001,0.5932178932178932,0.5399999999999999,0.5509472209936607,0.5700000000000001,0.5514862914862915,5.4,4.0,6.0,4.6
dt,signo_zodiacal_leo,60,0.5,0.5900000000000001,0.5872727272727273,0.58,0.5822222222222222,0.5900000000000001,0.5590909090909091,5.8,4.0,6.0,4.2
dt,signo_zodiacal_leo,61,0.5,0.51,0.5154401154401154,0.44000000000000006,0.4709420610349403,0.51,0.507994227994228,4.4,4.2,5.8,5.6
dt,signo_zodiacal_leo,62,0.5,0.5,0.5085281385281385,0.48,0.4891537220948986,0.5,0.5048354978354979,4.8,4.8,5.2,5.2
dt,signo_zodiacal_leo,63,0.5,0.59,0.65004329004329,0.48,0.5158241758241757,0.59,0.5608831168831169,4.8,3.0,7.0,5.2
dt,signo_zodiacal_leo,64,0.5,0.47000000000000003,0.4638888888888889,0.4,0.4258771929824562,0.472,0.49237301587301585,4.0,4.6,5.4,6.0
dt,signo_zodiacal_leo,65,0.5,0.48999999999999994,0.4932575757575758,0.5799999999999998,0.5292507492507492,0.48999999999999994,0.500371212121212,5.8,6.0,4.0,4.2
dt,signo_zodiacal_leo,66,0.5,0.43999999999999995,0.4188888888888889,0.32,0.35976608187134496,0.43999999999999995,0.4765555555555555,3.2,4.4,5.6,6.8
dt,signo_zodiacal_leo,67,0.5,0.5,0.49909090909090903,0.64,0.5562717282717282,0.5,0.5024545454545455,6.4,6.4,3.6,3.6
dt,signo_zodiacal_leo,68,0.5,0.48,0.47595238095238096,0.5000000000000001,0.4816161616161617,0.48,0.5125952380952381,5.0,5.4,4.6,5.0
dt,signo_zodiacal_leo,69,0.5,0.48999999999999994,0.5008791208791208,0.45999999999999996,0.4725831202046035,0.49000000000000005,0.5068131868131868,4.6,4.8,5.2,5.4
dt,signo_zodiacal_leo,70,0.5,0.6,0.5957575757575757,0.6,0.5949449381028329,0.6,0.564121212121212,6.0,4.0,6.0,4.0
dt,signo_zodiacal_leo,71,0.5,0.42000000000000004,0.39936507936507937,0.36,0.37700034399724797,0.42000000000000004,0.4956507936507936,3.6,5.2,4.8,6.4
dt,signo_zodiacal_leo,72,0.5,0.45,0.45461288711288717,0.5199999999999999,0.4769140833590962,0.45,0.47980344655344653,5.2,6.2,3.8,4.8
dt,signo_zodiacal_leo,73,0.5,0.45999999999999996,0.46358974358974364,0.52,0.48443020594965674,0.45999999999999996,0.48690598290598286,5.2,6.0,4.0,4.8
dt,signo_zodiacal_leo,74,0.5,0.43,0.3994444444444444,0.31999999999999995,0.3519298245614035,0.43,0.4767222222222222,3.2,4.6,5.4,6.8
dt,signo_zodiacal_leo,75,0.5,0.53,0.5292507492507492,0.5,0.5041901108269394,0.534,0.5212807192807193,5.0,4.4,5.6,5.0
dt,signo_zodiacal_leo,76,0.5,0.4600000000000001,0.45833333333333337,0.48,0.4670995670995671,0.4600000000000001,0.48507575757575755,4.8,5.6,4.4,5.2
