modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_libra,1,0.5,0.6699999999999999,0.6551282051282051,0.72,0.6837944664031621,0.6699999999999999,0.6182820512820514,7.2,3.8,6.2,2.8
dt,signo_zodiacal_libra,2,0.5,0.48,0.4533333333333333,0.43999999999999995,0.4435645933014354,0.484,0.5133333333333334,4.4,4.8,5.2,5.6
dt,signo_zodiacal_libra,3,0.5,0.4800000000000001,0.47839937839937835,0.5599999999999999,0.5130925138934292,0.4800000000000001,0.49548562548562547,5.6,6.0,4.0,4.4
dt,signo_zodiacal_libra,4,0.5,0.54,0.5356060606060605,0.5,0.5152046783625731,0.54,0.531590909090909,5.0,4.2,5.8,5.0
dt,signo_zodiacal_libra,5,0.5,0.54,0.5463564213564214,0.5,0.5180107130571526,0.541,0.5248376623376624,5.0,4.2,5.8,5.0
dt,signo_zodiacal_libra,6,0.5,0.37,0.3828005328005327,0.42000000000000004,0.3957905691921037,0.37,0.46185647685647685,4.2,6.8,3.2,5.8
dt,signo_zodiacal_libra,7,0.5,0.5900000000000001,0.590952380952381,0.5599999999999999,0.570864058542077,0.59,0.5664920634920636,5.6,3.8,6.2,4.4
dt,signo_zodiacal_libra,8,0.5,0.41000000000000003,0.3931385281385281,0.42000000000000004,0.39909617180205414,0.41,0.4810021645021645,4.2,6.0,4.0,5.8
dt,signo_zodiacal_libra,9,0.5,0.6,0.6175757575757576,0.5599999999999999,0.5758441558441558,0.6000000000000001,0.5711212121212121,5.6,3.6,6.4,4.4
dt,signo_zodiacal_libra,10,0.5,0.51,0.509090909090909,0.54,0.5238095238095237,0.51,0.5136363636363637,5.4,5.2,4.8,4.6
dt,signo_zodiacal_libra,11,0.5,0.45,0.41904761904761906,0.38,0.38877005347593585,0.45,0.48571428571428577,3.8,4.8,5.2,6.2
dt,signo_zodiacal_libra,12,0.5,0.45,0.45413615795968737,0.54,0.48639521509086725,0.45499999999999996,0.48187510855157906,5.4,6.4,3.6,4.6
dt,signo_zodiacal_libra,13,0.5,0.55,0.5397435897435898,0.64,0.5845849802371541,0.55,0.5301282051282051,6.4,5.4,4.6,3.6
dt,signo_zodiacal_libra,14,0.5,0.57,0.5650000000000001,0.54,0.5411111111111111,0.57,0.5485,5.4,4.0,6.0,4.6
dt,signo_zodiacal_libra,15,0.5,0.42000000000000004,0.4039321789321789,0.36,0.37799400461939164,0.403,0.4981132756132756,3.6,5.2,4.8,6.4
dt,signo_zodiacal_libra,16,0.5,0.49000000000000005,0.49333333333333335,0.6,0.5380869565217392,0.49000000000000005,0.500102564102564,6.0,6.2,3.8,4.0
dt,signo_zodiacal_libra,17,0.5,0.56,0.5775890775890776,0.5800000000000001,0.5716872977607935,0.56,0.5422677322677323,5.8,4.6,5.4,4.2
dt,signo_zodiacal_libra,18,0.5,0.58,0.6261904761904762,0.42000000000000004,0.4943830163644405,0.587,0.5603571428571429,4.2,2.6,7.4,5.8
dt,signo_zodiacal_libra,19,0.5,0.45,0.4548640248640249,0.5,0.4741018554290865,0.45,0.4836977466977467,5.0,6.0,4.0,5.0
dt,signo_zodiacal_libra,20,0.5,0.5199999999999999,0.5253968253968253,0.43999999999999995,0.47774337805297556,0.517,0.5233015873015873,4.4,4.0,6.0,5.6
dt,signo_zodiacal_libra,21,0.5,0.49000000000000005,0.48269230769230764,0.52,0.49396135265700486,0.49000000000000005,0.49788461538461537,5.2,5.4,4.6,4.8
dt,signo_zodiacal_libra,22,0.5,0.58,0.5944444444444444,0.5,0.5426900584795321,0.575,0.5525555555555556,5.0,3.4,6.6,5.0
dt,signo_zodiacal_libra,23,0.5,0.51,0.5219047619047619,0.54,0.5184171122994653,0.51,0.5067619047619047,5.4,5.2,4.8,4.6
dt,signo_zodiacal_libra,24,0.5,0.5,0.49922299922299923,0.54,0.513820783843667,0.5,0.5084926184926185,5.4,5.4,4.6,4.6
dt,signo_zodiacal_libra,25,0.5,0.56,0.5618181818181818,0.58,0.5704761904761905,0.56,0.5429090909090909,5.8,4.6,5.4,4.2
dt,signo_zodiacal_libra,26,0.5,0.49000000000000005,0.46603174603174596,0.5,0.4732491478249992,0.49000000000000005,0.504984126984127,5.0,5.2,4.8,5.0
dt,signo_zodiacal_libra,27,0.5,0.5599999999999999,0.5613636363636363,0.5199999999999999,0.5337301587301587,0.5599999999999999,0.5370454545454546,5.2,4.0,6.0,4.8
dt,signo_zodiacal_libra,28,0.5,0.45999999999999996,0.45991452991452986,0.5,0.47685874765966296,0.45999999999999996,0.48460683760683765,5.0,5.8,4.2,5.0
dt,signo_zodiacal_libra,29,0.5,0.45,0.4662087912087912,0.38,0.4077408354646207,0.45099999999999996,0.4880091575091575,3.8,4.8,5.2,6.2
dt,signo_zodiacal_libra,30,0.5,0.65,0.651010101010101,0.6399999999999999,0.6422267790688843,0.657,0.6109191919191919,6.4,3.4,6.6,3.6
dt,signo_zodiacal_libra,31,0.5,0.53,0.530952380952381,0.5199999999999999,0.5199549676329862,0.524,0.5184920634920636,5.2,4.6,5.4,4.8
dt,signo_zodiacal_libra,32,0.5,0.4,0.38888888888888884,0.34,0.3589845826687932,0.4,0.4655555555555555,3.4,5.4,4.6,6.6
dt,signo_zodiacal_libra,33,0.5,0.42000000000000004,0.4234920634920635,0.42000000000000004,0.4150092879256966,0.414,0.46682539682539687,4.2,5.8,4.2,5.8
dt,signo_zodiacal_libra,34,0.5,0.51,0.5067099567099567,0.6199999999999999,0.5551948051948052,0.51,0.5085497835497835,6.2,6.0,4.0,3.8
dt,signo_zodiacal_libra,35,0.5,0.48,0.4662337662337662,0.36,0.40105042016806725,0.4800000000000001,0.5154545454545454,3.6,4.0,6.0,6.4
dt,signo_zodiacal_libra,36,0.5,0.4999999999999999,0.49624708624708613,0.58,0.5340447957839263,0.5,0.5208088578088579,5.8,5.8,4.2,4.2
dt,signo_zodiacal_libra,37,0.5,0.49000000000000005,0.48992673992673996,0.6,0.5381140598531903,0.49000000000000005,0.4993889443889444,6.0,6.2,3.8,4.0
dt,signo_zodiacal_libra,38,0.5,0.48,0.4810606060606061,0.44000000000000006,0.45452646768436245,0.48299999999999993,0.5058216783216783,4.4,4.8,5.2,5.6
dt,signo_zodiacal_libra,39,0.5,0.45,0.4476262626262626,0.43999999999999995,0.4417878028404344,0.45,0.5002979797979797,4.4,5.4,4.6,5.6
dt,signo_zodiacal_libra,40,0.5,0.45,0.4255555555555556,0.45999999999999996,0.4322775119617225,0.45,0.49744444444444447,4.6,5.6,4.4,5.4
dt,signo_zodiacal_libra,41,0.5,0.45,0.42444444444444446,0.32,0.3582790309106098,0.4499999999999999,0.4958888888888889,3.2,4.2,5.8,6.8
dt,signo_zodiacal_libra,42,0.5,0.49000000000000005,0.49176379176379176,0.5599999999999999,0.5214498697336226,0.48999999999999994,0.5028049728049728,5.6,5.8,4.2,4.4
dt,signo_zodiacal_libra,43,0.5,0.6,0.5929797979797979,0.6,0.5932437153489786,0.5999999999999999,0.570510101010101,6.0,4.0,6.0,4.0
dt,signo_zodiacal_libra,44,0.5,0.49000000000000005,0.49952269952269956,0.5,0.4942048215167073,0.49000000000000005,0.5011999111999113,5.0,5.2,4.8,5.0
dt,signo_zodiacal_libra,45,0.5,0.5000000000000001,0.49542679542679535,0.48,0.4817175077506213,0.5000000000000001,0.5021090021090021,4.8,4.8,5.2,5.2
dt,signo_zodiacal_libra,46,0.5,0.4800000000000001,0.4883333333333333,0.5,0.49154401154401145,0.48,0.49707575757575756,5.0,5.4,4.6,5.0
dt,signo_zodiacal_libra,47,0.5,0.53,0.5242735042735044,0.64,0.5707657102622778,0.53,0.5306324786324786,6.4,5.8,4.2,3.6
dt,signo_zodiacal_libra,48,0.5,0.56,0.5622222222222222,0.5399999999999999,0.5505263157894736,0.5599999999999999,0.5395555555555556,5.4,4.2,5.8,4.6
dt,signo_zodiacal_libra,49,0.5,0.52,0.5333333333333333,0.38,0.43550543024227234,0.5199999999999999,0.5144444444444444,3.8,3.4,6.6,6.2
dt,signo_zodiacal_libra,50,0.5,0.6199999999999999,0.611111111111111,0.6599999999999999,0.6334016860332649,0.6199999999999999,0.5801010101010101,6.6,4.2,5.8,3.4
dt,signo_zodiacal_libra,51,0.5,0.36,0.39149517149517143,0.34,0.3517551842871536,0.36000000000000004,0.4684508824508825,3.4,6.2,3.8,6.6
dt,signo_zodiacal_libra,52,0.5,0.5599999999999999,0.5211122211122211,0.5800000000000001,0.5310797897754419,0.5599999999999999,0.5386746586746587,5.8,4.6,5.4,4.2
dt,signo_zodiacal_libra,53,0.5,0.52,0.52,0.44000000000000006,0.4741795665634675,0.5199999999999999,0.5145396825396825,4.4,4.0,6.0,5.6
