modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_piscis,1,0.5,0.48,0.477979797979798,0.48,0.47849624060150375,0.48,0.493010101010101,4.8,5.2,4.8,5.2
dt,signo_zodiacal_piscis,2,0.5,0.45,0.44230769230769235,0.44000000000000006,0.43768115942028984,0.45,0.4893846153846154,4.4,5.4,4.6,5.6
dt,signo_zodiacal_piscis,3,0.5,0.45,0.4852564102564102,0.5,0.4772440120266207,0.45,0.48679487179487174,5.0,6.0,4.0,5.0
dt,signo_zodiacal_piscis,4,0.5,0.37,0.37,0.32,0.3312098427887901,0.37,0.4576666666666666,3.2,5.8,4.2,6.8
dt,signo_zodiacal_piscis,5,0.5,0.52,0.5175180375180376,0.48,0.49491965207135485,0.5199999999999999,0.5296334776334776,4.8,4.4,5.6,5.2
dt,signo_zodiacal_piscis,6,0.5,0.61,0.5876623376623377,0.7200000000000001,0.6461038961038961,0.61,0.5695021645021645,7.2,5.0,5.0,2.8
dt,signo_zodiacal_piscis,7,0.5,0.4,0.4072186147186147,0.48,0.42642690642690645,0.4,0.4722283549783549,4.8,6.8,3.2,5.2
dt,signo_zodiacal_piscis,8,0.5,0.48,0.4742857142857143,0.48,0.47111111111111115,0.48,0.5004285714285714,4.8,5.2,4.8,5.2
dt,signo_zodiacal_piscis,9,0.5,0.38,0.36415584415584423,0.4,0.3752813852813853,0.38,0.4608051948051949,4.0,6.4,3.6,6.0
dt,signo_zodiacal_piscis,10,0.5,0.5,0.5051948051948052,0.45999999999999996,0.46672932330827066,0.5000000000000001,0.5235497835497835,4.6,4.6,5.4,5.4
dt,signo_zodiacal_piscis,11,0.5,0.55,0.5748051948051949,0.48,0.5115406162464986,0.5519999999999999,0.5371688311688312,4.8,3.8,6.2,5.2
dt,signo_zodiacal_piscis,12,0.5,0.55,0.5495848595848596,0.56,0.5483676990663126,0.55,0.5393980463980464,5.6,4.6,5.4,4.4
dt,signo_zodiacal_piscis,13,0.5,0.41000000000000003,0.42142857142857143,0.45999999999999996,0.42906698564593304,0.41,0.46452380952380956,4.6,6.4,3.6,5.4
dt,signo_zodiacal_piscis,14,0.5,0.54,0.5766233766233766,0.44000000000000006,0.4848739495798319,0.54,0.5361688311688311,4.4,3.6,6.4,5.6
dt,signo_zodiacal_piscis,15,0.5,0.5599999999999999,0.5979797979797981,0.48,0.5234962406015038,0.5599999999999999,0.5476767676767677,4.8,3.6,6.4,5.2
dt,signo_zodiacal_piscis,16,0.5,0.49000000000000005,0.5028571428571429,0.54,0.510247791424262,0.49000000000000005,0.5103376623376623,5.4,5.6,4.4,4.6
dt,signo_zodiacal_piscis,17,0.5,0.5800000000000001,0.5865584415584416,0.58,0.5752287581699347,0.5799999999999998,0.5493051948051948,5.8,4.2,5.8,4.2
dt,signo_zodiacal_piscis,18,0.5,0.51,0.5347319347319347,0.48,0.47815179989093026,0.51,0.5075058275058275,4.8,4.6,5.4,5.2
dt,signo_zodiacal_piscis,19,0.5,0.48999999999999994,0.48090909090909084,0.5800000000000001,0.5194261294261294,0.48999999999999994,0.5134545454545455,5.8,6.0,4.0,4.2
dt,signo_zodiacal_piscis,20,0.5,0.5800000000000001,0.5566666666666668,0.52,0.5243577475156422,0.58,0.5563333333333332,5.2,3.6,6.4,4.8
dt,signo_zodiacal_piscis,21,0.5,0.45999999999999996,0.4473076923076923,0.42000000000000004,0.4223276240667545,0.45999999999999996,0.4938846153846154,4.2,5.0,5.0,5.8
dt,signo_zodiacal_piscis,22,0.5,0.5,0.5,0.48,0.48730158730158724,0.5,0.5009090909090909,4.8,4.8,5.2,5.2
dt,signo_zodiacal_piscis,23,0.5,0.53,0.5340909090909091,0.52,0.5253968253968253,0.5299999999999999,0.5179545454545454,5.2,4.6,5.4,4.8
dt,signo_zodiacal_piscis,24,0.5,0.4800000000000001,0.47131313131313135,0.54,0.49874504442925494,0.48,0.5052323232323233,5.4,5.8,4.2,4.6
dt,signo_zodiacal_piscis,25,0.5,0.45000000000000007,0.4472222222222223,0.45999999999999996,0.45131009341535655,0.45,0.48790404040404045,4.6,5.6,4.4,5.4
dt,signo_zodiacal_piscis,26,0.5,0.5700000000000001,0.5745454545454545,0.54,0.5498245614035088,0.5700000000000001,0.5571515151515152,5.4,4.0,6.0,4.6
dt,signo_zodiacal_piscis,27,0.5,0.45,0.43769230769230766,0.5,0.46285024154589377,0.449,0.484051282051282,5.0,6.0,4.0,5.0
dt,signo_zodiacal_piscis,28,0.5,0.52,0.507936507936508,0.5,0.49823310504425056,0.52,0.5146031746031745,5.0,4.6,5.4,5.0
dt,signo_zodiacal_piscis,29,0.5,0.4600000000000001,0.45714285714285713,0.38,0.38435486082544906,0.4600000000000001,0.49142857142857144,3.8,4.6,5.4,6.2
dt,signo_zodiacal_piscis,30,0.5,0.53,0.5295177045177045,0.4800000000000001,0.4975905236236372,0.5299999999999999,0.5191544566544566,4.8,4.2,5.8,5.2
