modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_sagitario,1,0.5,0.41,0.4136363636363637,0.45999999999999996,0.43458646616541347,0.40700000000000003,0.4634848484848485,4.6,6.4,3.6,5.4
dt,signo_zodiacal_sagitario,2,0.5,0.4,0.37444444444444447,0.33999999999999997,0.34543859649122804,0.4,0.46988888888888897,3.4,5.4,4.6,6.6
dt,signo_zodiacal_sagitario,3,0.5,0.5,0.4883838383838384,0.52,0.5006911217437533,0.505,0.521954156954157,5.2,5.2,4.8,4.8
dt,signo_zodiacal_sagitario,4,0.5,0.38,0.37380952380952376,0.4,0.38294399099352655,0.38,0.4597619047619048,4.0,6.4,3.6,6.0
dt,signo_zodiacal_sagitario,5,0.5,0.45,0.430034965034965,0.36,0.37545893719806755,0.45,0.4909755244755244,3.6,4.6,5.4,6.4
dt,signo_zodiacal_sagitario,6,0.5,0.43999999999999995,0.44968864468864467,0.52,0.4745164809614937,0.44000000000000006,0.4797655677655678,5.2,6.4,3.6,4.8
dt,signo_zodiacal_sagitario,7,0.5,0.44000000000000006,0.44696969696969696,0.45999999999999996,0.45181134654818866,0.43999999999999995,0.49914141414141416,4.6,5.8,4.2,5.4
dt,signo_zodiacal_sagitario,8,0.5,0.43,0.42555555555555563,0.5399999999999999,0.4711196172248804,0.43,0.4858888888888889,5.4,6.8,3.2,4.6
dt,signo_zodiacal_sagitario,9,0.5,0.52,0.5337662337662338,0.45999999999999996,0.49066293183940235,0.5200000000000001,0.5168831168831168,4.6,4.2,5.8,5.4
dt,signo_zodiacal_sagitario,10,0.5,0.4600000000000001,0.4797619047619047,0.52,0.4909090909090909,0.45999999999999996,0.4870238095238095,5.2,6.0,4.0,4.8
dt,signo_zodiacal_sagitario,11,0.5,0.55,0.5542857142857143,0.5399999999999999,0.5396732026143791,0.55,0.5337142857142857,5.4,4.4,5.6,4.6
dt,signo_zodiacal_sagitario,12,0.5,0.39,0.35,0.36,0.3477272727272728,0.388,0.47602564102564104,3.6,5.8,4.2,6.4
dt,signo_zodiacal_sagitario,13,0.5,0.5700000000000001,0.5765345765345765,0.6399999999999999,0.6036831208455922,0.5700000000000001,0.5542035742035741,6.4,5.0,5.0,3.6
dt,signo_zodiacal_sagitario,14,0.5,0.49000000000000005,0.48995670995671,0.52,0.49782633053221287,0.49000000000000005,0.49850216450216445,5.2,5.4,4.6,4.8
dt,signo_zodiacal_sagitario,15,0.5,0.54,0.5527777777777778,0.4600000000000001,0.5017543859649123,0.54,0.5380555555555555,4.6,3.8,6.2,5.4
dt,signo_zodiacal_sagitario,16,0.5,0.5900000000000001,0.5731746031746032,0.6199999999999999,0.5856009006473403,0.59,0.5582698412698412,6.2,4.4,5.6,3.8
dt,signo_zodiacal_sagitario,17,0.5,0.51,0.5124603174603175,0.41999999999999993,0.4591124871001033,0.51,0.5171984126984127,4.2,4.0,6.0,5.8
dt,signo_zodiacal_sagitario,18,0.5,0.56,0.5416317016317016,0.54,0.5339613526570048,0.56,0.5458088578088578,5.4,4.2,5.8,4.6
dt,signo_zodiacal_sagitario,19,0.5,0.42000000000000004,0.4048834498834498,0.39999999999999997,0.3962525879917184,0.42000000000000004,0.4686724941724941,4.0,5.6,4.4,6.0
dt,signo_zodiacal_sagitario,20,0.5,0.47000000000000003,0.4767748917748918,0.48,0.469889822595705,0.4699999999999999,0.4926385281385281,4.8,5.4,4.6,5.2
dt,signo_zodiacal_sagitario,21,0.5,0.38999999999999996,0.4015151515151515,0.44000000000000006,0.41948051948051945,0.39,0.4625757575757576,4.4,6.6,3.4,5.6
dt,signo_zodiacal_sagitario,22,0.5,0.45999999999999996,0.44333333333333336,0.47999999999999987,0.45545454545454545,0.45999999999999996,0.4963333333333333,4.8,5.6,4.4,5.2
dt,signo_zodiacal_sagitario,23,0.5,0.45000000000000007,0.44035964035964037,0.54,0.47997807818779686,0.45000000000000007,0.4851248751248751,5.4,6.4,3.6,4.6
dt,signo_zodiacal_sagitario,24,0.5,0.55,0.5773015873015873,0.45999999999999996,0.48662450243255195,0.5369999999999999,0.5406507936507937,4.6,3.6,6.4,5.4
dt,signo_zodiacal_sagitario,25,0.5,0.41,0.3860606060606061,0.36000000000000004,0.3706641604010025,0.41,0.47553535353535353,3.6,5.4,4.6,6.4
dt,signo_zodiacal_sagitario,26,0.5,0.5,0.5096503496503496,0.5199999999999999,0.5120358868184954,0.5,0.5175524475524476,5.2,5.2,4.8,4.8
dt,signo_zodiacal_sagitario,27,0.5,0.5599999999999999,0.5587301587301587,0.54,0.5448353504081058,0.56,0.5419365079365079,5.4,4.2,5.8,4.6
dt,signo_zodiacal_sagitario,28,0.5,0.57,0.5648795648795648,0.62,0.5873379099923721,0.57,0.544048174048174,6.2,4.8,5.2,3.8
dt,signo_zodiacal_sagitario,29,0.5,0.5,0.505,0.4,0.4371428571428571,0.5,0.5145,4.0,4.0,6.0,6.0
dt,signo_zodiacal_sagitario,30,0.5,0.51,0.5082251082251081,0.5,0.5001326846528085,0.51,0.5229870129870129,5.0,4.8,5.2,5.0
dt,signo_zodiacal_sagitario,31,0.5,0.5000000000000001,0.502020202020202,0.48,0.48502506265664164,0.5,0.501919191919192,4.8,4.8,5.2,5.2
dt,signo_zodiacal_sagitario,32,0.5,0.5399999999999999,0.533968253968254,0.52,0.5182696938424493,0.5399999999999999,0.5289841269841269,5.2,4.4,5.6,4.8
