modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_tauro,1,0.5,0.4700000000000001,0.4813986013986014,0.4600000000000001,0.45863354037267073,0.4640000000000001,0.4908391608391608,4.6,5.2,4.8,5.4
dt,signo_zodiacal_tauro,2,0.5,0.5,0.5035353535353535,0.54,0.5195488721804511,0.5,0.5026767676767677,5.4,5.4,4.6,4.6
dt,signo_zodiacal_tauro,3,0.5,0.5599999999999999,0.5658333333333333,0.5999999999999999,0.564017094017094,0.56,0.5365833333333333,6.0,4.8,5.2,4.0
dt,signo_zodiacal_tauro,4,0.5,0.51,0.49404761904761907,0.42000000000000004,0.44786096256684493,0.51,0.5132142857142857,4.2,4.0,6.0,5.8
dt,signo_zodiacal_tauro,5,0.5,0.5199999999999999,0.503030303030303,0.54,0.5158008658008658,0.52,0.5384848484848485,5.4,5.0,5.0,4.6
dt,signo_zodiacal_tauro,6,0.5,0.47000000000000003,0.48515151515151517,0.5,0.4780519480519481,0.47000000000000003,0.4922121212121212,5.0,5.6,4.4,5.0
dt,signo_zodiacal_tauro,7,0.5,0.43999999999999995,0.4432900432900433,0.5,0.46431117901706137,0.43999999999999995,0.47450216450216454,5.0,6.2,3.8,5.0
dt,signo_zodiacal_tauro,8,0.5,0.43,0.4242424242424242,0.45999999999999996,0.43968253968253973,0.43,0.48378787878787877,4.6,6.0,4.0,5.4
dt,signo_zodiacal_tauro,9,0.5,0.54,0.5361111111111111,0.54,0.5340776182881447,0.54,0.5347222222222221,5.4,4.6,5.4,4.6
dt,signo_zodiacal_tauro,10,0.5,0.45,0.4503030303030303,0.52,0.4794285714285714,0.45,0.48187878787878785,5.2,6.2,3.8,4.8
dt,signo_zodiacal_tauro,11,0.5,0.55,0.5485281385281385,0.6,0.564628469569646,0.55,0.5301688311688311,6.0,5.0,5.0,4.0
dt,signo_zodiacal_tauro,12,0.5,0.58,0.5791763791763791,0.62,0.5956670331956374,0.5800000000000001,0.5530613830613831,6.2,4.6,5.4,3.8
dt,signo_zodiacal_tauro,13,0.5,0.5,0.49480519480519475,0.52,0.4995204142262966,0.5,0.5011688311688312,5.2,5.2,4.8,4.8
dt,signo_zodiacal_tauro,14,0.5,0.54,0.5433333333333333,0.5,0.5137878787878788,0.54,0.5406666666666666,5.0,4.2,5.8,5.0
dt,signo_zodiacal_tauro,15,0.5,0.62,0.6352813852813852,0.62,0.6228418640183346,0.6200000000000001,0.6025497835497836,6.2,3.8,6.2,3.8
dt,signo_zodiacal_tauro,16,0.5,0.43999999999999995,0.4292485292485292,0.4600000000000001,0.4399461802611621,0.44000000000000006,0.47782328782328787,4.6,5.8,4.2,5.4
dt,signo_zodiacal_tauro,17,0.5,0.52,0.521095571095571,0.5599999999999999,0.5317287784679089,0.52,0.5234149184149184,5.6,5.2,4.8,4.4
dt,signo_zodiacal_tauro,18,0.5,0.41999999999999993,0.4136363636363637,0.4,0.4053467000835422,0.42000000000000004,0.4756565656565656,4.0,5.6,4.4,6.0
dt,signo_zodiacal_tauro,19,0.5,0.51,0.51,0.5800000000000001,0.5372525252525253,0.5039999999999999,0.507,5.8,5.6,4.4,4.2
dt,signo_zodiacal_tauro,20,0.5,0.42000000000000004,0.418095238095238,0.34,0.36371345029239766,0.42000000000000004,0.4717142857142857,3.4,5.0,5.0,6.6
