modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,signo_zodiacal_virgo,1,0.5,0.45999999999999996,0.45999999999999996,0.4,0.42388888888888887,0.453,0.488,4.0,4.8,5.2,6.0
dt,signo_zodiacal_virgo,2,0.5,0.47000000000000003,0.47333333333333333,0.52,0.492,0.47000000000000003,0.4953333333333333,5.2,5.8,4.2,4.8
dt,signo_zodiacal_virgo,3,0.5,0.4699999999999999,0.4651587301587302,0.4,0.4116609169983783,0.475,0.4879920634920635,4.0,4.6,5.4,6.0
dt,signo_zodiacal_virgo,4,0.5,0.45,0.4556410256410256,0.5,0.47525691699604744,0.449,0.4783846153846154,5.0,6.0,4.0,5.0
dt,signo_zodiacal_virgo,5,0.5,0.54,0.530050505050505,0.45999999999999996,0.4885964912280702,0.54,0.530479797979798,4.6,3.8,6.2,5.4
dt,signo_zodiacal_virgo,6,0.5,0.51,0.5211655011655012,0.5,0.5035104064509098,0.514,0.5159160839160839,5.0,4.8,5.2,5.0
dt,signo_zodiacal_virgo,7,0.5,0.45,0.4713553113553114,0.45999999999999996,0.45093606138107417,0.45,0.4844322344322344,4.6,5.6,4.4,5.4
dt,signo_zodiacal_virgo,8,0.5,0.49000000000000005,0.45555555555555555,0.5199999999999999,0.47222251432777745,0.49000000000000005,0.5022222222222222,5.2,5.4,4.6,4.8
dt,signo_zodiacal_virgo,9,0.5,0.57,0.5714102564102564,0.5199999999999999,0.5346859903381642,0.57,0.5522948717948717,5.2,3.8,6.2,4.8
dt,signo_zodiacal_virgo,10,0.5,0.43,0.4409090909090909,0.45999999999999996,0.4477633477633477,0.43,0.4737878787878788,4.6,6.0,4.0,5.4
dt,signo_zodiacal_virgo,11,0.5,0.4800000000000001,0.49499999999999994,0.42000000000000004,0.4407843137254902,0.48,0.4956428571428571,4.2,4.6,5.4,5.8
dt,signo_zodiacal_virgo,12,0.5,0.5199999999999999,0.5161660561660562,0.54,0.5202503701709517,0.5040000000000001,0.523115995115995,5.4,5.0,5.0,4.6
dt,signo_zodiacal_virgo,13,0.5,0.42000000000000004,0.40995670995670996,0.36000000000000004,0.381031008894786,0.42000000000000004,0.47561327561327565,3.6,5.2,4.8,6.4
dt,signo_zodiacal_virgo,14,0.5,0.4,0.39055555555555554,0.36000000000000004,0.3740350877192982,0.4,0.46205555555555555,3.6,5.6,4.4,6.4
dt,signo_zodiacal_virgo,15,0.5,0.53,0.5342074592074593,0.5800000000000001,0.5523307610264132,0.5299999999999999,0.5240967365967366,5.8,5.2,4.8,4.2
dt,signo_zodiacal_virgo,16,0.5,0.53,0.5239393939393939,0.62,0.5663636363636363,0.53,0.5227575757575758,6.2,5.6,4.4,3.8
