,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.5005200000000001,0.05975341447216352,0.49971793255763847,0.06421711003864429,0.50112,0.0815600986965979,0.4918924798496299,0.06746276867185784,0.500512,0.059779905739809625,0.5134526809301809,0.031509638039232755,5.0112,0.815600986965979,5.0008,0.792044208397557,4.9992,0.792044208397557,4.9888,0.815600986965979
signo_zodiacal_aries,0.5,0.0,0.50192,0.05765902119747524,0.5015800551409375,0.06321699526124783,0.50024,0.07677846224384192,0.4929241283610921,0.0650725127125459,0.501782,0.057758415361661194,0.5145253405744582,0.030025882194843354,5.0024,0.767784622438419,4.964,0.7795893271704507,5.036,0.7795893271704506,4.9976,0.767784622438419
signo_zodiacal_cancer,0.5,0.0,0.50332,0.05787293108444231,0.5034190645628881,0.062436218983012284,0.50164,0.07501309438129658,0.49387568570865675,0.06353517542555276,0.5033299999999999,0.058067277510099165,0.5153196730263201,0.030586696057263864,5.0164,0.7501309438129666,4.95,0.7770119014468052,5.05,0.7770119014468052,4.9836,0.7501309438129665
signo_zodiacal_capricornio,0.5,0.0,0.49908,0.05643690147142552,0.49964482865603604,0.06207137895464773,0.49644,0.07795563200386645,0.48925860265605786,0.06424168521690567,0.499048,0.05645823909336035,0.5121350592893519,0.029805396409758062,4.9643999999999995,0.7795563200386644,4.9828,0.7866268006157008,5.0172,0.7866268006157009,5.0356000000000005,0.7795563200386644
signo_zodiacal_escorpio,0.5,0.0,0.4962,0.05735275649308159,0.49633390465743404,0.062278715638772346,0.49876,0.07802716756204545,0.4894707681083069,0.0648631273937379,0.49624,0.05736748606060606,0.5107015304238245,0.029468931342694304,4.9876000000000005,0.7802716756204536,5.0636,0.7813681028967392,4.9364,0.7813681028967392,5.0123999999999995,0.7802716756204536
signo_zodiacal_geminis,0.5,0.0,0.50426,0.05760807043773567,0.5046474810483633,0.06401629971879788,0.50456,0.07886981231491029,0.4964233533620027,0.06589589341575315,0.504336,0.05737346540924759,0.5155218471267294,0.031065146685259396,5.0456,0.7886981231491034,4.9604,0.800670961116957,5.0396,0.800670961116957,4.9544,0.7886981231491033
signo_zodiacal_leo,0.5,0.0,0.49528000000000005,0.05677471564590477,0.4955214539828936,0.06312561359216556,0.49044,0.07529638431546341,0.48493600692073857,0.0636149556259924,0.495468,0.057051439152915634,0.5108983593814166,0.03033392761875336,4.9044,0.7529638431546343,4.9988,0.7810881880524315,5.0012,0.7810881880524315,5.0956,0.7529638431546343
signo_zodiacal_libra,0.5,0.0,0.49874,0.05683196410725728,0.49897652292152295,0.06255940979006719,0.50064,0.07881633351569792,0.4917328284936523,0.06506850764829927,0.498862,0.056864594610710806,0.5125535433063668,0.0289368623018359,5.006399999999999,0.7881633351569781,5.0316,0.7790090822966066,4.9684,0.7790090822966067,4.993600000000001,0.7881633351569782
signo_zodiacal_piscis,0.5,0.0,0.49976,0.05590521609271129,0.50063115534792,0.061099775412929075,0.49995999999999996,0.07784161505305588,0.4915193935564742,0.06368571635573304,0.499702,0.0559666483493063,0.5125440359346536,0.0285247894688267,4.9996,0.7784161505305587,5.0043999999999995,0.7967246578089079,4.9956000000000005,0.796724657808908,5.0004,0.7784161505305588
signo_zodiacal_sagitario,0.5,0.0,0.5014000000000001,0.05935221453948861,0.5016430600771777,0.06701885800659399,0.49848000000000003,0.07827351458937015,0.4912963546801832,0.06669862479482673,0.501406,0.05950070446358874,0.5148935657153304,0.03194578561782631,4.9848,0.7827351458937013,4.9568,0.8042308963658,5.0432,0.8042308963658,5.0152,0.7827351458937012
signo_zodiacal_tauro,0.5,0.0,0.49720000000000003,0.05659121071562722,0.4965868568359745,0.06464766029823985,0.49539999999999995,0.075941914307564,0.48786789494296456,0.06464513028045718,0.497288,0.05692223940321883,0.5119383965707495,0.02933664915494661,4.954,0.7594191430756401,5.01,0.7516314920222537,4.99,0.7516314920222537,5.046,0.7594191430756401
signo_zodiacal_virgo,0.5,0.0,0.50326,0.05972525942368482,0.5027096456811163,0.0654525271084742,0.50068,0.08331037653063005,0.4933543858568656,0.06974081929542263,0.503344,0.0599827769535733,0.5146301394520513,0.031080639825433416,5.0068,0.8331037653062999,4.9416,0.7773016375071793,5.0584,0.7773016375071794,4.9932,0.8331037653062999
