modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt_full,signo_zodiacal_escorpio,1,0.5,0.56,0.5564491064491065,0.62,0.5845027588734683,0.56,0.5444250194250195,6.2,5.0,5.0,3.8
dt_full,signo_zodiacal_escorpio,2,0.5,0.44000000000000006,0.4400505050505051,0.44000000000000006,0.43799043062200954,0.43999999999999995,0.49181313131313137,4.4,5.6,4.4,5.6
dt_full,signo_zodiacal_escorpio,3,0.5,0.49000000000000005,0.4827272727272727,0.5399999999999999,0.5093506493506494,0.49000000000000005,0.523,5.4,5.6,4.4,4.6
dt_full,signo_zodiacal_escorpio,4,0.5,0.63,0.6272727272727273,0.6599999999999999,0.6405103668261563,0.63,0.5868686868686869,6.6,4.0,6.0,3.4
dt_full,signo_zodiacal_escorpio,5,0.5,0.51,0.5095238095238095,0.44000000000000006,0.4597265221878225,0.51,0.5185714285714285,4.4,4.2,5.8,5.6
dt_full,signo_zodiacal_escorpio,6,0.5,0.48,0.48753246753246754,0.4,0.429953314659197,0.4800000000000001,0.49262337662337663,4.0,4.4,5.6,6.0
dt_full,signo_zodiacal_escorpio,7,0.5,0.48,0.48409090909090907,0.45999999999999996,0.4683526999316473,0.48,0.49962121212121213,4.6,5.0,5.0,5.4
dt_full,signo_zodiacal_escorpio,8,0.5,0.62,0.6869047619047619,0.52,0.555982905982906,0.6199999999999999,0.5948809523809524,5.2,2.8,7.2,4.8
dt_full,signo_zodiacal_escorpio,9,0.5,0.53,0.5494083694083693,0.48,0.5085616000786279,0.522,0.5358672438672438,4.8,4.2,5.8,5.2
dt_full,signo_zodiacal_escorpio,10,0.5,0.5,0.5144444444444444,0.52,0.5102898958626513,0.4999999999999999,0.5063650793650794,5.2,5.2,4.8,4.8
dt_full,signo_zodiacal_escorpio,11,0.5,0.53,0.5280303030303031,0.52,0.5218880534670008,0.53,0.5343181818181819,5.2,4.6,5.4,4.8
dt_full,signo_zodiacal_escorpio,12,0.5,0.45,0.4340476190476191,0.44000000000000006,0.4318003565062388,0.45699999999999996,0.4938910533910533,4.4,5.4,4.6,5.6
dt_full,signo_zodiacal_escorpio,13,0.5,0.48999999999999994,0.4832900432900433,0.5599999999999999,0.5120081487140311,0.49000000000000005,0.49983549783549786,5.6,5.8,4.2,4.4
dt_full,signo_zodiacal_escorpio,14,0.5,0.48,0.4819347319347319,0.52,0.4919772256728779,0.48,0.49250582750582755,5.2,5.6,4.4,4.8
dt_full,signo_zodiacal_escorpio,15,0.5,0.5,0.49402930402930406,0.5199999999999999,0.5005208091141595,0.4999999999999999,0.5158424908424909,5.2,5.2,4.8,4.8
dt_full,signo_zodiacal_escorpio,16,0.5,0.48,0.47000000000000003,0.48,0.4715151515151515,0.48,0.5003333333333334,4.8,5.2,4.8,5.2
dt_full,signo_zodiacal_escorpio,17,0.5,0.53,0.538131313131313,0.5,0.51687552213868,0.5299999999999999,0.523510101010101,5.0,4.4,5.6,5.0
dt_full,signo_zodiacal_escorpio,18,0.5,0.65,0.6410101010101009,0.6599999999999999,0.6483618136249715,0.65,0.6065858585858586,6.6,3.6,6.4,3.4
dt_full,signo_zodiacal_escorpio,19,0.5,0.56,0.5692424242424242,0.5399999999999999,0.5526649958228905,0.5599999999999999,0.5479545454545454,5.4,4.2,5.8,4.6
dt_full,signo_zodiacal_escorpio,20,0.5,0.5,0.512012987012987,0.5,0.4980859010270775,0.5,0.5073051948051948,5.0,5.0,5.0,5.0
dt_full,signo_zodiacal_escorpio,21,0.5,0.45,0.43948051948051947,0.4,0.4078584160937102,0.45,0.49431168831168837,4.0,5.0,5.0,6.0
dt_full,signo_zodiacal_escorpio,22,0.5,0.44000000000000006,0.4261655011655012,0.43999999999999995,0.4261340109166197,0.44000000000000006,0.48141608391608387,4.4,5.6,4.4,5.6
dt_full,signo_zodiacal_escorpio,23,0.5,0.53,0.5337662337662337,0.5399999999999999,0.5258976317799847,0.53,0.5183116883116883,5.4,4.8,5.2,4.6
dt_full,signo_zodiacal_escorpio,24,0.5,0.5900000000000001,0.6023076923076923,0.56,0.5754589371980676,0.593,0.5683846153846155,5.6,3.8,6.2,4.4
dt_full,signo_zodiacal_escorpio,25,0.5,0.4699999999999999,0.476923076923077,0.4800000000000001,0.4758454106280193,0.4699999999999999,0.5004615384615384,4.8,5.4,4.6,5.2
dt_full,signo_zodiacal_escorpio,26,0.5,0.53,0.5361111111111111,0.48,0.5032429558745348,0.5389999999999999,0.525448162948163,4.8,4.2,5.8,5.2
dt_full,signo_zodiacal_escorpio,27,0.5,0.48,0.5014285714285714,0.48,0.48555555555555563,0.475,0.5027142857142858,4.8,5.2,4.8,5.2
dt_full,signo_zodiacal_escorpio,28,0.5,0.5200000000000001,0.5094877344877344,0.54,0.5195488721804511,0.52,0.5149386724386724,5.4,5.0,5.0,4.6
dt_full,signo_zodiacal_escorpio,29,0.5,0.44000000000000006,0.4361771561771562,0.48,0.45537321564781524,0.44000000000000006,0.4782937062937062,4.8,6.0,4.0,5.2
dt_full,signo_zodiacal_escorpio,30,0.5,0.58,0.5828282828282828,0.5199999999999999,0.5352927773980405,0.58,0.5563131313131313,5.2,3.6,6.4,4.8
dt_full,signo_zodiacal_escorpio,31,0.5,0.48,0.46007326007326005,0.48,0.464044537446072,0.48,0.5027655677655677,4.8,5.2,4.8,5.2
dt_full,signo_zodiacal_escorpio,32,0.5,0.43,0.4207070707070707,0.45999999999999996,0.4357978279030911,0.43,0.48010101010101003,4.6,6.0,4.0,5.4
dt_full,signo_zodiacal_escorpio,33,0.5,0.4699999999999999,0.4709090909090909,0.5399999999999999,0.500995670995671,0.4700000000000001,0.4954545454545454,5.4,6.0,4.0,4.6
dt_full,signo_zodiacal_escorpio,34,0.5,0.37,0.2878787878787879,0.3,0.29166666666666663,0.37000000000000005,0.47333333333333333,3.0,5.6,4.4,7.0
dt_full,signo_zodiacal_escorpio,35,0.5,0.43,0.4377777777777778,0.42000000000000004,0.4274641148325359,0.4299999999999999,0.4813333333333333,4.2,5.6,4.4,5.8
dt_full,signo_zodiacal_escorpio,36,0.5,0.5900000000000001,0.618831168831169,0.5599999999999999,0.5766934046345811,0.6020000000000001,0.5789060939060938,5.6,3.8,6.2,4.4
dt_full,signo_zodiacal_escorpio,37,0.5,0.45,0.4400252525252525,0.5,0.460767302872566,0.45,0.4838510101010101,5.0,6.0,4.0,5.0
dt_full,signo_zodiacal_escorpio,38,0.5,0.53,0.5332251082251082,0.38,0.4251005530417295,0.5299999999999999,0.5373051948051948,3.8,3.2,6.8,6.2
dt_full,signo_zodiacal_escorpio,39,0.5,0.57,0.5566100566100566,0.64,0.5875017991386278,0.57,0.5525707625707625,6.4,5.0,5.0,3.6
dt_full,signo_zodiacal_escorpio,40,0.5,0.5800000000000001,0.605952380952381,0.6200000000000001,0.6040404040404039,0.5800000000000001,0.5772619047619049,6.2,4.6,5.4,3.8
dt_full,signo_zodiacal_escorpio,41,0.5,0.63,0.6464646464646465,0.6599999999999999,0.6370493541546173,0.63,0.6016161616161616,6.6,4.0,6.0,3.4
dt_full,signo_zodiacal_escorpio,42,0.5,0.51,0.4886363636363636,0.48,0.47817460317460314,0.51,0.5361363636363636,4.8,4.6,5.4,5.2
dt_full,signo_zodiacal_escorpio,43,0.5,0.6100000000000001,0.6064102564102564,0.64,0.6158981115502854,0.61,0.5701282051282052,6.4,4.2,5.8,3.6
dt_full,signo_zodiacal_escorpio,44,0.5,0.43000000000000005,0.44025974025974024,0.44000000000000006,0.4309396485867074,0.43,0.4792207792207791,4.4,5.8,4.2,5.6
dt_full,signo_zodiacal_escorpio,45,0.5,0.45,0.4612987012987014,0.45999999999999996,0.439719887955182,0.453,0.5071385281385281,4.6,5.6,4.4,5.4
dt_full,signo_zodiacal_escorpio,46,0.5,0.52,0.5234848484848486,0.52,0.5177489177489178,0.52,0.5150757575757575,5.2,4.8,5.2,4.8
dt_full,signo_zodiacal_escorpio,47,0.5,0.55,0.5626984126984127,0.52,0.5323388685617788,0.55,0.5457936507936507,5.2,4.2,5.8,4.8
dt_full,signo_zodiacal_escorpio,48,0.5,0.56,0.5768181818181819,0.54,0.5549206349206349,0.56,0.545409090909091,5.4,4.2,5.8,4.6
dt_full,signo_zodiacal_escorpio,49,0.5,0.54,0.5421212121212122,0.6,0.5494632034632034,0.54,0.5360303030303031,6.0,5.2,4.8,4.0
dt_full,signo_zodiacal_escorpio,50,0.5,0.47000000000000003,0.46428571428571425,0.4,0.42745098039215684,0.4699999999999999,0.49071428571428566,4.0,4.6,5.4,6.0
dt_full,signo_zodiacal_escorpio,51,0.5,0.55,0.5442424242424242,0.6,0.5697835497835497,0.55,0.5307878787878788,6.0,5.0,5.0,4.0
dt_full,signo_zodiacal_escorpio,52,0.5,0.4600000000000001,0.43090909090909096,0.36,0.3885714285714285,0.48200000000000004,0.4983831168831169,3.6,4.4,5.6,6.4
dt_full,signo_zodiacal_escorpio,53,0.5,0.53,0.5275213675213676,0.56,0.5341713704551234,0.53,0.5193504273504274,5.6,5.0,5.0,4.4
dt_full,signo_zodiacal_escorpio,54,0.5,0.55,0.5681746031746031,0.45999999999999996,0.4886549707602339,0.55,0.5314841269841271,4.6,3.6,6.4,5.4
dt_full,signo_zodiacal_escorpio,55,0.5,0.55,0.5542424242424243,0.5599999999999999,0.5551424014581909,0.567,0.5520808080808081,5.6,4.6,5.4,4.4
dt_full,signo_zodiacal_escorpio,56,0.5,0.48,0.48932539682539683,0.4800000000000001,0.4746548119922734,0.47999999999999987,0.4970198412698412,4.8,5.2,4.8,5.2
dt_full,signo_zodiacal_escorpio,57,0.5,0.45999999999999996,0.4590909090909091,0.5199999999999999,0.48653451811346543,0.46399999999999997,0.4884545454545455,5.2,6.0,4.0,4.8
dt_full,signo_zodiacal_escorpio,58,0.5,0.41,0.40698412698412695,0.4,0.39795665634674926,0.41,0.4646984126984127,4.0,5.8,4.2,6.0
dt_full,signo_zodiacal_escorpio,59,0.5,0.45,0.4188888888888889,0.32,0.3566708437761069,0.45,0.48255555555555557,3.2,4.2,5.8,6.8
dt_full,signo_zodiacal_escorpio,60,0.5,0.48,0.47188811188811186,0.5,0.47536231884057967,0.48,0.4978601398601398,5.0,5.4,4.6,5.0
