,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.5019600000000001,0.0555655780761243,0.5019734289979026,0.061828754485906745,0.5028,0.07788898116404874,0.49420972602372193,0.06431146187036288,0.502274,0.055808494874888,0.513854753058603,0.028797680188768358,5.028,0.7788898116404883,4.9888,0.7565575448287292,5.0112,0.7565575448287291,4.972,0.7788898116404883
signo_zodiacal_aries,0.5,0.0,0.50332,0.05546106254768146,0.5039602175275705,0.06137172411713102,0.50008,0.0750683963346528,0.4935582751257706,0.06208252555637286,0.503252,0.05566422106716334,0.5146880330976213,0.0293091508501608,5.0008,0.7506839633465279,4.934399999999999,0.777138680711568,5.065600000000001,0.7771386807115679,4.9992,0.7506839633465279
signo_zodiacal_cancer,0.5,0.0,0.50022,0.05497450310811338,0.5004750305782968,0.061266856194690945,0.5018,0.07769706344087056,0.4932732875529102,0.06390440203441898,0.500254,0.05502163433131536,0.5125679474600047,0.028610899287596088,5.018,0.7769706344087056,5.0136,0.7742182300459418,4.9864,0.7742182300459417,4.982,0.7769706344087056
signo_zodiacal_capricornio,0.5,0.0,0.49907999999999997,0.059785468170859196,0.49796042326954093,0.06610281632524596,0.49539999999999995,0.07874033324897935,0.488051553934168,0.06736784899925885,0.49879399999999996,0.06004743919525474,0.513494311482635,0.031076355199661274,4.954,0.7874033324897931,4.9723999999999995,0.792726352621307,5.0276000000000005,0.792726352621307,5.046,0.7874033324897931
signo_zodiacal_escorpio,0.5,0.0,0.50288,0.05875892120898143,0.502733205891116,0.06612445960925827,0.49607999999999997,0.08058300591119298,0.4911291329392836,0.06791207242946533,0.502802,0.05897377899726656,0.5150255536250814,0.03199179255494548,4.9608,0.8058300591119298,4.9032,0.7854831172309876,5.0968,0.7854831172309876,5.0392,0.8058300591119298
signo_zodiacal_geminis,0.5,0.0,0.501,0.05305307963273228,0.5006150839683192,0.05858930927494715,0.49639999999999995,0.07486420572341096,0.48977463029713936,0.06088243898812285,0.50086,0.052983042623194275,0.5134415659079483,0.028135518387940612,4.964,0.7486420572341094,4.944,0.744077484275133,5.056,0.744077484275133,5.036,0.7486420572341094
signo_zodiacal_leo,0.5,0.0,0.49856,0.05775636757961829,0.49863838850691794,0.06481364606467234,0.49744,0.07898051813256847,0.4898366261571694,0.06638612251570726,0.49869600000000003,0.05768075695972527,0.5131314562169856,0.03010209320723431,4.974399999999999,0.7898051813256847,5.0032,0.7570574826683427,4.9968,0.7570574826683427,5.025600000000001,0.7898051813256847
signo_zodiacal_libra,0.5,0.0,0.5029399999999999,0.05720227793718007,0.5033036208236208,0.06258875613511967,0.50024,0.07982911608900042,0.4931072623370507,0.06540309225747384,0.502824,0.05737638122297786,0.514388025794467,0.03074987425937233,5.0024,0.7982911608900041,4.9436,0.781203942129325,5.0564,0.781203942129325,4.9976,0.7982911608900042
signo_zodiacal_piscis,0.5,0.0,0.5019,0.05995815173869057,0.5017203187662012,0.0651285642016446,0.5022,0.07800596041149317,0.49362399748886837,0.06628712228227764,0.502054,0.06005908149931269,0.5139857827336063,0.03177192157322086,5.022,0.7800596041149318,4.984,0.8024411652247749,5.016,0.8024411652247747,4.978,0.7800596041149318
signo_zodiacal_sagitario,0.5,0.0,0.4993,0.056873360708829535,0.4988170577461754,0.06314541463636159,0.5022,0.07717948786234194,0.49242317250145895,0.06448871782165269,0.499396,0.05688239092015722,0.512396951104451,0.029901600632375885,5.022,0.7717948786234192,5.036,0.7947624139258089,4.964,0.7947624139258088,4.978,0.7717948786234192
signo_zodiacal_tauro,0.5,0.0,0.49864,0.05754627309473819,0.4981183710733711,0.06368911096216462,0.4982,0.07983424712507815,0.49002356291586846,0.0667318615176608,0.49870800000000004,0.057835496239338195,0.5128149757007697,0.029627352684833744,4.982,0.7983424712507823,5.0092,0.7536652988996716,4.9908,0.7536652988996717,5.018,0.7983424712507823
signo_zodiacal_virgo,0.5,0.0,0.50438,0.05834572861912164,0.5044653441329912,0.06334165580508416,0.50156,0.08006989932274866,0.4945433769934467,0.06620133426115381,0.504574,0.05829828388389846,0.5154471558115088,0.0311293144134875,5.0156,0.800698993227487,4.928,0.7962436863272649,5.072,0.7962436863272648,4.9844,0.800698993227487
