modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,1000,500,500,signo_zodiacal_sagitario,1,0.5,0.499,0.4984453624271253,0.504,0.5005828597280692,0.49411000000000005,0.49932512072917745,50.4,50.6,49.4,49.6
dt,1000,500,500,signo_zodiacal_sagitario,2,0.5,0.5039999999999999,0.5038182051904774,0.4959999999999999,0.4985934392714432,0.5050100000000001,0.503401405736992,49.6,48.8,51.2,50.4
dt,1000,500,500,signo_zodiacal_sagitario,3,0.5,0.516,0.5151258350459195,0.528,0.5212603387828857,0.51884,0.5098840970569126,52.8,49.6,50.4,47.2
dt,1000,500,500,signo_zodiacal_sagitario,4,0.5,0.479,0.47972098148020814,0.484,0.48149702861874993,0.48186,0.491630964292699,48.4,52.6,47.4,51.6
dt,1000,500,500,signo_zodiacal_sagitario,5,0.5,0.529,0.5316800775468511,0.49000000000000005,0.5095230502231188,0.52788,0.5161640269075178,49.0,43.2,56.8,51.0
dt,1000,500,500,signo_zodiacal_sagitario,6,0.5,0.49499999999999994,0.4945166187447968,0.488,0.4900321174702733,0.49256,0.49566339635902806,48.8,49.8,50.2,51.2
dt,1000,500,500,signo_zodiacal_sagitario,7,0.5,0.515,0.5174699642376551,0.51,0.5133286149845846,0.51812,0.5105006915389673,51.0,48.0,52.0,49.0
dt,1000,500,500,signo_zodiacal_sagitario,8,0.5,0.493,0.491073180268367,0.476,0.4826857194889206,0.49688999999999994,0.4992232408041339,47.6,49.0,51.0,52.4
dt,1000,500,500,signo_zodiacal_sagitario,9,0.5,0.519,0.5186396578688278,0.5599999999999999,0.5377712657592473,0.51818,0.5107021829933795,56.0,52.2,47.8,44.0
dt,1000,500,500,signo_zodiacal_sagitario,10,0.5,0.534,0.53555218152558,0.532,0.5327110408397366,0.53321,0.5175528092281312,53.2,46.4,53.6,46.8
dt,1000,500,500,signo_zodiacal_sagitario,11,0.5,0.526,0.529083053735336,0.51,0.5186463348724549,0.52275,0.5138549983865742,51.0,45.8,54.2,49.0
dt,1000,500,500,signo_zodiacal_sagitario,12,0.5,0.513,0.5140363347531645,0.504,0.5081863543612556,0.51385,0.5090723706093447,50.4,47.8,52.2,49.6
dt,1000,500,500,signo_zodiacal_sagitario,13,0.5,0.5360000000000001,0.5378547966798317,0.522,0.5290076946200843,0.53883,0.5217684077423547,52.2,45.0,55.0,47.8
dt,1000,500,500,signo_zodiacal_sagitario,14,0.5,0.491,0.4918229295265085,0.502,0.49642140338127394,0.48967,0.49567443271468753,50.2,52.0,48.0,49.8
dt,1000,500,500,signo_zodiacal_sagitario,15,0.5,0.521,0.5209653963682753,0.528,0.5239874602255247,0.5216,0.5140745892038142,52.8,48.6,51.4,47.2
