modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,1000,500,500,signo_zodiacal_tauro,1,0.5,0.509,0.5088311048833395,0.508,0.5077813955265137,0.5073700000000001,0.5080375659098577,50.8,49.0,51.0,49.2
dt,1000,500,500,signo_zodiacal_tauro,2,0.5,0.4600000000000001,0.4586767763696836,0.45,0.4541219333379002,0.46312999999999993,0.4840721709955983,45.0,53.0,47.0,55.0
dt,1000,500,500,signo_zodiacal_tauro,3,0.5,0.49800000000000005,0.5003766603766604,0.496,0.4973021223860291,0.49706,0.5008731350863513,49.6,50.0,50.0,50.4
dt,1000,500,500,signo_zodiacal_tauro,4,0.5,0.484,0.4854617453026907,0.488,0.4863495857133432,0.49007000000000006,0.49688798231676684,48.8,52.0,48.0,51.2
dt,1000,500,500,signo_zodiacal_tauro,5,0.5,0.5069999999999999,0.5066441481167445,0.51,0.50735723600616,0.51142,0.5067772295531638,51.0,49.6,50.4,49.0
dt,1000,500,500,signo_zodiacal_tauro,6,0.5,0.502,0.5027954459462387,0.492,0.4966800216966435,0.50642,0.5047300835936748,49.2,48.8,51.2,50.8
dt,1000,500,500,signo_zodiacal_tauro,7,0.5,0.513,0.5115627618568795,0.534,0.5215663145327749,0.5083200000000001,0.5080201568307454,53.4,50.8,49.2,46.6
dt,1000,500,500,signo_zodiacal_tauro,8,0.5,0.48,0.478334345596555,0.45999999999999996,0.46815855071852563,0.4830300000000001,0.4896966626269462,46.0,50.0,50.0,54.0
dt,1000,500,500,signo_zodiacal_tauro,9,0.5,0.49000000000000005,0.4904318033437267,0.496,0.492981852596853,0.48634000000000005,0.4923269514947018,49.6,51.6,48.4,50.4
dt,1000,500,500,signo_zodiacal_tauro,10,0.5,0.504,0.5033633599016315,0.496,0.49941246640049763,0.50427,0.5037081822883086,49.6,48.8,51.2,50.4
dt,1000,500,500,signo_zodiacal_tauro,11,0.5,0.4840000000000001,0.4810458464491297,0.462,0.4702659991823442,0.48399000000000003,0.49586305521207646,46.2,49.4,50.6,53.8
dt,1000,500,500,signo_zodiacal_tauro,12,0.5,0.4960000000000001,0.496082979583586,0.45999999999999996,0.4766469083448047,0.5018100000000001,0.500406014892637,46.0,46.8,53.2,54.0
