modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,100,50,50,signo_zodiacal_aries,1,0.5,0.52,0.5174242424242423,0.47999999999999987,0.4810776942355889,0.52,0.5179545454545454,4.8,4.4,5.6,5.2
dt,100,50,50,signo_zodiacal_aries,2,0.5,0.55,0.5474747474747474,0.5399999999999999,0.5417710944026733,0.55,0.5301010101010102,5.4,4.4,5.6,4.6
dt,100,50,50,signo_zodiacal_aries,3,0.5,0.63,0.6496464646464647,0.5599999999999999,0.5927652464494569,0.6299999999999999,0.5908434343434343,5.6,3.0,7.0,4.4
dt,100,50,50,signo_zodiacal_aries,4,0.5,0.55,0.5261072261072262,0.6,0.5534161490683229,0.55,0.5363403263403264,6.0,5.0,5.0,4.0
dt,100,50,50,signo_zodiacal_aries,5,0.5,0.54,0.5388034188034188,0.5599999999999999,0.5470022883295195,0.54,0.5309401709401709,5.6,4.8,5.2,4.4
dt,100,50,50,signo_zodiacal_aries,6,0.5,0.5599999999999999,0.5619047619047619,0.58,0.5637161084529505,0.5599999999999999,0.5573809523809523,5.8,4.6,5.4,4.2
dt,100,50,50,signo_zodiacal_aries,7,0.5,0.4,0.3761172161172161,0.32,0.33640664961636835,0.4,0.46814652014652014,3.2,5.2,4.8,6.8
dt,100,50,50,signo_zodiacal_aries,8,0.5,0.51,0.5122294372294371,0.43999999999999995,0.46582633053221284,0.51,0.5124567099567099,4.4,4.2,5.8,5.6
dt,100,50,50,signo_zodiacal_aries,9,0.5,0.5,0.5112554112554113,0.48,0.49186200796107915,0.5,0.5175324675324675,4.8,4.8,5.2,5.2
dt,100,50,50,signo_zodiacal_aries,10,0.5,0.4800000000000001,0.4723809523809524,0.5,0.47858823529411765,0.48,0.493047619047619,5.0,5.4,4.6,5.0
dt,100,50,50,signo_zodiacal_aries,11,0.5,0.48,0.4616161616161616,0.44000000000000006,0.43415268941584734,0.48,0.5013131313131314,4.4,4.8,5.2,5.6
dt,100,50,50,signo_zodiacal_aries,12,0.5,0.45999999999999996,0.4111111111111111,0.36,0.3802631578947368,0.453,0.5055555555555555,3.6,4.4,5.6,6.4
dt,100,50,50,signo_zodiacal_aries,13,0.5,0.52,0.5155122655122655,0.6000000000000001,0.5521758942811574,0.52,0.5207720057720058,6.0,5.6,4.4,4.0
dt,100,50,50,signo_zodiacal_aries,14,0.5,0.49000000000000005,0.4907070707070707,0.52,0.503777625882889,0.49000000000000005,0.5021010101010102,5.2,5.4,4.6,4.8
dt,100,50,50,signo_zodiacal_aries,15,0.5,0.52,0.525,0.48,0.49520202020202025,0.522,0.5185,4.8,4.4,5.6,5.2
dt,100,50,50,signo_zodiacal_aries,16,0.5,0.5700000000000001,0.5657575757575758,0.5800000000000001,0.5704473304473304,0.5700000000000001,0.5411212121212122,5.8,4.4,5.6,4.2
dt,100,50,50,signo_zodiacal_aries,17,0.5,0.51,0.5222727272727272,0.5399999999999999,0.5206410256410257,0.5029999999999999,0.522326203208556,5.4,5.2,4.8,4.6
