modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,100,50,50,signo_zodiacal_piscis,1,0.5,0.51,0.5185281385281385,0.48,0.49567153177060297,0.51,0.5131688311688312,4.8,4.6,5.4,5.2
dt,100,50,50,signo_zodiacal_piscis,2,0.5,0.5,0.4928321678321678,0.58,0.5255144550339058,0.5,0.5100271950271951,5.8,5.8,4.2,4.2
dt,100,50,50,signo_zodiacal_piscis,3,0.5,0.57,0.5766666666666668,0.5800000000000001,0.5752046783625732,0.57,0.5596666666666668,5.8,4.4,5.6,4.2
dt,100,50,50,signo_zodiacal_piscis,4,0.5,0.44000000000000006,0.4111111111111111,0.4,0.40294486215538844,0.44000000000000006,0.48979797979797973,4.0,5.2,4.8,6.0
dt,100,50,50,signo_zodiacal_piscis,5,0.5,0.49000000000000005,0.5006313131313131,0.52,0.5023456076087655,0.48999999999999994,0.502260101010101,5.2,5.4,4.6,4.8
dt,100,50,50,signo_zodiacal_piscis,6,0.5,0.55,0.5777777777777777,0.48,0.5116357069143447,0.5449999999999999,0.5517460317460318,4.8,3.8,6.2,5.2
dt,100,50,50,signo_zodiacal_piscis,7,0.5,0.5800000000000001,0.5873015873015873,0.5199999999999999,0.5433647621728117,0.58,0.5536507936507936,5.2,3.6,6.4,4.8
dt,100,50,50,signo_zodiacal_piscis,8,0.5,0.5000000000000001,0.5063492063492063,0.43999999999999995,0.4657472558401351,0.5,0.5025396825396825,4.4,4.4,5.6,5.6
dt,100,50,50,signo_zodiacal_piscis,9,0.5,0.43999999999999995,0.4263059163059163,0.5,0.45794941900205055,0.44000000000000006,0.49543867243867246,5.0,6.2,3.8,5.0
dt,100,50,50,signo_zodiacal_piscis,10,0.5,0.54,0.5283333333333333,0.41999999999999993,0.44045454545454543,0.54,0.5311666666666667,4.2,3.4,6.6,5.8
dt,100,50,50,signo_zodiacal_piscis,11,0.5,0.45,0.46281274281274276,0.42000000000000004,0.42895935490901166,0.45,0.48158663558663556,4.2,5.2,4.8,5.8
dt,100,50,50,signo_zodiacal_piscis,12,0.5,0.47000000000000003,0.46333333333333326,0.44000000000000006,0.4482083997873471,0.47000000000000003,0.49366666666666664,4.4,5.0,5.0,5.6
dt,100,50,50,signo_zodiacal_piscis,13,0.5,0.45,0.42222222222222217,0.4,0.40128998968008256,0.442,0.4860317460317461,4.0,5.0,5.0,6.0
dt,100,50,50,signo_zodiacal_piscis,14,0.5,0.45999999999999996,0.4774891774891775,0.52,0.4913951545530493,0.45999999999999996,0.4919480519480519,5.2,6.0,4.0,4.8
dt,100,50,50,signo_zodiacal_piscis,15,0.5,0.44000000000000006,0.45487179487179485,0.58,0.5076521739130435,0.44000000000000006,0.47456410256410253,5.8,7.0,3.0,4.2
dt,100,50,50,signo_zodiacal_piscis,16,0.5,0.38,0.39365079365079364,0.43999999999999995,0.41251993620414673,0.38,0.45460317460317456,4.4,6.8,3.2,5.6
dt,100,50,50,signo_zodiacal_piscis,17,0.5,0.44000000000000006,0.4067748917748918,0.34,0.36642783429161135,0.44000000000000006,0.49130519480519486,3.4,4.6,5.4,6.6
dt,100,50,50,signo_zodiacal_piscis,18,0.5,0.53,0.5233766233766234,0.6000000000000001,0.5483766233766233,0.53,0.5168831168831168,6.0,5.4,4.6,4.0
dt,100,50,50,signo_zodiacal_piscis,19,0.5,0.45,0.43793650793650796,0.41999999999999993,0.4252293836194765,0.45,0.4849365079365079,4.2,5.2,4.8,5.8
dt,100,50,50,signo_zodiacal_piscis,20,0.5,0.47000000000000003,0.4688888888888889,0.45999999999999996,0.45739234449760763,0.47000000000000003,0.4875555555555556,4.6,5.2,4.8,5.4
dt,100,50,50,signo_zodiacal_piscis,21,0.5,0.39,0.39555555555555555,0.4,0.39693779904306226,0.39,0.4622222222222222,4.0,6.2,3.8,6.0
dt,100,50,50,signo_zodiacal_piscis,22,0.5,0.49000000000000005,0.4513131313131312,0.52,0.47658714969241284,0.49000000000000005,0.5123434343434343,5.2,5.4,4.6,4.8
dt,100,50,50,signo_zodiacal_piscis,23,0.5,0.58,0.5968614718614719,0.5199999999999999,0.5530984323553982,0.5799999999999998,0.5581132756132756,5.2,3.6,6.4,4.8
dt,100,50,50,signo_zodiacal_piscis,24,0.5,0.54,0.5334065934065934,0.5,0.510105143506678,0.53,0.549098901098901,5.0,4.2,5.8,5.0
dt,100,50,50,signo_zodiacal_piscis,25,0.5,0.49000000000000005,0.4805555555555555,0.4600000000000001,0.46703880914407225,0.483,0.4997222222222222,4.6,4.8,5.2,5.4
dt,100,50,50,signo_zodiacal_piscis,26,0.5,0.5599999999999999,0.5721428571428572,0.52,0.5327471620227038,0.5599999999999999,0.5449761904761905,5.2,4.0,6.0,4.8
dt,100,50,50,signo_zodiacal_piscis,27,0.5,0.37999999999999995,0.37316017316017314,0.36000000000000004,0.36180290297937356,0.38,0.4583549783549783,3.6,6.0,4.0,6.4
dt,100,50,50,signo_zodiacal_piscis,28,0.5,0.6,0.6035353535353536,0.6000000000000001,0.5994531784005469,0.6,0.5715656565656566,6.0,4.0,6.0,4.0
dt,100,50,50,signo_zodiacal_piscis,29,0.5,0.51,0.5151515151515151,0.54,0.5223475355054301,0.518,0.5151111111111111,5.4,5.2,4.8,4.6
dt,100,50,50,signo_zodiacal_piscis,30,0.5,0.5399999999999999,0.5272727272727272,0.58,0.5462222222222222,0.5399999999999999,0.5290909090909091,5.8,5.0,5.0,4.2
dt,100,50,50,signo_zodiacal_piscis,31,0.5,0.49000000000000005,0.48913308913308917,0.45999999999999996,0.46908810816469987,0.49000000000000005,0.4966544566544567,4.6,4.8,5.2,5.4
dt,100,50,50,signo_zodiacal_piscis,32,0.5,0.4,0.3993939393939394,0.42000000000000004,0.40887218045112783,0.4,0.46799999999999997,4.2,6.2,3.8,5.8
dt,100,50,50,signo_zodiacal_piscis,33,0.5,0.49000000000000005,0.48809523809523814,0.6,0.5311942959001783,0.49000000000000005,0.4988095238095237,6.0,6.2,3.8,4.0
dt,100,50,50,signo_zodiacal_piscis,34,0.5,0.34,0.3233333333333333,0.27999999999999997,0.296060606060606,0.34,0.458,2.8,6.0,4.0,7.2
dt,100,50,50,signo_zodiacal_piscis,35,0.5,0.51,0.5052947052947053,0.52,0.5082693947144075,0.51,0.5141898101898101,5.2,5.0,5.0,4.8
dt,100,50,50,signo_zodiacal_piscis,36,0.5,0.52,0.5146184534419829,0.68,0.5795332776385408,0.52,0.5180857312622018,6.8,6.4,3.6,3.2
dt,100,50,50,signo_zodiacal_piscis,37,0.5,0.44000000000000006,0.4346464646464646,0.44000000000000006,0.43566795777322087,0.44000000000000006,0.4896767676767676,4.4,5.6,4.4,5.6
dt,100,50,50,signo_zodiacal_piscis,38,0.5,0.49000000000000005,0.4854700854700854,0.54,0.5083420012481797,0.48999999999999994,0.5042735042735044,5.4,5.6,4.4,4.6
dt,100,50,50,signo_zodiacal_piscis,39,0.5,0.52,0.5040909090909091,0.5399999999999999,0.50904329004329,0.52,0.5159545454545456,5.4,5.0,5.0,4.6
dt,100,50,50,signo_zodiacal_piscis,40,0.5,0.5599999999999999,0.5623626373626374,0.5599999999999999,0.5538830024763528,0.554,0.537584915084915,5.6,4.4,5.6,4.4
dt,100,50,50,signo_zodiacal_piscis,41,0.5,0.47000000000000003,0.4688888888888889,0.5,0.47918637172641754,0.45999999999999996,0.4883247863247863,5.0,5.6,4.4,5.0
dt,100,50,50,signo_zodiacal_piscis,42,0.5,0.42000000000000004,0.38,0.38,0.3784126984126984,0.42000000000000004,0.49290909090909085,3.8,5.4,4.6,6.2
dt,100,50,50,signo_zodiacal_piscis,43,0.5,0.39,0.4000577200577201,0.44000000000000006,0.41659147869674185,0.39,0.46080230880230877,4.4,6.6,3.4,5.6
dt,100,50,50,signo_zodiacal_piscis,44,0.5,0.5,0.49735819735819736,0.52,0.5061022120518688,0.5,0.5055866355866356,5.2,5.2,4.8,4.8
dt,100,50,50,signo_zodiacal_piscis,45,0.5,0.51,0.5057142857142857,0.44000000000000006,0.4655882352941177,0.51,0.5317142857142858,4.4,4.2,5.8,5.6
dt,100,50,50,signo_zodiacal_piscis,46,0.5,0.5,0.5018614718614719,0.52,0.5057193786605552,0.5,0.5048354978354979,5.2,5.2,4.8,4.8
dt,100,50,50,signo_zodiacal_piscis,47,0.5,0.5900000000000001,0.637987012987013,0.5,0.5483660130718955,0.59,0.5773051948051948,5.0,3.2,6.8,5.0
dt,100,50,50,signo_zodiacal_piscis,48,0.5,0.49000000000000005,0.49772727272727274,0.5599999999999999,0.5199023199023199,0.49000000000000005,0.5025000000000001,5.6,5.8,4.2,4.4
dt,100,50,50,signo_zodiacal_piscis,49,0.5,0.45999999999999996,0.4666666666666667,0.38,0.41040669856459333,0.45999999999999996,0.49333333333333335,3.8,4.6,5.4,6.2
dt,100,50,50,signo_zodiacal_piscis,50,0.5,0.58,0.5594405594405594,0.64,0.5906710510291073,0.591,0.5551498501498502,6.4,4.8,5.2,3.6
dt,100,50,50,signo_zodiacal_piscis,51,0.5,0.51,0.5011111111111111,0.45999999999999996,0.47859649122807013,0.51,0.5195555555555555,4.6,4.4,5.6,5.4
dt,100,50,50,signo_zodiacal_piscis,52,0.5,0.57,0.5308080808080808,0.5599999999999999,0.5415185691501481,0.575,0.5641486291486292,5.6,4.2,5.8,4.4
dt,100,50,50,signo_zodiacal_piscis,53,0.5,0.39,0.3993939393939394,0.44000000000000006,0.41800865800865805,0.39,0.45642424242424245,4.4,6.6,3.4,5.6
