modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,100,50,50,signo_zodiacal_virgo,1,0.5,0.44000000000000006,0.4333333333333334,0.4,0.4083333333333334,0.44000000000000006,0.48166666666666663,4.0,5.2,4.8,6.0
dt,100,50,50,signo_zodiacal_virgo,2,0.5,0.55,0.5526923076923077,0.4999999999999999,0.5167391304347827,0.5499999999999999,0.5298846153846154,5.0,4.0,6.0,5.0
dt,100,50,50,signo_zodiacal_virgo,3,0.5,0.58,0.6034632034632035,0.54,0.564111705288176,0.5800000000000001,0.5571861471861472,5.4,3.8,6.2,4.6
dt,100,50,50,signo_zodiacal_virgo,4,0.5,0.5,0.47464646464646465,0.42000000000000004,0.4324356345408977,0.5,0.5046767676767676,4.2,4.2,5.8,5.8
dt,100,50,50,signo_zodiacal_virgo,5,0.5,0.4,0.3907142857142857,0.3,0.3340225787284611,0.4,0.4692142857142857,3.0,5.0,5.0,7.0
dt,100,50,50,signo_zodiacal_virgo,6,0.5,0.47000000000000003,0.45666666666666667,0.45999999999999996,0.4571261487050961,0.4700000000000001,0.5089090909090909,4.6,5.2,4.8,5.4
dt,100,50,50,signo_zodiacal_virgo,7,0.5,0.4600000000000001,0.46408258408258407,0.37999999999999995,0.4044598709048837,0.45999999999999996,0.48952314352314347,3.8,4.6,5.4,6.2
dt,100,50,50,signo_zodiacal_virgo,8,0.5,0.41,0.39701298701298704,0.44000000000000006,0.4104329004329005,0.41,0.4735194805194805,4.4,6.2,3.8,5.6
dt,100,50,50,signo_zodiacal_virgo,9,0.5,0.54,0.5233766233766233,0.6199999999999999,0.560960906101571,0.54,0.5276523476523476,6.2,5.4,4.6,3.8
dt,100,50,50,signo_zodiacal_virgo,10,0.5,0.52,0.5100899100899101,0.6,0.5486542443064182,0.52,0.5229810189810189,6.0,5.6,4.4,4.0
dt,100,50,50,signo_zodiacal_virgo,11,0.5,0.47000000000000003,0.4735042735042735,0.5599999999999999,0.5110879966715207,0.47000000000000003,0.49273504273504276,5.6,6.2,3.8,4.4
dt,100,50,50,signo_zodiacal_virgo,12,0.5,0.5599999999999999,0.5565656565656566,0.5399999999999999,0.5167350193665983,0.5599999999999999,0.5419191919191919,5.4,4.2,5.8,4.6
dt,100,50,50,signo_zodiacal_virgo,13,0.5,0.37,0.3337878787878788,0.27999999999999997,0.2973809523809524,0.37,0.46365151515151515,2.8,5.4,4.6,7.2
dt,100,50,50,signo_zodiacal_virgo,14,0.5,0.49000000000000005,0.4907647907647908,0.5,0.49100290834036964,0.48999999999999994,0.507027417027417,5.0,5.2,4.8,5.0
dt,100,50,50,signo_zodiacal_virgo,15,0.5,0.5700000000000001,0.5581468531468531,0.54,0.5385645272601793,0.568,0.5502482517482518,5.4,4.0,6.0,4.6
dt,100,50,50,signo_zodiacal_virgo,16,0.5,0.52,0.5169696969696969,0.58,0.5417443609022555,0.52,0.5225454545454545,5.8,5.4,4.6,4.2
dt,100,50,50,signo_zodiacal_virgo,17,0.5,0.43000000000000005,0.4218253968253968,0.4,0.4052631578947368,0.43,0.479484126984127,4.0,5.4,4.6,6.0
dt,100,50,50,signo_zodiacal_virgo,18,0.5,0.53,0.5355555555555556,0.54,0.5314152046783625,0.5299999999999999,0.5184444444444444,5.4,4.8,5.2,4.6
dt,100,50,50,signo_zodiacal_virgo,19,0.5,0.4800000000000001,0.48,0.5,0.45608695652173914,0.48,0.49276923076923074,5.0,5.4,4.6,5.0
dt,100,50,50,signo_zodiacal_virgo,20,0.5,0.5800000000000001,0.6309090909090909,0.6,0.5943290043290043,0.5800000000000001,0.5734545454545454,6.0,4.4,5.6,4.0
dt,100,50,50,signo_zodiacal_virgo,21,0.5,0.53,0.5264102564102564,0.5800000000000001,0.5500395256916997,0.53,0.5221282051282052,5.8,5.2,4.8,4.2
dt,100,50,50,signo_zodiacal_virgo,22,0.5,0.56,0.5833333333333333,0.48,0.5222222222222221,0.5599999999999999,0.5383333333333333,4.8,3.6,6.4,5.2
dt,100,50,50,signo_zodiacal_virgo,23,0.5,0.44000000000000006,0.43888888888888894,0.45999999999999996,0.443833067517278,0.44000000000000006,0.4772222222222222,4.6,5.8,4.2,5.4
dt,100,50,50,signo_zodiacal_virgo,24,0.5,0.44000000000000006,0.45838383838383834,0.36,0.3935964912280701,0.44000000000000006,0.4942828282828283,3.6,4.8,5.2,6.4
dt,100,50,50,signo_zodiacal_virgo,25,0.5,0.5700000000000001,0.5968253968253968,0.5599999999999999,0.5666442320635349,0.5700000000000001,0.5548962148962149,5.6,4.2,5.8,4.4
dt,100,50,50,signo_zodiacal_virgo,26,0.5,0.49000000000000005,0.48317460317460315,0.4,0.43166150670794634,0.49000000000000005,0.49726984126984125,4.0,4.2,5.8,6.0
dt,100,50,50,signo_zodiacal_virgo,27,0.5,0.49000000000000005,0.4999267399267399,0.52,0.4842749969553039,0.49000000000000005,0.4964322344322344,5.2,5.4,4.6,4.8
dt,100,50,50,signo_zodiacal_virgo,28,0.5,0.54,0.5381818181818182,0.54,0.5374603174603174,0.545,0.5274545454545455,5.4,4.6,5.4,4.6
