modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,10,5,5,signo_zodiacal_geminis,1,0.5,0.3,0.3,0.6,0.4,0.3,0.5,0.6,1.0,0.0,0.4
dt,10,5,5,signo_zodiacal_geminis,2,0.5,0.4,0.3,0.4,0.3333333333333333,0.4,0.6,0.4,0.6,0.4,0.6
dt,10,5,5,signo_zodiacal_geminis,3,0.5,0.4,0.3,0.6,0.4,0.4,0.5,0.6,0.8,0.2,0.4
dt,10,5,5,signo_zodiacal_geminis,4,0.5,0.4,0.3,0.4,0.3333333333333333,0.4,0.6,0.4,0.6,0.4,0.6
dt,10,5,5,signo_zodiacal_geminis,5,0.5,0.5,0.4,0.8,0.5333333333333333,0.5,0.5,0.8,0.8,0.2,0.2
dt,10,5,5,signo_zodiacal_geminis,6,0.5,0.4,0.2,0.4,0.26666666666666666,0.4,0.5,0.4,0.6,0.4,0.6
dt,10,5,5,signo_zodiacal_geminis,7,0.5,0.4,0.4,0.6,0.4666666666666666,0.4,0.6,0.6,0.8,0.2,0.4
dt,10,5,5,signo_zodiacal_geminis,8,0.5,0.2,0.0,0.0,0.0,0.2,0.5,0.0,0.6,0.4,1.0
dt,10,5,5,signo_zodiacal_geminis,9,0.5,0.6,0.3,0.4,0.3333333333333333,0.6,0.6,0.4,0.2,0.8,0.6
dt,10,5,5,signo_zodiacal_geminis,10,0.5,0.7,0.7,1.0,0.7999999999999999,0.7,0.7,1.0,0.6,0.4,0.0
dt,10,5,5,signo_zodiacal_geminis,11,0.5,0.7,0.6,0.8,0.6666666666666666,0.7,0.7,0.8,0.4,0.6,0.2
dt,10,5,5,signo_zodiacal_geminis,12,0.5,0.7,0.5,0.6,0.5333333333333333,0.7,0.7,0.6,0.2,0.8,0.4
dt,10,5,5,signo_zodiacal_geminis,13,0.5,0.6,0.6,0.8,0.6666666666666666,0.6,0.7,0.8,0.6,0.4,0.2
dt,10,5,5,signo_zodiacal_geminis,14,0.5,0.4,0.4,0.8,0.5333333333333333,0.4,0.5,0.8,1.0,0.0,0.2
dt,10,5,5,signo_zodiacal_geminis,15,0.5,0.4,0.3,0.4,0.3333333333333333,0.4,0.6,0.4,0.6,0.4,0.6
dt,10,5,5,signo_zodiacal_geminis,16,0.5,0.3,0.1,0.2,0.13333333333333333,0.3,0.5,0.2,0.6,0.4,0.8
dt,10,5,5,signo_zodiacal_geminis,17,0.5,0.2,0.0,0.0,0.0,0.2,0.5,0.0,0.6,0.4,1.0
dt,10,5,5,signo_zodiacal_geminis,18,0.5,0.3,0.3,0.6,0.4,0.3,0.5,0.6,1.0,0.0,0.4
dt,10,5,5,signo_zodiacal_geminis,19,0.5,0.6,0.4,0.6,0.4666666666666666,0.6,0.6,0.6,0.4,0.6,0.4
dt,10,5,5,signo_zodiacal_geminis,20,0.5,0.3,0.1,0.2,0.13333333333333333,0.3,0.5,0.2,0.6,0.4,0.8
dt,10,5,5,signo_zodiacal_geminis,21,0.5,0.3,0.1,0.2,0.13333333333333333,0.3,0.5,0.2,0.6,0.4,0.8
dt,10,5,5,signo_zodiacal_geminis,22,0.5,0.2,0.2,0.4,0.26666666666666666,0.2,0.5,0.4,1.0,0.0,0.6
dt,10,5,5,signo_zodiacal_geminis,23,0.5,0.6,0.4,0.6,0.4666666666666666,0.6,0.6,0.6,0.4,0.6,0.4
dt,10,5,5,signo_zodiacal_geminis,24,0.5,0.4,0.2,0.4,0.26666666666666666,0.4,0.5,0.4,0.6,0.4,0.6
dt,10,5,5,signo_zodiacal_geminis,25,0.5,0.4,0.1,0.2,0.13333333333333333,0.4,0.5,0.2,0.4,0.6,0.8
dt,10,5,5,signo_zodiacal_geminis,26,0.5,0.6,0.4,0.4,0.4,0.6,0.7,0.4,0.2,0.8,0.6
dt,10,5,5,signo_zodiacal_geminis,27,0.5,0.3,0.3,0.4,0.3333333333333333,0.3,0.6,0.4,0.8,0.2,0.6
dt,10,5,5,signo_zodiacal_geminis,28,0.5,0.5,0.1,0.2,0.13333333333333333,0.5,0.5,0.2,0.2,0.8,0.8
dt,10,5,5,signo_zodiacal_geminis,29,0.5,0.4,0.4,0.8,0.5333333333333333,0.4,0.5,0.8,1.0,0.0,0.2
