modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,200,100,100,signo_zodiacal_cancer,1,0.5,0.475,0.46837301587301583,0.45,0.4581357866210241,0.4744999999999999,0.49384505772005766,9.0,10.0,10.0,11.0
dt,200,100,100,signo_zodiacal_cancer,2,0.5,0.5700000000000001,0.5604700854700855,0.64,0.5954005567277878,0.5700000000000001,0.5413568376068376,12.8,10.0,10.0,7.2
dt,200,100,100,signo_zodiacal_cancer,3,0.5,0.4800000000000001,0.48669913419913424,0.42000000000000004,0.44730067636810816,0.4800000000000001,0.49368127705627707,8.4,9.2,10.8,11.6
dt,200,100,100,signo_zodiacal_cancer,4,0.5,0.53,0.5347630147630148,0.5700000000000001,0.5452702987811805,0.5282500000000001,0.5195361305361306,11.4,10.2,9.8,8.6
dt,200,100,100,signo_zodiacal_cancer,5,0.5,0.5050000000000001,0.5026942355889725,0.5,0.49804289445609395,0.503,0.5052706494497112,10.0,9.8,10.2,10.0
dt,200,100,100,signo_zodiacal_cancer,6,0.5,0.4699999999999999,0.4623391812865497,0.4600000000000001,0.45624257041950206,0.4699999999999999,0.49047368421052634,9.2,10.4,9.6,10.8
dt,200,100,100,signo_zodiacal_cancer,7,0.5,0.525,0.5300501253132832,0.48999999999999994,0.5068068277967848,0.526,0.5150964912280701,9.8,8.8,11.2,10.2
dt,200,100,100,signo_zodiacal_cancer,8,0.5,0.495,0.4940360122968818,0.55,0.5160799673602611,0.50525,0.5153437063764769,11.0,11.2,8.8,9.0
dt,200,100,100,signo_zodiacal_cancer,9,0.5,0.485,0.4878181818181819,0.5,0.49185463659147866,0.485,0.4960292929292929,10.0,10.6,9.4,10.0
dt,200,100,100,signo_zodiacal_cancer,10,0.5,0.5800000000000001,0.5875713658322355,0.58,0.5800198169843213,0.57825,0.5501339481774263,11.6,8.4,11.6,8.4
dt,200,100,100,signo_zodiacal_cancer,11,0.5,0.5,0.5102020202020202,0.51,0.5049096144616861,0.50125,0.5061529581529581,10.2,10.2,9.8,9.8
dt,200,100,100,signo_zodiacal_cancer,12,0.5,0.475,0.4781277056277056,0.45,0.4608362369337978,0.4835,0.4912302966641202,9.0,10.0,10.0,11.0
dt,200,100,100,signo_zodiacal_cancer,13,0.5,0.5650000000000001,0.5632748538011696,0.56,0.5592442645074225,0.5650000000000001,0.5406432748538011,11.2,8.6,11.4,8.8
dt,200,100,100,signo_zodiacal_cancer,14,0.5,0.57,0.5875845287609993,0.5599999999999999,0.5656913653751807,0.571,0.5494103499985853,11.2,8.4,11.6,8.8
dt,200,100,100,signo_zodiacal_cancer,15,0.5,0.49000000000000005,0.4860275689223058,0.4600000000000001,0.4706989487477292,0.49049999999999994,0.5023510983340704,9.2,9.6,10.4,10.8
dt,200,100,100,signo_zodiacal_cancer,16,0.5,0.48,0.4790418894830659,0.45,0.46025272025272024,0.47750000000000004,0.49439327094474156,9.0,9.8,10.2,11.0
dt,200,100,100,signo_zodiacal_cancer,17,0.5,0.45,0.44379084967320265,0.41,0.42113237857918706,0.45,0.4814705882352942,8.2,10.2,9.8,11.8
dt,200,100,100,signo_zodiacal_cancer,18,0.5,0.525,0.534423116615067,0.4800000000000001,0.5006817806817807,0.525,0.5223884416924665,9.6,8.6,11.4,10.4
dt,200,100,100,signo_zodiacal_cancer,19,0.5,0.45499999999999996,0.46287195563057626,0.5399999999999999,0.4957083703046436,0.45499999999999996,0.4796150229081263,10.8,12.6,7.4,9.2
dt,200,100,100,signo_zodiacal_cancer,20,0.5,0.5900000000000001,0.5890593512767426,0.61,0.5924797837980933,0.5900000000000001,0.5547076259489303,12.2,8.6,11.4,7.8
dt,200,100,100,signo_zodiacal_cancer,21,0.5,0.45499999999999996,0.45464396284829717,0.45999999999999996,0.4546581698755611,0.45024999999999993,0.4890568332596197,9.2,11.0,9.0,10.8
dt,200,100,100,signo_zodiacal_cancer,22,0.5,0.5549999999999999,0.554390289449113,0.58,0.5636952952485687,0.5549999999999999,0.5318407096171802,11.6,9.4,10.6,8.4
dt,200,100,100,signo_zodiacal_cancer,23,0.5,0.48500000000000004,0.48600887594480274,0.55,0.5148276013392292,0.48724999999999996,0.5006229629257088,11.0,11.6,8.4,9.0
dt,200,100,100,signo_zodiacal_cancer,24,0.5,0.5,0.4942832167832168,0.53,0.5085645272601795,0.5,0.5037823426573427,10.6,10.6,9.4,9.4
dt,200,100,100,signo_zodiacal_cancer,25,0.5,0.485,0.4794267567184514,0.52,0.4960581607737689,0.485,0.4974979506168092,10.4,11.0,9.0,9.6
dt,200,100,100,signo_zodiacal_cancer,26,0.5,0.49499999999999994,0.49164242620124965,0.45,0.4648755185340551,0.48475,0.49995246175393226,9.0,9.2,10.8,11.0
dt,200,100,100,signo_zodiacal_cancer,27,0.5,0.49000000000000005,0.4895541549953314,0.47000000000000003,0.4766837090328746,0.48900000000000005,0.4983016241584354,9.4,9.8,10.2,10.6
dt,200,100,100,signo_zodiacal_cancer,28,0.5,0.53,0.5360275689223057,0.53,0.5310164090651895,0.52425,0.5166541353383458,10.6,9.4,10.6,9.4
dt,200,100,100,signo_zodiacal_cancer,29,0.5,0.55,0.565618073316283,0.54,0.5484735566130915,0.5500000000000002,0.5352075873827792,10.8,8.8,11.2,9.2
dt,200,100,100,signo_zodiacal_cancer,30,0.5,0.54,0.5463708290333678,0.48,0.5106418159049738,0.5399999999999999,0.5249191606467148,9.6,8.0,12.0,10.4
dt,200,100,100,signo_zodiacal_cancer,31,0.5,0.445,0.44566416040100243,0.43999999999999995,0.4426641651031894,0.44499999999999995,0.47879197994987466,8.8,11.0,9.0,11.2
dt,200,100,100,signo_zodiacal_cancer,32,0.5,0.58,0.5724969195564161,0.6,0.5816623024206442,0.58,0.5574215807076219,12.0,8.8,11.2,8.0
dt,200,100,100,signo_zodiacal_cancer,33,0.5,0.465,0.4656521739130435,0.53,0.4944599687471275,0.465,0.48510869565217385,10.6,12.0,8.0,9.4
dt,200,100,100,signo_zodiacal_cancer,34,0.5,0.40499999999999997,0.3855994152046784,0.38,0.38066903856377543,0.40499999999999997,0.4770869883040936,7.6,11.4,8.6,12.4
dt,200,100,100,signo_zodiacal_cancer,35,0.5,0.5,0.49900793650793646,0.4699999999999999,0.4790496740961137,0.5,0.5023115079365079,9.4,9.4,10.6,10.6
