modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,200,100,100,signo_zodiacal_capricornio,1,0.5,0.465,0.43087301587301585,0.45,0.43494067763644145,0.469,0.4950271672771673,9.0,10.4,9.6,11.0
dt,200,100,100,signo_zodiacal_capricornio,2,0.5,0.495,0.49807282913165263,0.53,0.5111036535426778,0.496,0.5036323402088108,10.6,10.8,9.2,9.4
dt,200,100,100,signo_zodiacal_capricornio,3,0.5,0.5399999999999999,0.5418823529411765,0.54,0.5387008060692271,0.5399999999999999,0.5242470588235294,10.8,9.2,10.8,9.2
dt,200,100,100,signo_zodiacal_capricornio,4,0.5,0.5199999999999999,0.5205597326649958,0.51,0.514875415555775,0.5307499999999999,0.5194664692033113,10.2,9.4,10.6,9.8
dt,200,100,100,signo_zodiacal_capricornio,5,0.5,0.475,0.4728389154704944,0.5,0.4840035707999094,0.475,0.49358612440191385,10.0,11.0,9.0,10.0
dt,200,100,100,signo_zodiacal_capricornio,6,0.5,0.4999999999999999,0.49664714370596713,0.49000000000000005,0.49211971920572684,0.4999999999999999,0.5075316187080894,9.8,9.8,10.2,10.2
dt,200,100,100,signo_zodiacal_capricornio,7,0.5,0.445,0.42616161616161613,0.42000000000000004,0.4182015890165296,0.445,0.4833282828282828,8.4,10.6,9.4,11.6
dt,200,100,100,signo_zodiacal_capricornio,8,0.5,0.52,0.5149994613229907,0.51,0.5081643735603663,0.5225000000000001,0.5140605840238193,10.2,9.4,10.6,9.8
dt,200,100,100,signo_zodiacal_capricornio,9,0.5,0.445,0.4477220719783649,0.49000000000000005,0.46613999414808316,0.445,0.47871749531932595,9.8,12.0,8.0,10.2
dt,200,100,100,signo_zodiacal_capricornio,10,0.5,0.585,0.5746969696969696,0.57,0.5708460174827312,0.58825,0.5642727272727273,11.4,8.0,12.0,8.6
dt,200,100,100,signo_zodiacal_capricornio,11,0.5,0.51,0.5055831608005521,0.51,0.5066683583604502,0.51,0.508819530710835,10.2,9.8,10.2,9.8
dt,200,100,100,signo_zodiacal_capricornio,12,0.5,0.46499999999999997,0.4508297258297258,0.43,0.4384416325366261,0.45899999999999996,0.49337265512265516,8.6,10.0,10.0,11.4
dt,200,100,100,signo_zodiacal_capricornio,13,0.5,0.52,0.5255221386800334,0.45999999999999996,0.4863150488792337,0.52,0.5153529657477025,9.2,8.4,11.6,10.8
dt,200,100,100,signo_zodiacal_capricornio,14,0.5,0.505,0.5058863584080975,0.6,0.5479181869503009,0.50475,0.503781412468369,12.0,11.8,8.2,8.0
