modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,500,250,250,signo_zodiacal_escorpio,1,0.5,0.466,0.46260713081997207,0.42800000000000005,0.4439396796586797,0.46948,0.48657571856969095,21.4,24.8,25.2,28.6
dt,500,250,250,signo_zodiacal_escorpio,2,0.5,0.508,0.5091762740538937,0.48,0.49224543664667697,0.51148,0.5054848070273772,24.0,23.2,26.8,26.0
dt,500,250,250,signo_zodiacal_escorpio,3,0.5,0.508,0.5062522684185448,0.556,0.5285650771365058,0.5067999999999999,0.5053619747153706,27.8,27.0,23.0,22.2
dt,500,250,250,signo_zodiacal_escorpio,4,0.5,0.5259999999999999,0.5320835395018968,0.48,0.5020722111463602,0.52748,0.5172279009598629,24.0,21.4,28.6,26.0
dt,500,250,250,signo_zodiacal_escorpio,5,0.5,0.504,0.5013232544848323,0.484,0.4914698216852088,0.5022800000000001,0.5023149956008384,24.2,23.8,26.2,25.8
dt,500,250,250,signo_zodiacal_escorpio,6,0.5,0.518,0.5180021322949984,0.528,0.5218784819617512,0.51628,0.5099426128126313,26.4,24.6,25.4,23.6
dt,500,250,250,signo_zodiacal_escorpio,7,0.5,0.5,0.5007161212130156,0.472,0.484021759173889,0.50508,0.5024487789874765,23.6,23.6,26.4,26.4
dt,500,250,250,signo_zodiacal_escorpio,8,0.5,0.5199999999999999,0.5175174260767481,0.592,0.5520977873894614,0.5127600000000001,0.5051241171677494,29.6,27.6,22.4,20.4
dt,500,250,250,signo_zodiacal_escorpio,9,0.5,0.472,0.4709646080473656,0.492,0.47985207629945814,0.47456000000000004,0.49013654121681915,24.6,27.4,22.6,25.4
dt,500,250,250,signo_zodiacal_escorpio,10,0.5,0.52,0.5223085212761333,0.488,0.5027050941187922,0.52156,0.5105340992346076,24.4,22.4,27.6,25.6
dt,500,250,250,signo_zodiacal_escorpio,11,0.5,0.49800000000000005,0.500222056941596,0.496,0.4971821824968215,0.49776,0.49889599627910586,24.8,25.0,25.0,25.2
dt,500,250,250,signo_zodiacal_escorpio,12,0.5,0.48999999999999994,0.4913176446195314,0.528,0.5088520845231297,0.49452000000000007,0.49784326299918974,26.4,27.4,22.6,23.6
dt,500,250,250,signo_zodiacal_escorpio,13,0.5,0.484,0.47951323033589677,0.488,0.4822783488577881,0.47935999999999995,0.49350555551583497,24.4,26.0,24.0,25.6
dt,500,250,250,signo_zodiacal_escorpio,14,0.5,0.492,0.49257438199866244,0.5,0.4955592794739501,0.49063999999999997,0.4969362106420271,25.0,25.8,24.2,25.0
dt,500,250,250,signo_zodiacal_escorpio,15,0.5,0.4619999999999999,0.4595844257888535,0.45600000000000007,0.45580768850587206,0.4678000000000001,0.48510177671421373,22.8,26.6,23.4,27.2
dt,500,250,250,signo_zodiacal_escorpio,16,0.5,0.492,0.4859584859584859,0.48,0.4788866776756856,0.492,0.5009045177045177,24.0,24.8,25.2,26.0
dt,500,250,250,signo_zodiacal_escorpio,17,0.5,0.49800000000000005,0.4995679412604879,0.496,0.4973702418030149,0.50092,0.498941427470433,24.8,25.0,25.0,25.2
dt,500,250,250,signo_zodiacal_escorpio,18,0.5,0.5280000000000001,0.5316021098196824,0.496,0.5127789536624361,0.5259199999999999,0.5164956411680495,24.8,22.0,28.0,25.2
