modelo,n_sample,n_pos,n_neg,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
dt,500,250,250,signo_zodiacal_libra,1,0.5,0.47400000000000003,0.4759103641456582,0.48,0.4768810631002781,0.4676,0.491094591682827,24.0,26.6,23.4,26.0
dt,500,250,250,signo_zodiacal_libra,2,0.5,0.51,0.5130851983011451,0.488,0.49812621526544165,0.5066,0.506666552200107,24.4,23.4,26.6,25.6
dt,500,250,250,signo_zodiacal_libra,3,0.5,0.506,0.5025051759834369,0.472,0.48508942998483606,0.51132,0.5060005237225182,23.6,23.0,27.0,26.4
dt,500,250,250,signo_zodiacal_libra,4,0.5,0.548,0.5512691899530372,0.488,0.5160186101812732,0.54348,0.5294452348337827,24.4,19.6,30.4,25.6
dt,500,250,250,signo_zodiacal_libra,5,0.5,0.522,0.5231779677388197,0.52,0.5201618284277407,0.5307999999999999,0.5177358552625261,26.0,23.8,26.2,24.0
dt,500,250,250,signo_zodiacal_libra,6,0.5,0.514,0.5132536163023967,0.476,0.49333233466972076,0.51296,0.5112095449977145,23.8,22.4,27.6,26.2
dt,500,250,250,signo_zodiacal_libra,7,0.5,0.516,0.5138381096028155,0.508,0.5094490907019422,0.5142000000000001,0.5116035960118313,25.4,23.8,26.2,24.6
dt,500,250,250,signo_zodiacal_libra,8,0.5,0.492,0.4902200691487075,0.528,0.5076165592866404,0.49528,0.5012021828900721,26.4,27.2,22.8,23.6
dt,500,250,250,signo_zodiacal_libra,9,0.5,0.512,0.5112965792377556,0.516,0.512271081573707,0.5148400000000001,0.5088376907634089,25.8,24.6,25.4,24.2
dt,500,250,250,signo_zodiacal_libra,10,0.5,0.48200000000000004,0.4825086451113728,0.496,0.48796272826210424,0.48180000000000006,0.4921980701832357,24.8,26.6,23.4,25.2
dt,500,250,250,signo_zodiacal_libra,11,0.5,0.462,0.4637510559779467,0.48,0.47140155960443647,0.46052,0.4828637801873382,24.0,27.8,22.2,26.0
dt,500,250,250,signo_zodiacal_libra,12,0.5,0.508,0.5067740516046886,0.48,0.4922433920675492,0.50876,0.5076642250427723,24.0,23.2,26.8,26.0
dt,500,250,250,signo_zodiacal_libra,13,0.5,0.496,0.49582871610182544,0.488,0.49165049007901995,0.49151999999999996,0.49801836926811055,24.4,24.8,25.2,25.6
dt,500,250,250,signo_zodiacal_libra,14,0.5,0.49800000000000005,0.49944836493499417,0.492,0.49393077843538674,0.49376,0.49919120496082525,24.6,24.8,25.2,25.4
dt,500,250,250,signo_zodiacal_libra,15,0.5,0.48,0.48160357682701277,0.524,0.501778224764182,0.48632,0.4922326566041823,26.2,28.2,21.8,23.8
dt,500,250,250,signo_zodiacal_libra,16,0.5,0.472,0.4694453956038097,0.45600000000000007,0.4613239047633021,0.4710000000000001,0.4904386877425443,22.8,25.6,24.4,27.2
dt,500,250,250,signo_zodiacal_libra,17,0.5,0.556,0.5553243995879671,0.552,0.5527348714734658,0.5522800000000001,0.5318943323583276,27.6,22.0,28.0,22.4
dt,500,250,250,signo_zodiacal_libra,18,0.5,0.504,0.5031609458428681,0.516,0.5083224299065421,0.5027200000000001,0.5023578771731213,25.8,25.4,24.6,24.2
dt,500,250,250,signo_zodiacal_libra,19,0.5,0.51,0.5101900638215945,0.52,0.5145481246062185,0.51088,0.5054685077917156,26.0,25.0,25.0,24.0
dt,500,250,250,signo_zodiacal_libra,20,0.5,0.48599999999999993,0.48393706177966356,0.496,0.4889406215103578,0.48179999999999995,0.4931070935111217,24.8,26.2,23.8,25.2
dt,500,250,250,signo_zodiacal_libra,21,0.5,0.49399999999999994,0.49372581671539423,0.44399999999999995,0.46660213641542925,0.4896,0.4979995922601443,22.2,22.8,27.2,27.8
dt,500,250,250,signo_zodiacal_libra,22,0.5,0.49000000000000005,0.47951409830479597,0.45599999999999996,0.4621639883517239,0.48840000000000006,0.4995251470425144,22.8,23.8,26.2,27.2
dt,500,250,250,signo_zodiacal_libra,23,0.5,0.45999999999999996,0.4611540894273342,0.44399999999999995,0.4488593201214182,0.45983999999999997,0.4815631164815226,22.2,26.2,23.8,27.8
dt,500,250,250,signo_zodiacal_libra,24,0.5,0.492,0.4925526877718678,0.45999999999999996,0.47411295353869204,0.48908000000000007,0.49483734978256866,23.0,23.8,26.2,27.0
dt,500,250,250,signo_zodiacal_libra,25,0.5,0.508,0.5090249433106575,0.476,0.49146356385977175,0.50892,0.5043625507438747,23.8,23.0,27.0,26.2
dt,500,250,250,signo_zodiacal_libra,26,0.5,0.49399999999999994,0.4931952649462,0.5,0.4955691176453125,0.49176000000000003,0.4980879872512486,25.0,25.6,24.4,25.0
dt,500,250,250,signo_zodiacal_libra,27,0.5,0.418,0.4116166302280524,0.384,0.39592273431896785,0.41812000000000005,0.46683468339243384,19.2,27.4,22.6,30.8
dt,500,250,250,signo_zodiacal_libra,28,0.5,0.542,0.5419432302471817,0.54,0.5406893518852282,0.53752,0.5251126319683032,27.0,22.8,27.2,23.0
dt,500,250,250,signo_zodiacal_libra,29,0.5,0.516,0.5148547237076648,0.52,0.5170655351249411,0.5101199999999999,0.5036348274036084,26.0,24.4,25.6,24.0
