,,pos_rate_bootstrap,pos_rate_bootstrap,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_precision,cv_precision,cv_recall,cv_recall,cv_recall,cv_recall,cv_f1,cv_f1,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean,cv_fn_mean,cv_fn_mean
,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
n_sample,signo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,signo_zodiacal_acuario,0.5,0.0,0.5,0.5,0.49200000000000005,0.17214041719573944,0.2,0.9,0.341,0.19545078690302095,0.0,0.9,0.49200000000000005,0.2299231316432657,0.0,1.0,0.3913333333333333,0.201822226226146,0.0,0.9333333333333332,0.49200000000000005,0.17214041719573944,0.2,0.9,0.595,0.10576799462440749,0.5,0.9,0.49200000000000005,0.2299231316432657,0.0,1.0,0.508,0.24522922692324772,0.0,1.0,0.49200000000000005,0.24522922692324772,0.0,1.0,0.508,0.22992313164326567,0.0,1.0
10,signo_zodiacal_aries,0.5,0.0,0.5,0.5,0.49,0.1553750756762942,0.1,0.8,0.337,0.18071407183054608,0.0,0.8,0.5,0.24037008503093263,0.0,1.0,0.3913333333333333,0.19641112199668198,0.0,0.8666666666666666,0.49,0.1553750756762942,0.1,0.8,0.587,0.08605260312768293,0.5,0.8,0.5,0.24037008503093263,0.0,1.0,0.52,0.22202011010926306,0.0,1.0,0.48,0.22202011010926312,0.0,1.0,0.5,0.24037008503093263,0.0,1.0
10,signo_zodiacal_cancer,0.5,0.0,0.5,0.5,0.498,0.17977539297465575,0.1,1.0,0.335,0.21852351189866334,0.0,1.0,0.48800000000000004,0.25157283018817617,0.0,1.0,0.38599999999999995,0.22529093299406838,0.0,1.0,0.498,0.17977539297465575,0.1,1.0,0.591,0.11379140937911286,0.5,1.0,0.48800000000000004,0.25157283018817617,0.0,1.0,0.49200000000000005,0.2385477950119231,0.0,1.0,0.508,0.23854779501192308,0.0,1.0,0.512,0.2515728301881761,0.0,1.0
10,signo_zodiacal_capricornio,0.5,0.0,0.5,0.5,0.491,0.15897080603594227,0.1,0.9,0.344,0.1827511417145726,0.0,0.8,0.5,0.21927336381970355,0.0,1.0,0.396,0.18970589796224321,0.0,0.8666666666666666,0.491,0.15897080603594227,0.1,0.9,0.594,0.09931075602685878,0.5,0.9,0.5,0.21927336381970355,0.0,1.0,0.518,0.24136815419310365,0.0,1.0,0.48200000000000004,0.24136815419310367,0.0,1.0,0.5,0.21927336381970355,0.0,1.0
10,signo_zodiacal_escorpio,0.5,0.0,0.5,0.5,0.505,0.1811160685942313,0.1,0.9,0.358,0.2301426874042636,0.0,0.9,0.494,0.26735517178238366,0.0,1.0,0.40333333333333327,0.2382832350633033,0.0,0.9333333333333333,0.505,0.1811160685942313,0.1,0.9,0.611,0.1179753441113092,0.5,0.9,0.494,0.26735517178238366,0.0,1.0,0.484,0.23125481157975475,0.0,1.0,0.516,0.23125481157975475,0.0,1.0,0.506,0.2673551717823836,0.0,1.0
10,signo_zodiacal_geminis,0.5,0.0,0.5,0.5,0.48200000000000004,0.16537682712367824,0.2,1.0,0.35200000000000004,0.19770399259212923,0.0,1.0,0.516,0.2415103987973866,0.0,1.0,0.4066666666666666,0.20770781515357045,0.0,1.0,0.48200000000000004,0.16537682712367824,0.2,1.0,0.594,0.10132456102380447,0.5,1.0,0.516,0.2415103987973866,0.0,1.0,0.552,0.2430779066202206,0.0,1.0,0.44800000000000006,0.2430779066202206,0.0,1.0,0.484,0.24151039879738656,0.0,1.0
10,signo_zodiacal_leo,0.5,0.0,0.5,0.5,0.508,0.18623326309450813,0.1,0.9,0.35600000000000004,0.2124032756695421,0.0,0.9,0.522,0.2410331298742347,0.0,1.0,0.41133333333333333,0.2171243547132658,0.0,0.9333333333333332,0.508,0.18623326309450813,0.1,0.9,0.595,0.11492202011394814,0.5,0.9,0.522,0.2410331298742347,0.0,1.0,0.506,0.23690768777152954,0.0,1.0,0.494,0.2369076877715296,0.0,1.0,0.47800000000000004,0.24103312987423467,0.0,1.0
10,signo_zodiacal_libra,0.5,0.0,0.5,0.5,0.466,0.19186485142443682,0.0,1.0,0.324,0.21932863585280088,0.0,1.0,0.47800000000000004,0.23250067883033299,0.0,1.0,0.3753333333333333,0.21910029272368614,0.0,1.0,0.466,0.19186485142443682,0.0,1.0,0.585,0.12339883600452932,0.5,1.0,0.47800000000000004,0.23250067883033299,0.0,1.0,0.546,0.24758224834783635,0.0,1.0,0.45399999999999996,0.24758224834783632,0.0,1.0,0.522,0.23250067883033299,0.0,1.0
