modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_acuario,1,0.5,0.49000000000000005,0.39583333333333337,0.62,0.47937062937062935,0.485,0.5243364293085655,6.2,6.4,3.6,3.8
knn,signo_zodiacal_acuario,2,0.5,0.53,0.4182662538699691,0.76,0.5389527458492976,0.544,0.553742846420865,7.6,7.0,3.0,2.4
knn,signo_zodiacal_acuario,3,0.5,0.45,0.28947368421052627,0.5599999999999999,0.3816091954022989,0.40700000000000003,0.512232057416268,5.6,6.6,3.4,4.4
knn,signo_zodiacal_acuario,4,0.5,0.43000000000000005,0.41609706083390297,0.6,0.4720853858784893,0.43,0.4800094848392062,6.0,7.4,2.6,4.0
knn,signo_zodiacal_acuario,5,0.5,0.45999999999999996,0.47511609907120744,0.86,0.6112318077835319,0.41600000000000004,0.4978617164569177,8.6,9.4,0.6,1.4
knn,signo_zodiacal_acuario,6,0.5,0.51,0.5058823529411764,0.9400000000000001,0.6564102564102564,0.4619999999999999,0.5081530475028927,9.4,9.2,0.8,0.6
knn,signo_zodiacal_acuario,7,0.5,0.51,0.42970760233918126,0.45999999999999996,0.42319419237749545,0.555,0.5757464248857438,4.6,4.4,5.6,5.4
knn,signo_zodiacal_acuario,8,0.5,0.49000000000000005,0.4947368421052632,0.9800000000000001,0.657471264367816,0.6330000000000001,0.6098285017356224,9.8,10.0,0.0,0.2
knn,signo_zodiacal_acuario,9,0.5,0.54,0.36,0.1,0.143030303030303,0.471,0.5414761536193424,1.0,0.2,9.8,9.0
knn,signo_zodiacal_acuario,10,0.5,0.5,0.0,0.0,0.0,0.5349999999999999,0.5577447975141474,0.0,0.0,10.0,10.0
knn,signo_zodiacal_acuario,11,0.5,0.45999999999999996,0.3466666666666667,0.14,0.16242424242424244,0.42799999999999994,0.5208807803823283,1.4,2.2,7.8,8.6
knn,signo_zodiacal_acuario,12,0.5,0.52,0.5135746606334841,0.8,0.6205736292692814,0.5820000000000001,0.6056062289963219,8.0,7.6,2.4,2.0
knn,signo_zodiacal_acuario,13,0.5,0.54,0.5633333333333332,0.4,0.4593650793650793,0.5389999999999999,0.5528387756034815,4.0,3.2,6.8,6.0
knn,signo_zodiacal_acuario,14,0.5,0.4800000000000001,0.44447884416924666,0.76,0.5526746242263483,0.43900000000000006,0.4975892167687833,7.6,8.0,2.0,2.4
knn,signo_zodiacal_acuario,15,0.5,0.4699999999999999,0.3392156862745098,0.6,0.425,0.522,0.5388129713423832,6.0,6.6,3.4,4.0
knn,signo_zodiacal_acuario,16,0.5,0.5599999999999999,0.5773109243697478,0.8,0.6411764705882352,0.5599999999999999,0.5778487394957983,8.0,6.8,3.2,2.0
knn,signo_zodiacal_acuario,17,0.5,0.47000000000000003,0.3555555555555555,0.16,0.18373205741626794,0.366,0.468142203170067,1.6,2.2,7.8,8.4
knn,signo_zodiacal_acuario,18,0.5,0.5,0.1,0.02,0.03333333333333333,0.46399999999999997,0.51068657219973,0.2,0.2,9.8,9.8
knn,signo_zodiacal_acuario,19,0.5,0.5,0.5,0.9199999999999999,0.6470506504989264,0.48699999999999993,0.5248818123740724,9.2,9.2,0.8,0.8
knn,signo_zodiacal_acuario,20,0.5,0.53,0.3142857142857143,0.12000000000000002,0.1607843137254902,0.584,0.5861193424738316,1.2,0.6,9.4,8.8
knn,signo_zodiacal_acuario,21,0.5,0.53,0.5308823529411765,0.8800000000000001,0.6444444444444444,0.581,0.5643116860779399,8.8,8.2,1.8,1.2
knn,signo_zodiacal_acuario,22,0.5,0.5,0.0,0.0,0.0,0.49300000000000005,0.5445707178957953,0.0,0.0,10.0,10.0
knn,signo_zodiacal_acuario,23,0.5,0.55,0.4533333333333333,0.16,0.23384615384615387,0.466,0.5529710437481336,1.6,0.6,9.4,8.4
