modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_aries,1,0.5,0.51,0.22333333333333333,0.24,0.2309090909090909,0.477,0.5113403137110568,2.4,2.2,7.8,7.6
knn,signo_zodiacal_aries,2,0.5,0.5,0.44666666666666666,0.28,0.33833333333333326,0.503,0.5487878787878788,2.8,2.8,7.2,7.2
knn,signo_zodiacal_aries,3,0.5,0.5,0.373051948051948,0.44000000000000006,0.3961430726136609,0.462,0.5271892990050885,4.4,4.4,5.6,5.6
knn,signo_zodiacal_aries,4,0.5,0.5000000000000001,0.4217857142857143,0.54,0.4495970695970696,0.53,0.5386756128288634,5.4,5.4,4.6,4.6
knn,signo_zodiacal_aries,5,0.5,0.5,0.0,0.0,0.0,0.49499999999999994,0.5108734402852051,0.0,0.0,10.0,10.0
knn,signo_zodiacal_aries,6,0.5,0.54,0.5333333333333333,0.96,0.6787878787878787,0.5130000000000001,0.5450812414279906,9.6,8.8,1.2,0.4
knn,signo_zodiacal_aries,7,0.5,0.56,0.5664835164835165,0.74,0.6275362318840579,0.518,0.5576516167870655,7.4,6.2,3.8,2.6
knn,signo_zodiacal_aries,8,0.5,0.51,0.5052631578947369,0.9800000000000001,0.6665024630541871,0.515,0.5257886996904025,9.8,9.6,0.4,0.2
knn,signo_zodiacal_aries,9,0.5,0.5,0.4222222222222222,0.5,0.4226190476190476,0.492,0.5253934468524252,5.0,5.0,5.0,5.0
knn,signo_zodiacal_aries,10,0.5,0.49000000000000005,0.4947368421052632,0.9199999999999999,0.642452949349501,0.458,0.4999909935265972,9.2,9.4,0.6,0.8
knn,signo_zodiacal_aries,11,0.5,0.5,0.11666666666666667,0.13999999999999999,0.12727272727272726,0.511,0.5296333783175889,1.4,1.4,8.6,8.6
knn,signo_zodiacal_aries,12,0.5,0.51,0.5052631578947369,0.96,0.6610079575596817,0.496,0.5590431508635842,9.6,9.4,0.6,0.4
knn,signo_zodiacal_aries,13,0.5,0.48999999999999994,0.38333333333333336,0.13999999999999999,0.16060606060606059,0.554,0.5568353576248313,1.4,1.6,8.4,8.6
knn,signo_zodiacal_aries,14,0.5,0.5399999999999999,0.5398692810457517,0.8800000000000001,0.6554163185742132,0.532,0.5350913775766717,8.8,8.0,2.0,1.2
knn,signo_zodiacal_aries,15,0.5,0.52,0.2,0.06,0.09230769230769231,0.551,0.5743397823366864,0.6,0.2,9.8,9.4
knn,signo_zodiacal_aries,16,0.5,0.5,0.0,0.0,0.0,0.40499999999999997,0.4895939112487101,0.0,0.0,10.0,10.0
knn,signo_zodiacal_aries,17,0.5,0.4699999999999999,0.463625730994152,0.36000000000000004,0.3247120937139086,0.44399999999999995,0.4979824561403509,3.6,4.2,5.8,6.4
knn,signo_zodiacal_aries,18,0.5,0.45999999999999996,0.4197222222222222,0.5,0.41969230769230775,0.493,0.5216652046783625,5.0,5.8,4.2,5.0
knn,signo_zodiacal_aries,19,0.5,0.45,0.15555555555555553,0.2,0.16428571428571428,0.442,0.5007656320287899,2.0,3.0,7.0,8.0
knn,signo_zodiacal_aries,20,0.5,0.45999999999999996,0.15,0.12000000000000002,0.13333333333333333,0.492,0.5115921496803849,1.2,2.0,8.0,8.8
knn,signo_zodiacal_aries,21,0.5,0.5199999999999999,0.5209523809523808,0.5,0.4459271708683473,0.523,0.5496025357511426,5.0,4.6,5.4,5.0
knn,signo_zodiacal_aries,22,0.5,0.48,0.36333333333333334,0.4600000000000001,0.39090909090909093,0.48699999999999993,0.5316425153793575,4.6,5.0,5.0,5.4
knn,signo_zodiacal_aries,23,0.5,0.5,0.1,0.08,0.08888888888888888,0.524,0.5632023239917977,0.8,0.8,9.2,9.2
knn,signo_zodiacal_aries,24,0.5,0.44000000000000006,0.2,0.02,0.03636363636363636,0.45899999999999996,0.5155016358770228,0.2,1.4,8.6,9.8
knn,signo_zodiacal_aries,25,0.5,0.5,0.5,1.0,0.6666666666666666,0.45199999999999996,0.5171750398724082,10.0,10.0,0.0,0.0
knn,signo_zodiacal_aries,26,0.5,0.5,0.1,0.08,0.08888888888888888,0.492,0.5363333333333333,0.8,0.8,9.2,9.2
knn,signo_zodiacal_aries,27,0.5,0.51,0.35,0.08,0.12207792207792208,0.602,0.5877181523327034,0.8,0.6,9.4,9.2
knn,signo_zodiacal_aries,28,0.5,0.38,0.35714285714285715,0.5,0.39905882352941174,0.395,0.48049450549450545,5.0,7.4,2.6,5.0
knn,signo_zodiacal_aries,29,0.5,0.49000000000000005,0.4947368421052632,0.9800000000000001,0.657471264367816,0.5389999999999999,0.5910258942983402,9.8,10.0,0.0,0.2
knn,signo_zodiacal_aries,30,0.5,0.5199999999999999,0.5220095693779904,0.86,0.6408045977011494,0.542,0.5404406292022391,8.6,8.2,1.8,1.4
knn,signo_zodiacal_aries,31,0.5,0.48,0.2,0.02,0.03636363636363636,0.5429999999999999,0.5851632297011553,0.2,0.6,9.4,9.8
knn,signo_zodiacal_aries,32,0.5,0.5,0.5,1.0,0.6666666666666666,0.5210000000000001,0.5351980913823018,10.0,10.0,0.0,0.0
knn,signo_zodiacal_aries,33,0.5,0.5,0.5024242424242424,0.86,0.6262857142857142,0.5010000000000001,0.5160510366826156,8.6,8.6,1.4,1.4
knn,signo_zodiacal_aries,34,0.5,0.5700000000000001,0.495,0.52,0.4817094017094018,0.5820000000000001,0.5898809523809524,5.2,3.8,6.2,4.8
knn,signo_zodiacal_aries,35,0.5,0.49000000000000005,0.5166666666666667,0.38,0.3593406593406593,0.41600000000000004,0.48346674893733715,3.8,4.0,6.0,6.2
knn,signo_zodiacal_aries,36,0.5,0.53,0.3230769230769231,0.5,0.38913043478260867,0.6050000000000001,0.5875353589478977,5.0,4.4,5.6,5.0
knn,signo_zodiacal_aries,37,0.5,0.47000000000000003,0.24,0.08,0.11897435897435897,0.458,0.5146813413624558,0.8,1.4,8.6,9.2
knn,signo_zodiacal_aries,38,0.5,0.51,0.5052631578947369,1.0,0.6712643678160919,0.476,0.5149914529914531,10.0,9.8,0.2,0.0
knn,signo_zodiacal_aries,39,0.5,0.52,0.3142857142857143,0.38,0.3,0.477,0.5019760940813572,3.8,3.4,6.6,6.2
knn,signo_zodiacal_aries,40,0.5,0.5,0.5,1.0,0.6666666666666666,0.507,0.5316861047449283,10.0,10.0,0.0,0.0
knn,signo_zodiacal_aries,41,0.5,0.49000000000000005,0.3662155388471178,0.4600000000000001,0.3877555958862674,0.45999999999999996,0.49216210758625617,4.6,4.8,5.2,5.4
knn,signo_zodiacal_aries,42,0.5,0.49000000000000005,0.4947368421052632,0.9800000000000001,0.657471264367816,0.476,0.49998590805479354,9.8,10.0,0.0,0.2
