modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_cancer,1,0.5,0.48,0.5623529411764705,0.22000000000000003,0.22976430976430975,0.484,0.5378300653594771,2.2,2.6,7.4,7.8
knn,signo_zodiacal_cancer,2,0.5,0.55,0.42727272727272725,0.2,0.2333333333333333,0.484,0.543474032675271,2.0,1.0,9.0,8.0
knn,signo_zodiacal_cancer,3,0.5,0.52,0.5142857142857142,0.82,0.6174603174603174,0.484,0.5122216325126542,8.2,7.8,2.2,1.8
knn,signo_zodiacal_cancer,4,0.5,0.45,0.4698383212934297,0.8200000000000001,0.5964918810436053,0.403,0.47629188166494674,8.2,9.2,0.8,1.8
knn,signo_zodiacal_cancer,5,0.5,0.44000000000000006,0.2682539682539683,0.2,0.20526315789473681,0.41600000000000004,0.4736703523514668,2.0,3.2,6.8,8.0
knn,signo_zodiacal_cancer,6,0.5,0.4600000000000001,0.4745687748783724,0.86,0.609323116219668,0.46099999999999997,0.5171570431632351,8.6,9.4,0.6,1.4
knn,signo_zodiacal_cancer,7,0.5,0.5,0.0,0.0,0.0,0.599,0.5823832658569501,0.0,0.0,10.0,10.0
knn,signo_zodiacal_cancer,8,0.5,0.49000000000000005,0.49411764705882355,0.8800000000000001,0.6320716320716321,0.497,0.5474083738758662,8.8,9.0,1.0,1.2
knn,signo_zodiacal_cancer,9,0.5,0.52,0.2,0.04,0.06666666666666667,0.544,0.5678684210526315,0.4,0.0,10.0,9.6
knn,signo_zodiacal_cancer,10,0.5,0.49000000000000005,0.5057142857142857,0.78,0.58,0.458,0.49204010025062656,7.8,8.0,2.0,2.2
knn,signo_zodiacal_cancer,11,0.5,0.49000000000000005,0.0,0.0,0.0,0.517,0.548457387813425,0.0,0.2,9.8,10.0
knn,signo_zodiacal_cancer,12,0.5,0.52,0.2,0.04,0.06666666666666667,0.6140000000000001,0.6163571258462899,0.4,0.0,10.0,9.6
knn,signo_zodiacal_cancer,13,0.5,0.5,0.0,0.0,0.0,0.5349999999999999,0.5740000000000001,0.0,0.0,10.0,10.0
knn,signo_zodiacal_cancer,14,0.5,0.49000000000000005,0.1,0.2,0.13333333333333333,0.5479999999999999,0.5666376446051368,2.0,2.2,7.8,8.0
knn,signo_zodiacal_cancer,15,0.5,0.5,0.5,1.0,0.6666666666666666,0.522,0.5288431372549021,10.0,10.0,0.0,0.0
knn,signo_zodiacal_cancer,16,0.5,0.55,0.41537176274018384,0.5,0.426836986365117,0.617,0.6100060757955494,5.0,4.0,6.0,5.0
knn,signo_zodiacal_cancer,17,0.5,0.49000000000000005,0.49230769230769234,0.8800000000000001,0.6281573498964803,0.571,0.583560495060495,8.8,9.0,1.0,1.2
knn,signo_zodiacal_cancer,18,0.5,0.51,0.2,0.02,0.03636363636363636,0.531,0.5768010060115324,0.2,0.0,10.0,9.8
knn,signo_zodiacal_cancer,19,0.5,0.51,0.3484615384615385,0.3,0.3022360248447205,0.5199999999999999,0.5380509286035602,3.0,2.8,7.2,7.0
knn,signo_zodiacal_cancer,20,0.5,0.5,0.5871031746031746,0.4600000000000001,0.4340357011409643,0.5700000000000001,0.5740717323612061,4.6,4.6,5.4,5.4
knn,signo_zodiacal_cancer,21,0.5,0.52,0.4523076923076923,0.32,0.35704623878536923,0.53,0.5493900616926933,3.2,2.8,7.2,6.8
knn,signo_zodiacal_cancer,22,0.5,0.51,0.2,0.02,0.03636363636363636,0.5650000000000001,0.594200418088963,0.2,0.0,10.0,9.8
