modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_capricornio,1,0.5,0.53,0.5163742690058479,1.0,0.6807881773399014,0.557,0.582549355615145,10.0,9.4,0.6,0.0
knn,signo_zodiacal_capricornio,2,0.5,0.4800000000000001,0.36380952380952375,0.24000000000000005,0.24172549019607842,0.496,0.5176285264443159,2.4,2.8,7.2,7.6
knn,signo_zodiacal_capricornio,3,0.5,0.51,0.510375816993464,0.8,0.6129554655870445,0.493,0.5103521794682786,8.0,7.8,2.2,2.0
knn,signo_zodiacal_capricornio,4,0.5,0.47000000000000003,0.39326294620412267,0.54,0.44607654401704744,0.434,0.5011495329575826,5.4,6.0,4.0,4.6
knn,signo_zodiacal_capricornio,5,0.5,0.49000000000000005,0.39999999999999997,0.78,0.528735632183908,0.505,0.5565697331564204,7.8,8.0,2.0,2.2
knn,signo_zodiacal_capricornio,6,0.5,0.53,0.4833333333333333,0.32,0.3453296703296703,0.514,0.5267820380513879,3.2,2.6,7.4,6.8
knn,signo_zodiacal_capricornio,7,0.5,0.5,0.0,0.0,0.0,0.5029999999999999,0.5457669932406775,0.0,0.0,10.0,10.0
knn,signo_zodiacal_capricornio,8,0.5,0.5,0.4416666666666666,0.2,0.26474358974358975,0.537,0.5543650793650794,2.0,2.0,8.0,8.0
knn,signo_zodiacal_capricornio,9,0.5,0.52,0.5018796992481203,0.66,0.5370230850961073,0.5089999999999999,0.5360118679050568,6.6,6.2,3.8,3.4
knn,signo_zodiacal_capricornio,10,0.5,0.5199999999999999,0.5083400809716598,0.8400000000000001,0.623728135932034,0.5429999999999999,0.5459257759784075,8.4,8.0,2.0,1.6
knn,signo_zodiacal_capricornio,11,0.5,0.53,0.5733333333333334,0.5199999999999999,0.47329914529914535,0.544,0.5455917366946779,5.2,4.6,5.4,4.8
knn,signo_zodiacal_capricornio,12,0.5,0.5,0.0,0.0,0.0,0.491,0.5083333333333333,0.0,0.0,10.0,10.0
knn,signo_zodiacal_capricornio,13,0.5,0.5399999999999999,0.4833333333333333,0.28,0.32534965034965035,0.532,0.5510841274308766,2.8,2.0,8.0,7.2
knn,signo_zodiacal_capricornio,14,0.5,0.5599999999999999,0.5961904761904762,0.22000000000000003,0.2955491567256273,0.525,0.5359934327798104,2.2,1.0,9.0,7.8
knn,signo_zodiacal_capricornio,15,0.5,0.51,0.3090909090909091,0.16,0.18095238095238092,0.518,0.5386656034024455,1.6,1.4,8.6,8.4
knn,signo_zodiacal_capricornio,16,0.5,0.45,0.41556776556776553,0.48,0.4337583088155171,0.505,0.5691154923507864,4.8,5.8,4.2,5.2
knn,signo_zodiacal_capricornio,17,0.5,0.5,0.4052631578947368,0.26,0.23143752798925216,0.5349999999999999,0.5525833012017223,2.6,2.6,7.4,7.4
knn,signo_zodiacal_capricornio,18,0.5,0.5,0.1,0.02,0.03333333333333333,0.526,0.5453285324067056,0.2,0.2,9.8,9.8
knn,signo_zodiacal_capricornio,19,0.5,0.53,0.42441643323996264,0.64,0.5071669071669072,0.5349999999999999,0.53185593697668,6.4,5.8,4.2,3.6
knn,signo_zodiacal_capricornio,20,0.5,0.51,0.5052631578947369,1.0,0.6712643678160919,0.395,0.48764494569757727,10.0,9.8,0.2,0.0
knn,signo_zodiacal_capricornio,21,0.5,0.5,0.5,1.0,0.6666666666666666,0.414,0.4886527370118702,10.0,10.0,0.0,0.0
knn,signo_zodiacal_capricornio,22,0.5,0.5,0.2,0.02,0.03636363636363636,0.5499999999999999,0.5709209173179761,0.2,0.2,9.8,9.8
knn,signo_zodiacal_capricornio,23,0.5,0.49000000000000005,0.40340909090909094,0.5,0.4003663003663004,0.5369999999999999,0.5521096022140913,5.0,5.2,4.8,5.0
knn,signo_zodiacal_capricornio,24,0.5,0.47000000000000003,0.04,0.02,0.026666666666666665,0.479,0.5108877132499423,0.2,0.8,9.2,9.8
knn,signo_zodiacal_capricornio,25,0.5,0.51,0.3509803921568627,0.27999999999999997,0.2654558404558404,0.534,0.5550134158926728,2.8,2.6,7.4,7.2
knn,signo_zodiacal_capricornio,26,0.5,0.5,0.0,0.0,0.0,0.55,0.5600046685340804,0.0,0.0,10.0,10.0
