modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_escorpio,1,0.5,0.48,0.4833333333333334,0.9,0.6242424242424243,0.5119999999999999,0.5287720035382575,9.0,9.4,0.6,1.0
knn,signo_zodiacal_escorpio,2,0.5,0.5,0.0,0.0,0.0,0.562,0.5545584549609318,0.0,0.0,10.0,10.0
knn,signo_zodiacal_escorpio,3,0.5,0.54,0.5258333333333333,0.8400000000000001,0.6463133903133903,0.5599999999999999,0.5549289645682836,8.4,7.6,2.4,1.6
knn,signo_zodiacal_escorpio,4,0.5,0.51,0.5190476190476191,0.45999999999999996,0.457097288676236,0.477,0.5185232816718884,4.6,4.4,5.6,5.4
knn,signo_zodiacal_escorpio,5,0.5,0.45999999999999996,0.34571428571428575,0.22000000000000003,0.24,0.394,0.4741291029232205,2.2,3.0,7.0,7.8
knn,signo_zodiacal_escorpio,6,0.5,0.49000000000000005,0.2,0.04,0.06666666666666667,0.469,0.5178222082355209,0.4,0.6,9.4,9.6
knn,signo_zodiacal_escorpio,7,0.5,0.55,0.5333333333333333,0.12000000000000002,0.1902097902097902,0.46699999999999997,0.5432950022114108,1.2,0.2,9.8,8.8
knn,signo_zodiacal_escorpio,8,0.5,0.51,0.3,0.12000000000000002,0.15555555555555553,0.5509999999999999,0.5824675716440423,1.2,1.0,9.0,8.8
knn,signo_zodiacal_escorpio,9,0.5,0.54,0.52,0.12000000000000002,0.18303030303030304,0.48900000000000005,0.5625964912280701,1.2,0.4,9.6,8.8
knn,signo_zodiacal_escorpio,10,0.5,0.5,0.0,0.0,0.0,0.506,0.5278222157959,0.0,0.0,10.0,10.0
knn,signo_zodiacal_escorpio,11,0.5,0.56,0.5395488721804511,0.9399999999999998,0.6819310344827586,0.4950000000000001,0.5256315146841463,9.4,8.2,1.8,0.6
knn,signo_zodiacal_escorpio,12,0.5,0.43000000000000005,0.09473684210526315,0.18,0.12413793103448276,0.39899999999999997,0.4800015189488874,1.8,3.2,6.8,8.2
knn,signo_zodiacal_escorpio,13,0.5,0.51,0.20666666666666664,0.18,0.16133333333333333,0.495,0.512906432748538,1.8,1.6,8.4,8.2
knn,signo_zodiacal_escorpio,14,0.5,0.49000000000000005,0.29444444444444445,0.16,0.19537304800462696,0.499,0.5170031284504969,1.6,1.8,8.2,8.4
knn,signo_zodiacal_escorpio,15,0.5,0.51,0.32999999999999996,0.16,0.21404761904761904,0.534,0.5458093395252839,1.6,1.4,8.6,8.4
knn,signo_zodiacal_escorpio,16,0.5,0.52,0.5049641148325359,0.8400000000000001,0.6259694328659846,0.576,0.5789451659451659,8.4,8.0,2.0,1.6
knn,signo_zodiacal_escorpio,17,0.5,0.5199999999999999,0.5258333333333334,0.76,0.5923663003663003,0.5639999999999998,0.5767619047619047,7.6,7.2,2.8,2.4
knn,signo_zodiacal_escorpio,18,0.5,0.57,0.5946969696969696,0.5,0.5202686202686202,0.562,0.5915828877005348,5.0,3.6,6.4,5.0
knn,signo_zodiacal_escorpio,19,0.5,0.4699999999999999,0.47904761904761906,0.86,0.612,0.4539999999999999,0.5208111946532998,8.6,9.2,0.8,1.4
knn,signo_zodiacal_escorpio,20,0.5,0.44000000000000006,0.4222222222222222,0.6599999999999999,0.49567099567099565,0.433,0.489999312005504,6.6,7.8,2.2,3.4
knn,signo_zodiacal_escorpio,21,0.5,0.48999999999999994,0.46885448916408673,0.42000000000000004,0.36265644955300125,0.53,0.5593569585729028,4.2,4.4,5.6,5.8
knn,signo_zodiacal_escorpio,22,0.5,0.47000000000000003,0.0,0.0,0.0,0.41600000000000004,0.46816079414221823,0.0,0.6,9.4,10.0
knn,signo_zodiacal_escorpio,23,0.5,0.53,0.42200956937799045,0.34,0.29383490073145246,0.5469999999999999,0.5528982628998109,3.4,2.8,7.2,6.6
knn,signo_zodiacal_escorpio,24,0.5,0.5,0.0,0.0,0.0,0.44000000000000006,0.507019299585863,0.0,0.0,10.0,10.0
knn,signo_zodiacal_escorpio,25,0.5,0.53,0.33974358974358976,0.36,0.34140316205533594,0.5,0.5268386463897301,3.6,3.0,7.0,6.4
knn,signo_zodiacal_escorpio,26,0.5,0.51,0.4397368421052632,0.38,0.372391899288451,0.5370000000000001,0.560189608636977,3.8,3.6,6.4,6.2
knn,signo_zodiacal_escorpio,27,0.5,0.51,0.4,0.04,0.07272727272727272,0.52,0.558782618310482,0.4,0.2,9.8,9.6
knn,signo_zodiacal_escorpio,28,0.5,0.51,0.5052631578947369,1.0,0.6712643678160919,0.506,0.5456035337211809,10.0,9.8,0.2,0.0
knn,signo_zodiacal_escorpio,29,0.5,0.5,0.38571428571428573,0.12000000000000002,0.16409472880061116,0.507,0.5274370768550335,1.2,1.2,8.8,8.8
knn,signo_zodiacal_escorpio,30,0.5,0.5199999999999999,0.3333333333333333,0.06000000000000001,0.0979020979020979,0.615,0.5893412698412698,0.6,0.2,9.8,9.4
knn,signo_zodiacal_escorpio,31,0.5,0.5,0.21333333333333332,0.08,0.11487179487179486,0.5279999999999999,0.5609004212162106,0.8,0.8,9.2,9.2
knn,signo_zodiacal_escorpio,32,0.5,0.5,0.0,0.0,0.0,0.358,0.4526334973935594,0.0,0.0,10.0,10.0
knn,signo_zodiacal_escorpio,33,0.5,0.5399999999999999,0.5325358851674641,0.9199999999999999,0.6665024630541871,0.511,0.5287057080346553,9.2,8.4,1.6,0.8
