modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_geminis,1,0.5,0.48,0.35760971055088697,0.5,0.3921448921448921,0.5740000000000001,0.5712811440365619,5.0,5.4,4.6,5.0
knn,signo_zodiacal_geminis,2,0.5,0.5,0.0,0.0,0.0,0.527,0.5296878593542681,0.0,0.0,10.0,10.0
knn,signo_zodiacal_geminis,3,0.5,0.51,0.4299016772700983,0.6,0.479466149278302,0.43500000000000005,0.49973748851767424,6.0,5.8,4.2,4.0
knn,signo_zodiacal_geminis,4,0.5,0.45,0.26362573099415204,0.38,0.2917569786535304,0.44300000000000006,0.5117519735166794,3.8,4.8,5.2,6.2
knn,signo_zodiacal_geminis,5,0.5,0.49000000000000005,0.13333333333333333,0.04,0.06153846153846154,0.541,0.5722697774361861,0.4,0.6,9.4,9.6
knn,signo_zodiacal_geminis,6,0.5,0.49000000000000005,0.47192982456140353,0.6199999999999999,0.505355276907001,0.457,0.49380174211753164,6.2,6.4,3.6,3.8
knn,signo_zodiacal_geminis,7,0.5,0.52,0.5559706959706959,0.38,0.42386054650693233,0.532,0.5587617346533754,3.8,3.4,6.6,6.2
knn,signo_zodiacal_geminis,8,0.5,0.49000000000000005,0.4947368421052632,0.9800000000000001,0.657471264367816,0.578,0.5716177699149834,9.8,10.0,0.0,0.2
knn,signo_zodiacal_geminis,9,0.5,0.51,0.5983911513323278,0.54,0.4825709420675096,0.5119999999999999,0.5670496582880484,5.4,5.2,4.8,4.6
knn,signo_zodiacal_geminis,10,0.5,0.49000000000000005,0.3888888888888889,0.5,0.38421052631578945,0.466,0.48799222999223,5.0,5.2,4.8,5.0
knn,signo_zodiacal_geminis,11,0.5,0.45,0.43856300562182915,0.52,0.46457556935817806,0.45199999999999996,0.512833480245245,5.2,6.2,3.8,4.8
knn,signo_zodiacal_geminis,12,0.5,0.52,0.2,0.04,0.06666666666666667,0.529,0.5471033651590927,0.4,0.0,10.0,9.6
knn,signo_zodiacal_geminis,13,0.5,0.53,0.43547008547008553,0.41999999999999993,0.4114178727451039,0.522,0.524751429856693,4.2,3.6,6.4,5.8
knn,signo_zodiacal_geminis,14,0.5,0.49000000000000005,0.4947368421052632,0.9800000000000001,0.657471264367816,0.48600000000000004,0.5356605528973949,9.8,10.0,0.0,0.2
knn,signo_zodiacal_geminis,15,0.5,0.5,0.0,0.0,0.0,0.5720000000000001,0.5697501329080277,0.0,0.0,10.0,10.0
knn,signo_zodiacal_geminis,16,0.5,0.5,0.4523809523809524,0.5,0.4415584415584416,0.45499999999999996,0.5144036226930964,5.0,5.0,5.0,5.0
knn,signo_zodiacal_geminis,17,0.5,0.53,0.35333333333333333,0.21999999999999997,0.2565384615384615,0.49499999999999994,0.5196070829755041,2.2,1.6,8.4,7.8
knn,signo_zodiacal_geminis,18,0.5,0.53,0.36604747162022705,0.45999999999999996,0.38144955300127714,0.46299999999999997,0.5089100201484102,4.6,4.0,6.0,5.4
knn,signo_zodiacal_geminis,19,0.5,0.54,0.5257309254213278,0.78,0.6225066038409366,0.5159999999999999,0.5269371061515025,7.8,7.0,3.0,2.2
knn,signo_zodiacal_geminis,20,0.5,0.52,0.4,0.04,0.07272727272727272,0.49000000000000005,0.5585555555555556,0.4,0.0,10.0,9.6
knn,signo_zodiacal_geminis,21,0.5,0.53,0.5,0.12000000000000002,0.18398268398268397,0.552,0.5803822843822845,1.2,0.6,9.4,8.8
knn,signo_zodiacal_geminis,22,0.5,0.4800000000000001,0.4731636784268363,0.6799999999999999,0.5424977350896744,0.492,0.5130436668594562,6.8,7.2,2.8,3.2
knn,signo_zodiacal_geminis,23,0.5,0.51,0.2,0.02,0.03636363636363636,0.356,0.46423438498206304,0.2,0.0,10.0,9.8
knn,signo_zodiacal_geminis,24,0.5,0.5,0.0,0.0,0.0,0.54,0.5567044203646372,0.0,0.0,10.0,10.0
knn,signo_zodiacal_geminis,25,0.5,0.5,0.2,0.02,0.03636363636363636,0.36900000000000005,0.4828232118758434,0.2,0.2,9.8,9.8
knn,signo_zodiacal_geminis,26,0.5,0.51,0.40661764705882353,0.5599999999999999,0.4236467236467236,0.49400000000000005,0.5393011204481792,5.6,5.4,4.6,4.4
knn,signo_zodiacal_geminis,27,0.5,0.52,0.41568922305764405,0.5599999999999999,0.46047126436781605,0.6180000000000001,0.5917823318752111,5.6,5.2,4.8,4.4
knn,signo_zodiacal_geminis,28,0.5,0.48,0.125,0.1,0.11111111111111112,0.485,0.5317427760577915,1.0,1.4,8.6,9.0
knn,signo_zodiacal_geminis,29,0.5,0.51,0.2,0.02,0.03636363636363636,0.392,0.4917312722537181,0.2,0.0,10.0,9.8
knn,signo_zodiacal_geminis,30,0.5,0.5199999999999999,0.512549019607843,0.86,0.6400689655172414,0.603,0.6134220846233228,8.6,8.2,1.8,1.4
knn,signo_zodiacal_geminis,31,0.5,0.51,0.5052631578947369,1.0,0.6712643678160919,0.564,0.5937800383311219,10.0,9.8,0.2,0.0
knn,signo_zodiacal_geminis,32,0.5,0.44000000000000006,0.14166666666666666,0.12,0.1298245614035088,0.376,0.4746766180156273,1.2,2.4,7.6,8.8
knn,signo_zodiacal_geminis,33,0.5,0.51,0.5052631578947369,1.0,0.6712643678160919,0.59,0.5716024720893141,10.0,9.8,0.2,0.0
knn,signo_zodiacal_geminis,34,0.5,0.51,0.5014035087719299,0.5,0.4051682340647858,0.515,0.5501010101010102,5.0,4.8,5.2,5.0
knn,signo_zodiacal_geminis,35,0.5,0.45,0.46416666666666667,0.6,0.4772680652680653,0.454,0.5099809818664307,6.0,7.0,3.0,4.0
knn,signo_zodiacal_geminis,36,0.5,0.49000000000000005,0.4844444444444445,0.72,0.5681904761904761,0.522,0.5339489030061785,7.2,7.4,2.6,2.8
knn,signo_zodiacal_geminis,37,0.5,0.43,0.23897435897435898,0.18,0.18845039018952064,0.43800000000000006,0.508267504167659,1.8,3.2,6.8,8.2
knn,signo_zodiacal_geminis,38,0.5,0.5,0.13333333333333333,0.04,0.06153846153846154,0.493,0.5509582298506447,0.4,0.4,9.6,9.6
knn,signo_zodiacal_geminis,39,0.5,0.5,0.3052631578947368,0.26,0.23023872679045096,0.508,0.5570510366826156,2.6,2.6,7.4,7.4
knn,signo_zodiacal_geminis,40,0.5,0.45,0.24444444444444446,0.16,0.17543859649122806,0.42800000000000005,0.48321047717332544,1.6,2.6,7.4,8.4
knn,signo_zodiacal_geminis,41,0.5,0.49000000000000005,0.22974358974358972,0.2,0.1965663322185061,0.466,0.5024718583789791,2.0,2.2,7.8,8.0
knn,signo_zodiacal_geminis,42,0.5,0.49000000000000005,0.06666666666666667,0.02,0.03076923076923077,0.43,0.4818921099540295,0.2,0.4,9.6,9.8
knn,signo_zodiacal_geminis,43,0.5,0.52,0.5280701754385965,0.8800000000000001,0.6458560193587417,0.5279999999999999,0.548640068308025,8.8,8.4,1.6,1.2
knn,signo_zodiacal_geminis,44,0.5,0.53,0.5198412698412699,0.68,0.5781499202551834,0.506,0.5184854784018871,6.8,6.2,3.8,3.2
knn,signo_zodiacal_geminis,45,0.5,0.4600000000000001,0.3244444444444444,0.22000000000000003,0.25252361673414303,0.36800000000000005,0.4530018796992481,2.2,3.0,7.0,7.8
knn,signo_zodiacal_geminis,46,0.5,0.49000000000000005,0.08888888888888888,0.08,0.08421052631578947,0.49300000000000005,0.5339589641524626,0.8,1.0,9.0,9.2
knn,signo_zodiacal_geminis,47,0.5,0.52,0.52,0.9199999999999999,0.6533333333333332,0.5349999999999999,0.565015873015873,9.2,8.8,1.2,0.8
