modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_leo,1,0.5,0.53,0.5176470588235295,0.9800000000000001,0.6768837803320562,0.603,0.5946302672215985,9.8,9.2,0.8,0.2
knn,signo_zodiacal_leo,2,0.5,0.4600000000000001,0.2846153846153846,0.3,0.283695652173913,0.47300000000000003,0.517003663003663,3.0,3.8,6.2,7.0
knn,signo_zodiacal_leo,3,0.5,0.49000000000000005,0.08571428571428572,0.06,0.07058823529411765,0.403,0.4762249373433584,0.6,0.8,9.2,9.4
knn,signo_zodiacal_leo,4,0.5,0.5,0.0,0.0,0.0,0.465,0.4952199002407981,0.0,0.0,10.0,10.0
knn,signo_zodiacal_leo,5,0.5,0.45,0.4447368421052632,0.74,0.5471538040503557,0.5,0.5398922305764412,7.4,8.4,1.6,2.6
knn,signo_zodiacal_leo,6,0.5,0.47000000000000003,0.19111111111111112,0.13999999999999999,0.15859649122807018,0.514,0.5400998842918348,1.4,2.0,8.0,8.6
knn,signo_zodiacal_leo,7,0.5,0.48999999999999994,0.5465359477124183,0.6,0.4587974987974988,0.55,0.5620326797385621,6.0,6.2,3.8,4.0
knn,signo_zodiacal_leo,8,0.5,0.52,0.3307142857142857,0.22000000000000003,0.2616993464052288,0.479,0.5269716202270381,2.2,1.8,8.2,7.8
knn,signo_zodiacal_leo,9,0.5,0.5,0.5,1.0,0.6666666666666666,0.585,0.5760246505300686,10.0,10.0,0.0,0.0
knn,signo_zodiacal_leo,10,0.5,0.5000000000000001,0.44000000000000006,0.08,0.1296969696969697,0.517,0.5488611111111111,0.8,0.8,9.2,9.2
knn,signo_zodiacal_leo,11,0.5,0.51,0.2,0.02,0.03636363636363636,0.5109999999999999,0.5424099821746882,0.2,0.0,10.0,9.8
knn,signo_zodiacal_leo,12,0.5,0.52,0.516161616161616,0.58,0.5386005807058438,0.48500000000000004,0.5292759528053645,5.8,5.4,4.6,4.2
knn,signo_zodiacal_leo,13,0.5,0.5200000000000001,0.48571428571428565,0.12000000000000002,0.1736185383244207,0.49400000000000005,0.5608784461152881,1.2,0.8,9.2,8.8
knn,signo_zodiacal_leo,14,0.5,0.53,0.5552631578947368,0.82,0.6142857142857143,0.542,0.5456539074960127,8.2,7.6,2.4,1.8
knn,signo_zodiacal_leo,15,0.5,0.45,0.46424242424242423,0.42000000000000004,0.3986813186813187,0.4629999999999999,0.4954666345006903,4.2,5.2,4.8,5.8
knn,signo_zodiacal_leo,16,0.5,0.44000000000000006,0.37457893413775767,0.6,0.45965918139831174,0.394,0.4795854190529113,6.0,7.2,2.8,4.0
knn,signo_zodiacal_leo,17,0.5,0.45,0.37669172932330824,0.54,0.41174055829228245,0.496,0.5498091703618019,5.4,6.4,3.6,4.6
knn,signo_zodiacal_leo,18,0.5,0.49000000000000005,0.37238095238095237,0.2,0.2563574660633484,0.6199999999999999,0.600009135858981,2.0,2.2,7.8,8.0
knn,signo_zodiacal_leo,19,0.5,0.52,0.3142857142857143,0.1,0.13048128342245988,0.5720000000000001,0.576507841573631,1.0,0.6,9.4,9.0
knn,signo_zodiacal_leo,20,0.5,0.52,0.5105263157894736,0.9400000000000001,0.6591954022988505,0.496,0.5314897254448339,9.4,9.0,1.0,0.6
knn,signo_zodiacal_leo,21,0.5,0.5,0.0,0.0,0.0,0.517,0.52015565875473,0.0,0.0,10.0,10.0
knn,signo_zodiacal_leo,22,0.5,0.49000000000000005,0.4672167598483388,0.6199999999999999,0.5191462720652058,0.5039999999999999,0.54394446051025,6.2,6.4,3.6,3.8
knn,signo_zodiacal_leo,23,0.5,0.5,0.2166666666666667,0.12,0.15357142857142855,0.43900000000000006,0.503473559120618,1.2,1.2,8.8,8.8
knn,signo_zodiacal_leo,24,0.5,0.4600000000000001,0.3428127428127428,0.32,0.3165706909414003,0.43099999999999994,0.4839823545048003,3.2,4.0,6.0,6.8
knn,signo_zodiacal_leo,25,0.5,0.45999999999999996,0.3542827657378741,0.5599999999999999,0.4057373022890264,0.526,0.5261045126184445,5.6,6.4,3.6,4.4
knn,signo_zodiacal_leo,26,0.5,0.45999999999999996,0.5010606060606061,0.44000000000000006,0.4484981684981685,0.43899999999999995,0.49981701451283495,4.4,5.2,4.8,5.6
knn,signo_zodiacal_leo,27,0.5,0.5,0.1,0.02,0.03333333333333333,0.5210000000000001,0.5440093532198796,0.2,0.2,9.8,9.8
knn,signo_zodiacal_leo,28,0.5,0.54,0.6322368421052632,0.6799999999999999,0.543407550304102,0.48600000000000004,0.5342088063295494,6.8,6.0,4.0,3.2
knn,signo_zodiacal_leo,29,0.5,0.47000000000000003,0.44561919504643965,0.64,0.5125823754789272,0.437,0.519036401163336,6.4,7.0,3.0,3.6
knn,signo_zodiacal_leo,30,0.5,0.5,0.5,1.0,0.6666666666666666,0.434,0.4897592466013519,10.0,10.0,0.0,0.0
knn,signo_zodiacal_leo,31,0.5,0.5599999999999999,0.5410471881060117,0.72,0.609903381642512,0.5589999999999999,0.5704742342281042,7.2,6.0,4.0,2.8
knn,signo_zodiacal_leo,32,0.5,0.51,0.5052631578947369,0.8,0.566502463054187,0.511,0.5414254385964912,8.0,7.8,2.2,2.0
knn,signo_zodiacal_leo,33,0.5,0.5,0.1,0.02,0.03333333333333333,0.43599999999999994,0.4875597080937638,0.2,0.2,9.8,9.8
knn,signo_zodiacal_leo,34,0.5,0.55,0.5333333333333333,0.16,0.19904306220095694,0.601,0.6067252388134741,1.6,0.6,9.4,8.4
knn,signo_zodiacal_leo,35,0.5,0.5,0.0,0.0,0.0,0.5059999999999999,0.5358916989443305,0.0,0.0,10.0,10.0
knn,signo_zodiacal_leo,36,0.5,0.48,0.075,0.06,0.06666666666666667,0.516,0.5445796850208614,0.6,1.0,9.0,9.4
knn,signo_zodiacal_leo,37,0.5,0.49000000000000005,0.48,0.16,0.20867132867132865,0.542,0.5429909622541201,1.6,1.8,8.2,8.4
knn,signo_zodiacal_leo,38,0.5,0.47000000000000003,0.3,0.04,0.0696969696969697,0.44400000000000006,0.5076803678777363,0.4,1.0,9.0,9.6
knn,signo_zodiacal_leo,39,0.5,0.49000000000000005,0.45111111111111113,0.18,0.23192982456140349,0.487,0.5334740149771109,1.8,2.0,8.0,8.2
knn,signo_zodiacal_leo,40,0.5,0.45,0.1,0.13999999999999999,0.11666666666666667,0.41200000000000003,0.5115110494940216,1.4,2.4,7.6,8.6
knn,signo_zodiacal_leo,41,0.5,0.45999999999999996,0.07142857142857142,0.1,0.08333333333333334,0.506,0.5218707175177763,1.0,1.8,8.2,9.0
knn,signo_zodiacal_leo,42,0.5,0.56,0.5361111111111111,0.9800000000000001,0.6921055955538715,0.627,0.6244507879461441,9.8,8.6,1.4,0.2
knn,signo_zodiacal_leo,43,0.5,0.44000000000000006,0.1393939393939394,0.1,0.10695970695970695,0.378,0.46732721956406165,1.0,2.2,7.8,9.0
knn,signo_zodiacal_leo,44,0.5,0.47000000000000003,0.4518796992481203,0.3,0.28256039092753094,0.483,0.5202725195341296,3.0,3.6,6.4,7.0
knn,signo_zodiacal_leo,45,0.5,0.49000000000000005,0.1,0.02,0.03333333333333333,0.476,0.49999392420445055,0.2,0.4,9.6,9.8
knn,signo_zodiacal_leo,46,0.5,0.49000000000000005,0.4947712418300654,0.9400000000000001,0.6476190476190475,0.453,0.5021120448179273,9.4,9.6,0.4,0.6
knn,signo_zodiacal_leo,47,0.5,0.47000000000000003,0.4716666666666667,0.42000000000000004,0.41244444444444445,0.413,0.49667201426024954,4.2,4.8,5.2,5.8
knn,signo_zodiacal_leo,48,0.5,0.49000000000000005,0.29477124183006537,0.5,0.3706959706959707,0.561,0.5565988500663422,5.0,5.2,4.8,5.0
knn,signo_zodiacal_leo,49,0.5,0.48,0.06666666666666667,0.02,0.03076923076923077,0.397,0.47961031074188976,0.2,0.6,9.4,9.8
knn,signo_zodiacal_leo,50,0.5,0.5,0.2,0.04,0.06666666666666667,0.41600000000000004,0.5138511720477664,0.4,0.4,9.6,9.6
knn,signo_zodiacal_leo,51,0.5,0.52,0.5856827383143173,0.5599999999999999,0.5170572223045987,0.504,0.5449907986750092,5.6,5.2,4.8,4.4
knn,signo_zodiacal_leo,52,0.5,0.45999999999999996,0.4541666666666666,0.78,0.5576923076923077,0.45899999999999996,0.5041074276600592,7.8,8.6,1.4,2.2
knn,signo_zodiacal_leo,53,0.5,0.5,0.2,0.02,0.03636363636363636,0.434,0.5048646696440814,0.2,0.2,9.8,9.8
knn,signo_zodiacal_leo,54,0.5,0.5,0.5469934640522875,0.36000000000000004,0.35686488949646844,0.5349999999999999,0.5324387215811364,3.6,3.6,6.4,6.4
knn,signo_zodiacal_leo,55,0.5,0.51,0.12,0.06,0.08,0.404,0.49641666666666673,0.6,0.4,9.6,9.4
knn,signo_zodiacal_leo,56,0.5,0.51,0.5111111111111111,0.86,0.6290726817042607,0.5740000000000001,0.5856076465673989,8.6,8.4,1.6,1.4
