modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_libra,1,0.5,0.45,0.17142857142857143,0.24,0.2,0.45599999999999996,0.5146660769570988,2.4,3.4,6.6,7.6
knn,signo_zodiacal_libra,2,0.5,0.47000000000000003,0.0,0.0,0.0,0.5289999999999999,0.5716530363341509,0.0,0.6,9.4,10.0
knn,signo_zodiacal_libra,3,0.5,0.5,0.13333333333333333,0.04,0.06153846153846154,0.5309999999999999,0.5468476319002635,0.4,0.4,9.6,9.6
knn,signo_zodiacal_libra,4,0.5,0.51,0.3,0.04,0.0696969696969697,0.531,0.5546109022556391,0.4,0.2,9.8,9.6
knn,signo_zodiacal_libra,5,0.5,0.42000000000000004,0.38078431372549015,0.4800000000000001,0.3950097465886939,0.42400000000000004,0.5109372361384745,4.8,6.4,3.6,5.2
knn,signo_zodiacal_libra,6,0.5,0.5299999999999999,0.4666666666666666,0.1,0.15944055944055946,0.5119999999999999,0.5499770013268465,1.0,0.4,9.6,9.0
knn,signo_zodiacal_libra,7,0.5,0.49000000000000005,0.4947368421052632,0.96,0.6527093596059113,0.446,0.5074898931477879,9.6,9.8,0.2,0.4
knn,signo_zodiacal_libra,8,0.5,0.51,0.20952380952380953,0.13999999999999999,0.16764705882352943,0.555,0.5913565162907268,1.4,1.2,8.8,8.6
knn,signo_zodiacal_libra,9,0.5,0.51,0.4066666666666666,0.76,0.5279999999999999,0.5519999999999999,0.5640318607261332,7.6,7.4,2.6,2.4
knn,signo_zodiacal_libra,10,0.5,0.52,0.24500000000000002,0.16,0.19111111111111112,0.497,0.5198110661268556,1.6,1.2,8.8,8.4
knn,signo_zodiacal_libra,11,0.5,0.5,0.5079021082117057,0.76,0.6047776616742133,0.528,0.5466932035972285,7.6,7.6,2.4,2.4
knn,signo_zodiacal_libra,12,0.5,0.5,0.3934016860332649,0.52,0.4348049840625906,0.554,0.5547345636819322,5.2,5.2,4.8,4.8
knn,signo_zodiacal_libra,13,0.5,0.5,0.5,1.0,0.6666666666666666,0.5269999999999999,0.5461721326489128,10.0,10.0,0.0,0.0
knn,signo_zodiacal_libra,14,0.5,0.43,0.26934001670843777,0.4600000000000001,0.3384236453201971,0.479,0.5104721138854266,4.6,6.0,4.0,5.4
knn,signo_zodiacal_libra,15,0.5,0.51,0.2,0.02,0.03636363636363636,0.6,0.5758366504496536,0.2,0.0,10.0,9.8
knn,signo_zodiacal_libra,16,0.5,0.52,0.5125,0.9800000000000001,0.6717948717948717,0.5720000000000001,0.5642683178534571,9.8,9.4,0.6,0.2
knn,signo_zodiacal_libra,17,0.5,0.48,0.4469230769230769,0.31999999999999995,0.34370865849126714,0.42000000000000004,0.5208887923222288,3.2,3.6,6.4,6.8
knn,signo_zodiacal_libra,18,0.5,0.5,0.0,0.0,0.0,0.5289999999999999,0.5375213032581454,0.0,0.0,10.0,10.0
knn,signo_zodiacal_libra,19,0.5,0.49000000000000005,0.4014035087719298,0.62,0.474360153256705,0.492,0.5189373433583959,6.2,6.4,3.6,3.8
knn,signo_zodiacal_libra,20,0.5,0.53,0.3964102564102564,0.38,0.3550425226946966,0.437,0.5019609430816862,3.8,3.2,6.8,6.2
knn,signo_zodiacal_libra,21,0.5,0.4699999999999999,0.18571428571428572,0.26,0.20392156862745098,0.42699999999999994,0.4928585456511153,2.6,3.2,6.8,7.4
knn,signo_zodiacal_libra,22,0.5,0.49000000000000005,0.1,0.02,0.03333333333333333,0.4539999999999999,0.507140350877193,0.2,0.4,9.6,9.8
knn,signo_zodiacal_libra,23,0.5,0.47000000000000003,0.3347368421052631,0.22000000000000003,0.1871682340647858,0.525,0.5370145074224022,2.2,2.8,7.2,7.8
knn,signo_zodiacal_libra,24,0.5,0.52,0.5125,0.9800000000000001,0.6717948717948717,0.5359999999999999,0.5541606925066678,9.8,9.4,0.6,0.2
knn,signo_zodiacal_libra,25,0.5,0.47000000000000003,0.46526315789473677,0.6799999999999999,0.529341290893015,0.457,0.5004863002494581,6.8,7.4,2.6,3.2
knn,signo_zodiacal_libra,26,0.5,0.53,0.5333333333333333,0.1,0.16456876456876457,0.506,0.5562971342383106,1.0,0.4,9.6,9.0
knn,signo_zodiacal_libra,27,0.5,0.49000000000000005,0.5013302486986697,0.6,0.4892700708469294,0.4750000000000001,0.5012817488668883,6.0,6.2,3.8,4.0
knn,signo_zodiacal_libra,28,0.5,0.5,0.0,0.0,0.0,0.47300000000000003,0.5253073861123397,0.0,0.0,10.0,10.0
knn,signo_zodiacal_libra,29,0.5,0.5200000000000001,0.5361722488038277,0.4800000000000001,0.46816912972085384,0.546,0.5558490164805954,4.8,4.4,5.6,5.2
knn,signo_zodiacal_libra,30,0.5,0.49000000000000005,0.4875,0.36,0.30596070596070596,0.45199999999999996,0.5025274337805298,3.6,3.8,6.2,6.4
knn,signo_zodiacal_libra,31,0.5,0.55,0.5428481649069885,0.72,0.601118738876176,0.554,0.5567936715846933,7.2,6.2,3.8,2.8
knn,signo_zodiacal_libra,32,0.5,0.5,0.0,0.0,0.0,0.5650000000000001,0.5685084052514393,0.0,0.0,10.0,10.0
knn,signo_zodiacal_libra,33,0.5,0.55,0.3889592760180996,0.42000000000000004,0.37913043478260866,0.602,0.6137783372458295,4.2,3.2,6.8,5.8
knn,signo_zodiacal_libra,34,0.5,0.49000000000000005,0.0,0.0,0.0,0.43600000000000005,0.495519568151147,0.0,0.2,9.8,10.0
