modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_piscis,1,0.5,0.51,0.2,0.02,0.03636363636363636,0.471,0.5054820384294069,0.2,0.0,10.0,9.8
knn,signo_zodiacal_piscis,2,0.5,0.48,0.478021978021978,0.5399999999999999,0.50069363713865,0.5109999999999999,0.5069106155282627,5.4,5.8,4.2,4.6
knn,signo_zodiacal_piscis,3,0.5,0.5,0.5,1.0,0.6666666666666666,0.49800000000000005,0.5261492936887674,10.0,10.0,0.0,0.0
knn,signo_zodiacal_piscis,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5589999999999999,0.5561424347066761,10.0,10.0,0.0,0.0
knn,signo_zodiacal_piscis,5,0.5,0.48999999999999994,0.205,0.13999999999999999,0.16444444444444445,0.479,0.5047462774583518,1.4,1.6,8.4,8.6
knn,signo_zodiacal_piscis,6,0.5,0.48,0.1,0.02,0.03333333333333333,0.47300000000000003,0.5311316526610644,0.2,0.6,9.4,9.8
knn,signo_zodiacal_piscis,7,0.5,0.49000000000000005,0.4947368421052632,0.9800000000000001,0.657471264367816,0.5539999999999999,0.5514569757727653,9.8,10.0,0.0,0.2
knn,signo_zodiacal_piscis,8,0.5,0.49000000000000005,0.2,0.02,0.03636363636363636,0.489,0.5344106949122429,0.2,0.4,9.6,9.8
knn,signo_zodiacal_piscis,9,0.5,0.5,0.32333333333333336,0.16,0.2123809523809524,0.46499999999999997,0.5146140350877193,1.6,1.6,8.4,8.4
knn,signo_zodiacal_piscis,10,0.5,0.5,0.3111111111111111,0.15999999999999998,0.1957393483709273,0.505,0.510042735042735,1.6,1.6,8.4,8.4
knn,signo_zodiacal_piscis,11,0.5,0.53,0.44628879892037776,0.5800000000000001,0.45454195978933604,0.564,0.561554860344334,5.8,5.2,4.8,4.2
knn,signo_zodiacal_piscis,12,0.5,0.5,0.5,1.0,0.6666666666666666,0.5459999999999999,0.5554433811802233,10.0,10.0,0.0,0.0
knn,signo_zodiacal_piscis,13,0.5,0.47000000000000003,0.2666666666666667,0.31999999999999995,0.2773333333333333,0.523,0.5286090235873517,3.2,3.8,6.2,6.8
knn,signo_zodiacal_piscis,14,0.5,0.47000000000000003,0.5807843137254902,0.41999999999999993,0.4076094276094276,0.42000000000000004,0.4853911248710011,4.2,4.8,5.2,5.8
knn,signo_zodiacal_piscis,15,0.5,0.44000000000000006,0.30769230769230765,0.41999999999999993,0.34396135265700484,0.465,0.5312604062604063,4.2,5.4,4.6,5.8
knn,signo_zodiacal_piscis,16,0.5,0.52,0.44180264180264184,0.38,0.38343014727454083,0.5419999999999999,0.5778400605242711,3.8,3.4,6.6,6.2
knn,signo_zodiacal_piscis,17,0.5,0.5000000000000001,0.5084033613445378,0.82,0.6080384644279168,0.466,0.4929851593195247,8.2,8.2,1.8,1.8
knn,signo_zodiacal_piscis,18,0.5,0.56,0.62,0.31999999999999995,0.35776223776223776,0.515,0.5591941930618402,3.2,2.0,8.0,6.8
knn,signo_zodiacal_piscis,19,0.5,0.49000000000000005,0.49333333333333335,0.9,0.635076923076923,0.46399999999999997,0.508077546808197,9.0,9.2,0.8,1.0
knn,signo_zodiacal_piscis,20,0.5,0.4600000000000001,0.2741176470588235,0.4800000000000001,0.3478518518518518,0.521,0.5364648731901054,4.8,5.6,4.4,5.2
knn,signo_zodiacal_piscis,21,0.5,0.45999999999999996,0.45111111111111113,0.8,0.5701052631578947,0.44299999999999995,0.5607903091060986,8.0,8.8,1.2,2.0
knn,signo_zodiacal_piscis,22,0.5,0.51,0.4333333333333333,0.54,0.432698336146612,0.5269999999999999,0.5426375988992087,5.4,5.2,4.8,4.6
knn,signo_zodiacal_piscis,23,0.5,0.54,0.5222566219470244,0.96,0.6761904761904762,0.5509999999999999,0.544456555828073,9.6,8.8,1.2,0.4
knn,signo_zodiacal_piscis,24,0.5,0.4600000000000001,0.36568627450980395,0.25999999999999995,0.23097643097643097,0.458,0.5090431990610009,2.6,3.4,6.6,7.4
knn,signo_zodiacal_piscis,25,0.5,0.54,0.55,0.24,0.31708683473389354,0.433,0.5214258685930513,2.4,1.6,8.4,7.6
knn,signo_zodiacal_piscis,26,0.5,0.45999999999999996,0.3674509803921569,0.52,0.4283367003367003,0.518,0.5696850950906678,5.2,6.0,4.0,4.8
knn,signo_zodiacal_piscis,27,0.5,0.42000000000000004,0.29939393939393943,0.18,0.2002930402930403,0.445,0.5264802201582388,1.8,3.4,6.6,8.2
knn,signo_zodiacal_piscis,28,0.5,0.55,0.35,0.12,0.178021978021978,0.632,0.6246079300816143,1.2,0.2,9.8,8.8
