modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_sagitario,1,0.5,0.5,0.1,0.02,0.03333333333333333,0.512,0.5183562091503269,0.2,0.2,9.8,9.8
knn,signo_zodiacal_sagitario,2,0.5,0.45,0.2833333333333333,0.2,0.21313131313131314,0.403,0.4722366719967339,2.0,3.0,7.0,8.0
knn,signo_zodiacal_sagitario,3,0.5,0.52,0.5244788441692466,0.6000000000000001,0.49659770114942525,0.5549999999999999,0.5499938549582513,6.0,5.6,4.4,4.0
knn,signo_zodiacal_sagitario,4,0.5,0.48999999999999994,0.4111111111111111,0.5399999999999999,0.4393483709273183,0.45299999999999996,0.5048055555555555,5.4,5.6,4.4,4.6
knn,signo_zodiacal_sagitario,5,0.5,0.53,0.32,0.32,0.2864242424242424,0.517,0.5236516816516816,3.2,2.6,7.4,6.8
knn,signo_zodiacal_sagitario,6,0.5,0.49000000000000005,0.36584795321637426,0.54,0.4097643046608564,0.545,0.5432495074584858,5.4,5.6,4.4,4.6
knn,signo_zodiacal_sagitario,7,0.5,0.45999999999999996,0.0,0.0,0.0,0.40099999999999997,0.48180941994022486,0.0,0.8,9.2,10.0
knn,signo_zodiacal_sagitario,8,0.5,0.5199999999999999,0.3321862348178138,0.42000000000000004,0.3582208895552224,0.45,0.502518315018315,4.2,3.8,6.2,5.8
knn,signo_zodiacal_sagitario,9,0.5,0.51,0.4302631578947368,0.4,0.3792008757525999,0.49000000000000005,0.5679756744803184,4.0,3.8,6.2,6.0
knn,signo_zodiacal_sagitario,10,0.5,0.5,0.5,0.86,0.6260869565217391,0.506,0.5266960784313726,8.6,8.6,1.4,1.4
knn,signo_zodiacal_sagitario,11,0.5,0.52,0.5185964912280701,0.74,0.6017352302869544,0.5599999999999999,0.5794520123839009,7.4,7.0,3.0,2.6
knn,signo_zodiacal_sagitario,12,0.5,0.53,0.4,0.06000000000000001,0.10303030303030303,0.5200000000000001,0.5470158503347358,0.6,0.0,10.0,9.4
knn,signo_zodiacal_sagitario,13,0.5,0.51,0.48571428571428577,0.43999999999999995,0.40064102564102566,0.533,0.5642298929141034,4.4,4.2,5.8,5.6
knn,signo_zodiacal_sagitario,14,0.5,0.54,0.4666666666666667,0.15999999999999998,0.21850649350649348,0.604,0.599185881370092,1.6,0.8,9.2,8.4
knn,signo_zodiacal_sagitario,15,0.5,0.5399999999999999,0.35194805194805195,0.27999999999999997,0.30693277310924366,0.514,0.5419927492528112,2.8,2.0,8.0,7.2
knn,signo_zodiacal_sagitario,16,0.5,0.5,0.10588235294117647,0.18,0.13333333333333333,0.449,0.4986656148289275,1.8,1.8,8.2,8.2
knn,signo_zodiacal_sagitario,17,0.5,0.53,0.4241025641025641,0.5800000000000001,0.48953623188405804,0.466,0.5061293958879098,5.8,5.2,4.8,4.2
knn,signo_zodiacal_sagitario,18,0.5,0.48,0.15,0.06000000000000001,0.08571428571428572,0.417,0.48713871912401324,0.6,1.0,9.0,9.4
knn,signo_zodiacal_sagitario,19,0.5,0.5,0.5,1.0,0.6666666666666666,0.46399999999999997,0.5048470418470419,10.0,10.0,0.0,0.0
knn,signo_zodiacal_sagitario,20,0.5,0.5,0.3981900452488688,0.38,0.34601449275362317,0.495,0.5193650075414782,3.8,3.8,6.2,6.2
knn,signo_zodiacal_sagitario,21,0.5,0.45999999999999996,0.4693400167084377,0.8,0.5756785472809813,0.379,0.46159028106396527,8.0,8.8,1.2,2.0
knn,signo_zodiacal_sagitario,22,0.5,0.54,0.5385964912280701,0.72,0.5603669319186559,0.513,0.5405108359133127,7.2,6.4,3.6,2.8
knn,signo_zodiacal_sagitario,23,0.5,0.54,0.5302777777777777,0.8,0.6281349527665316,0.557,0.5486817363922627,8.0,7.2,2.8,2.0
knn,signo_zodiacal_sagitario,24,0.5,0.5,0.0,0.0,0.0,0.47000000000000003,0.5126706594918669,0.0,0.0,10.0,10.0
knn,signo_zodiacal_sagitario,25,0.5,0.49000000000000005,0.0,0.0,0.0,0.5840000000000001,0.5732807868086505,0.0,0.2,9.8,10.0
knn,signo_zodiacal_sagitario,26,0.5,0.47000000000000003,0.0,0.0,0.0,0.44700000000000006,0.49790645731977,0.0,0.6,9.4,10.0
knn,signo_zodiacal_sagitario,27,0.5,0.51,0.45,0.26000000000000006,0.2772893772893773,0.506,0.5387572437882036,2.6,2.4,7.6,7.4
knn,signo_zodiacal_sagitario,28,0.5,0.5,0.5,1.0,0.6666666666666666,0.534,0.5288245614035088,10.0,10.0,0.0,0.0
knn,signo_zodiacal_sagitario,29,0.5,0.53,0.33095238095238094,0.4,0.34996180290297935,0.516,0.5625829279080052,4.0,3.4,6.6,6.0
knn,signo_zodiacal_sagitario,30,0.5,0.5,0.0,0.0,0.0,0.41,0.4995276828434723,0.0,0.0,10.0,10.0
knn,signo_zodiacal_sagitario,31,0.5,0.5,0.0,0.0,0.0,0.475,0.516982898422527,0.0,0.0,10.0,10.0
knn,signo_zodiacal_sagitario,32,0.5,0.47000000000000003,0.0,0.0,0.0,0.40700000000000003,0.5002269550195246,0.0,0.6,9.4,10.0
knn,signo_zodiacal_sagitario,33,0.5,0.47000000000000003,0.38223684210526315,0.72,0.4984969053934571,0.5650000000000001,0.5778145933014354,7.2,7.8,2.2,2.8
knn,signo_zodiacal_sagitario,34,0.5,0.6,0.507207498383969,0.58,0.5077754773406947,0.618,0.6043628585037254,5.8,3.8,6.2,4.2
knn,signo_zodiacal_sagitario,35,0.5,0.53,0.3376470588235294,0.38,0.3431481481481481,0.6639999999999999,0.6415712230665791,3.8,3.2,6.8,6.2
