modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn,signo_zodiacal_tauro,1,0.5,0.51,0.5038131313131313,0.6199999999999999,0.5489577790630422,0.505,0.5478864205969469,6.2,6.0,4.0,3.8
knn,signo_zodiacal_tauro,2,0.5,0.5,0.0,0.0,0.0,0.501,0.529220630246946,0.0,0.0,10.0,10.0
knn,signo_zodiacal_tauro,3,0.5,0.44000000000000006,0.15,0.12,0.12167832167832167,0.454,0.4992791202605444,1.2,2.4,7.6,8.8
knn,signo_zodiacal_tauro,4,0.5,0.51,0.419047619047619,0.34,0.35080801551389784,0.493,0.5230138447723587,3.4,3.2,6.8,6.6
knn,signo_zodiacal_tauro,5,0.5,0.5,0.5,0.9,0.6397435897435897,0.43899999999999995,0.5209737579242224,9.0,9.0,1.0,1.0
knn,signo_zodiacal_tauro,6,0.5,0.5,0.0,0.0,0.0,0.37699999999999995,0.4968623481781377,0.0,0.0,10.0,10.0
knn,signo_zodiacal_tauro,7,0.5,0.48,0.08,0.08,0.08,0.358,0.4564468864468865,0.8,1.2,8.8,9.2
knn,signo_zodiacal_tauro,8,0.5,0.5700000000000001,0.5969934640522876,0.5,0.49859649122807015,0.6220000000000001,0.5936960784313726,5.0,3.6,6.4,5.0
knn,signo_zodiacal_tauro,9,0.5,0.54,0.3,0.12000000000000002,0.17142857142857143,0.5069999999999999,0.5505093124969285,1.2,0.4,9.6,8.8
knn,signo_zodiacal_tauro,10,0.5,0.5199999999999999,0.4,0.04,0.07272727272727272,0.5240000000000001,0.545382880277617,0.4,0.0,10.0,9.6
knn,signo_zodiacal_tauro,11,0.5,0.48,0.4866666666666667,0.6,0.4970769230769231,0.45600000000000007,0.5250075187969925,6.0,6.4,3.6,4.0
knn,signo_zodiacal_tauro,12,0.5,0.53,0.5176470588235295,1.0,0.6814814814814814,0.5810000000000001,0.5622687601356333,10.0,9.4,0.6,0.0
knn,signo_zodiacal_tauro,13,0.5,0.51,0.5058823529411764,0.5599999999999999,0.42683982683982685,0.65,0.6363477320752862,5.6,5.4,4.6,4.4
knn,signo_zodiacal_tauro,14,0.5,0.53,0.425,0.3,0.27604617604617604,0.592,0.5827581319609183,3.0,2.4,7.6,7.0
knn,signo_zodiacal_tauro,15,0.5,0.4800000000000001,0.3023809523809524,0.24,0.2550038197097021,0.481,0.519184065934066,2.4,2.8,7.2,7.6
knn,signo_zodiacal_tauro,16,0.5,0.53,0.39916666666666667,0.5,0.41780219780219785,0.506,0.5114277672791605,5.0,4.4,5.6,5.0
knn,signo_zodiacal_tauro,17,0.5,0.49000000000000005,0.1,0.06,0.075,0.495,0.5266542827657379,0.6,0.8,9.2,9.4
knn,signo_zodiacal_tauro,18,0.5,0.48,0.4006191950464396,0.7,0.5074712643678161,0.533,0.5495791930807411,7.0,7.4,2.6,3.0
knn,signo_zodiacal_tauro,19,0.5,0.51,0.3333333333333333,0.42000000000000004,0.32344322344322346,0.44699999999999995,0.4922136752136752,4.2,4.0,6.0,5.8
knn,signo_zodiacal_tauro,20,0.5,0.47000000000000003,0.48045112781954885,0.74,0.5479474548440065,0.491,0.5275510892616155,7.4,8.0,2.0,2.6
