,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.49976,0.02876799602319182,0.35940004923353225,0.17819314286980212,0.42068,0.3289631759669836,0.3416320590523414,0.2256099100323654,0.5009440000000001,0.056992219558290216,0.5341192657708648,0.035509347018437186,4.2068,3.289631759669836,4.211600000000001,3.3199381649117625,5.788399999999999,3.3199381649117625,5.7932,3.2896317596698355
signo_zodiacal_aries,0.5,0.0,0.49984,0.02902514976080701,0.3631312353367307,0.17688209948330152,0.423,0.33504912450514357,0.3422994553773243,0.22816598585027079,0.502112,0.055512690202755365,0.5343382294930732,0.03588734430126675,4.23,3.3504912450514377,4.2332,3.350437078536839,5.7668,3.350437078536839,5.77,3.3504912450514377
signo_zodiacal_cancer,0.5,0.0,0.5017,0.03172574736853624,0.37089615805591036,0.18136664896057753,0.42560000000000003,0.3296962833860236,0.3476298793681821,0.22536120993121075,0.506158,0.05908708491037963,0.5382492511382666,0.03816989997280003,4.256,3.2969628338602353,4.222,3.2804387750900377,5.778,3.2804387750900377,5.744,3.2969628338602353
signo_zodiacal_capricornio,0.5,0.0,0.49998000000000004,0.029399460139822725,0.35344188973908786,0.18280647537979194,0.39028,0.3212362168467748,0.32209063103458085,0.22272503183964126,0.5028980000000001,0.05574648812145702,0.5364725204286598,0.03604403927038386,3.9028,3.212362168467746,3.9032,3.2375659725870767,6.0968,3.2375659725870767,6.0972,3.2123621684677452
signo_zodiacal_escorpio,0.5,0.0,0.49960000000000004,0.03253239483079679,0.34522675193227825,0.1897627165624126,0.37307999999999997,0.32408359098833717,0.3093027695526578,0.2256488178148506,0.500874,0.056737186577070955,0.5342537833944522,0.03519101104039473,3.7308000000000003,3.2408359098833706,3.7388000000000003,3.254645910079928,6.2612,3.2546459100799274,6.2692,3.240835909883371
signo_zodiacal_geminis,0.5,0.0,0.50286,0.03126620461620186,0.36708879169506103,0.1780680474341775,0.42832,0.33912946670907357,0.34597711133133896,0.22960631440754384,0.503406,0.05618136573376817,0.5345249264667221,0.03543175305375348,4.2832,3.39129466709074,4.226,3.3890611488938776,5.774,3.3890611488938784,5.7168,3.391294667090739
signo_zodiacal_leo,0.5,0.0,0.49938,0.02944060288439068,0.3612951167202251,0.18593446081330883,0.42292,0.34002751509553464,0.3408331422822707,0.23103408886956406,0.500032,0.05959572364317011,0.5338223060644207,0.037379008181763214,4.2292,3.400275150955348,4.2416,3.3920379246944035,5.7584,3.3920379246944035,5.7708,3.400275150955348
signo_zodiacal_libra,0.5,0.0,0.50198,0.03072079319074524,0.34148220189167555,0.18772529989306058,0.37204000000000004,0.33235155108260583,0.3095547972026275,0.23088701479059137,0.50544,0.0554235142503949,0.5358482967991761,0.034432428163888036,3.7204,3.3235155108260566,3.6808,3.330196958674837,6.3191999999999995,3.330196958674836,6.2796,3.323515510826057
signo_zodiacal_piscis,0.5,0.0,0.5025,0.03072846362826993,0.3718001471593422,0.1702966352542887,0.43328000000000005,0.32790285476696995,0.351819986410689,0.22132128366886591,0.49993400000000005,0.05725436024911176,0.5334878317497775,0.034435295580280884,4.3328,3.2790285476697,4.2828,3.2677362746588714,5.7172,3.267736274658871,5.6672,3.2790285476697
signo_zodiacal_sagitario,0.5,0.0,0.49988,0.027970525568912746,0.33360717145427676,0.19004514754966123,0.37839999999999996,0.3264711423902996,0.3113285774362023,0.2300265855831046,0.497816,0.0541273839325601,0.5312971963583373,0.03362493690845682,3.784,3.264711423902994,3.7864,3.2198244640287954,6.2136000000000005,3.219824464028796,6.216,3.264711423902994
signo_zodiacal_tauro,0.5,0.0,0.49836,0.03129327304510909,0.3742249795044996,0.17134439149157538,0.4368,0.32119666030203115,0.35600279066262447,0.2187872615966927,0.498906,0.05779073196804836,0.5321674378847846,0.0358183153730384,4.368,3.2119666030203113,4.4008,3.238792817985689,5.5992,3.238792817985689,5.632,3.2119666030203113
signo_zodiacal_virgo,0.5,0.0,0.50118,0.029362082074121623,0.35209745397017844,0.18377725331654238,0.39792,0.32962551412036994,0.32463415062877,0.22720989043006248,0.502844,0.05327807024976674,0.5348329041139459,0.033573580535418465,3.9791999999999996,3.2962551412037002,3.9556,3.3272586223315677,6.0443999999999996,3.3272586223315677,6.0208,3.2962551412036993
