modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn_full,signo_zodiacal_acuario,1,0.5,0.35,0.36537684537684534,0.48,0.41186095673967527,0.319,0.4716596516658436,4.8,7.8,2.2,5.2
knn_full,signo_zodiacal_acuario,2,0.5,0.41,0.42948717948717946,0.54,0.4782608695652174,0.42800000000000005,0.5462108708285178,5.4,7.2,2.8,4.6
knn_full,signo_zodiacal_acuario,3,0.5,0.39,0.3660606060606061,0.32,0.3255238095238095,0.425,0.49822417494785914,3.2,5.4,4.6,6.8
knn_full,signo_zodiacal_acuario,4,0.5,0.53,0.5261111111111111,0.5,0.5035964912280702,0.492,0.5630648426221181,5.0,4.4,5.6,5.0
knn_full,signo_zodiacal_acuario,5,0.5,0.5,0.4809523809523809,0.25999999999999995,0.3121001031991744,0.46399999999999997,0.5534544623762889,2.6,2.6,7.4,7.4
knn_full,signo_zodiacal_acuario,6,0.5,0.49000000000000005,0.496125730994152,0.8800000000000001,0.6340280409245926,0.49400000000000005,0.5234780419958438,8.8,9.0,1.0,1.2
knn_full,signo_zodiacal_acuario,7,0.5,0.51,0.5058823529411764,0.7799999999999999,0.6128205128205129,0.47000000000000003,0.5614458972400149,7.8,7.6,2.4,2.2
knn_full,signo_zodiacal_acuario,8,0.5,0.4600000000000001,0.4666666666666666,0.06000000000000001,0.1034965034965035,0.42699999999999994,0.5298412339294692,0.6,1.4,8.6,9.4
knn_full,signo_zodiacal_acuario,9,0.5,0.4800000000000001,0.48769230769230765,0.4800000000000001,0.47133390167661265,0.496,0.570101665706155,4.8,5.2,4.8,5.2
knn_full,signo_zodiacal_acuario,10,0.5,0.4800000000000001,0.4533333333333333,0.24,0.31076923076923074,0.43900000000000006,0.5070992973314954,2.4,2.8,7.2,7.6
knn_full,signo_zodiacal_acuario,11,0.5,0.51,0.46120879120879116,0.36,0.3944075021312873,0.481,0.5311387872533383,3.6,3.4,6.6,6.4
knn_full,signo_zodiacal_acuario,12,0.5,0.51,0.51,0.6599999999999999,0.5482674362674362,0.512,0.574352767545492,6.6,6.4,3.6,3.4
knn_full,signo_zodiacal_acuario,13,0.5,0.5,0.54,0.42000000000000004,0.44474358974358974,0.5529999999999999,0.6404716856071346,4.2,4.2,5.8,5.8
knn_full,signo_zodiacal_acuario,14,0.5,0.45999999999999996,0.44523809523809527,0.34,0.38390952872377015,0.42700000000000005,0.5148358775727196,3.4,4.2,5.8,6.6
knn_full,signo_zodiacal_acuario,15,0.5,0.45999999999999996,0.40409812409812407,0.38,0.3891847265221878,0.434,0.5480953050217756,3.8,4.6,5.4,6.2
knn_full,signo_zodiacal_acuario,16,0.5,0.55,0.5467099567099567,0.58,0.552564977506154,0.562,0.6151300072476543,5.8,4.8,5.2,4.2
knn_full,signo_zodiacal_acuario,17,0.5,0.55,0.5240170940170941,0.5599999999999999,0.5304292351431938,0.548,0.5754515180382053,5.6,4.6,5.4,4.4
knn_full,signo_zodiacal_acuario,18,0.5,0.44000000000000006,0.4,0.34,0.3644736842105263,0.404,0.5126772873669159,3.4,4.6,5.4,6.6
knn_full,signo_zodiacal_acuario,19,0.5,0.5,0.5,0.7399999999999999,0.5943290043290044,0.484,0.542616446848645,7.4,7.4,2.6,2.6
knn_full,signo_zodiacal_acuario,20,0.5,0.5000000000000001,0.5214285714285714,0.26,0.33522408963585437,0.48200000000000004,0.5602514148218483,2.6,2.6,7.4,7.4
knn_full,signo_zodiacal_acuario,21,0.5,0.48999999999999994,0.48769230769230765,0.45999999999999996,0.4568617855574377,0.524,0.6193641903332305,4.6,4.8,5.2,5.4
knn_full,signo_zodiacal_acuario,22,0.5,0.48999999999999994,0.41785714285714287,0.34,0.3407239819004525,0.473,0.5633760220687465,3.4,3.6,6.4,6.6
knn_full,signo_zodiacal_acuario,23,0.5,0.53,0.65,0.16,0.2458874458874459,0.491,0.5636191586191586,1.6,1.0,9.0,8.4
knn_full,signo_zodiacal_acuario,24,0.5,0.51,0.5080891330891331,0.44000000000000006,0.4627866020550096,0.538,0.5995969738895436,4.4,4.2,5.8,5.6
knn_full,signo_zodiacal_acuario,25,0.5,0.49000000000000005,0.5833333333333334,0.24,0.29393939393939394,0.491,0.582443363224323,2.4,2.6,7.4,7.6
knn_full,signo_zodiacal_acuario,26,0.5,0.5,0.48571428571428565,0.36,0.40830999066293183,0.534,0.5824557174851293,3.6,3.6,6.4,6.4
knn_full,signo_zodiacal_acuario,27,0.5,0.54,0.5342857142857144,0.74,0.6164102564102565,0.562,0.5622700985804702,7.4,6.6,3.4,2.6
knn_full,signo_zodiacal_acuario,28,0.5,0.51,0.5106060606060606,0.5800000000000001,0.5362082362082362,0.526,0.5602573429322655,5.8,5.6,4.4,4.2
knn_full,signo_zodiacal_acuario,29,0.5,0.37,0.25272727272727274,0.24000000000000005,0.2450793650793651,0.31399999999999995,0.4523276184599713,2.4,5.0,5.0,7.6
knn_full,signo_zodiacal_acuario,30,0.5,0.5,0.49727911407477976,0.8400000000000001,0.6224118709875831,0.454,0.5063607879049056,8.4,8.4,1.6,1.6
knn_full,signo_zodiacal_acuario,31,0.5,0.53,0.5191424262012496,0.8,0.6275859213250518,0.5860000000000001,0.6183977472475924,8.0,7.4,2.6,2.0
