modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn_full,signo_zodiacal_cancer,1,0.5,0.38,0.41919340463458116,0.6199999999999999,0.4974489214489214,0.34,0.4457534251094623,6.2,8.6,1.4,3.8
knn_full,signo_zodiacal_cancer,2,0.5,0.5900000000000001,0.5870299145299145,0.7200000000000001,0.6381777856011266,0.602,0.6649396632778986,7.2,5.4,4.6,2.8
knn_full,signo_zodiacal_cancer,3,0.5,0.5,0.5142857142857142,0.42000000000000004,0.4231164260576025,0.508,0.5768450989155324,4.2,4.2,5.8,5.8
knn_full,signo_zodiacal_cancer,4,0.5,0.53,0.5411111111111111,0.44000000000000006,0.4740271132376396,0.518,0.5990499936939565,4.4,3.8,6.2,5.6
knn_full,signo_zodiacal_cancer,5,0.5,0.45,0.42095238095238086,0.42000000000000004,0.4070191315392554,0.39,0.4817007082185101,4.2,5.2,4.8,5.8
knn_full,signo_zodiacal_cancer,6,0.5,0.48,0.48535353535353537,0.5199999999999999,0.4969658995974785,0.42799999999999994,0.48999193616840675,5.2,5.6,4.4,4.8
knn_full,signo_zodiacal_cancer,7,0.5,0.51,0.5208236208236208,0.48,0.4900766408775562,0.572,0.6466370743119969,4.8,4.6,5.4,5.2
knn_full,signo_zodiacal_cancer,8,0.5,0.43,0.43423264042459087,0.74,0.5368052201723601,0.42400000000000004,0.509780712751301,7.4,8.8,1.2,2.6
knn_full,signo_zodiacal_cancer,9,0.5,0.47000000000000003,0.4425840825840826,0.44000000000000006,0.43419011082693953,0.48200000000000004,0.5537952509306999,4.4,5.0,5.0,5.6
knn_full,signo_zodiacal_cancer,10,0.5,0.5,0.5033455433455434,0.6399999999999999,0.5592921434019832,0.5269999999999999,0.6282922998054576,6.4,6.4,3.6,3.6
knn_full,signo_zodiacal_cancer,11,0.5,0.5,0.4023809523809524,0.41999999999999993,0.406951871657754,0.40800000000000003,0.4889744622422641,4.2,4.2,5.8,5.8
knn_full,signo_zodiacal_cancer,12,0.5,0.48999999999999994,0.49248594542712193,0.6599999999999999,0.5611780329171634,0.549,0.6144971966458034,6.6,6.8,3.2,3.4
knn_full,signo_zodiacal_cancer,13,0.5,0.51,0.5346320346320346,0.4,0.45331465919701214,0.49000000000000005,0.5718846329109486,4.0,3.8,6.2,6.0
knn_full,signo_zodiacal_cancer,14,0.5,0.5,0.5034188034188034,0.54,0.5103685597392691,0.5459999999999999,0.5970824699895907,5.4,5.4,4.6,4.6
knn_full,signo_zodiacal_cancer,15,0.5,0.48,0.51995670995671,0.5399999999999999,0.5094805194805194,0.491,0.5755454898558614,5.4,5.8,4.2,4.6
knn_full,signo_zodiacal_cancer,16,0.5,0.45,0.46806722689075625,0.6,0.5223184223184223,0.41400000000000003,0.503362685130487,6.0,7.0,3.0,4.0
knn_full,signo_zodiacal_cancer,17,0.5,0.51,0.49815184815184815,0.54,0.5095765842568911,0.542,0.5834500472867346,5.4,5.2,4.8,4.6
knn_full,signo_zodiacal_cancer,18,0.5,0.44000000000000006,0.44772727272727275,0.28,0.3293956043956044,0.358,0.5145003932256254,2.8,4.0,6.0,7.2
knn_full,signo_zodiacal_cancer,19,0.5,0.48,0.4746167557932264,0.64,0.5406676286676287,0.542,0.5972646432514853,6.4,6.8,3.2,3.6
knn_full,signo_zodiacal_cancer,20,0.5,0.38,0.3883333333333333,0.32,0.3425518341307815,0.39399999999999996,0.5005137927947525,3.2,5.6,4.4,6.8
knn_full,signo_zodiacal_cancer,21,0.5,0.51,0.5040723981900452,0.76,0.6031823249214553,0.5109999999999999,0.5630712969521019,7.6,7.4,2.6,2.4
knn_full,signo_zodiacal_cancer,22,0.5,0.43,0.45444444444444443,0.56,0.4972631578947368,0.39399999999999996,0.5462738877050022,5.6,7.0,3.0,4.4
knn_full,signo_zodiacal_cancer,23,0.5,0.5,0.4866666666666667,0.5599999999999999,0.5178041282389109,0.504,0.5559998036878843,5.6,5.6,4.4,4.4
knn_full,signo_zodiacal_cancer,24,0.5,0.41000000000000003,0.44191086691086695,0.68,0.5340181557572862,0.353,0.4685942519812489,6.8,8.6,1.4,3.2
knn_full,signo_zodiacal_cancer,25,0.5,0.43,0.41421245421245423,0.56,0.4720450700194946,0.43200000000000005,0.4950574866310161,5.6,7.0,3.0,4.4
knn_full,signo_zodiacal_cancer,26,0.5,0.49000000000000005,0.47859649122807013,0.7000000000000001,0.5612567613874329,0.5740000000000001,0.6455621323121322,7.0,7.2,2.8,3.0
knn_full,signo_zodiacal_cancer,27,0.5,0.38999999999999996,0.39545454545454545,0.44000000000000006,0.4096536796536796,0.366,0.4902857549227518,4.4,6.6,3.4,5.6
knn_full,signo_zodiacal_cancer,28,0.5,0.5800000000000001,0.6071428571428571,0.43999999999999995,0.5098039215686275,0.569,0.6241046443236844,4.4,2.8,7.2,5.6
knn_full,signo_zodiacal_cancer,29,0.5,0.5200000000000001,0.4809523809523809,0.22000000000000003,0.2921945701357466,0.532,0.5763034830666409,2.2,1.8,8.2,7.8
knn_full,signo_zodiacal_cancer,30,0.5,0.4800000000000001,0.4404761904761905,0.44000000000000006,0.42825311942959,0.43800000000000006,0.4739710822373361,4.4,4.8,5.2,5.6
knn_full,signo_zodiacal_cancer,31,0.5,0.51,0.5045278637770898,0.9,0.6456233421750663,0.625,0.6149193774062195,9.0,8.8,1.2,1.0
knn_full,signo_zodiacal_cancer,32,0.5,0.4800000000000001,0.45666666666666667,0.13999999999999999,0.20981684981684978,0.49399999999999994,0.5617474469974469,1.4,1.8,8.2,8.6
knn_full,signo_zodiacal_cancer,33,0.5,0.4600000000000001,0.46358974358974364,0.4600000000000001,0.4430434782608696,0.395,0.4929972809268476,4.6,5.4,4.6,5.4
knn_full,signo_zodiacal_cancer,34,0.5,0.48,0.4717832167832167,0.52,0.49178242047807263,0.557,0.5977171766142354,5.2,5.6,4.4,4.8
knn_full,signo_zodiacal_cancer,35,0.5,0.51,0.5196031746031746,0.36,0.42090987272101826,0.49799999999999994,0.5649415208974033,3.6,3.4,6.6,6.4
knn_full,signo_zodiacal_cancer,36,0.5,0.54,0.5842857142857143,0.41999999999999993,0.4689228418640183,0.562,0.5862065691446496,4.2,3.4,6.6,5.8
knn_full,signo_zodiacal_cancer,37,0.5,0.5900000000000001,0.5953968253968254,0.64,0.6085964912280701,0.6279999999999999,0.6802923089981914,6.4,4.6,5.4,3.6
knn_full,signo_zodiacal_cancer,38,0.5,0.5599999999999999,0.5827838827838827,0.5,0.5313172103318825,0.623,0.6862666473533345,5.0,3.8,6.2,5.0
knn_full,signo_zodiacal_cancer,39,0.5,0.5700000000000001,0.5766666666666667,0.4600000000000001,0.4736410256410256,0.592,0.6134574832632108,4.6,3.2,6.8,5.4
knn_full,signo_zodiacal_cancer,40,0.5,0.54,0.5435353535353535,0.58,0.5595488721804511,0.542,0.6051725311152555,5.8,5.0,5.0,4.2
knn_full,signo_zodiacal_cancer,41,0.5,0.44000000000000006,0.4095238095238095,0.24,0.2701357466063349,0.48900000000000005,0.5513546457842123,2.4,3.6,6.4,7.6
knn_full,signo_zodiacal_cancer,42,0.5,0.54,0.5490826820238585,0.6199999999999999,0.5626818913775435,0.5610000000000002,0.6137723269162898,6.2,5.4,4.6,3.8
knn_full,signo_zodiacal_cancer,43,0.5,0.52,0.5105263157894736,0.96,0.6663382594417077,0.612,0.6002877750904067,9.6,9.2,0.8,0.4
knn_full,signo_zodiacal_cancer,44,0.5,0.58,0.5782417582417583,0.66,0.6051253196930946,0.5980000000000001,0.6654791586981988,6.6,5.0,5.0,3.4
knn_full,signo_zodiacal_cancer,45,0.5,0.45,0.43,0.32,0.36298245614035085,0.465,0.5396005840564664,3.2,4.2,5.8,6.8
knn_full,signo_zodiacal_cancer,46,0.5,0.5,0.4712121212121212,0.5,0.477056277056277,0.469,0.5268224347032396,5.0,5.0,5.0,5.0
knn_full,signo_zodiacal_cancer,47,0.5,0.49000000000000005,0.4927272727272728,0.58,0.5283583083583083,0.538,0.6008018235634335,5.8,6.0,4.0,4.2
knn_full,signo_zodiacal_cancer,48,0.5,0.45999999999999996,0.4714285714285714,0.62,0.5348484848484849,0.51,0.6131936572199729,6.2,7.0,3.0,3.8
knn_full,signo_zodiacal_cancer,49,0.5,0.55,0.5686868686868687,0.4,0.4562704839020628,0.5519999999999999,0.6161115930852772,4.0,3.0,7.0,6.0
knn_full,signo_zodiacal_cancer,50,0.5,0.51,0.5175757575757577,0.5199999999999999,0.5158441558441558,0.501,0.5711478064419241,5.2,5.0,5.0,4.8
knn_full,signo_zodiacal_cancer,51,0.5,0.48,0.46611111111111114,0.27999999999999997,0.3335964912280701,0.429,0.5008586419600352,2.8,3.2,6.8,7.2
knn_full,signo_zodiacal_cancer,52,0.5,0.55,0.5771428571428572,0.43999999999999995,0.491764705882353,0.53,0.5922421195935128,4.4,3.4,6.6,5.6
knn_full,signo_zodiacal_cancer,53,0.5,0.5,0.5309090909090909,0.4,0.4457936507936508,0.542,0.6108373179108473,4.0,4.0,6.0,6.0
knn_full,signo_zodiacal_cancer,54,0.5,0.45999999999999996,0.3233333333333333,0.28,0.28958152958152955,0.442,0.5101296742473214,2.8,3.6,6.4,7.2
knn_full,signo_zodiacal_cancer,55,0.5,0.64,0.6259462759462759,0.72,0.6603356216628528,0.639,0.6509066766566767,7.2,4.4,5.6,2.8
knn_full,signo_zodiacal_cancer,56,0.5,0.54,0.552936507936508,0.44000000000000006,0.4859098727210182,0.546,0.5997450839494183,4.4,3.6,6.4,5.6
knn_full,signo_zodiacal_cancer,57,0.5,0.47000000000000003,0.4822222222222222,0.8400000000000001,0.6112673992673993,0.477,0.5024554530436883,8.4,9.0,1.0,1.6
knn_full,signo_zodiacal_cancer,58,0.5,0.49000000000000005,0.4904761904761904,0.33999999999999997,0.38491307454155754,0.4720000000000001,0.5585807448485467,3.4,3.6,6.4,6.6
knn_full,signo_zodiacal_cancer,59,0.5,0.42000000000000004,0.43119658119658116,0.48,0.45219471603910966,0.449,0.5383745062127414,4.8,6.4,3.6,5.2
knn_full,signo_zodiacal_cancer,60,0.5,0.45,0.46885154061624645,0.7200000000000001,0.566888888888889,0.4010000000000001,0.4912145187114227,7.2,8.2,1.8,2.8
knn_full,signo_zodiacal_cancer,61,0.5,0.47000000000000003,0.5499999999999999,0.22000000000000003,0.2788472964943553,0.509,0.5749384673633899,2.2,2.8,7.2,7.8
knn_full,signo_zodiacal_cancer,62,0.5,0.54,0.5531746031746032,0.64,0.578932178932179,0.61,0.6393327326268503,6.4,5.6,4.4,3.6
knn_full,signo_zodiacal_cancer,63,0.5,0.54,0.5634581105169341,0.52,0.5053145684724633,0.504,0.5822163746985727,5.2,4.4,5.6,4.8
knn_full,signo_zodiacal_cancer,64,0.5,0.38,0.20666666666666664,0.12,0.1496825396825397,0.355,0.44391257968038156,1.2,3.6,6.4,8.8
knn_full,signo_zodiacal_cancer,65,0.5,0.45,0.3714285714285714,0.22000000000000003,0.26587282686353897,0.454,0.4895648862661247,2.2,3.2,6.8,7.8
knn_full,signo_zodiacal_cancer,66,0.5,0.48,0.48996354952237303,0.8200000000000001,0.6103838190794713,0.496,0.5967649485017905,8.2,8.6,1.4,1.8
