modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn_full,signo_zodiacal_capricornio,1,0.5,0.48999999999999994,0.495,0.4,0.43614035087719294,0.43200000000000005,0.5190760926380121,4.0,4.2,5.8,6.0
knn_full,signo_zodiacal_capricornio,2,0.5,0.51,0.491068931068931,0.6,0.5313581780538301,0.515,0.5872156248464299,6.0,5.8,4.2,4.0
knn_full,signo_zodiacal_capricornio,3,0.5,0.45,0.4707070707070707,0.5,0.4832991569833675,0.48600000000000004,0.596973341416066,5.0,6.0,4.0,5.0
knn_full,signo_zodiacal_capricornio,4,0.5,0.47000000000000003,0.46471861471861475,0.44000000000000006,0.44841068803917106,0.46399999999999997,0.5600007306934552,4.4,5.0,5.0,5.6
knn_full,signo_zodiacal_capricornio,5,0.5,0.55,0.5377355977355978,0.7,0.6064490871447392,0.6,0.6655182101180552,7.0,6.0,4.0,3.0
knn_full,signo_zodiacal_capricornio,6,0.5,0.55,0.5379186602870814,0.78,0.6296324365289883,0.458,0.5263238401605274,7.8,6.8,3.2,2.2
knn_full,signo_zodiacal_capricornio,7,0.5,0.57,0.5740981240981241,0.74,0.6326007326007326,0.546,0.5866404967581438,7.4,6.0,4.0,2.6
knn_full,signo_zodiacal_capricornio,8,0.5,0.53,0.5389393939393939,0.5599999999999999,0.5462626262626263,0.542,0.622905354449472,5.6,5.0,5.0,4.4
knn_full,signo_zodiacal_capricornio,9,0.5,0.5,0.4983838383838384,0.62,0.5447503373819164,0.5199999999999999,0.5925690241131417,6.2,6.2,3.8,3.8
knn_full,signo_zodiacal_capricornio,10,0.5,0.48999999999999994,0.5166233766233767,0.45999999999999996,0.4643290043290043,0.433,0.5291279102734211,4.6,4.8,5.2,5.4
knn_full,signo_zodiacal_capricornio,11,0.5,0.5399999999999999,0.5766666666666667,0.6,0.5615538847117795,0.562,0.6450955613014436,6.0,5.2,4.8,4.0
knn_full,signo_zodiacal_capricornio,12,0.5,0.54,0.529994270435447,0.78,0.6276760276760276,0.529,0.575058542334858,7.8,7.0,3.0,2.2
knn_full,signo_zodiacal_capricornio,13,0.5,0.55,0.5771428571428571,0.4,0.4670588235294117,0.548,0.575279598024954,4.0,3.0,7.0,6.0
knn_full,signo_zodiacal_capricornio,14,0.5,0.5900000000000001,0.6728571428571428,0.36,0.4537642749407455,0.6300000000000001,0.6600223361090234,3.6,1.8,8.2,6.4
knn_full,signo_zodiacal_capricornio,15,0.5,0.5,0.5,0.30000000000000004,0.36111111111111105,0.4640000000000001,0.5458290239172591,3.0,3.0,7.0,7.0
knn_full,signo_zodiacal_capricornio,16,0.5,0.67,0.6897619047619047,0.6399999999999999,0.6577421271538919,0.658,0.6743285874771943,6.4,3.0,7.0,3.6
knn_full,signo_zodiacal_capricornio,17,0.5,0.5,0.2,0.02,0.03636363636363636,0.418,0.5100813245062471,0.2,0.2,9.8,9.8
knn_full,signo_zodiacal_capricornio,18,0.5,0.54,0.5339393939393939,0.6599999999999999,0.5874202898550724,0.514,0.5922872852122079,6.6,5.8,4.2,3.4
knn_full,signo_zodiacal_capricornio,19,0.5,0.41999999999999993,0.38190476190476186,0.18000000000000002,0.24006787330316742,0.43400000000000005,0.5438141786833737,1.8,3.4,6.6,8.2
knn_full,signo_zodiacal_capricornio,20,0.5,0.52,0.522886002886003,0.4600000000000001,0.47749641483387617,0.5399999999999999,0.5973313881680754,4.6,4.2,5.8,5.4
knn_full,signo_zodiacal_capricornio,21,0.5,0.53,0.6216666666666667,0.24000000000000005,0.3172915972915973,0.515,0.5661439002174296,2.4,1.8,8.2,7.6
knn_full,signo_zodiacal_capricornio,22,0.5,0.5199999999999999,0.5272727272727272,0.44000000000000006,0.47111111111111104,0.4880000000000001,0.5627153249227552,4.4,4.0,6.0,5.6
knn_full,signo_zodiacal_capricornio,23,0.5,0.43,0.4425641025641026,0.5800000000000001,0.5011225296442687,0.46799999999999997,0.5506162644544997,5.8,7.2,2.8,4.2
knn_full,signo_zodiacal_capricornio,24,0.5,0.5499999999999999,0.5475790875790876,0.74,0.6265883102404841,0.5730000000000001,0.6595963366698661,7.4,6.4,3.6,2.6
knn_full,signo_zodiacal_capricornio,25,0.5,0.34,0.31106060606060604,0.26,0.2757359307359307,0.356,0.4498867521367521,2.6,5.8,4.2,7.4
knn_full,signo_zodiacal_capricornio,26,0.5,0.5,0.47328431372549024,0.74,0.5498182532665291,0.414,0.4895550478932832,7.4,7.4,2.6,2.6
knn_full,signo_zodiacal_capricornio,27,0.5,0.5900000000000001,0.6011111111111112,0.5,0.5433023735810113,0.588,0.6565934626948557,5.0,3.2,6.8,5.0
knn_full,signo_zodiacal_capricornio,28,0.5,0.5599999999999999,0.5453546453546453,0.68,0.6026915113871636,0.547,0.5719382088499735,6.8,5.6,4.4,3.2
knn_full,signo_zodiacal_capricornio,29,0.5,0.6200000000000001,0.6119658119658119,0.64,0.6233409610983982,0.6620000000000001,0.6773079410269812,6.4,4.0,6.0,3.6
knn_full,signo_zodiacal_capricornio,30,0.5,0.53,0.53,0.24,0.3283333333333333,0.5700000000000001,0.6013355239531709,2.4,1.8,8.2,7.6
knn_full,signo_zodiacal_capricornio,31,0.5,0.4800000000000001,0.4494949494949495,0.42000000000000004,0.4327485380116959,0.516,0.5760868483941239,4.2,4.6,5.4,5.8
knn_full,signo_zodiacal_capricornio,32,0.5,0.51,0.5010714285714286,0.7,0.5822797202797203,0.476,0.4922409508276382,7.0,6.8,3.2,3.0
