modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn_full,signo_zodiacal_escorpio,1,0.5,0.48,0.46761904761904755,0.34,0.3880065359477124,0.4720000000000001,0.5395258891435362,3.4,3.8,6.2,6.6
knn_full,signo_zodiacal_escorpio,2,0.5,0.51,0.4166666666666667,0.18,0.2458791208791209,0.517,0.5873084046156801,1.8,1.6,8.4,8.2
knn_full,signo_zodiacal_escorpio,3,0.5,0.38,0.38783216783216784,0.42000000000000004,0.40219461697722564,0.374,0.5105869063856681,4.2,6.6,3.4,5.8
knn_full,signo_zodiacal_escorpio,4,0.5,0.51,0.5179271708683473,0.54,0.5076568054122234,0.524,0.5640732333541931,5.4,5.2,4.8,4.6
knn_full,signo_zodiacal_escorpio,5,0.5,0.5200000000000001,0.5129554655870445,0.8400000000000001,0.6345989398463161,0.539,0.5684656068905294,8.4,8.0,2.0,1.6
knn_full,signo_zodiacal_escorpio,6,0.5,0.52,0.525,0.45999999999999996,0.48888888888888893,0.5700000000000001,0.607128147566228,4.6,4.2,5.8,5.4
knn_full,signo_zodiacal_escorpio,7,0.5,0.6,0.5852463326147536,0.7999999999999999,0.6707217819661597,0.5900000000000001,0.6538233166042764,8.0,6.0,4.0,2.0
knn_full,signo_zodiacal_escorpio,8,0.5,0.55,0.64,0.42000000000000004,0.4666666666666667,0.526,0.6270337452365315,4.2,3.2,6.8,5.8
knn_full,signo_zodiacal_escorpio,9,0.5,0.5399999999999999,0.5362470862470863,0.5800000000000001,0.553842775581906,0.53,0.6196403606713204,5.8,5.0,5.0,4.2
knn_full,signo_zodiacal_escorpio,10,0.5,0.4699999999999999,0.481025641025641,0.6799999999999999,0.563072463768116,0.506,0.5332411483425415,6.8,7.4,2.6,3.2
knn_full,signo_zodiacal_escorpio,11,0.5,0.44000000000000006,0.4338528138528138,0.4800000000000001,0.442110275689223,0.442,0.5437912026913575,4.8,6.0,4.0,5.2
knn_full,signo_zodiacal_escorpio,12,0.5,0.56,0.6133333333333333,0.32,0.40888888888888897,0.585,0.6319231971159216,3.2,2.0,8.0,6.8
knn_full,signo_zodiacal_escorpio,13,0.5,0.53,0.5434065934065934,0.62,0.5656785243741765,0.5529999999999999,0.589732377701418,6.2,5.6,4.4,3.8
knn_full,signo_zodiacal_escorpio,14,0.5,0.5000000000000001,0.26666666666666666,0.08,0.12307692307692308,0.45599999999999996,0.4942329882020283,0.8,0.8,9.2,9.2
knn_full,signo_zodiacal_escorpio,15,0.5,0.53,0.5012698412698413,0.36,0.39795665634674926,0.499,0.5274132333954314,3.6,3.0,7.0,6.4
knn_full,signo_zodiacal_escorpio,16,0.5,0.43000000000000005,0.4027777777777778,0.32,0.35526315789473684,0.40599999999999997,0.49718536142220354,3.2,4.6,5.4,6.8
knn_full,signo_zodiacal_escorpio,17,0.5,0.45,0.47597069597069597,0.5,0.47604743083003953,0.425,0.5314983539851961,5.0,6.0,4.0,5.0
knn_full,signo_zodiacal_escorpio,18,0.5,0.51,0.5056410256410258,0.7,0.5864347826086957,0.5439999999999999,0.6251170034815545,7.0,6.8,3.2,3.0
knn_full,signo_zodiacal_escorpio,19,0.5,0.51,0.6083333333333333,0.24,0.31731601731601733,0.6290000000000001,0.6515264147617088,2.4,2.2,7.8,7.6
knn_full,signo_zodiacal_escorpio,20,0.5,0.49000000000000005,0.5166666666666667,0.26000000000000006,0.3290476190476191,0.5,0.5810215791260683,2.6,2.8,7.2,7.4
knn_full,signo_zodiacal_escorpio,21,0.5,0.43000000000000005,0.41904761904761906,0.31999999999999995,0.3464912280701754,0.42299999999999993,0.5166088825175512,3.2,4.6,5.4,6.8
