modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn_full,signo_zodiacal_leo,1,0.5,0.5700000000000001,0.5852813852813853,0.54,0.5562283605627258,0.5609999999999999,0.6224075287457641,5.4,4.0,6.0,4.6
knn_full,signo_zodiacal_leo,2,0.5,0.53,0.5151404151404151,0.52,0.5051779064028358,0.46499999999999997,0.5056453997498889,5.2,4.6,5.4,4.8
knn_full,signo_zodiacal_leo,3,0.5,0.49000000000000005,0.4976190476190476,0.36,0.3961378490790256,0.458,0.5364790391067481,3.6,3.8,6.2,6.4
knn_full,signo_zodiacal_leo,4,0.5,0.51,0.5700000000000001,0.18,0.26754578754578756,0.44899999999999995,0.5208360914111687,1.8,1.6,8.4,8.2
knn_full,signo_zodiacal_leo,5,0.5,0.51,0.4992132867132867,0.64,0.5581114537636276,0.5,0.5769697067638244,6.4,6.2,3.8,3.6
knn_full,signo_zodiacal_leo,6,0.5,0.42000000000000004,0.3740476190476191,0.28,0.3155882352941176,0.44000000000000006,0.5236512919485056,2.8,4.4,5.6,7.2
knn_full,signo_zodiacal_leo,7,0.5,0.58,0.6152680652680653,0.5599999999999999,0.5632975719932242,0.534,0.5561351987365919,5.6,4.0,6.0,4.4
knn_full,signo_zodiacal_leo,8,0.5,0.41,0.3793939393939394,0.36000000000000004,0.3639948355737829,0.39,0.479321411646489,3.6,5.4,4.6,6.4
knn_full,signo_zodiacal_leo,9,0.5,0.45,0.4523076923076923,0.6,0.5143478260869565,0.485,0.5850143380011801,6.0,7.0,3.0,4.0
knn_full,signo_zodiacal_leo,10,0.5,0.48,0.5466666666666666,0.30000000000000004,0.36440004440004437,0.48200000000000004,0.5411272246845001,3.0,3.4,6.6,7.0
knn_full,signo_zodiacal_leo,11,0.5,0.49000000000000005,0.49460317460317454,0.48,0.48198830409356724,0.47000000000000003,0.5547077095591028,4.8,5.0,5.0,5.2
knn_full,signo_zodiacal_leo,12,0.5,0.4600000000000001,0.44666666666666666,0.28,0.3232412032412032,0.42300000000000004,0.5238810721442301,2.8,3.6,6.4,7.2
knn_full,signo_zodiacal_leo,13,0.5,0.53,0.5293406593406594,0.5,0.4901132626963829,0.5539999999999999,0.5685245653039771,5.0,4.4,5.6,5.0
knn_full,signo_zodiacal_leo,14,0.5,0.6,0.6514285714285715,0.44000000000000006,0.5115948241644837,0.6199999999999999,0.7029006173564997,4.4,2.4,7.6,5.6
knn_full,signo_zodiacal_leo,15,0.5,0.5599999999999999,0.5351260504201681,0.86,0.6588148148148146,0.576,0.6239987220381956,8.6,7.4,2.6,1.4
knn_full,signo_zodiacal_leo,16,0.5,0.43,0.4458974358974359,0.58,0.503304347826087,0.434,0.5050485805044629,5.8,7.2,2.8,4.2
knn_full,signo_zodiacal_leo,17,0.5,0.47000000000000003,0.4890196078431372,0.6,0.5311104022682971,0.453,0.543558758063402,6.0,6.6,3.4,4.0
knn_full,signo_zodiacal_leo,18,0.5,0.45,0.41500000000000004,0.36,0.38020202020202015,0.409,0.48125721560860885,3.6,4.6,5.4,6.4
knn_full,signo_zodiacal_leo,19,0.5,0.48,0.54,0.18000000000000002,0.2523160173160173,0.47300000000000003,0.5329288299419879,1.8,2.2,7.8,8.2
knn_full,signo_zodiacal_leo,20,0.5,0.51,0.5074509803921569,0.74,0.6006054750402577,0.517,0.5578857443725865,7.4,7.2,2.8,2.6
knn_full,signo_zodiacal_leo,21,0.5,0.53,0.5583333333333333,0.36,0.4286967418546365,0.6039999999999999,0.6356387203268008,3.6,3.0,7.0,6.4
knn_full,signo_zodiacal_leo,22,0.5,0.58,0.5761111111111111,0.6,0.5717460317460318,0.623,0.6417071986321213,6.0,4.4,5.6,4.0
knn_full,signo_zodiacal_leo,23,0.5,0.4800000000000001,0.4822368421052632,0.78,0.5874693364711513,0.492,0.5764631485645417,7.8,8.2,1.8,2.2
knn_full,signo_zodiacal_leo,24,0.5,0.44000000000000006,0.4541666666666666,0.52,0.4633200133200133,0.406,0.5092972795178677,5.2,6.4,3.6,4.8
knn_full,signo_zodiacal_leo,25,0.5,0.48,0.4763791763791764,0.64,0.5416525503482026,0.42400000000000004,0.5064743110346825,6.4,6.8,3.2,3.6
knn_full,signo_zodiacal_leo,26,0.5,0.51,0.5072712418300653,0.74,0.5956043956043956,0.47000000000000003,0.5454274891774892,7.4,7.2,2.8,2.6
knn_full,signo_zodiacal_leo,27,0.5,0.4600000000000001,0.4816161616161615,0.36,0.4004010025062657,0.42700000000000005,0.5600844808785985,3.6,4.4,5.6,6.4
knn_full,signo_zodiacal_leo,28,0.5,0.47000000000000003,0.48698412698412696,0.45999999999999996,0.46011426963129753,0.44000000000000006,0.5360365662029749,4.6,5.2,4.8,5.4
knn_full,signo_zodiacal_leo,29,0.5,0.55,0.645,0.3,0.38,0.5880000000000001,0.602026602482485,3.0,2.0,8.0,7.0
knn_full,signo_zodiacal_leo,30,0.5,0.42000000000000004,0.42135531135531135,0.48,0.44251181895683167,0.43,0.5061272687580738,4.8,6.4,3.6,5.2
knn_full,signo_zodiacal_leo,31,0.5,0.5000000000000001,0.481547619047619,0.38,0.3880485527544351,0.4640000000000001,0.5450868196131353,3.8,3.8,6.2,6.2
knn_full,signo_zodiacal_leo,32,0.5,0.58,0.5901298701298702,0.6,0.5876470588235294,0.529,0.5648461158724316,6.0,4.4,5.6,4.0
knn_full,signo_zodiacal_leo,33,0.5,0.5,0.5026190476190476,0.32,0.3891176470588235,0.538,0.5701031327633495,3.2,3.2,6.8,6.8
knn_full,signo_zodiacal_leo,34,0.5,0.53,0.5184313725490196,0.86,0.6465185185185185,0.591,0.622062474505199,8.6,8.0,2.0,1.4
knn_full,signo_zodiacal_leo,35,0.5,0.53,0.5253170848759084,0.7200000000000001,0.6034574121530643,0.5519999999999999,0.6117390387390387,7.2,6.6,3.4,2.8
knn_full,signo_zodiacal_leo,36,0.5,0.43,0.40714285714285714,0.38,0.38594771241830067,0.43900000000000006,0.5505216635789392,3.8,5.2,4.8,6.2
knn_full,signo_zodiacal_leo,37,0.5,0.44000000000000006,0.44333333333333336,0.5,0.464046783625731,0.43000000000000005,0.504426000899685,5.0,6.2,3.8,5.0
knn_full,signo_zodiacal_leo,38,0.5,0.43,0.3509090909090909,0.36,0.35523809523809524,0.4,0.4711367505043976,3.6,5.0,5.0,6.4
knn_full,signo_zodiacal_leo,39,0.5,0.5800000000000001,0.5836363636363636,0.5399999999999999,0.5499931647300068,0.5840000000000001,0.6758176658223097,5.4,3.8,6.2,4.6
knn_full,signo_zodiacal_leo,40,0.5,0.41000000000000003,0.42367854367854363,0.48,0.4467538411245505,0.429,0.5032221938708007,4.8,6.6,3.4,5.2
knn_full,signo_zodiacal_leo,41,0.5,0.45999999999999996,0.42000000000000004,0.18,0.2500549450549451,0.388,0.4731869154237575,1.8,2.6,7.4,8.2
knn_full,signo_zodiacal_leo,42,0.5,0.51,0.5942857142857143,0.18,0.2504812834224599,0.6440000000000001,0.6491002608502608,1.8,1.6,8.4,8.2
knn_full,signo_zodiacal_leo,43,0.5,0.54,0.5562087912087912,0.48,0.507185279909065,0.538,0.596564192343604,4.8,4.0,6.0,5.2
knn_full,signo_zodiacal_leo,44,0.5,0.5599999999999999,0.5733766233766234,0.4600000000000001,0.50562558356676,0.5439999999999999,0.5753045087867068,4.6,3.4,6.6,5.4
knn_full,signo_zodiacal_leo,45,0.5,0.51,0.5101190476190476,0.5199999999999999,0.5028200557612322,0.51,0.551221713958556,5.2,5.0,5.0,4.8
knn_full,signo_zodiacal_leo,46,0.5,0.47000000000000003,0.46590909090909083,0.42000000000000004,0.43570155334861216,0.5050000000000001,0.6116904674273094,4.2,4.8,5.2,5.8
knn_full,signo_zodiacal_leo,47,0.5,0.53,0.5383600713012477,0.6,0.5466455026455026,0.49099999999999994,0.546174676200992,6.0,5.4,4.6,4.0
knn_full,signo_zodiacal_leo,48,0.5,0.47000000000000003,0.4634188034188035,0.4800000000000001,0.4604998728705823,0.44399999999999995,0.5529459060031815,4.8,5.4,4.6,5.2
knn_full,signo_zodiacal_leo,49,0.5,0.48,0.4714285714285714,0.38,0.4161764705882353,0.48200000000000004,0.5589608620653512,3.8,4.2,5.8,6.2
knn_full,signo_zodiacal_leo,50,0.5,0.5800000000000001,0.6528571428571428,0.3,0.40233570351217407,0.627,0.66221891996892,3.0,1.4,8.6,7.0
knn_full,signo_zodiacal_leo,51,0.5,0.39,0.4027838827838828,0.45999999999999996,0.42636802810715857,0.388,0.4980882102074052,4.6,6.8,3.2,5.4
knn_full,signo_zodiacal_leo,52,0.5,0.5,0.4696969696969697,0.52,0.4892857142857142,0.532,0.60694878221194,5.2,5.2,4.8,4.8
knn_full,signo_zodiacal_leo,53,0.5,0.45999999999999996,0.34805194805194806,0.2,0.2346046110751993,0.477,0.5452588418633311,2.0,2.8,7.2,8.0
knn_full,signo_zodiacal_leo,54,0.5,0.58,0.5558333333333333,0.6600000000000001,0.5870675990675991,0.5650000000000001,0.5687039159670738,6.6,5.0,5.0,3.4
knn_full,signo_zodiacal_leo,55,0.5,0.48,0.4743808049535604,0.74,0.56927006582179,0.537,0.5978358934666984,7.4,7.8,2.2,2.6
knn_full,signo_zodiacal_leo,56,0.5,0.42000000000000004,0.4105555555555555,0.4,0.38633249791144525,0.394,0.5108791321337761,4.0,5.6,4.4,6.0
knn_full,signo_zodiacal_leo,57,0.5,0.5,0.5032085561497326,0.62,0.5474506974506974,0.47400000000000003,0.5124043189352786,6.2,6.2,3.8,3.8
knn_full,signo_zodiacal_leo,58,0.5,0.43999999999999995,0.4514285714285714,0.5,0.46409090909090905,0.41600000000000004,0.5065215901229834,5.0,6.2,3.8,5.0
knn_full,signo_zodiacal_leo,59,0.5,0.57,0.6628571428571429,0.32,0.42328808446455507,0.5970000000000001,0.6522392956201006,3.2,1.8,8.2,6.8
knn_full,signo_zodiacal_leo,60,0.5,0.48,0.4866161616161616,0.38,0.4175438596491228,0.48600000000000004,0.5625929250488074,3.8,4.2,5.8,6.2
knn_full,signo_zodiacal_leo,61,0.5,0.55,0.7666666666666666,0.18,0.2675990675990676,0.5940000000000001,0.625042696467619,1.8,0.8,9.2,8.2
knn_full,signo_zodiacal_leo,62,0.5,0.47000000000000003,0.472020202020202,0.44000000000000006,0.4446160856687172,0.516,0.5884579217651973,4.4,5.0,5.0,5.6
