modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn_full,signo_zodiacal_libra,1,0.5,0.49000000000000005,0.48666666666666664,0.38,0.41649122807017547,0.44000000000000006,0.5148105428283447,3.8,4.0,6.0,6.2
knn_full,signo_zodiacal_libra,2,0.5,0.56,0.660952380952381,0.3,0.4012971342383107,0.5119999999999999,0.6255334033012051,3.0,1.8,8.2,7.0
knn_full,signo_zodiacal_libra,3,0.5,0.5900000000000001,0.564029304029304,0.54,0.5232329988851727,0.655,0.6699122631754211,5.4,3.6,6.4,4.6
knn_full,signo_zodiacal_libra,4,0.5,0.41,0.45714285714285713,0.13999999999999999,0.19175579322638145,0.33599999999999997,0.47314744792531166,1.4,3.2,6.8,8.6
knn_full,signo_zodiacal_libra,5,0.5,0.4800000000000001,0.43666666666666665,0.16,0.2298168498168498,0.5710000000000001,0.6029633862869156,1.6,2.0,8.0,8.4
knn_full,signo_zodiacal_libra,6,0.5,0.44000000000000006,0.44893106893106893,0.5,0.4684748102139406,0.386,0.4803731099481873,5.0,6.2,3.8,5.0
knn_full,signo_zodiacal_libra,7,0.5,0.45999999999999996,0.2866666666666666,0.18000000000000002,0.2188888888888889,0.48200000000000004,0.5334026647587019,1.8,2.6,7.4,8.2
knn_full,signo_zodiacal_libra,8,0.5,0.4600000000000001,0.3964102564102564,0.3,0.32413043478260867,0.42800000000000005,0.5089508367449544,3.0,3.8,6.2,7.0
knn_full,signo_zodiacal_libra,9,0.5,0.45999999999999996,0.4694381598793364,0.6599999999999999,0.5455176063871716,0.526,0.5906507279270437,6.6,7.4,2.6,3.4
knn_full,signo_zodiacal_libra,10,0.5,0.55,0.5430438842203548,0.64,0.5736159096234477,0.585,0.6231558251689832,6.4,5.4,4.6,3.6
knn_full,signo_zodiacal_libra,11,0.5,0.4699999999999999,0.4763038818766373,0.74,0.576739408073741,0.43,0.5095374635684233,7.4,8.0,2.0,2.6
knn_full,signo_zodiacal_libra,12,0.5,0.52,0.5546031746031745,0.32,0.3986082854194309,0.531,0.5706493692066448,3.2,2.8,7.2,6.8
knn_full,signo_zodiacal_libra,13,0.5,0.48999999999999994,0.48571428571428577,0.3,0.35392156862745094,0.434,0.5060593458828754,3.0,3.2,6.8,7.0
knn_full,signo_zodiacal_libra,14,0.5,0.61,0.6241025641025642,0.6599999999999999,0.6220816864295124,0.6519999999999999,0.6871576354502051,6.6,4.4,5.6,3.4
knn_full,signo_zodiacal_libra,15,0.5,0.5,0.5021153846153846,0.6,0.5382683017465626,0.51,0.5749120862797333,6.0,6.0,4.0,4.0
knn_full,signo_zodiacal_libra,16,0.5,0.59,0.6125541125541125,0.4800000000000001,0.5224089635854342,0.6180000000000001,0.6456431324093862,4.8,3.0,7.0,5.2
knn_full,signo_zodiacal_libra,17,0.5,0.41000000000000003,0.3595238095238095,0.28,0.30937638213180013,0.3969999999999999,0.4696586730263201,2.8,4.6,5.4,7.2
knn_full,signo_zodiacal_libra,18,0.5,0.42000000000000004,0.4156410256410257,0.5,0.44988317962231006,0.398,0.5044828443829992,5.0,6.6,3.4,5.0
knn_full,signo_zodiacal_libra,19,0.5,0.42000000000000004,0.38333333333333336,0.28,0.3160609857978279,0.46399999999999997,0.5362939076747126,2.8,4.4,5.6,7.2
knn_full,signo_zodiacal_libra,20,0.5,0.43,0.4066666666666666,0.24,0.29547619047619045,0.413,0.4832731362205046,2.4,3.8,6.2,7.6
knn_full,signo_zodiacal_libra,21,0.5,0.5,0.5154761904761905,0.44000000000000006,0.46934046345811054,0.506,0.5884900269149494,4.4,4.4,5.6,5.6
knn_full,signo_zodiacal_libra,22,0.5,0.48,0.45666666666666667,0.24,0.3135714285714285,0.46299999999999997,0.5438308070498473,2.4,2.8,7.2,7.6
knn_full,signo_zodiacal_libra,23,0.5,0.53,0.558974358974359,0.64,0.5711823249214554,0.608,0.679367491555572,6.4,5.8,4.2,3.6
knn_full,signo_zodiacal_libra,24,0.5,0.54,0.5476190476190477,0.3,0.3832202111613876,0.6239999999999999,0.5948021047579871,3.0,2.2,7.8,7.0
knn_full,signo_zodiacal_libra,25,0.5,0.49000000000000005,0.47944444444444445,0.32,0.37859649122807015,0.453,0.5400615397674221,3.2,3.4,6.6,6.8
knn_full,signo_zodiacal_libra,26,0.5,0.55,0.5684126984126984,0.42000000000000004,0.4662731695549033,0.5449999999999999,0.5728317489184362,4.2,3.2,6.8,5.8
knn_full,signo_zodiacal_libra,27,0.5,0.5599999999999999,0.5516317016317016,0.6,0.5712340799297321,0.576,0.592893178888535,6.0,4.8,5.2,4.0
knn_full,signo_zodiacal_libra,28,0.5,0.54,0.6133333333333334,0.24000000000000005,0.323030303030303,0.6,0.6368324812442459,2.4,1.6,8.4,7.6
