modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
knn_full,signo_zodiacal_sagitario,1,0.5,0.5599999999999999,0.5697712418300653,0.5199999999999999,0.5191311612364243,0.6050000000000001,0.664687395507829,5.2,4.0,6.0,4.8
knn_full,signo_zodiacal_sagitario,2,0.5,0.5,0.4883333333333333,0.38,0.4213157894736842,0.538,0.5864187201687201,3.8,3.8,6.2,6.2
knn_full,signo_zodiacal_sagitario,3,0.5,0.43,0.44264485514485513,0.6,0.5077958273610448,0.44200000000000006,0.5538767391019712,6.0,7.4,2.6,4.0
knn_full,signo_zodiacal_sagitario,4,0.5,0.4800000000000001,0.48649859943977586,0.7,0.5722760942760943,0.542,0.5988560522724609,7.0,7.4,2.6,3.0
knn_full,signo_zodiacal_sagitario,5,0.5,0.45,0.5016849816849817,0.32,0.34516164994425863,0.42000000000000004,0.5062287816242924,3.2,4.2,5.8,6.8
knn_full,signo_zodiacal_sagitario,6,0.5,0.48999999999999994,0.5704761904761904,0.26000000000000006,0.32564468211527037,0.483,0.5773759773937793,2.6,2.8,7.2,7.4
knn_full,signo_zodiacal_sagitario,7,0.5,0.47000000000000003,0.43995098039215685,0.64,0.5141478891478892,0.49000000000000005,0.5270255665387245,6.4,7.0,3.0,3.6
knn_full,signo_zodiacal_sagitario,8,0.5,0.4,0.39444444444444443,0.32,0.3479665071770335,0.434,0.4957451133318006,3.2,5.2,4.8,6.8
knn_full,signo_zodiacal_sagitario,9,0.5,0.49000000000000005,0.4927631578947368,0.8400000000000001,0.6205521171038413,0.5289999999999999,0.5728290047585712,8.4,8.6,1.4,1.6
knn_full,signo_zodiacal_sagitario,10,0.5,0.49000000000000005,0.4690909090909091,0.27999999999999997,0.3292857142857143,0.45499999999999996,0.5422689614307261,2.8,3.0,7.0,7.2
knn_full,signo_zodiacal_sagitario,11,0.5,0.39,0.28095238095238095,0.16,0.20126050420168068,0.43900000000000006,0.49893298531533825,1.6,3.8,6.2,8.4
knn_full,signo_zodiacal_sagitario,12,0.5,0.48,0.49404761904761896,0.36,0.3904600301659125,0.5329999999999999,0.6101376417699946,3.6,4.0,6.0,6.4
knn_full,signo_zodiacal_sagitario,13,0.5,0.51,0.5043589743589744,0.7,0.5853148880105402,0.499,0.5522233116041166,7.0,6.8,3.2,3.0
knn_full,signo_zodiacal_sagitario,14,0.5,0.51,0.5233766233766234,0.64,0.5565236620964175,0.485,0.5921436100878825,6.4,6.2,3.8,3.6
