,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.49844,0.04865697691807015,0.49651919662896443,0.07159039502429866,0.50532,0.19364579775967242,0.4735724880073263,0.11822655825160551,0.49647800000000003,0.06821301596538738,0.5629309563943109,0.05325624009513426,5.0531999999999995,1.936457977596725,5.0844,1.9022601892631077,4.9156,1.9022601892631077,4.9468000000000005,1.9364579775967248
signo_zodiacal_aries,0.5,0.0,0.49984,0.05021371560110781,0.497615376359107,0.07989183535186108,0.5137999999999999,0.20108911871937454,0.4766220247993029,0.12462998922050986,0.498056,0.06821912166777173,0.5643390079359925,0.052851257677555455,5.138,2.010891187193745,5.1411999999999995,2.0187851661566643,4.8588000000000005,2.0187851661566643,4.862,2.0108911871937454
signo_zodiacal_cancer,0.5,0.0,0.4983,0.04968145019004553,0.4953587567386174,0.07680955295477696,0.4972,0.19310810827866834,0.46775434153249573,0.11983060712320663,0.49881200000000003,0.06857467190774237,0.5649864141914157,0.051602393789120564,4.972,1.9310810827866842,5.006,1.9762629456782619,4.994,1.976262945678262,5.028,1.931081082786684
signo_zodiacal_capricornio,0.5,0.0,0.50268,0.04805659656015911,0.49841514184473934,0.0802318581430449,0.4988,0.20503912330130636,0.4684801254987692,0.1287318127842727,0.499406,0.06648516916906265,0.5660105924431604,0.0527872212940933,4.988,2.0503912330130647,4.934399999999999,2.061931075356069,5.065600000000001,2.061931075356069,5.012,2.0503912330130647
signo_zodiacal_escorpio,0.5,0.0,0.50038,0.04777258670074463,0.49727583721060503,0.07569480909055676,0.5034,0.19778036846031158,0.47110842675365266,0.12477677948582913,0.5001140000000001,0.06441179054740713,0.5662168821106653,0.04985328653408246,5.034,1.9778036846031144,5.0264,1.995813012072603,4.9736,1.995813012072603,4.966,1.9778036846031146
signo_zodiacal_geminis,0.5,0.0,0.49604000000000004,0.049270412491617996,0.4929606942404001,0.07556727753938611,0.48960000000000004,0.1999975951759229,0.4615733794718448,0.12512045392093926,0.497052,0.06675181574917363,0.5644870068211802,0.05151778669043052,4.896,1.999975951759228,4.9752,2.001608811848944,5.0248,2.0016088118489446,5.104,1.999975951759228
signo_zodiacal_leo,0.5,0.0,0.49672000000000005,0.04817762725098726,0.4955468836426731,0.07828070595201933,0.50216,0.19660070721172962,0.46934404899066323,0.12025010953692679,0.496546,0.06743568065981172,0.5642276722958843,0.05360688036288386,5.0216,1.966007072117298,5.0872,2.014794021705396,4.9128,2.0147940217053955,4.9784,1.9660070721172977
signo_zodiacal_libra,0.5,0.0,0.50088,0.04991802498533846,0.49807157537508934,0.08020400104760991,0.49307999999999996,0.19256967507766903,0.4676932996932688,0.12015030482012477,0.501696,0.06915614744517591,0.5663603401033092,0.054235129384829515,4.9308000000000005,1.9256967507766911,4.9132,1.8957778634151292,5.0868,1.8957778634151292,5.0691999999999995,1.9256967507766913
signo_zodiacal_piscis,0.5,0.0,0.4999,0.05041501112459843,0.4948652183300016,0.07768132585549913,0.49451999999999996,0.18569149755583603,0.4679456663770893,0.11918569897023465,0.5031220000000001,0.06897903544310638,0.5677792619597465,0.05370410031011606,4.9452,1.8569149755583605,4.9472,1.8209898869397039,5.0528,1.8209898869397037,5.0548,1.8569149755583605
signo_zodiacal_sagitario,0.5,0.0,0.4977,0.04761769513300239,0.49407809125515006,0.07594346650955479,0.49704000000000004,0.2005864108468788,0.46612503104164715,0.12605115811793074,0.499498,0.066981123743005,0.5641392345513104,0.052023013242412784,4.9704,2.005864108468788,5.0164,2.002235984562197,4.9836,2.002235984562197,5.0296,2.0058641084687876
signo_zodiacal_tauro,0.5,0.0,0.49954000000000004,0.050966494554111404,0.4944898767022451,0.07703059404776073,0.50784,0.20120910667566333,0.47243946088480954,0.12584117643125708,0.49787400000000004,0.06862723598570815,0.5642605310250465,0.052408727434169286,5.078399999999999,2.0120910667566325,5.0876,1.990822188436713,4.9124,1.9908221884367132,4.921600000000001,2.0120910667566325
signo_zodiacal_virgo,0.5,0.0,0.5005,0.05174654974799423,0.5027514292862281,0.08254454015993408,0.4918,0.18702383760275937,0.46813569686118967,0.11688897290818345,0.49881400000000004,0.06896029617756724,0.5668423191768671,0.05634639487110752,4.918,1.8702383760275936,4.908,1.946667673245775,5.092,1.9466676732457748,5.082,1.8702383760275936
