modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_acuario,1,0.5,0.54,0.5505494505494506,0.58,0.5580009078730306,0.5,0.5444174960746169,5.8,5.0,5.0,4.2
lr,signo_zodiacal_acuario,2,0.5,0.48,0.46960317460317463,0.41999999999999993,0.44146542827657387,0.532,0.6384462959640977,4.2,4.6,5.4,5.8
lr,signo_zodiacal_acuario,3,0.5,0.6,0.5954545454545455,0.62,0.6059694691273638,0.64,0.6638282360913941,6.2,4.2,5.8,3.8
lr,signo_zodiacal_acuario,4,0.5,0.55,0.5334188034188034,0.54,0.5265806809513903,0.602,0.6222229873669501,5.4,4.4,5.6,4.6
lr,signo_zodiacal_acuario,5,0.5,0.4699999999999999,0.4404761904761905,0.43999999999999995,0.4349376114081996,0.388,0.44972592070811884,4.4,5.0,5.0,5.6
lr,signo_zodiacal_acuario,6,0.5,0.41,0.42025641025641025,0.48,0.4473894221720308,0.41200000000000003,0.5103260629978896,4.8,6.6,3.4,5.2
lr,signo_zodiacal_acuario,7,0.5,0.4699999999999999,0.4590909090909091,0.36,0.39761904761904765,0.472,0.5288756243756244,3.6,4.2,5.8,6.4
lr,signo_zodiacal_acuario,8,0.5,0.54,0.5097402597402597,0.45999999999999996,0.47507002801120446,0.5740000000000001,0.6292145903631972,4.6,3.8,6.2,5.4
lr,signo_zodiacal_acuario,9,0.5,0.45999999999999996,0.4392857142857142,0.4600000000000001,0.4424242424242424,0.426,0.5407835338895709,4.6,5.4,4.6,5.4
lr,signo_zodiacal_acuario,10,0.5,0.5800000000000001,0.5800000000000001,0.64,0.6060869565217392,0.576,0.6299361265669315,6.4,4.8,5.2,3.6
lr,signo_zodiacal_acuario,11,0.5,0.41000000000000003,0.4054390054390054,0.42000000000000004,0.406523720368114,0.35200000000000004,0.4434371678373227,4.2,6.0,4.0,5.8
lr,signo_zodiacal_acuario,12,0.5,0.44000000000000006,0.41606171606171605,0.42000000000000004,0.4136060526422621,0.42799999999999994,0.5184484404484404,4.2,5.4,4.6,5.8
lr,signo_zodiacal_acuario,13,0.5,0.55,0.5286047286047286,0.5800000000000001,0.5469966476293034,0.534,0.5773597040214687,5.8,4.8,5.2,4.2
lr,signo_zodiacal_acuario,14,0.5,0.43999999999999995,0.44155011655011656,0.4600000000000001,0.44605056778969826,0.41600000000000004,0.5296212213139458,4.6,5.8,4.2,5.4
lr,signo_zodiacal_acuario,15,0.5,0.57,0.6013986013986014,0.52,0.5480453050785532,0.5619999999999999,0.6390683297610542,5.2,3.8,6.2,4.8
lr,signo_zodiacal_acuario,16,0.5,0.58,0.593968253968254,0.5599999999999999,0.5684657722738218,0.5900000000000001,0.6093435720626124,5.6,4.0,6.0,4.4
lr,signo_zodiacal_acuario,17,0.5,0.53,0.5477777777777778,0.52,0.5313237639553429,0.5139999999999999,0.5783933919537635,5.2,4.6,5.4,4.8
lr,signo_zodiacal_acuario,18,0.5,0.54,0.5434188034188034,0.58,0.5591347935055029,0.538,0.5822682117504099,5.8,5.0,5.0,4.2
lr,signo_zodiacal_acuario,19,0.5,0.43,0.42222222222222217,0.42000000000000004,0.4160287081339713,0.41200000000000003,0.4910205623409958,4.2,5.6,4.4,5.8
lr,signo_zodiacal_acuario,20,0.5,0.39,0.39212121212121215,0.4,0.3955388471177945,0.37999999999999995,0.5212836079469205,4.0,6.2,3.8,6.0
lr,signo_zodiacal_acuario,21,0.5,0.5900000000000001,0.6142424242424244,0.5599999999999999,0.5763997113997114,0.6270000000000001,0.6503945194812069,5.6,3.8,6.2,4.4
lr,signo_zodiacal_acuario,22,0.5,0.5700000000000001,0.585,0.5399999999999999,0.5363809523809524,0.5900000000000001,0.6422624022004826,5.4,4.0,6.0,4.6
lr,signo_zodiacal_acuario,23,0.5,0.51,0.5840909090909091,0.48,0.48926007326007326,0.508,0.584052456917008,4.8,4.6,5.4,5.2
lr,signo_zodiacal_acuario,24,0.5,0.45,0.4353535353535354,0.4,0.41067669172932336,0.49400000000000005,0.5673109478241056,4.0,5.0,5.0,6.0
lr,signo_zodiacal_acuario,25,0.5,0.55,0.5669230769230769,0.5800000000000001,0.5633201581027668,0.532,0.5940955802883047,5.8,4.8,5.2,4.2
lr,signo_zodiacal_acuario,26,0.5,0.54,0.5368686868686868,0.5399999999999999,0.5309125085440874,0.546,0.6227151823065136,5.4,4.6,5.4,4.6
lr,signo_zodiacal_acuario,27,0.5,0.43999999999999995,0.4325757575757575,0.4999999999999999,0.45899567099567096,0.458,0.5324345562418318,5.0,6.2,3.8,5.0
lr,signo_zodiacal_acuario,28,0.5,0.5900000000000001,0.6028571428571429,0.5599999999999999,0.5776470588235294,0.618,0.6810221245043225,5.6,3.8,6.2,4.4
lr,signo_zodiacal_acuario,29,0.5,0.37,0.34984126984126984,0.36,0.35089783281733744,0.312,0.4388306909808458,3.6,6.2,3.8,6.4
