modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_aries,1,0.5,0.48999999999999994,0.5051587301587301,0.52,0.5072833599149389,0.504,0.5806889576711558,5.2,5.4,4.6,4.8
lr,signo_zodiacal_aries,2,0.5,0.49000000000000005,0.4805555555555555,0.52,0.4948165869218501,0.44400000000000006,0.5128188570115815,5.2,5.4,4.6,4.8
lr,signo_zodiacal_aries,3,0.5,0.36000000000000004,0.3591575091575091,0.32,0.3344430983682566,0.328,0.4389772100964052,3.2,6.0,4.0,6.8
lr,signo_zodiacal_aries,4,0.5,0.45999999999999996,0.453021978021978,0.42000000000000004,0.43049161693662974,0.48200000000000004,0.5506927490294362,4.2,5.0,5.0,5.8
lr,signo_zodiacal_aries,5,0.5,0.4699999999999999,0.4666666666666667,0.4,0.42383838383838385,0.502,0.5977281258473208,4.0,4.6,5.4,6.0
lr,signo_zodiacal_aries,6,0.5,0.58,0.5842857142857143,0.5599999999999999,0.5677061638052351,0.607,0.61934359981264,5.6,4.0,6.0,4.4
lr,signo_zodiacal_aries,7,0.5,0.47000000000000003,0.43888888888888894,0.4,0.41426103136629455,0.45600000000000007,0.5623228707137375,4.0,4.6,5.4,6.0
lr,signo_zodiacal_aries,8,0.5,0.51,0.5152680652680652,0.52,0.5134684537430533,0.47400000000000003,0.5691338102042435,5.2,5.0,5.0,4.8
lr,signo_zodiacal_aries,9,0.5,0.47000000000000003,0.4738228438228438,0.54,0.503828345567476,0.45199999999999996,0.5250053763745715,5.4,6.0,4.0,4.6
lr,signo_zodiacal_aries,10,0.5,0.6,0.6027874902874902,0.68,0.6307792893605251,0.6060000000000001,0.6310711408474565,6.8,4.8,5.2,3.2
lr,signo_zodiacal_aries,11,0.5,0.5,0.49191919191919187,0.48,0.48387635756056807,0.45600000000000007,0.5407786570154991,4.8,4.8,5.2,5.2
lr,signo_zodiacal_aries,12,0.5,0.47000000000000003,0.43912698412698414,0.38,0.399457109797667,0.41000000000000003,0.4978589584649956,3.8,4.4,5.6,6.2
lr,signo_zodiacal_aries,13,0.5,0.49000000000000005,0.48722222222222217,0.45999999999999996,0.4614795321637427,0.4800000000000001,0.5339286813977215,4.6,4.8,5.2,5.4
lr,signo_zodiacal_aries,14,0.5,0.53,0.5116666666666667,0.5599999999999999,0.5274130781499202,0.508,0.5685530417295124,5.6,5.0,5.0,4.4
lr,signo_zodiacal_aries,15,0.5,0.5,0.5,0.5,0.4984126984126984,0.558,0.5901181859076596,5.0,5.0,5.0,5.0
lr,signo_zodiacal_aries,16,0.5,0.6199999999999999,0.6263636363636363,0.6199999999999999,0.6209523809523809,0.6180000000000001,0.6472391666640892,6.2,3.8,6.2,3.8
lr,signo_zodiacal_aries,17,0.5,0.51,0.5060606060606061,0.5599999999999999,0.5311688311688311,0.512,0.5540198386065259,5.6,5.4,4.6,4.4
lr,signo_zodiacal_aries,18,0.5,0.51,0.5060606060606061,0.64,0.5643986448334275,0.4880000000000001,0.551454998218156,6.4,6.2,3.8,3.6
lr,signo_zodiacal_aries,19,0.5,0.5,0.5019264069264069,0.48,0.4861149308208132,0.47300000000000003,0.5419372131136837,4.8,4.8,5.2,5.2
lr,signo_zodiacal_aries,20,0.5,0.5700000000000001,0.5754545454545454,0.5399999999999999,0.5551879699248119,0.634,0.6807844726652774,5.4,4.0,6.0,4.6
lr,signo_zodiacal_aries,21,0.5,0.5,0.5059163059163059,0.5599999999999999,0.5290726817042606,0.47400000000000003,0.5450947385947386,5.6,5.6,4.4,4.4
lr,signo_zodiacal_aries,22,0.5,0.51,0.5261904761904761,0.4800000000000001,0.48992869875222816,0.5459999999999999,0.5938636343017147,4.8,4.6,5.4,5.2
lr,signo_zodiacal_aries,23,0.5,0.44000000000000006,0.41948051948051945,0.45999999999999996,0.4373822256175197,0.39,0.4939321744646822,4.6,5.8,4.2,5.4
lr,signo_zodiacal_aries,24,0.5,0.48,0.4678632478632479,0.45999999999999996,0.45855835240274595,0.46799999999999997,0.5531083459024634,4.6,5.0,5.0,5.4
lr,signo_zodiacal_aries,25,0.5,0.45,0.45113386613386613,0.44000000000000006,0.4396289530304876,0.42800000000000005,0.5177974629429738,4.4,5.4,4.6,5.6
lr,signo_zodiacal_aries,26,0.5,0.53,0.528021978021978,0.4600000000000001,0.4618579114608189,0.522,0.5646135443503865,4.6,4.0,6.0,5.4
lr,signo_zodiacal_aries,27,0.5,0.45,0.4248351648351648,0.4,0.4021312872975277,0.4779999999999999,0.5570183258434032,4.0,5.0,5.0,6.0
lr,signo_zodiacal_aries,28,0.5,0.43,0.45619047619047615,0.48,0.46187134502923977,0.327,0.4720755290461172,4.8,6.2,3.8,5.2
lr,signo_zodiacal_aries,29,0.5,0.5399999999999999,0.6266666666666667,0.45999999999999996,0.4872727272727272,0.54,0.64908049466873,4.6,3.8,6.2,5.4
lr,signo_zodiacal_aries,30,0.5,0.52,0.522020202020202,0.5,0.5099749373433584,0.5459999999999999,0.5950763562203191,5.0,4.6,5.4,5.0
lr,signo_zodiacal_aries,31,0.5,0.44000000000000006,0.4210761460761461,0.43999999999999995,0.4270022883295194,0.4619999999999999,0.5535831206976718,4.4,5.6,4.4,5.6
lr,signo_zodiacal_aries,32,0.5,0.6300000000000001,0.6068686868686868,0.7,0.6450034176349966,0.682,0.6663651436283015,7.0,4.4,5.6,3.0
lr,signo_zodiacal_aries,33,0.5,0.5,0.49678321678321674,0.5599999999999999,0.5255486542443064,0.584,0.6632517570149148,5.6,5.6,4.4,4.4
lr,signo_zodiacal_aries,34,0.5,0.43000000000000005,0.4347474747474747,0.52,0.4652631578947369,0.392,0.4797785527166332,5.2,6.6,3.4,4.8
lr,signo_zodiacal_aries,35,0.5,0.6699999999999999,0.7178388278388278,0.5800000000000001,0.6151787002426389,0.6799999999999999,0.717272475460556,5.8,2.4,7.6,4.2
lr,signo_zodiacal_aries,36,0.5,0.57,0.556068376068376,0.6,0.5735302683586436,0.6140000000000001,0.6432643059554823,6.0,4.6,5.4,4.0
lr,signo_zodiacal_aries,37,0.5,0.47000000000000003,0.46904761904761905,0.42000000000000004,0.4364973262032086,0.46799999999999997,0.5583105803724997,4.2,4.8,5.2,5.8
lr,signo_zodiacal_aries,38,0.5,0.5,0.5096153846153846,0.5,0.49480676328502415,0.4840000000000001,0.5803132992738256,5.0,5.0,5.0,5.0
lr,signo_zodiacal_aries,39,0.5,0.42000000000000004,0.4254545454545455,0.44000000000000006,0.43238095238095237,0.392,0.4769832944832945,4.4,6.0,4.0,5.6
lr,signo_zodiacal_aries,40,0.5,0.5,0.5034188034188034,0.54,0.519134793505503,0.488,0.5739909997982753,5.4,5.4,4.6,4.6
lr,signo_zodiacal_aries,41,0.5,0.5,0.47888888888888886,0.33999999999999997,0.387781954887218,0.526,0.5958330717270346,3.4,3.4,6.6,6.6
lr,signo_zodiacal_aries,42,0.5,0.41000000000000003,0.3829004329004329,0.33999999999999997,0.35783576588530147,0.40800000000000003,0.4946920203979027,3.4,5.2,4.8,6.6
lr,signo_zodiacal_aries,43,0.5,0.43,0.4127777777777778,0.38,0.3910207336523126,0.42000000000000004,0.4918491400240626,3.8,5.2,4.8,6.2
lr,signo_zodiacal_aries,44,0.5,0.39,0.38930402930402935,0.38000000000000006,0.3807026517700902,0.34199999999999997,0.4491119097620645,3.8,6.0,4.0,6.2
lr,signo_zodiacal_aries,45,0.5,0.51,0.510909090909091,0.52,0.5132178932178932,0.554,0.6185280607765128,5.2,5.0,5.0,4.8
lr,signo_zodiacal_aries,46,0.5,0.62,0.6299783549783551,0.58,0.5973007384772091,0.666,0.6953488423341364,5.8,3.4,6.6,4.2
lr,signo_zodiacal_aries,47,0.5,0.39,0.32575757575757575,0.3,0.29912193070087806,0.374,0.4798259497640303,3.0,5.2,4.8,7.0
lr,signo_zodiacal_aries,48,0.5,0.41,0.4201709401709401,0.48,0.4456334512169753,0.39,0.4740156603802115,4.8,6.6,3.4,5.2
lr,signo_zodiacal_aries,49,0.5,0.45999999999999996,0.4356709956709957,0.41999999999999993,0.4188087866725637,0.458,0.5287840127708548,4.2,5.0,5.0,5.8
lr,signo_zodiacal_aries,50,0.5,0.52,0.512987012987013,0.5,0.5019013666072489,0.5700000000000001,0.6517614319804722,5.0,4.6,5.4,5.0
lr,signo_zodiacal_aries,51,0.5,0.5700000000000001,0.5809090909090909,0.58,0.5776623376623377,0.5820000000000001,0.6232851396969044,5.8,4.4,5.6,4.2
lr,signo_zodiacal_aries,52,0.5,0.61,0.5884615384615384,0.6,0.5834435892101796,0.558,0.6257740511122865,6.0,3.8,6.2,4.0
lr,signo_zodiacal_aries,53,0.5,0.51,0.4658333333333333,0.54,0.49386823702613175,0.48,0.5244601031923013,5.4,5.2,4.8,4.6
