modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_escorpio,1,0.5,0.43,0.4341991341991342,0.45999999999999996,0.4425229741019215,0.44400000000000006,0.5543267761650115,4.6,6.0,4.0,5.4
lr,signo_zodiacal_escorpio,2,0.5,0.55,0.5466666666666666,0.5800000000000001,0.5520909090909092,0.534,0.5822148115042851,5.8,4.8,5.2,4.2
lr,signo_zodiacal_escorpio,3,0.5,0.51,0.5427380952380952,0.5199999999999999,0.5079276018099548,0.5069999999999999,0.5713772791535949,5.2,5.0,5.0,4.8
lr,signo_zodiacal_escorpio,4,0.5,0.45,0.4111111111111111,0.41999999999999993,0.4133971291866029,0.4680000000000001,0.5390058007867605,4.2,5.2,4.8,5.8
lr,signo_zodiacal_escorpio,5,0.5,0.45,0.4522222222222222,0.48,0.46421052631578946,0.392,0.49939434868537036,4.8,5.8,4.2,5.2
lr,signo_zodiacal_escorpio,6,0.5,0.6,0.6144444444444443,0.5599999999999999,0.5849122807017544,0.5519999999999999,0.6096937774128176,5.6,3.6,6.4,4.4
lr,signo_zodiacal_escorpio,7,0.5,0.47000000000000003,0.4686868686868687,0.42000000000000004,0.44143692564745196,0.528,0.6052384543561014,4.2,4.8,5.2,5.8
lr,signo_zodiacal_escorpio,8,0.5,0.53,0.5257575757575758,0.5599999999999999,0.5415584415584415,0.5539999999999999,0.6049804166421813,5.6,5.0,5.0,4.4
lr,signo_zodiacal_escorpio,9,0.5,0.51,0.5242424242424242,0.5,0.5043290043290043,0.502,0.5641462595711821,5.0,4.8,5.2,5.0
lr,signo_zodiacal_escorpio,10,0.5,0.37,0.3622222222222222,0.32,0.33456406166932484,0.38899999999999996,0.5167840729961473,3.2,5.8,4.2,6.8
lr,signo_zodiacal_escorpio,11,0.5,0.55,0.5301648351648353,0.62,0.566772068511199,0.6279999999999999,0.6604198085196537,6.2,5.2,4.8,3.8
lr,signo_zodiacal_escorpio,12,0.5,0.48,0.4938888888888888,0.4,0.43532163742690055,0.45199999999999996,0.5589175583618308,4.0,4.4,5.6,6.0
lr,signo_zodiacal_escorpio,13,0.5,0.5599999999999999,0.5534065934065934,0.5799999999999998,0.5618511752527098,0.542,0.6083463213772811,5.8,4.6,5.4,4.2
lr,signo_zodiacal_escorpio,14,0.5,0.47000000000000003,0.46717171717171724,0.4,0.4272138680033416,0.5040000000000001,0.5661454080834886,4.0,4.6,5.4,6.0
lr,signo_zodiacal_escorpio,15,0.5,0.45,0.4488888888888889,0.45999999999999996,0.4488421052631579,0.40800000000000003,0.5073474135943176,4.6,5.6,4.4,5.4
lr,signo_zodiacal_escorpio,16,0.5,0.5700000000000001,0.6011904761904762,0.45999999999999996,0.5176470588235293,0.6159999999999999,0.6659012904879777,4.6,3.2,6.8,5.4
lr,signo_zodiacal_escorpio,17,0.5,0.5,0.4644444444444444,0.4800000000000001,0.46647527910685804,0.534,0.5597663796471847,4.8,4.8,5.2,5.2
lr,signo_zodiacal_escorpio,18,0.5,0.51,0.5268181818181819,0.44000000000000006,0.4704761904761904,0.4640000000000001,0.53862870299635,4.4,4.2,5.8,5.6
lr,signo_zodiacal_escorpio,19,0.5,0.5,0.502020202020202,0.45999999999999996,0.4788638262322472,0.458,0.5487648124149672,4.6,4.6,5.4,5.4
lr,signo_zodiacal_escorpio,20,0.5,0.49000000000000005,0.4975024975024975,0.52,0.5032273779076848,0.528,0.5985682640373042,5.2,5.4,4.6,4.8
lr,signo_zodiacal_escorpio,21,0.5,0.35,0.34,0.38,0.3482077922077922,0.308,0.4316844766860247,3.8,6.8,3.2,6.2
lr,signo_zodiacal_escorpio,22,0.5,0.52,0.5248917748917749,0.52,0.5183600713012477,0.5000000000000001,0.5317448472580051,5.2,4.8,5.2,4.8
lr,signo_zodiacal_escorpio,23,0.5,0.45,0.46331446331446335,0.48,0.4648706164387952,0.472,0.5603905904037483,4.8,5.8,4.2,5.2
lr,signo_zodiacal_escorpio,24,0.5,0.47000000000000003,0.46226551226551227,0.42000000000000004,0.4335229785694182,0.46799999999999997,0.5356163358485341,4.2,4.8,5.2,5.8
