modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_leo,1,0.5,0.41000000000000003,0.38363636363636366,0.36,0.3669841269841269,0.473,0.5565690328763084,3.6,5.4,4.6,6.4
lr,signo_zodiacal_leo,2,0.5,0.49000000000000005,0.49594405594405605,0.54,0.5157763975155281,0.54,0.6048757343447745,5.4,5.6,4.4,4.6
lr,signo_zodiacal_leo,3,0.5,0.43000000000000005,0.4368253968253969,0.42000000000000004,0.4230409356725146,0.4080000000000001,0.5039840088532039,4.2,5.6,4.4,5.8
lr,signo_zodiacal_leo,4,0.5,0.5399999999999999,0.535952380952381,0.56,0.5365014854426619,0.578,0.6399903805344982,5.6,4.8,5.2,4.4
lr,signo_zodiacal_leo,5,0.5,0.47000000000000003,0.45397435897435895,0.48,0.4627316644707949,0.45999999999999996,0.5340203032261855,4.8,5.4,4.6,5.2
lr,signo_zodiacal_leo,6,0.5,0.54,0.5449217449217448,0.5199999999999999,0.5208987943003288,0.5660000000000001,0.6033388247459455,5.2,4.4,5.6,4.8
lr,signo_zodiacal_leo,7,0.5,0.6000000000000001,0.6014851814851815,0.6399999999999999,0.6076811594202899,0.6380000000000001,0.6700392185214167,6.4,4.4,5.6,3.6
lr,signo_zodiacal_leo,8,0.5,0.58,0.592063492063492,0.54,0.5611032929918378,0.6100000000000001,0.6502939435865132,5.4,3.8,6.2,4.6
lr,signo_zodiacal_leo,9,0.5,0.5800000000000001,0.6003246753246753,0.52,0.5514472455648927,0.596,0.6385785690917269,5.2,3.6,6.4,4.8
lr,signo_zodiacal_leo,10,0.5,0.41000000000000003,0.395018315018315,0.33999999999999997,0.35813299232736573,0.414,0.5054363343055294,3.4,5.2,4.8,6.6
lr,signo_zodiacal_leo,11,0.5,0.5799999999999998,0.5865934065934066,0.5599999999999999,0.5576811594202897,0.6060000000000001,0.6276014677616845,5.6,4.0,6.0,4.4
lr,signo_zodiacal_leo,12,0.5,0.43000000000000005,0.4433838383838383,0.42000000000000004,0.42970760233918126,0.378,0.5019378442335098,4.2,5.6,4.4,5.8
lr,signo_zodiacal_leo,13,0.5,0.49000000000000005,0.5075396825396825,0.52,0.5092314118629908,0.46399999999999997,0.5775955072619159,5.2,5.4,4.6,4.8
lr,signo_zodiacal_leo,14,0.5,0.5700000000000001,0.5728632478632478,0.5800000000000001,0.5714397984420868,0.5920000000000001,0.6909706029264853,5.8,4.4,5.6,4.2
lr,signo_zodiacal_leo,15,0.5,0.37,0.33545454545454545,0.3,0.3123809523809523,0.32599999999999996,0.4341780190913318,3.0,5.6,4.4,7.0
lr,signo_zodiacal_leo,16,0.5,0.4600000000000001,0.4547008547008547,0.45999999999999996,0.45229410812934845,0.41000000000000003,0.4634364432437188,4.6,5.4,4.6,5.4
lr,signo_zodiacal_leo,17,0.5,0.55,0.5699242424242424,0.5800000000000001,0.5619780219780219,0.5660000000000001,0.5989279701206945,5.8,4.8,5.2,4.2
lr,signo_zodiacal_leo,18,0.5,0.56,0.5687179487179487,0.6199999999999999,0.5801449275362319,0.58,0.6428071732189379,6.2,5.0,5.0,3.8
lr,signo_zodiacal_leo,19,0.5,0.45000000000000007,0.4337529137529138,0.48,0.4469120627656097,0.434,0.5240991871905185,4.8,5.8,4.2,5.2
lr,signo_zodiacal_leo,20,0.5,0.5,0.5011111111111111,0.5199999999999999,0.5079425837320575,0.484,0.5951782764019605,5.2,5.2,4.8,4.8
lr,signo_zodiacal_leo,21,0.5,0.52,0.5272222222222223,0.45999999999999996,0.4905263157894737,0.51,0.5409484012719307,4.6,4.2,5.8,5.4
lr,signo_zodiacal_leo,22,0.5,0.5,0.46226551226551227,0.52,0.48410230120756437,0.502,0.5497144697407855,5.2,5.2,4.8,4.8
lr,signo_zodiacal_leo,23,0.5,0.6100000000000001,0.6402930402930402,0.56,0.5663708750530665,0.605,0.6404749863999089,5.6,3.4,6.6,4.4
lr,signo_zodiacal_leo,24,0.5,0.5,0.524109224109224,0.5,0.5055766013499221,0.514,0.5913741515622319,5.0,5.0,5.0,5.0
lr,signo_zodiacal_leo,25,0.5,0.57,0.5606060606060606,0.6,0.5773524720893142,0.5900000000000001,0.647339733795616,6.0,4.6,5.4,4.0
lr,signo_zodiacal_leo,26,0.5,0.52,0.5370573870573871,0.5,0.508623453542016,0.524,0.5797051569861166,5.0,4.6,5.4,5.0
lr,signo_zodiacal_leo,27,0.5,0.64,0.6513636363636364,0.64,0.6431746031746032,0.5980000000000001,0.6252459850091429,6.4,3.6,6.4,3.6
lr,signo_zodiacal_leo,28,0.5,0.5199999999999999,0.5033333333333333,0.52,0.5036491228070175,0.6140000000000001,0.6509422587216704,5.2,4.8,5.2,4.8
lr,signo_zodiacal_leo,29,0.5,0.51,0.5094949494949496,0.58,0.5390676691729324,0.556,0.6031865411849932,5.8,5.6,4.4,4.2
lr,signo_zodiacal_leo,30,0.5,0.57,0.5757575757575757,0.5599999999999999,0.5597402597402596,0.584,0.6552981750791348,5.6,4.2,5.8,4.4
lr,signo_zodiacal_leo,31,0.5,0.47000000000000003,0.45444444444444443,0.44000000000000006,0.4425358851674641,0.469,0.5221547727298501,4.4,5.0,5.0,5.6
lr,signo_zodiacal_leo,32,0.5,0.45,0.4480808080808081,0.5,0.4678496240601504,0.47000000000000003,0.5434320734305255,5.0,6.0,4.0,5.0
lr,signo_zodiacal_leo,33,0.5,0.48,0.48409090909090907,0.39999999999999997,0.4329991645781119,0.508,0.5513900723459547,4.0,4.4,5.6,6.0
lr,signo_zodiacal_leo,34,0.5,0.41,0.4193473193473193,0.5199999999999999,0.46020432656588267,0.352,0.4777668369642054,5.2,7.0,3.0,4.8
lr,signo_zodiacal_leo,35,0.5,0.55,0.5682900432900433,0.44000000000000006,0.4916433239962652,0.5800000000000001,0.6113625149360444,4.4,3.4,6.6,5.6
lr,signo_zodiacal_leo,36,0.5,0.4699999999999999,0.4756565656565656,0.47999999999999987,0.4759945317840054,0.44799999999999995,0.5219899077530655,4.8,5.4,4.6,5.2
lr,signo_zodiacal_leo,37,0.5,0.34,0.34,0.27999999999999997,0.29613275613275614,0.31399999999999995,0.47206586267189976,2.8,6.0,4.0,7.2
lr,signo_zodiacal_leo,38,0.5,0.44000000000000006,0.42806526806526807,0.44000000000000006,0.4286335403726708,0.454,0.5038825337029672,4.4,5.6,4.4,5.6
lr,signo_zodiacal_leo,39,0.5,0.42000000000000004,0.4128787878787879,0.38,0.38924014581909316,0.47000000000000003,0.5904401262652037,3.8,5.4,4.6,6.2
