modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_libra,1,0.5,0.48999999999999994,0.49646464646464644,0.48,0.48556239082554875,0.438,0.5051607487799439,4.8,5.0,5.0,5.2
lr,signo_zodiacal_libra,2,0.5,0.45999999999999996,0.46373626373626375,0.5,0.4729158593608721,0.518,0.6012161810497724,5.0,5.8,4.2,5.0
lr,signo_zodiacal_libra,3,0.5,0.5900000000000001,0.6050505050505051,0.5599999999999999,0.5740031897926634,0.65,0.6880823790073015,5.6,3.8,6.2,4.4
lr,signo_zodiacal_libra,4,0.5,0.54,0.5433766233766234,0.56,0.5403691733103498,0.568,0.6569317616508018,5.6,4.8,5.2,4.4
lr,signo_zodiacal_libra,5,0.5,0.45,0.45595238095238094,0.4,0.4229852706632893,0.43600000000000005,0.4854075925794191,4.0,5.0,5.0,6.0
lr,signo_zodiacal_libra,6,0.5,0.53,0.5366666666666667,0.4800000000000001,0.4993195108984582,0.44399999999999995,0.5546492166244488,4.8,4.2,5.8,5.2
lr,signo_zodiacal_libra,7,0.5,0.58,0.5742424242424242,0.6,0.5779475426534251,0.532,0.5509673726686111,6.0,4.4,5.6,4.0
lr,signo_zodiacal_libra,8,0.5,0.52,0.5165079365079365,0.5599999999999999,0.5329505582137161,0.48599999999999993,0.554945322651205,5.6,5.2,4.8,4.4
lr,signo_zodiacal_libra,9,0.5,0.45,0.45090909090909087,0.42000000000000004,0.43301587301587297,0.466,0.5344181853578137,4.2,5.2,4.8,5.8
lr,signo_zodiacal_libra,10,0.5,0.4,0.4033333333333333,0.44000000000000006,0.42000000000000004,0.342,0.4548552220053768,4.4,6.4,3.6,5.6
lr,signo_zodiacal_libra,11,0.5,0.6399999999999999,0.661025641025641,0.64,0.6458326976862445,0.6000000000000001,0.6328044063779358,6.4,3.6,6.4,3.6
lr,signo_zodiacal_libra,12,0.5,0.4,0.40499999999999997,0.4,0.3991919191919192,0.394,0.4910218043909994,4.0,6.0,4.0,6.0
lr,signo_zodiacal_libra,13,0.5,0.52,0.5286013986013985,0.52,0.5191994478951,0.5820000000000001,0.6296695618622863,5.2,4.8,5.2,4.8
lr,signo_zodiacal_libra,14,0.5,0.6199999999999999,0.62489898989899,0.62,0.6196643122958913,0.652,0.6916103216528914,6.2,3.8,6.2,3.8
lr,signo_zodiacal_libra,15,0.5,0.51,0.5034965034965035,0.5599999999999998,0.5265337256183937,0.53,0.5816189443511426,5.6,5.4,4.6,4.4
lr,signo_zodiacal_libra,16,0.5,0.34,0.32166666666666666,0.3,0.30828282828282827,0.316,0.473860437550066,3.0,6.2,3.8,7.0
lr,signo_zodiacal_libra,17,0.5,0.5800000000000001,0.5896969696969696,0.6,0.5842857142857143,0.566,0.6407930866003622,6.0,4.4,5.6,4.0
lr,signo_zodiacal_libra,18,0.5,0.47000000000000003,0.48157675657675664,0.48,0.47471647420496527,0.437,0.49656475507636505,4.8,5.4,4.6,5.2
lr,signo_zodiacal_libra,19,0.5,0.5,0.4971139971139971,0.44000000000000006,0.4637082903336773,0.534,0.5891345931330451,4.4,4.4,5.6,5.6
lr,signo_zodiacal_libra,20,0.5,0.6300000000000001,0.6233333333333334,0.6799999999999999,0.6481339712918659,0.632,0.6615526685217088,6.8,4.2,5.8,3.2
lr,signo_zodiacal_libra,21,0.5,0.5,0.5062160062160063,0.5,0.4957911082052958,0.508,0.5995971405615368,5.0,5.0,5.0,5.0
lr,signo_zodiacal_libra,22,0.5,0.47000000000000003,0.4478632478632479,0.43999999999999995,0.43838291380625477,0.438,0.5480668416550769,4.4,5.0,5.0,5.6
lr,signo_zodiacal_libra,23,0.5,0.52,0.5023193473193472,0.5599999999999999,0.5264897421419161,0.568,0.6159650333326804,5.6,5.2,4.8,4.4
lr,signo_zodiacal_libra,24,0.5,0.59,0.5915151515151514,0.6000000000000001,0.5948872180451128,0.5880000000000001,0.6304315694625291,6.0,4.2,5.8,4.0
lr,signo_zodiacal_libra,25,0.5,0.48,0.472077922077922,0.5199999999999999,0.492063492063492,0.458,0.542853797561228,5.2,5.6,4.4,4.8
lr,signo_zodiacal_libra,26,0.5,0.55,0.5456099456099456,0.6199999999999999,0.5783668657810535,0.5959999999999999,0.6562185222757978,6.2,5.2,4.8,3.8
lr,signo_zodiacal_libra,27,0.5,0.61,0.6021212121212122,0.6199999999999999,0.609127363864206,0.6180000000000001,0.6545296745737922,6.2,4.0,6.0,3.8
lr,signo_zodiacal_libra,28,0.5,0.5,0.49624819624819627,0.5,0.4932994250331711,0.488,0.5613454246132265,5.0,5.0,5.0,5.0
lr,signo_zodiacal_libra,29,0.5,0.5900000000000001,0.5846464646464646,0.62,0.5951278195488722,0.634,0.6666133562000435,6.2,4.4,5.6,3.8
lr,signo_zodiacal_libra,30,0.5,0.54,0.576025641025641,0.5599999999999999,0.5396554363510886,0.5200000000000001,0.5572431457431457,5.6,4.8,5.2,4.4
lr,signo_zodiacal_libra,31,0.5,0.53,0.5260761460761461,0.5800000000000001,0.5494265307537618,0.583,0.6689277933968336,5.8,5.2,4.8,4.2
lr,signo_zodiacal_libra,32,0.5,0.6100000000000001,0.6234126984126984,0.5599999999999999,0.5847390311786598,0.616,0.6673858898239703,5.6,3.4,6.6,4.4
lr,signo_zodiacal_libra,33,0.5,0.5399999999999999,0.5472727272727272,0.45999999999999996,0.4916959064327485,0.512,0.5759191641691641,4.6,3.8,6.2,5.4
lr,signo_zodiacal_libra,34,0.5,0.5599999999999999,0.5632478632478632,0.5599999999999999,0.5585812356979405,0.52,0.5630882897632123,5.6,4.4,5.6,4.4
lr,signo_zodiacal_libra,35,0.5,0.41,0.41819291819291815,0.42000000000000004,0.41448255607631024,0.40499999999999997,0.4831346349728703,4.2,6.0,4.0,5.8
lr,signo_zodiacal_libra,36,0.5,0.49000000000000005,0.49951298701298696,0.56,0.5172161172161172,0.504,0.5538591290030919,5.6,5.8,4.2,4.4
lr,signo_zodiacal_libra,37,0.5,0.6300000000000001,0.6650432900432901,0.58,0.6114930820813175,0.6759999999999999,0.7057763304806649,5.8,3.2,6.8,4.2
lr,signo_zodiacal_libra,38,0.5,0.5,0.4979797979797979,0.48,0.48536492747019067,0.5559999999999999,0.5718969347645817,4.8,4.8,5.2,5.2
lr,signo_zodiacal_libra,39,0.5,0.37,0.35623376623376624,0.32,0.32922332569391394,0.312,0.43518149909945575,3.2,5.8,4.2,6.8
lr,signo_zodiacal_libra,40,0.5,0.5700000000000001,0.5735353535353536,0.56,0.5658646616541353,0.6559999999999999,0.712744104536674,5.6,4.2,5.8,4.4
lr,signo_zodiacal_libra,41,0.5,0.54,0.5457142857142857,0.6,0.5690909090909091,0.536,0.6240777943246983,6.0,5.2,4.8,4.0
lr,signo_zodiacal_libra,42,0.5,0.5,0.49959595959595954,0.5199999999999999,0.49873934837092737,0.488,0.5505169367096612,5.2,5.2,4.8,4.8
lr,signo_zodiacal_libra,43,0.5,0.47000000000000003,0.4647619047619048,0.4,0.42749226006191954,0.45299999999999996,0.5155230494479721,4.0,4.6,5.4,6.0
