modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_piscis,1,0.5,0.44000000000000006,0.396969696969697,0.4,0.3977443609022556,0.4619999999999999,0.5183289384334275,4.0,5.2,4.8,6.0
lr,signo_zodiacal_piscis,2,0.5,0.51,0.5057142857142857,0.5399999999999999,0.5163458110516934,0.5,0.5540249652308475,5.4,5.2,4.8,4.6
lr,signo_zodiacal_piscis,3,0.5,0.5200000000000001,0.5233766233766233,0.5599999999999999,0.5345938375350141,0.534,0.5753108515151859,5.6,5.2,4.8,4.4
lr,signo_zodiacal_piscis,4,0.5,0.49000000000000005,0.4916666666666666,0.44000000000000006,0.46113769271664007,0.476,0.5621126177743825,4.4,4.6,5.4,5.6
lr,signo_zodiacal_piscis,5,0.5,0.38,0.3796464646464647,0.42000000000000004,0.39316290726817044,0.382,0.48728269992821077,4.2,6.6,3.4,5.8
lr,signo_zodiacal_piscis,6,0.5,0.5900000000000001,0.5928282828282828,0.62,0.5988771929824561,0.5840000000000001,0.6230941913263894,6.2,4.4,5.6,3.8
lr,signo_zodiacal_piscis,7,0.5,0.5900000000000001,0.6043156843156843,0.6399999999999999,0.6114870295944466,0.604,0.6097646036454086,6.4,4.6,5.4,3.6
lr,signo_zodiacal_piscis,8,0.5,0.4800000000000001,0.4768253968253968,0.48,0.46781720515466646,0.538,0.59778578774167,4.8,5.2,4.8,5.2
lr,signo_zodiacal_piscis,9,0.5,0.54,0.5511111111111112,0.44000000000000006,0.48026315789473684,0.5920000000000001,0.6155887315299079,4.4,3.6,6.4,5.6
lr,signo_zodiacal_piscis,10,0.5,0.44000000000000006,0.43,0.44000000000000006,0.43396825396825395,0.404,0.507952909233869,4.4,5.6,4.4,5.6
lr,signo_zodiacal_piscis,11,0.5,0.53,0.5287878787878788,0.54,0.5186147186147185,0.556,0.6131151529928618,5.4,4.8,5.2,4.6
lr,signo_zodiacal_piscis,12,0.5,0.45999999999999996,0.4597557997557997,0.44000000000000006,0.44427783012518507,0.45,0.5326591550004863,4.4,5.2,4.8,5.6
lr,signo_zodiacal_piscis,13,0.5,0.4,0.36666666666666664,0.38,0.36139393939393943,0.372,0.46290904563272983,3.8,5.8,4.2,6.2
lr,signo_zodiacal_piscis,14,0.5,0.44000000000000006,0.43750249750249753,0.4,0.40703690171720863,0.446,0.5316528851265694,4.0,5.2,4.8,6.0
lr,signo_zodiacal_piscis,15,0.5,0.37,0.36272727272727273,0.33999999999999997,0.34952380952380946,0.35300000000000004,0.4370125619994041,3.4,6.0,4.0,6.6
lr,signo_zodiacal_piscis,16,0.5,0.55,0.5592424242424243,0.5599999999999999,0.5572582972582973,0.5600000000000002,0.6287051424667524,5.6,4.6,5.4,4.4
lr,signo_zodiacal_piscis,17,0.5,0.45,0.4438888888888889,0.4,0.41976608187134506,0.398,0.5196389295259263,4.0,5.0,5.0,6.0
lr,signo_zodiacal_piscis,18,0.5,0.42000000000000004,0.41479797979797983,0.4,0.4061152882205514,0.376,0.4594715947966722,4.0,5.6,4.4,6.0
lr,signo_zodiacal_piscis,19,0.5,0.55,0.5590909090909091,0.5,0.5253968253968255,0.532,0.5536182695873098,5.0,4.0,6.0,5.0
lr,signo_zodiacal_piscis,20,0.5,0.35,0.3432900432900433,0.27999999999999997,0.3047152194211018,0.26999999999999996,0.43349543516339184,2.8,5.8,4.2,7.2
lr,signo_zodiacal_piscis,21,0.5,0.5,0.49295454545454537,0.5599999999999999,0.51007326007326,0.549,0.6319255364518522,5.6,5.6,4.4,4.4
lr,signo_zodiacal_piscis,22,0.5,0.44000000000000006,0.4343589743589743,0.43999999999999995,0.43378591406051364,0.512,0.6053717001952296,4.4,5.6,4.4,5.6
lr,signo_zodiacal_piscis,23,0.5,0.53,0.5496536796536795,0.5,0.49763585434173674,0.5299999999999999,0.6156769586622527,5.0,4.4,5.6,5.0
lr,signo_zodiacal_piscis,24,0.5,0.48,0.4796814296814297,0.54,0.5063072701516637,0.512,0.6266332370759614,5.4,5.8,4.2,4.6
lr,signo_zodiacal_piscis,25,0.5,0.5199999999999999,0.5370129870129869,0.48,0.501621254562431,0.5439999999999999,0.5652631992190816,4.8,4.4,5.6,5.2
lr,signo_zodiacal_piscis,26,0.5,0.4,0.404988344988345,0.4600000000000001,0.4287479568486434,0.377,0.46985842709062514,4.6,6.6,3.4,5.4
lr,signo_zodiacal_piscis,27,0.5,0.39,0.35500000000000004,0.33999999999999997,0.3424242424242424,0.306,0.4550185803188899,3.4,5.6,4.4,6.6
lr,signo_zodiacal_piscis,28,0.5,0.53,0.5421717171717172,0.4600000000000001,0.4938805346700083,0.542,0.5935727948522066,4.6,4.0,6.0,5.4
lr,signo_zodiacal_piscis,29,0.5,0.47000000000000003,0.46992673992673994,0.5599999999999999,0.5085902503293808,0.466,0.5596579896711475,5.6,6.2,3.8,4.4
lr,signo_zodiacal_piscis,30,0.5,0.43,0.41655011655011653,0.42000000000000004,0.4127438160618938,0.388,0.4980678519107311,4.2,5.6,4.4,5.8
lr,signo_zodiacal_piscis,31,0.5,0.5,0.48484848484848486,0.48,0.47857142857142854,0.52,0.5983029003160582,4.8,4.8,5.2,5.2
lr,signo_zodiacal_piscis,32,0.5,0.5,0.5317460317460317,0.48,0.49125152453325827,0.538,0.6044898259635101,4.8,4.8,5.2,5.2
lr,signo_zodiacal_piscis,33,0.5,0.5700000000000001,0.5748917748917749,0.62,0.5859346020336733,0.6260000000000001,0.6671102035219681,6.2,4.8,5.2,3.8
lr,signo_zodiacal_piscis,34,0.5,0.7,0.6927272727272727,0.72,0.7026839826839827,0.744,0.7642730047730046,7.2,3.2,6.8,2.8
lr,signo_zodiacal_piscis,35,0.5,0.5599999999999999,0.5700000000000001,0.4800000000000001,0.5085885167464115,0.6679999999999999,0.7146737794369373,4.8,3.6,6.4,5.2
lr,signo_zodiacal_piscis,36,0.5,0.54,0.5378968253968254,0.58,0.5473661529389083,0.544,0.6131360475609702,5.8,5.0,5.0,4.2
lr,signo_zodiacal_piscis,37,0.5,0.4700000000000001,0.4754079254079254,0.54,0.5047054394880481,0.504,0.5716651475459524,5.4,6.0,4.0,4.6
lr,signo_zodiacal_piscis,38,0.5,0.5700000000000001,0.5722727272727273,0.5399999999999999,0.5539181286549708,0.544,0.6149255368814192,5.4,4.0,6.0,4.6
lr,signo_zodiacal_piscis,39,0.5,0.45000000000000007,0.4344444444444445,0.44000000000000006,0.4297543859649123,0.4950000000000001,0.5212065240401154,4.4,5.4,4.6,5.6
