modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_sagitario,1,0.5,0.52,0.5141880341880343,0.52,0.5132824815662345,0.457,0.4957368105750458,5.2,4.8,5.2,4.8
lr,signo_zodiacal_sagitario,2,0.5,0.51,0.518888888888889,0.4800000000000001,0.49605528973950025,0.5399999999999999,0.6332461515093094,4.8,4.6,5.4,5.2
lr,signo_zodiacal_sagitario,3,0.5,0.5,0.5295238095238096,0.48,0.48855614973262035,0.5139999999999999,0.6026300606857882,4.8,4.8,5.2,5.2
lr,signo_zodiacal_sagitario,4,0.5,0.53,0.52004329004329,0.58,0.5437806637806638,0.4720000000000001,0.5407133901530187,5.8,5.2,4.8,4.2
lr,signo_zodiacal_sagitario,5,0.5,0.42000000000000004,0.42050505050505044,0.34,0.3690559732664996,0.42000000000000004,0.5206135186622802,3.4,5.0,5.0,6.6
lr,signo_zodiacal_sagitario,6,0.5,0.49000000000000005,0.48730769230769233,0.48,0.4799033816425121,0.458,0.5218477762347732,4.8,5.0,5.0,5.2
lr,signo_zodiacal_sagitario,7,0.5,0.5700000000000001,0.5806060606060606,0.5800000000000001,0.5700000000000001,0.6020000000000001,0.6401689878748702,5.8,4.4,5.6,4.2
lr,signo_zodiacal_sagitario,8,0.5,0.54,0.532944832944833,0.6,0.5626596134605288,0.516,0.5586905127036705,6.0,5.2,4.8,4.0
lr,signo_zodiacal_sagitario,9,0.5,0.49000000000000005,0.48383838383838385,0.5,0.49006607427660054,0.48199999999999993,0.5271556288568673,5.0,5.2,4.8,5.0
lr,signo_zodiacal_sagitario,10,0.5,0.57,0.5742857142857142,0.5599999999999999,0.5632085561497326,0.5740000000000001,0.6468363189098483,5.6,4.2,5.8,4.4
lr,signo_zodiacal_sagitario,11,0.5,0.6,0.6084498834498835,0.68,0.6355197942154464,0.632,0.6741001123059946,6.8,4.8,5.2,3.2
lr,signo_zodiacal_sagitario,12,0.5,0.53,0.5409090909090908,0.5399999999999999,0.5387787650945546,0.5700000000000001,0.6403144149452198,5.4,4.8,5.2,4.6
lr,signo_zodiacal_sagitario,13,0.5,0.5,0.488095238095238,0.4800000000000001,0.4740047534165181,0.522,0.5705863211435968,4.8,4.8,5.2,5.2
lr,signo_zodiacal_sagitario,14,0.5,0.55,0.5351282051282051,0.6199999999999999,0.5733182759269716,0.544,0.5980578310578311,6.2,5.2,4.8,3.8
lr,signo_zodiacal_sagitario,15,0.5,0.44000000000000006,0.42326007326007326,0.44000000000000006,0.4234654731457801,0.41000000000000003,0.505318054494525,4.4,5.6,4.4,5.6
lr,signo_zodiacal_sagitario,16,0.5,0.45,0.4412698412698413,0.42000000000000004,0.42748046587055877,0.45999999999999996,0.5026185177052049,4.2,5.2,4.8,5.8
