modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr,signo_zodiacal_virgo,1,0.5,0.4800000000000001,0.45844988344988347,0.47999999999999987,0.4605197942154464,0.41400000000000003,0.5148307279236072,4.8,5.2,4.8,5.2
lr,signo_zodiacal_virgo,2,0.5,0.48,0.47777777777777775,0.44000000000000006,0.4552897395002658,0.522,0.5918900800781606,4.4,4.8,5.2,5.6
lr,signo_zodiacal_virgo,3,0.5,0.49000000000000005,0.46090909090909093,0.45999999999999996,0.4554932786511733,0.458,0.5113675556469673,4.6,4.8,5.2,5.4
lr,signo_zodiacal_virgo,4,0.5,0.57,0.5976190476190476,0.5599999999999999,0.5630570409982175,0.6359999999999999,0.722386694574775,5.6,4.2,5.8,4.4
lr,signo_zodiacal_virgo,5,0.5,0.5700000000000001,0.5618686868686869,0.5599999999999999,0.5579858737753474,0.552,0.6238265237514463,5.6,4.2,5.8,4.4
lr,signo_zodiacal_virgo,6,0.5,0.54,0.5433838383838384,0.5399999999999999,0.5387985114300903,0.534,0.5631248761558358,5.4,4.6,5.4,4.6
lr,signo_zodiacal_virgo,7,0.5,0.4600000000000001,0.44306526806526814,0.4600000000000001,0.44439111613024657,0.44000000000000006,0.5337061396635701,4.6,5.4,4.6,5.4
lr,signo_zodiacal_virgo,8,0.5,0.47000000000000003,0.4666666666666666,0.45999999999999996,0.4615705931495405,0.466,0.5475700982024512,4.6,5.2,4.8,5.4
lr,signo_zodiacal_virgo,9,0.5,0.5199999999999999,0.517979797979798,0.52,0.5101629072681705,0.512,0.5552827342076567,5.2,4.8,5.2,4.8
lr,signo_zodiacal_virgo,10,0.5,0.4700000000000001,0.4875396825396825,0.5,0.48879851143009045,0.4960000000000001,0.5786981912995846,5.0,5.6,4.4,5.0
lr,signo_zodiacal_virgo,11,0.5,0.51,0.5107142857142858,0.44000000000000006,0.471173030615755,0.54,0.5770978270095918,4.4,4.2,5.8,5.6
lr,signo_zodiacal_virgo,12,0.5,0.36000000000000004,0.355,0.34,0.3457097288676236,0.312,0.4457919807230953,3.4,6.2,3.8,6.6
lr,signo_zodiacal_virgo,13,0.5,0.55,0.5544444444444445,0.5800000000000001,0.5597405635300372,0.49400000000000005,0.5394690417941191,5.8,4.8,5.2,4.2
lr,signo_zodiacal_virgo,14,0.5,0.51,0.5055555555555555,0.52,0.4984490655543287,0.516,0.5664796967738144,5.2,5.0,5.0,4.8
lr,signo_zodiacal_virgo,15,0.5,0.4999999999999999,0.5023351648351648,0.54,0.5098235949898353,0.45500000000000007,0.5326180692372643,5.4,5.4,4.6,4.6
lr,signo_zodiacal_virgo,16,0.5,0.47000000000000003,0.46730769230769226,0.5399999999999999,0.4971014492753624,0.526,0.6110657577716401,5.4,6.0,4.0,4.6
lr,signo_zodiacal_virgo,17,0.5,0.53,0.5290909090909091,0.45999999999999996,0.48788048552754437,0.54,0.5474873084431908,4.6,4.0,6.0,5.4
lr,signo_zodiacal_virgo,18,0.5,0.38,0.3632034632034632,0.36,0.3550674815380698,0.392,0.48420668426860375,3.6,6.0,4.0,6.4
lr,signo_zodiacal_virgo,19,0.5,0.4800000000000001,0.48888888888888893,0.45999999999999996,0.46734449760765545,0.458,0.5652059345882876,4.6,5.0,5.0,5.4
lr,signo_zodiacal_virgo,20,0.5,0.48999999999999994,0.4934981684981685,0.44000000000000006,0.4594217854952813,0.536,0.624915203046008,4.4,4.6,5.4,5.6
lr,signo_zodiacal_virgo,21,0.5,0.52,0.5291958041958041,0.54,0.5314009661835749,0.55,0.6121129970820374,5.4,5.0,5.0,4.6
lr,signo_zodiacal_virgo,22,0.5,0.44000000000000006,0.43805555555555553,0.5199999999999999,0.4665695006747638,0.43600000000000005,0.49452119242986115,5.2,6.4,3.6,4.8
lr,signo_zodiacal_virgo,23,0.5,0.4000000000000001,0.39365079365079364,0.38,0.3811145510835914,0.40800000000000003,0.4986505345359834,3.8,5.8,4.2,6.2
lr,signo_zodiacal_virgo,24,0.5,0.38999999999999996,0.38257575757575757,0.38,0.379129642287537,0.45,0.5606851590102364,3.8,6.0,4.0,6.2
lr,signo_zodiacal_virgo,25,0.5,0.47000000000000003,0.4457320457320457,0.43999999999999995,0.43622611516002285,0.446,0.5143595581405179,4.4,5.0,5.0,5.6
lr,signo_zodiacal_virgo,26,0.5,0.45999999999999996,0.46904761904761905,0.54,0.5,0.502,0.5529656715833186,5.4,6.2,3.8,4.6
lr,signo_zodiacal_virgo,27,0.5,0.45,0.4517232767232767,0.45999999999999996,0.45039654860626727,0.44800000000000006,0.5689306198617343,4.6,5.6,4.4,5.4
lr,signo_zodiacal_virgo,28,0.5,0.53,0.5392496392496391,0.4999999999999999,0.5068037741412355,0.5259999999999999,0.625759297290257,5.0,4.4,5.6,5.0
lr,signo_zodiacal_virgo,29,0.5,0.4800000000000001,0.485,0.48,0.48063492063492064,0.504,0.5633340646281824,4.8,5.2,4.8,5.2
lr,signo_zodiacal_virgo,30,0.5,0.53,0.5428632478632479,0.5,0.5069421907865844,0.572,0.6431089290826133,5.0,4.4,5.6,5.0
lr,signo_zodiacal_virgo,31,0.5,0.55,0.5635281385281385,0.52,0.5358735519726231,0.5820000000000001,0.5926573328632152,5.2,4.2,5.8,4.8
lr,signo_zodiacal_virgo,32,0.5,0.5,0.5000421800421802,0.5,0.4954373145139062,0.49800000000000005,0.5727217227217227,5.0,5.0,5.0,5.0
lr,signo_zodiacal_virgo,33,0.5,0.37,0.37587301587301586,0.32,0.3354385964912281,0.33799999999999997,0.4621850337485013,3.2,5.8,4.2,6.8
lr,signo_zodiacal_virgo,34,0.5,0.54,0.558974358974359,0.5199999999999999,0.5306636155606407,0.542,0.593012060007416,5.2,4.4,5.6,4.8
lr,signo_zodiacal_virgo,35,0.5,0.53,0.5139393939393939,0.5399999999999999,0.5176491228070176,0.502,0.5432339594529997,5.4,4.8,5.2,4.6
