,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.50424,0.060176946830657004,0.5043531671922848,0.06548307467739213,0.5035999999999999,0.07550391833121466,0.4966904929254002,0.0661193582693422,0.504466,0.07513070003784308,0.5717244169380671,0.05886435741142356,5.036,0.7550391833121465,4.9512,0.7500558162263059,5.0488,0.7500558162263059,4.964,0.7550391833121465
signo_zodiacal_aries,0.5,0.0,0.50012,0.06070053302417398,0.5003057309030838,0.06544206783362828,0.50328,0.07669815391277196,0.49402989899427185,0.06613189088591703,0.498714,0.07709411916884998,0.5684263024337204,0.05854429222172527,5.0328,0.766981539127719,5.030399999999999,0.7714571486897563,4.969600000000001,0.7714571486897563,4.9672,0.766981539127719
signo_zodiacal_cancer,0.5,0.0,0.5061,0.05876305125148599,0.507614823673059,0.06499233966269724,0.5082,0.07307146418237083,0.5005260697317668,0.06360753252034125,0.506194,0.07068655843288858,0.5720860506641622,0.055273588976079036,5.082,0.7307146418237088,4.96,0.7764055713494364,5.04,0.7764055713494363,4.918,0.7307146418237088
signo_zodiacal_capricornio,0.5,0.0,0.50154,0.06148323981017191,0.5019767964062082,0.0663782580560042,0.50312,0.07752603544838786,0.4948464358560132,0.06768836402794673,0.501036,0.07804124278322523,0.5697565208752375,0.05970746055324382,5.0312,0.7752603544838786,5.0004,0.7512713606378386,4.9996,0.7512713606378386,4.9688,0.7752603544838786
signo_zodiacal_escorpio,0.5,0.0,0.49946,0.060670175047386865,0.4993617847185494,0.06572233314408935,0.5016,0.07667854457667275,0.4930303253650175,0.06718378777191782,0.500834,0.07448074386318135,0.568027039473942,0.057281632288031605,5.016,0.7667854457667278,5.026800000000001,0.7341660299408014,4.973199999999999,0.7341660299408014,4.984,0.7667854457667278
signo_zodiacal_geminis,0.5,0.0,0.49604000000000004,0.06041206531207602,0.49558855481120184,0.06491125462661822,0.49412,0.07565231089853484,0.48774039797850405,0.06574714686028313,0.495524,0.07696722244346178,0.564531194346589,0.05789891315675364,4.9412,0.7565231089853484,5.0203999999999995,0.7667330690653672,4.9796000000000005,0.7667330690653672,5.0588,0.7565231089853484
signo_zodiacal_leo,0.5,0.0,0.49632,0.06126307148564872,0.4954118282371223,0.06548533119507395,0.49428,0.07544179563781685,0.4875246867985118,0.0665443121031215,0.488282,0.07841737719467659,0.5596556401890164,0.058875367400864395,4.9428,0.754417956378168,5.0164,0.7326148298921851,4.9836,0.7326148298921851,5.0572,0.754417956378168
signo_zodiacal_libra,0.5,0.0,0.50192,0.06155885464472466,0.5015627236162531,0.06729015948463232,0.50444,0.07741493748037377,0.49550143569192107,0.06756424358376825,0.504404,0.07922961218442125,0.5713911250438588,0.06123167069020646,5.0443999999999996,0.7741493748037372,5.006,0.7624740870789868,4.994,0.7624740870789868,4.9556000000000004,0.7741493748037372
signo_zodiacal_piscis,0.5,0.0,0.49728000000000006,0.060955991220974046,0.49744824485971545,0.06647559222572479,0.49688,0.07843065941756032,0.48988187358718466,0.06817258129369175,0.498956,0.07709491108127216,0.5677644013343038,0.05932522651259445,4.9688,0.7843065941756036,5.0232,0.7451794043647337,4.9768,0.7451794043647337,5.0312,0.7843065941756036
signo_zodiacal_sagitario,0.5,0.0,0.50438,0.062495014630828086,0.5047099231813937,0.06847809282602658,0.50472,0.07909382571688552,0.4971698365401518,0.06940133168163176,0.50608,0.07989708811576773,0.5714619878112943,0.06150215264874615,5.0472,0.790938257168856,4.9596,0.774161800262692,5.0404,0.774161800262692,4.9528,0.7909382571688559
signo_zodiacal_tauro,0.5,0.0,0.50078,0.0586076899616875,0.5006135887315298,0.06357356979194242,0.50224,0.07719391297505782,0.4939582859558991,0.06598710275772919,0.50288,0.07285289760454802,0.5701008725976465,0.05841078386170781,5.022399999999999,0.7719391297505782,5.0068,0.7348426685318368,4.9932,0.7348426685318367,4.977600000000001,0.7719391297505782
signo_zodiacal_virgo,0.5,0.0,0.49782,0.058561989491704027,0.49749095548242606,0.06268380042483594,0.49832,0.07349544721629392,0.4906307667078538,0.06357848169912196,0.49842000000000003,0.07375083709317398,0.5680304023137165,0.05812938596093511,4.9832,0.7349544721629391,5.026800000000001,0.7413372524321759,4.973199999999999,0.7413372524321759,5.0168,0.7349544721629391
