modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr_full,signo_zodiacal_aries,1,0.5,0.47000000000000003,0.4727272727272728,0.52,0.49523809523809514,0.454,0.5255284329533556,5.2,5.8,4.2,4.8
lr_full,signo_zodiacal_aries,2,0.5,0.48,0.4692857142857143,0.52,0.48555555555555563,0.4920000000000001,0.5495316709434356,5.2,5.6,4.4,4.8
lr_full,signo_zodiacal_aries,3,0.5,0.5000000000000001,0.5153235653235654,0.48,0.48875536900843136,0.5,0.5575605309722957,4.8,4.8,5.2,5.2
lr_full,signo_zodiacal_aries,4,0.5,0.58,0.607070707070707,0.5599999999999999,0.5774878372401592,0.616,0.6747555854877836,5.6,4.0,6.0,4.4
lr_full,signo_zodiacal_aries,5,0.5,0.55,0.5596403596403596,0.44000000000000006,0.4679576178297406,0.51,0.5565155857214681,4.4,3.4,6.6,5.6
lr_full,signo_zodiacal_aries,6,0.5,0.49000000000000005,0.4927272727272728,0.5,0.49475506949191156,0.466,0.5513101441042617,5.0,5.2,4.8,5.0
lr_full,signo_zodiacal_aries,7,0.5,0.47000000000000003,0.4620129870129871,0.48,0.46566416040100245,0.49399999999999994,0.5769414027664801,4.8,5.4,4.6,5.2
lr_full,signo_zodiacal_aries,8,0.5,0.49000000000000005,0.4744755244755245,0.5399999999999999,0.502208419599724,0.488,0.5375292915718612,5.4,5.6,4.4,4.6
lr_full,signo_zodiacal_aries,9,0.5,0.49000000000000005,0.48590909090909096,0.45999999999999996,0.47137844611528823,0.4680000000000001,0.5634310422120019,4.6,4.8,5.2,5.4
lr_full,signo_zodiacal_aries,10,0.5,0.42000000000000004,0.41089133089133084,0.38,0.38986673845739667,0.362,0.4700694716360351,3.8,5.4,4.6,6.2
lr_full,signo_zodiacal_aries,11,0.5,0.54,0.5583694083694083,0.5,0.5217509013174648,0.52,0.6030661821838292,5.0,4.2,5.8,5.0
lr_full,signo_zodiacal_aries,12,0.5,0.45000000000000007,0.4488888888888889,0.48,0.4593684210526316,0.496,0.5634100621600621,4.8,5.8,4.2,5.2
lr_full,signo_zodiacal_aries,13,0.5,0.51,0.48650793650793656,0.5,0.48370547581073897,0.4800000000000001,0.5282759387155671,5.0,4.8,5.2,5.0
lr_full,signo_zodiacal_aries,14,0.5,0.41,0.4093506493506494,0.36,0.37701680672268906,0.39199999999999996,0.48130242856558647,3.6,5.4,4.6,6.4
lr_full,signo_zodiacal_aries,15,0.5,0.47000000000000003,0.48041958041958044,0.54,0.5060635779171249,0.43600000000000005,0.5033844457915665,5.4,6.0,4.0,4.6
lr_full,signo_zodiacal_aries,16,0.5,0.55,0.5627594627594628,0.6000000000000001,0.571131560591784,0.5359999999999999,0.5845899547648774,6.0,5.0,5.0,4.0
lr_full,signo_zodiacal_aries,17,0.5,0.6100000000000001,0.5973504273504273,0.64,0.6143207821926356,0.6,0.6620699017185085,6.4,4.2,5.8,3.6
lr_full,signo_zodiacal_aries,18,0.5,0.45,0.45226440226440234,0.45999999999999996,0.4499721364171492,0.42400000000000004,0.5229997708689659,4.6,5.6,4.4,5.4
lr_full,signo_zodiacal_aries,19,0.5,0.4800000000000001,0.477020202020202,0.48,0.4766917293233083,0.504,0.5857034252297411,4.8,5.2,4.8,5.2
lr_full,signo_zodiacal_aries,20,0.5,0.54,0.5421800421800421,0.54,0.5354056496740572,0.554,0.5987897472324717,5.4,4.6,5.4,4.6
lr_full,signo_zodiacal_aries,21,0.5,0.44000000000000006,0.4523809523809524,0.52,0.4818181818181818,0.40599999999999997,0.4866329334580108,5.2,6.4,3.6,4.8
lr_full,signo_zodiacal_aries,22,0.5,0.5,0.5015512265512265,0.42000000000000004,0.4533982013858175,0.41600000000000004,0.5165432545610564,4.2,4.2,5.8,5.8
lr_full,signo_zodiacal_aries,23,0.5,0.51,0.5086446886446886,0.5,0.4990146722304483,0.502,0.5598295691236868,5.0,4.8,5.2,5.0
lr_full,signo_zodiacal_aries,24,0.5,0.5399999999999999,0.5390909090909091,0.5800000000000001,0.5569651401230348,0.52,0.5878892306523885,5.8,5.0,5.0,4.2
lr_full,signo_zodiacal_aries,25,0.5,0.48,0.48686868686868684,0.54,0.510457963089542,0.418,0.49390107381438647,5.4,5.8,4.2,4.6
lr_full,signo_zodiacal_aries,26,0.5,0.48,0.47333333333333333,0.45999999999999996,0.455046783625731,0.5,0.5669711758829405,4.6,5.0,5.0,5.4
lr_full,signo_zodiacal_aries,27,0.5,0.55,0.5572222222222222,0.5599999999999999,0.5523508771929825,0.571,0.6069266572780505,5.6,4.6,5.4,4.4
lr_full,signo_zodiacal_aries,28,0.5,0.41,0.39090909090909093,0.38,0.3841269841269842,0.42400000000000004,0.5381711148328795,3.8,5.6,4.4,6.2
lr_full,signo_zodiacal_aries,29,0.5,0.47000000000000003,0.4618686868686869,0.4,0.42437343358395985,0.4640000000000001,0.5345706983075404,4.0,4.6,5.4,6.0
lr_full,signo_zodiacal_aries,30,0.5,0.38,0.3860606060606061,0.42000000000000004,0.4011665527455001,0.36000000000000004,0.4684322370955497,4.2,6.6,3.4,5.8
lr_full,signo_zodiacal_aries,31,0.5,0.6299999999999999,0.6406854256854256,0.5799999999999998,0.6050154798761611,0.6519999999999999,0.6844717118966344,5.8,3.2,6.8,4.2
lr_full,signo_zodiacal_aries,32,0.5,0.48,0.46196581196581193,0.4800000000000001,0.46778540554284265,0.47800000000000004,0.524477179253495,4.8,5.2,4.8,5.2
lr_full,signo_zodiacal_aries,33,0.5,0.52,0.5233766233766234,0.5399999999999999,0.5250700280112045,0.546,0.5677626437889596,5.4,5.0,5.0,4.6
lr_full,signo_zodiacal_aries,34,0.5,0.53,0.5290909090909091,0.58,0.5489321789321788,0.5980000000000001,0.6535038562228965,5.8,5.2,4.8,4.2
lr_full,signo_zodiacal_aries,35,0.5,0.43000000000000005,0.42444444444444435,0.44000000000000006,0.42824561403508776,0.425,0.5108570318570318,4.4,5.8,4.2,5.6
lr_full,signo_zodiacal_aries,36,0.5,0.55,0.5705988455988457,0.4600000000000001,0.5037249987714384,0.506,0.5575426605558185,4.6,3.6,6.4,5.4
lr_full,signo_zodiacal_aries,37,0.5,0.39,0.36602564102564095,0.36,0.35916603101957795,0.392,0.48000346978442954,3.6,5.8,4.2,6.4
lr_full,signo_zodiacal_aries,38,0.5,0.51,0.5205627705627704,0.48,0.4900687547746371,0.506,0.5925611785874944,4.8,4.6,5.4,5.2
lr_full,signo_zodiacal_aries,39,0.5,0.45,0.450909090909091,0.5199999999999999,0.47948689906584646,0.4720000000000001,0.5640534578081017,5.2,6.2,3.8,4.8
lr_full,signo_zodiacal_aries,40,0.5,0.51,0.48560606060606065,0.5,0.473015873015873,0.5359999999999999,0.5811402547400999,5.0,4.8,5.2,5.0
lr_full,signo_zodiacal_aries,41,0.5,0.41,0.40444444444444444,0.36,0.3798830409356725,0.32999999999999996,0.461026081589549,3.6,5.4,4.6,6.4
lr_full,signo_zodiacal_aries,42,0.5,0.4600000000000001,0.44007326007326003,0.4600000000000001,0.43250836120401337,0.47400000000000003,0.5697357185298362,4.6,5.4,4.6,5.4
lr_full,signo_zodiacal_aries,43,0.5,0.45999999999999996,0.46911764705882353,0.5599999999999999,0.4959694989106754,0.378,0.48017538996950754,5.6,6.4,3.6,4.4
lr_full,signo_zodiacal_aries,44,0.5,0.45,0.4321789321789322,0.44000000000000006,0.4307644110275689,0.47800000000000004,0.5484239926739927,4.4,5.4,4.6,5.6
lr_full,signo_zodiacal_aries,45,0.5,0.4600000000000001,0.46333333333333326,0.54,0.49699604743083003,0.43,0.4969751833134186,5.4,6.2,3.8,4.6
lr_full,signo_zodiacal_aries,46,0.5,0.49000000000000005,0.4866666666666667,0.42000000000000004,0.4355555555555556,0.475,0.5528427226368403,4.2,4.4,5.6,5.8
lr_full,signo_zodiacal_aries,47,0.5,0.5900000000000001,0.5877777777777778,0.6,0.590515683147262,0.5700000000000001,0.6251800144300144,6.0,4.2,5.8,4.0
lr_full,signo_zodiacal_aries,48,0.5,0.55,0.5454545454545454,0.54,0.5396825396825398,0.548,0.6134167653811616,5.4,4.4,5.6,4.6
lr_full,signo_zodiacal_aries,49,0.5,0.55,0.5416050616050616,0.5800000000000001,0.5539407225340729,0.5199999999999999,0.555841157810198,5.8,4.8,5.2,4.2
lr_full,signo_zodiacal_aries,50,0.5,0.38,0.32936507936507936,0.26,0.286156567890314,0.288,0.42491331930883014,2.6,5.0,5.0,7.4
lr_full,signo_zodiacal_aries,51,0.5,0.43,0.40181818181818185,0.42000000000000004,0.4062337662337662,0.386,0.46963922395114344,4.2,5.6,4.4,5.8
lr_full,signo_zodiacal_aries,52,0.5,0.5599999999999999,0.5642857142857143,0.6,0.5722222222222222,0.535,0.5939155566655566,6.0,4.8,5.2,4.0
lr_full,signo_zodiacal_aries,53,0.5,0.4,0.4087662337662337,0.4,0.3987437399202105,0.38799999999999996,0.5150767510782991,4.0,6.0,4.0,6.0
lr_full,signo_zodiacal_aries,54,0.5,0.47000000000000003,0.47934343434343435,0.45999999999999996,0.46770258980785295,0.48200000000000004,0.5843854673018759,4.6,5.2,4.8,5.4
lr_full,signo_zodiacal_aries,55,0.5,0.49000000000000005,0.4874902874902875,0.5,0.4906614361991936,0.502,0.5720597735597736,5.0,5.2,4.8,5.0
lr_full,signo_zodiacal_aries,56,0.5,0.5900000000000001,0.5912121212121212,0.62,0.6038915470494418,0.648,0.6383727840786665,6.2,4.4,5.6,3.8
lr_full,signo_zodiacal_aries,57,0.5,0.5599999999999999,0.5615079365079365,0.54,0.543859649122807,0.6100000000000001,0.631156767037572,5.4,4.2,5.8,4.6
lr_full,signo_zodiacal_aries,58,0.5,0.54,0.5245177045177045,0.6199999999999999,0.5582571902903039,0.556,0.6120485517234744,6.2,5.4,4.6,3.8
lr_full,signo_zodiacal_aries,59,0.5,0.43999999999999995,0.42598235098235093,0.42000000000000004,0.4173900223705044,0.454,0.542046814898208,4.2,5.4,4.6,5.8
lr_full,signo_zodiacal_aries,60,0.5,0.53,0.5356349206349206,0.52,0.517576883384933,0.534,0.5942918448080986,5.2,4.6,5.4,4.8
