modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr_full,signo_zodiacal_cancer,1,0.5,0.4600000000000001,0.4616161616161616,0.38,0.41040100250626566,0.403,0.5064975502653521,3.8,4.6,5.4,6.2
lr_full,signo_zodiacal_cancer,2,0.5,0.51,0.4962121212121212,0.52,0.5055821371610845,0.506,0.5705768223005064,5.2,5.0,5.0,4.8
lr_full,signo_zodiacal_cancer,3,0.5,0.5599999999999999,0.553525641025641,0.66,0.5960402678938147,0.586,0.6488634035383261,6.6,5.4,4.6,3.4
lr_full,signo_zodiacal_cancer,4,0.5,0.5200000000000001,0.5435897435897435,0.48,0.5027459954233409,0.538,0.5752277699940238,4.8,4.4,5.6,5.2
lr_full,signo_zodiacal_cancer,5,0.5,0.45,0.45246642246642244,0.45999999999999996,0.45110831018490194,0.476,0.5710342902711323,4.6,5.6,4.4,5.4
lr_full,signo_zodiacal_cancer,6,0.5,0.5,0.5017948717948718,0.6,0.5434308300395256,0.43,0.5112042792089231,6.0,6.0,4.0,4.0
lr_full,signo_zodiacal_cancer,7,0.5,0.49000000000000005,0.4805555555555555,0.44000000000000006,0.4548454469507101,0.4720000000000001,0.5399099039934953,4.4,4.6,5.4,5.6
lr_full,signo_zodiacal_cancer,8,0.5,0.5,0.49444444444444446,0.5,0.4926900584795321,0.466,0.5314175999439158,5.0,5.0,5.0,5.0
lr_full,signo_zodiacal_cancer,9,0.5,0.4600000000000001,0.4643290043290043,0.4,0.4256789031402034,0.4960000000000001,0.5827519212813331,4.0,4.8,5.2,6.0
lr_full,signo_zodiacal_cancer,10,0.5,0.58,0.5826298701298701,0.6,0.5783308195072902,0.626,0.662220645539531,6.0,4.4,5.6,4.0
lr_full,signo_zodiacal_cancer,11,0.5,0.45,0.4432900432900434,0.5,0.46695526695526696,0.422,0.49487508793236346,5.0,6.0,4.0,5.0
lr_full,signo_zodiacal_cancer,12,0.5,0.5,0.502979797979798,0.45999999999999996,0.47849624060150375,0.48,0.5289345391450654,4.6,4.6,5.4,5.4
lr_full,signo_zodiacal_cancer,13,0.5,0.43,0.42233766233766235,0.36000000000000004,0.38530345471521943,0.386,0.500318701937897,3.6,5.0,5.0,6.4
lr_full,signo_zodiacal_cancer,14,0.5,0.58,0.5923520923520924,0.5800000000000001,0.5781733746130031,0.5559999999999999,0.6410452396760447,5.8,4.2,5.8,4.2
lr_full,signo_zodiacal_cancer,15,0.5,0.56,0.5746969696969697,0.52,0.5387301587301587,0.604,0.6314930147252128,5.2,4.0,6.0,4.8
lr_full,signo_zodiacal_cancer,16,0.5,0.5,0.5031746031746032,0.54,0.5135060389872612,0.4699999999999999,0.5473533421343019,5.4,5.4,4.6,4.6
lr_full,signo_zodiacal_cancer,17,0.5,0.5399999999999999,0.5340909090909091,0.54,0.5293183940242763,0.51,0.578619965002318,5.4,4.6,5.4,4.6
lr_full,signo_zodiacal_cancer,18,0.5,0.33999999999999997,0.3787101787101787,0.38,0.3678609567396753,0.28200000000000003,0.4648603055870857,3.8,7.0,3.0,6.2
lr_full,signo_zodiacal_cancer,19,0.5,0.55,0.5490909090909091,0.6,0.5724675324675325,0.5419999999999999,0.5736599320012632,6.0,5.0,5.0,4.0
lr_full,signo_zodiacal_cancer,20,0.5,0.5599999999999999,0.5681818181818181,0.56,0.5619047619047619,0.57,0.619954286511562,5.6,4.4,5.6,4.4
lr_full,signo_zodiacal_cancer,21,0.5,0.6,0.6311965811965812,0.6,0.5919759873993284,0.6020000000000001,0.6491487313855735,6.0,4.0,6.0,4.0
lr_full,signo_zodiacal_cancer,22,0.5,0.4699999999999999,0.4787412587412588,0.54,0.5065236213062299,0.44399999999999995,0.5547034299549779,5.4,6.0,4.0,4.6
lr_full,signo_zodiacal_cancer,23,0.5,0.47000000000000003,0.467936507936508,0.41999999999999993,0.4411145510835913,0.4739999999999999,0.5271652118091745,4.2,4.8,5.2,5.8
lr_full,signo_zodiacal_cancer,24,0.5,0.43000000000000005,0.42363636363636364,0.36,0.37976190476190474,0.40800000000000003,0.5115312471326403,3.6,5.0,5.0,6.4
lr_full,signo_zodiacal_cancer,25,0.5,0.49000000000000005,0.48777777777777775,0.44000000000000006,0.4465964912280702,0.446,0.5175390555436995,4.4,4.6,5.4,5.6
lr_full,signo_zodiacal_cancer,26,0.5,0.6,0.5819047619047619,0.68,0.621010101010101,0.6199999999999999,0.6313737353118158,6.8,4.8,5.2,3.2
lr_full,signo_zodiacal_cancer,27,0.5,0.35,0.3485897435897436,0.36000000000000004,0.35079490557751425,0.29000000000000004,0.4500332678157755,3.6,6.6,3.4,6.4
lr_full,signo_zodiacal_cancer,28,0.5,0.56,0.558986013986014,0.56,0.554368530020704,0.5820000000000001,0.6071851455218328,5.6,4.4,5.6,4.4
lr_full,signo_zodiacal_cancer,29,0.5,0.5800000000000001,0.5690909090909091,0.54,0.5476190476190477,0.5860000000000001,0.6136851569483148,5.4,3.8,6.2,4.6
lr_full,signo_zodiacal_cancer,30,0.5,0.43,0.42027417027417024,0.34,0.37095188952774094,0.404,0.484634264857949,3.4,4.8,5.2,6.6
lr_full,signo_zodiacal_cancer,31,0.5,0.53,0.5292929292929293,0.54,0.5338345864661653,0.5439999999999999,0.6271045425163072,5.4,4.8,5.2,4.6
lr_full,signo_zodiacal_cancer,32,0.5,0.47000000000000003,0.47312409812409817,0.43999999999999995,0.45132885690161234,0.49000000000000005,0.5887444679503503,4.4,5.0,5.0,5.6
lr_full,signo_zodiacal_cancer,33,0.5,0.47000000000000003,0.4822344322344322,0.6,0.5222938187132561,0.453,0.5677756975566572,6.0,6.6,3.4,4.0
lr_full,signo_zodiacal_cancer,34,0.5,0.56,0.5562937062937063,0.64,0.5923048728540719,0.628,0.6398244784111656,6.4,5.2,4.8,3.6
lr_full,signo_zodiacal_cancer,35,0.5,0.4800000000000001,0.4797979797979798,0.43999999999999995,0.4532454129977349,0.492,0.5567079293255763,4.4,4.8,5.2,5.6
lr_full,signo_zodiacal_cancer,36,0.5,0.48,0.4865501165501165,0.52,0.49938390112303155,0.44000000000000006,0.5027537750347347,5.2,5.6,4.4,4.8
lr_full,signo_zodiacal_cancer,37,0.5,0.67,0.7073593073593074,0.6200000000000001,0.6445378151260505,0.6860000000000002,0.7231761192024349,6.2,2.8,7.2,3.8
lr_full,signo_zodiacal_cancer,38,0.5,0.52,0.5177777777777777,0.5800000000000001,0.5405888847994111,0.58,0.6755555914673561,5.8,5.4,4.6,4.2
lr_full,signo_zodiacal_cancer,39,0.5,0.5499999999999999,0.5428571428571428,0.6199999999999999,0.5671945701357466,0.568,0.6076849076276322,6.2,5.2,4.8,3.8
lr_full,signo_zodiacal_cancer,40,0.5,0.45000000000000007,0.4353535353535354,0.42000000000000004,0.424544315333789,0.4039999999999999,0.48500764148132564,4.2,5.2,4.8,5.8
lr_full,signo_zodiacal_cancer,41,0.5,0.61,0.6106060606060606,0.6599999999999999,0.6299043062200956,0.6399999999999999,0.6987649376767024,6.6,4.4,5.6,3.4
lr_full,signo_zodiacal_cancer,42,0.5,0.52,0.5121428571428572,0.54,0.5174426619132502,0.541,0.6300118319073427,5.4,5.0,5.0,4.6
lr_full,signo_zodiacal_cancer,43,0.5,0.5900000000000001,0.5794405594405594,0.64,0.6067494824016564,0.68,0.7273526995879938,6.4,4.6,5.4,3.6
lr_full,signo_zodiacal_cancer,44,0.5,0.5599999999999999,0.5873015873015873,0.54,0.5489971732400054,0.576,0.6053921666568726,5.4,4.2,5.8,4.6
