modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr_full,signo_zodiacal_geminis,1,0.5,0.55,0.5472727272727272,0.6,0.5715151515151515,0.504,0.5578179930664452,6.0,5.0,5.0,4.0
lr_full,signo_zodiacal_geminis,2,0.5,0.4800000000000001,0.4818181818181818,0.44000000000000006,0.45714285714285713,0.508,0.5622555750922624,4.4,4.8,5.2,5.6
lr_full,signo_zodiacal_geminis,3,0.5,0.5199999999999999,0.534992784992785,0.48,0.5021376971841368,0.564,0.6385257783152518,4.8,4.4,5.6,5.2
lr_full,signo_zodiacal_geminis,4,0.5,0.4,0.4187412587412587,0.5199999999999999,0.46215998494259364,0.378,0.4795125517757096,5.2,7.2,2.8,4.8
lr_full,signo_zodiacal_geminis,5,0.5,0.49000000000000005,0.5,0.48,0.48793195108984583,0.488,0.5912324235791727,4.8,5.0,5.0,5.2
lr_full,signo_zodiacal_geminis,6,0.5,0.69,0.6942424242424241,0.68,0.6844110275689224,0.694,0.7464625902992776,6.8,3.0,7.0,3.2
lr_full,signo_zodiacal_geminis,7,0.5,0.47000000000000003,0.47242424242424247,0.48,0.45982106782106785,0.44000000000000006,0.5635873699743668,4.8,5.4,4.6,5.2
lr_full,signo_zodiacal_geminis,8,0.5,0.57,0.5529181929181929,0.6,0.567087091129358,0.584,0.5910015431764657,6.0,4.6,5.4,4.0
lr_full,signo_zodiacal_geminis,9,0.5,0.5199999999999999,0.5195670995670996,0.42000000000000004,0.45634453781512613,0.548,0.5962787402655823,4.2,3.8,6.2,5.8
lr_full,signo_zodiacal_geminis,10,0.5,0.4800000000000001,0.5092307692307692,0.44000000000000006,0.45130434782608697,0.43600000000000005,0.5527044077353674,4.4,4.8,5.2,5.6
lr_full,signo_zodiacal_geminis,11,0.5,0.48,0.4856532356532356,0.48,0.47676794870226014,0.45600000000000007,0.5384418457359634,4.8,5.2,4.8,5.2
lr_full,signo_zodiacal_geminis,12,0.5,0.56,0.5723809523809523,0.48,0.5169040247678018,0.596,0.6178763813585795,4.8,3.6,6.4,5.2
lr_full,signo_zodiacal_geminis,13,0.5,0.5499999999999999,0.5637301587301586,0.52,0.5297076023391812,0.5479999999999999,0.6413936161877338,5.2,4.2,5.8,4.8
lr_full,signo_zodiacal_geminis,14,0.5,0.54,0.5499145299145299,0.5,0.514838545639461,0.548,0.6253096996742507,5.0,4.2,5.8,5.0
lr_full,signo_zodiacal_geminis,15,0.5,0.45,0.45060606060606057,0.5199999999999999,0.4746666666666667,0.4760000000000001,0.5649947656402764,5.2,6.2,3.8,4.8
lr_full,signo_zodiacal_geminis,16,0.5,0.55,0.573089133089133,0.5599999999999999,0.5470022883295195,0.58,0.6220589677780081,5.6,4.6,5.4,4.4
lr_full,signo_zodiacal_geminis,17,0.5,0.52,0.5103496503496503,0.6,0.544429580081754,0.4739999999999999,0.5212578969018598,6.0,5.6,4.4,4.0
lr_full,signo_zodiacal_geminis,18,0.5,0.5900000000000001,0.6243589743589743,0.58,0.5902798002912419,0.646,0.7047661309278956,5.8,4.0,6.0,4.2
lr_full,signo_zodiacal_geminis,19,0.5,0.58,0.595,0.5599999999999999,0.5700000000000001,0.6279999999999999,0.6574261467806359,5.6,4.0,6.0,4.4
lr_full,signo_zodiacal_geminis,20,0.5,0.45,0.45813131313131306,0.4,0.41702437912964224,0.42400000000000004,0.4905197594802858,4.0,5.0,5.0,6.0
