modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr_full,signo_zodiacal_leo,1,0.5,0.49000000000000005,0.4990476190476191,0.42000000000000004,0.4505882352941176,0.504,0.5571426536999293,4.2,4.4,5.6,5.8
lr_full,signo_zodiacal_leo,2,0.5,0.4699999999999999,0.4641136641136641,0.4800000000000001,0.4670140825208803,0.529,0.5764613154303557,4.8,5.4,4.6,5.2
lr_full,signo_zodiacal_leo,3,0.5,0.47000000000000003,0.48,0.4,0.4260606060606061,0.47400000000000003,0.5843296991106589,4.0,4.6,5.4,6.0
lr_full,signo_zodiacal_leo,4,0.5,0.48,0.48571428571428565,0.54,0.5095238095238095,0.472,0.5643372944564895,5.4,5.8,4.2,4.6
lr_full,signo_zodiacal_leo,5,0.5,0.47000000000000003,0.4801587301587301,0.48,0.4739500265816055,0.47800000000000004,0.5771328785593491,4.8,5.4,4.6,5.2
lr_full,signo_zodiacal_leo,6,0.5,0.49000000000000005,0.4886868686868687,0.5,0.49275005696058327,0.522,0.5536070775629599,5.0,5.2,4.8,5.0
lr_full,signo_zodiacal_leo,7,0.5,0.5900000000000001,0.5815268065268066,0.6599999999999999,0.6135391178869439,0.554,0.5506565554328711,6.6,4.8,5.2,3.4
lr_full,signo_zodiacal_leo,8,0.5,0.48,0.46504329004329004,0.38,0.41395891690009334,0.41600000000000004,0.497189026058221,3.8,4.2,5.8,6.2
lr_full,signo_zodiacal_leo,9,0.5,0.53,0.543021978021978,0.58,0.5554589371980676,0.514,0.5736136933242196,5.8,5.2,4.8,4.2
lr_full,signo_zodiacal_leo,10,0.5,0.53,0.5257575757575758,0.54,0.5310321257689679,0.5,0.5692304558186911,5.4,4.8,5.2,4.6
lr_full,signo_zodiacal_leo,11,0.5,0.4,0.3916883116883117,0.38,0.3842016806722689,0.392,0.47266170044266015,3.8,5.8,4.2,6.2
lr_full,signo_zodiacal_leo,12,0.5,0.45999999999999996,0.4646886446886446,0.5800000000000001,0.5123478260869565,0.484,0.5911601917174673,5.8,6.6,3.4,4.2
lr_full,signo_zodiacal_leo,13,0.5,0.53,0.5243156843156843,0.5399999999999999,0.5275654609669955,0.5880000000000001,0.5818850577527048,5.4,4.8,5.2,4.6
lr_full,signo_zodiacal_leo,14,0.5,0.49000000000000005,0.498021978021978,0.48,0.4716027280477409,0.5359999999999999,0.5931956730060446,4.8,5.0,5.0,5.2
lr_full,signo_zodiacal_leo,15,0.5,0.56,0.56,0.58,0.566140350877193,0.518,0.6011508203698606,5.8,4.6,5.4,4.2
lr_full,signo_zodiacal_leo,16,0.5,0.47000000000000003,0.4833333333333333,0.45999999999999996,0.4600267379679145,0.42200000000000004,0.5017216523586493,4.6,5.2,4.8,5.4
lr_full,signo_zodiacal_leo,17,0.5,0.48,0.48535353535353537,0.42000000000000004,0.441410344041923,0.47000000000000003,0.5510791271851643,4.2,4.6,5.4,5.8
