modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr_full,signo_zodiacal_piscis,1,0.5,0.4699999999999999,0.4646187146187146,0.45999999999999996,0.4517429501444846,0.42800000000000005,0.509420046070201,4.6,5.2,4.8,5.4
lr_full,signo_zodiacal_piscis,2,0.5,0.53,0.5307142857142857,0.5,0.5107902554961379,0.6020000000000001,0.6236095456830751,5.0,4.4,5.6,5.0
lr_full,signo_zodiacal_piscis,3,0.5,0.44000000000000006,0.4357142857142858,0.43999999999999995,0.42979797979797973,0.43,0.4871048773208216,4.4,5.6,4.4,5.6
lr_full,signo_zodiacal_piscis,4,0.5,0.5,0.5023809523809524,0.58,0.5363636363636364,0.48599999999999993,0.5445731686614039,5.8,5.8,4.2,4.2
lr_full,signo_zodiacal_piscis,5,0.5,0.44000000000000006,0.4469108669108669,0.5,0.468558352402746,0.48,0.5758381818559837,5.0,6.2,3.8,5.0
lr_full,signo_zodiacal_piscis,6,0.5,0.53,0.5365079365079365,0.48,0.5046439628482972,0.538,0.577021541152346,4.8,4.2,5.8,5.2
lr_full,signo_zodiacal_piscis,7,0.5,0.38,0.3952214452214452,0.48,0.4329380764163373,0.392,0.5283932005387113,4.8,7.2,2.8,5.2
lr_full,signo_zodiacal_piscis,8,0.5,0.49000000000000005,0.4771561771561772,0.4600000000000001,0.4579192546583851,0.48599999999999993,0.5554305957200694,4.6,4.8,5.2,5.4
lr_full,signo_zodiacal_piscis,9,0.5,0.45999999999999996,0.46202020202020205,0.45999999999999996,0.4506591478696742,0.4109999999999999,0.4793730693111498,4.6,5.4,4.6,5.4
lr_full,signo_zodiacal_piscis,10,0.5,0.51,0.5022954822954823,0.5,0.4965378920446898,0.46799999999999997,0.5073106511651403,5.0,4.8,5.2,5.0
lr_full,signo_zodiacal_piscis,11,0.5,0.53,0.5580004309416073,0.5599999999999999,0.5379047077768305,0.484,0.520161414179216,5.6,5.0,5.0,4.4
lr_full,signo_zodiacal_piscis,12,0.5,0.47000000000000003,0.4772222222222222,0.48,0.4753216374269006,0.594,0.6630109483739515,4.8,5.4,4.6,5.2
lr_full,signo_zodiacal_piscis,13,0.5,0.53,0.5463924963924964,0.54,0.5371959310039804,0.502,0.5630620964003317,5.4,4.8,5.2,4.6
lr_full,signo_zodiacal_piscis,14,0.5,0.51,0.5391375291375292,0.52,0.5128966685488424,0.5,0.5702598163790114,5.2,5.0,5.0,4.8
lr_full,signo_zodiacal_piscis,15,0.5,0.45999999999999996,0.45024420024420025,0.45999999999999996,0.44957720970643306,0.47000000000000003,0.5371704104289243,4.6,5.4,4.6,5.4
lr_full,signo_zodiacal_piscis,16,0.5,0.44000000000000006,0.4550616050616051,0.56,0.5012422360248447,0.47400000000000003,0.5414845797477377,5.6,6.8,3.2,4.4
lr_full,signo_zodiacal_piscis,17,0.5,0.52,0.52,0.6,0.5563636363636364,0.546,0.5677314162445741,6.0,5.6,4.4,4.0
lr_full,signo_zodiacal_piscis,18,0.5,0.6,0.5961538461538461,0.6599999999999999,0.6211180124223602,0.646,0.7053222794577283,6.6,4.6,5.4,3.4
lr_full,signo_zodiacal_piscis,19,0.5,0.4600000000000001,0.4383333333333333,0.4,0.41611111111111115,0.45400000000000007,0.5400965444084639,4.0,4.8,5.2,6.0
lr_full,signo_zodiacal_piscis,20,0.5,0.43999999999999995,0.44965034965034967,0.45999999999999996,0.44767080745341614,0.426,0.5384826387063228,4.6,5.8,4.2,5.4
lr_full,signo_zodiacal_piscis,21,0.5,0.54,0.554090909090909,0.4600000000000001,0.49487050960735174,0.476,0.5424806212878968,4.6,3.8,6.2,5.4
lr_full,signo_zodiacal_piscis,22,0.5,0.5,0.49682539682539684,0.5399999999999999,0.5110292588015027,0.504,0.571724592401063,5.4,5.4,4.6,4.6
lr_full,signo_zodiacal_piscis,23,0.5,0.52,0.5333333333333333,0.48,0.5026049973418395,0.5,0.5876147371720126,4.8,4.4,5.6,5.2
lr_full,signo_zodiacal_piscis,24,0.5,0.43,0.42912587412587416,0.4600000000000001,0.4414906832298137,0.4800000000000001,0.5782798214857038,4.6,6.0,4.0,5.4
lr_full,signo_zodiacal_piscis,25,0.5,0.5,0.502020202020202,0.5199999999999999,0.5060568086883876,0.4920000000000001,0.558630227014128,5.2,5.2,4.8,4.8
lr_full,signo_zodiacal_piscis,26,0.5,0.4600000000000001,0.46991341991341995,0.52,0.48997113997114,0.466,0.5496937035272949,5.2,6.0,4.0,4.8
lr_full,signo_zodiacal_piscis,27,0.5,0.45,0.42181818181818176,0.44000000000000006,0.42666666666666664,0.39,0.478883265427383,4.4,5.4,4.6,5.6
lr_full,signo_zodiacal_piscis,28,0.5,0.43,0.4235897435897436,0.42000000000000004,0.41493631971892836,0.43200000000000005,0.5078483275410519,4.2,5.6,4.4,5.8
lr_full,signo_zodiacal_piscis,29,0.5,0.47000000000000003,0.47444444444444456,0.5,0.4852631578947369,0.47400000000000003,0.5535727128049109,5.0,5.6,4.4,5.0
lr_full,signo_zodiacal_piscis,30,0.5,0.45999999999999996,0.47307359307359304,0.48,0.46571428571428575,0.4119999999999999,0.5169120171194475,4.8,5.6,4.4,5.2
lr_full,signo_zodiacal_piscis,31,0.5,0.4,0.39924242424242423,0.42000000000000004,0.40688083845978584,0.41600000000000004,0.5490285107049814,4.2,6.2,3.8,5.8
lr_full,signo_zodiacal_piscis,32,0.5,0.52,0.5317460317460317,0.5,0.5079979360165119,0.47000000000000003,0.5771956115779645,5.0,4.6,5.4,5.0
lr_full,signo_zodiacal_piscis,33,0.5,0.4,0.37756410256410255,0.4,0.3829710144927536,0.40800000000000003,0.48033619407768013,4.0,6.0,4.0,6.0
lr_full,signo_zodiacal_piscis,34,0.5,0.5399999999999999,0.5557575757575758,0.52,0.5296924128503075,0.5640000000000001,0.5893037305831423,5.2,4.4,5.6,4.8
lr_full,signo_zodiacal_piscis,35,0.5,0.5,0.4934065934065933,0.5,0.49089195903033567,0.5660000000000001,0.6333129148113669,5.0,5.0,5.0,5.0
lr_full,signo_zodiacal_piscis,36,0.5,0.49000000000000005,0.4966666666666666,0.58,0.5324329004329005,0.4619999999999999,0.5887358474858475,5.8,6.0,4.0,4.2
lr_full,signo_zodiacal_piscis,37,0.5,0.45999999999999996,0.44995670995670994,0.44000000000000006,0.43115966386554627,0.422,0.47279880293425186,4.4,5.2,4.8,5.6
lr_full,signo_zodiacal_piscis,38,0.5,0.5700000000000001,0.6075757575757577,0.52,0.5515512265512266,0.462,0.5709960811462359,5.2,3.8,6.2,4.8
lr_full,signo_zodiacal_piscis,39,0.5,0.45,0.4376923076923077,0.42000000000000004,0.41802833830293784,0.41999999999999993,0.5022783342388605,4.2,5.2,4.8,5.8
lr_full,signo_zodiacal_piscis,40,0.5,0.49000000000000005,0.49559884559884554,0.5,0.49261388766032727,0.45,0.5110570175438597,5.0,5.2,4.8,5.0
lr_full,signo_zodiacal_piscis,41,0.5,0.5200000000000001,0.5309523809523811,0.58,0.5464812834224599,0.524,0.5677698577652138,5.8,5.4,4.6,4.2
lr_full,signo_zodiacal_piscis,42,0.5,0.45,0.45090909090909087,0.45999999999999996,0.45365079365079364,0.398,0.4864492384980001,4.6,5.6,4.4,5.4
lr_full,signo_zodiacal_piscis,43,0.5,0.48,0.4818521347933113,0.5,0.47849689583435706,0.502,0.5612992813859685,5.0,5.4,4.6,5.0
lr_full,signo_zodiacal_piscis,44,0.5,0.4699999999999999,0.4611471861471861,0.4600000000000001,0.45251363703376085,0.48599999999999993,0.5479173147114323,4.6,5.2,4.8,5.4
lr_full,signo_zodiacal_piscis,45,0.5,0.55,0.5444444444444444,0.64,0.5812631578947369,0.6,0.6522693586942812,6.4,5.4,4.6,3.6
lr_full,signo_zodiacal_piscis,46,0.5,0.45999999999999996,0.4633333333333334,0.4,0.4236868686868688,0.45600000000000007,0.5176117858749437,4.0,4.8,5.2,6.0
lr_full,signo_zodiacal_piscis,47,0.5,0.5,0.49182539682539683,0.42000000000000004,0.45140694874441,0.5,0.5653193118371137,4.2,4.2,5.8,5.8
lr_full,signo_zodiacal_piscis,48,0.5,0.5800000000000001,0.5991208791208791,0.6,0.5924394105468276,0.6460000000000001,0.6576744633935036,6.0,4.4,5.6,4.0
lr_full,signo_zodiacal_piscis,49,0.5,0.53,0.5167399267399267,0.5399999999999999,0.5227579877384697,0.518,0.5913876421995617,5.4,4.8,5.2,4.6
lr_full,signo_zodiacal_piscis,50,0.5,0.45999999999999996,0.4618131868131868,0.5599999999999999,0.5025691699604743,0.45600000000000007,0.5119958283031039,5.6,6.4,3.6,4.4
lr_full,signo_zodiacal_piscis,51,0.5,0.48,0.46691919191919184,0.45999999999999996,0.4616541353383458,0.5130000000000001,0.6027053783849449,4.6,5.0,5.0,5.4
