modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
lr_full,signo_zodiacal_sagitario,1,0.5,0.55,0.5322655122655122,0.5599999999999999,0.5390844758956215,0.5479999999999999,0.581341686091686,5.6,4.6,5.4,4.4
lr_full,signo_zodiacal_sagitario,2,0.5,0.6,0.6033333333333333,0.58,0.5828787878787878,0.624,0.6881922217789092,5.8,3.8,6.2,4.2
lr_full,signo_zodiacal_sagitario,3,0.5,0.49000000000000005,0.4924786324786325,0.54,0.5080559369438087,0.568,0.6293464580654983,5.4,5.6,4.4,4.6
lr_full,signo_zodiacal_sagitario,4,0.5,0.56,0.5593362193362194,0.5599999999999999,0.5496030271757826,0.53,0.5925137984650368,5.6,4.4,5.6,4.4
lr_full,signo_zodiacal_sagitario,5,0.5,0.45,0.4523809523809524,0.44000000000000006,0.4418801013228258,0.40199999999999997,0.4962671788995318,4.4,5.4,4.6,5.6
lr_full,signo_zodiacal_sagitario,6,0.5,0.49000000000000005,0.477979797979798,0.45999999999999996,0.4609204830257461,0.522,0.6085496796804846,4.6,4.8,5.2,5.4
lr_full,signo_zodiacal_sagitario,7,0.5,0.5,0.5027777777777778,0.54,0.5116999959105222,0.48,0.5498148430516852,5.4,5.4,4.6,4.6
lr_full,signo_zodiacal_sagitario,8,0.5,0.43,0.43030303030303035,0.41999999999999993,0.41867737525632265,0.4,0.5314061977753928,4.2,5.6,4.4,5.8
lr_full,signo_zodiacal_sagitario,9,0.5,0.49000000000000005,0.4684815184815185,0.52,0.48532253481102583,0.44000000000000006,0.505844710243317,5.2,5.4,4.6,4.8
lr_full,signo_zodiacal_sagitario,10,0.5,0.48,0.47480519480519484,0.48,0.47396485867074106,0.4920000000000001,0.5604523721892142,4.8,5.2,4.8,5.2
lr_full,signo_zodiacal_sagitario,11,0.5,0.44000000000000006,0.426978021978022,0.4,0.40696788860471733,0.33599999999999997,0.44602524539444044,4.0,5.2,4.8,6.0
lr_full,signo_zodiacal_sagitario,12,0.5,0.52,0.5233766233766234,0.54,0.5250700280112045,0.521,0.5711740089975385,5.4,5.0,5.0,4.6
lr_full,signo_zodiacal_sagitario,13,0.5,0.44000000000000006,0.44661616161616163,0.42000000000000004,0.4315121136173768,0.43100000000000005,0.5241400919342095,4.2,5.4,4.6,5.8
lr_full,signo_zodiacal_sagitario,14,0.5,0.51,0.511010101010101,0.5599999999999999,0.5283894584947216,0.546,0.6119192920942147,5.6,5.4,4.6,4.4
lr_full,signo_zodiacal_sagitario,15,0.5,0.54,0.5275757575757576,0.5599999999999999,0.5312167048637637,0.503,0.5505741088976382,5.6,4.8,5.2,4.4
lr_full,signo_zodiacal_sagitario,16,0.5,0.53,0.527987012987013,0.56,0.5399999999999999,0.534,0.56826325428957,5.6,5.0,5.0,4.4
lr_full,signo_zodiacal_sagitario,17,0.5,0.47000000000000003,0.4564718614718615,0.41999999999999993,0.4346985109833407,0.4880000000000001,0.5691409680790486,4.2,4.8,5.2,5.8
lr_full,signo_zodiacal_sagitario,18,0.5,0.58,0.5725,0.6199999999999999,0.5825524475524475,0.61,0.6519769180767632,6.2,4.6,5.4,3.8
lr_full,signo_zodiacal_sagitario,19,0.5,0.44000000000000006,0.43575757575757573,0.44000000000000006,0.4374436090225564,0.43200000000000005,0.5009635195385969,4.4,5.6,4.4,5.6
lr_full,signo_zodiacal_sagitario,20,0.5,0.51,0.48424242424242425,0.4600000000000001,0.46912698412698406,0.514,0.6128019388592143,4.6,4.4,5.6,5.4
lr_full,signo_zodiacal_sagitario,21,0.5,0.4800000000000001,0.4728271728271728,0.48,0.46890092005181516,0.53,0.572224293680176,4.8,5.2,4.8,5.2
lr_full,signo_zodiacal_sagitario,22,0.5,0.5800000000000001,0.5686013986013986,0.6,0.5756135893092416,0.6279999999999999,0.6531052074860124,6.0,4.4,5.6,4.0
lr_full,signo_zodiacal_sagitario,23,0.5,0.45,0.4502020202020202,0.42000000000000004,0.4328822055137844,0.454,0.5468685409877361,4.2,5.2,4.8,5.8
lr_full,signo_zodiacal_sagitario,24,0.5,0.4,0.3706293706293706,0.36000000000000004,0.3533314511575381,0.358,0.4559516420971529,3.6,5.6,4.4,6.4
lr_full,signo_zodiacal_sagitario,25,0.5,0.42000000000000004,0.39246031746031745,0.4,0.39258842292898016,0.388,0.46760779743132674,4.0,5.6,4.4,6.0
lr_full,signo_zodiacal_sagitario,26,0.5,0.48,0.4746031746031746,0.4,0.4325765393876849,0.502,0.5533246926791817,4.0,4.4,5.6,6.0
lr_full,signo_zodiacal_sagitario,27,0.5,0.45999999999999996,0.4766233766233766,0.45999999999999996,0.4567799847211612,0.5399999999999999,0.6601532264605019,4.6,5.4,4.6,5.4
lr_full,signo_zodiacal_sagitario,28,0.5,0.54,0.5392857142857143,0.5399999999999999,0.5339181286549708,0.55,0.6326089704928715,5.4,4.6,5.4,4.6
lr_full,signo_zodiacal_sagitario,29,0.5,0.54,0.5435786435786436,0.52,0.5279522335249889,0.506,0.561263281867771,5.2,4.4,5.6,4.8
lr_full,signo_zodiacal_sagitario,30,0.5,0.43000000000000005,0.43873015873015875,0.33999999999999997,0.3762229102167183,0.426,0.5487815523829455,3.4,4.8,5.2,6.6
lr_full,signo_zodiacal_sagitario,31,0.5,0.5,0.5218181818181817,0.5,0.48001465201465193,0.564,0.6383695538207922,5.0,5.0,5.0,5.0
lr_full,signo_zodiacal_sagitario,32,0.5,0.58,0.5816666666666667,0.5599999999999999,0.5678575225943646,0.6260000000000001,0.6570479369271938,5.6,4.0,6.0,4.4
lr_full,signo_zodiacal_sagitario,33,0.5,0.49000000000000005,0.4735353535353536,0.5199999999999999,0.48986466165413534,0.476,0.5191687303924146,5.2,5.4,4.6,4.8
lr_full,signo_zodiacal_sagitario,34,0.5,0.5599999999999999,0.5527472527472528,0.6599999999999999,0.5930636286135008,0.572,0.6377756014195641,6.6,5.4,4.6,3.4
lr_full,signo_zodiacal_sagitario,35,0.5,0.6,0.5957575757575757,0.68,0.6313766233766234,0.6120000000000001,0.601011016159623,6.8,4.8,5.2,3.2
lr_full,signo_zodiacal_sagitario,36,0.5,0.43,0.42806526806526807,0.44000000000000006,0.4306803239984019,0.43600000000000005,0.5468225293798049,4.4,5.8,4.2,5.6
lr_full,signo_zodiacal_sagitario,37,0.5,0.5599999999999999,0.5523698523698524,0.62,0.5820559303396833,0.554,0.5913958406574505,6.2,5.0,5.0,3.8
lr_full,signo_zodiacal_sagitario,38,0.5,0.5199999999999999,0.507972582972583,0.5599999999999999,0.5277739804055593,0.516,0.5444270157946628,5.6,5.2,4.8,4.4
lr_full,signo_zodiacal_sagitario,39,0.5,0.57,0.5742857142857142,0.5199999999999999,0.5435913312693499,0.598,0.6491835658321727,5.2,3.8,6.2,4.8
lr_full,signo_zodiacal_sagitario,40,0.5,0.54,0.5477777777777779,0.48,0.4966267942583732,0.608,0.6316088057968863,4.8,4.0,6.0,5.2
lr_full,signo_zodiacal_sagitario,41,0.5,0.44000000000000006,0.4442857142857143,0.39999999999999997,0.407551990493167,0.418,0.5271386499637274,4.0,5.2,4.8,6.0
lr_full,signo_zodiacal_sagitario,42,0.5,0.53,0.5381313131313131,0.48,0.5057644110275689,0.5159999999999999,0.5384750619177864,4.8,4.2,5.8,5.2
lr_full,signo_zodiacal_sagitario,43,0.5,0.5599999999999999,0.5665811965811965,0.5799999999999998,0.5683738991748145,0.538,0.5713479667906912,5.8,4.6,5.4,4.2
lr_full,signo_zodiacal_sagitario,44,0.5,0.51,0.4636363636363637,0.48,0.4698412698412698,0.5209999999999999,0.5400031157353139,4.8,4.6,5.4,5.2
lr_full,signo_zodiacal_sagitario,45,0.5,0.5,0.5079365079365079,0.42000000000000004,0.4547987616099071,0.5439999999999999,0.6420711863815579,4.2,4.2,5.8,5.8
lr_full,signo_zodiacal_sagitario,46,0.5,0.5,0.5083333333333334,0.52,0.5115440115440115,0.49399999999999994,0.5531388411210394,5.2,5.2,4.8,4.8
lr_full,signo_zodiacal_sagitario,47,0.5,0.52,0.528138528138528,0.5399999999999999,0.5294903926482875,0.492,0.5414161004114564,5.4,5.0,5.0,4.6
lr_full,signo_zodiacal_sagitario,48,0.5,0.5199999999999999,0.5342857142857141,0.52,0.5173262032085562,0.53,0.591633070146228,5.2,4.8,5.2,4.8
