,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.5025,0.05695997610388818,0.5025991260700085,0.06130076794929286,0.5054,0.07308023975662478,0.49636655019193476,0.062594516129402,0.5009100000000001,0.07299288885670507,0.5690517848769737,0.05696224524814889,5.054,0.7308023975662483,5.004,0.7352449730128597,4.996,0.7352449730128597,4.946,0.7308023975662483
signo_zodiacal_aries,0.5,0.0,0.5009600000000001,0.05885581035739505,0.5003107255816079,0.06399079868974328,0.5004,0.07457454475523734,0.4927581127178411,0.06445319359764047,0.500638,0.07747246557225142,0.5690824723570203,0.05984903536770522,5.004,0.7457454475523738,4.9848,0.7531955703097757,5.0152,0.7531955703097757,4.996,0.7457454475523739
signo_zodiacal_cancer,0.5,0.0,0.49638,0.059667545886052054,0.49657686072097834,0.0654726526940562,0.49760000000000004,0.07624872284485121,0.4895344925692754,0.06581571063691678,0.496608,0.07535302577193553,0.5666136228554727,0.05742250125356156,4.976,0.7624872284485125,5.0484,0.7563077699493584,4.9516,0.7563077699493584,5.024,0.7624872284485126
signo_zodiacal_capricornio,0.5,0.0,0.5008400000000001,0.0623077757413605,0.5015751726051726,0.06792984341697066,0.49895999999999996,0.07683440278222906,0.4924505390756873,0.06752197994476,0.500542,0.0772447910962481,0.568292128799649,0.05950723492595247,4.9896,0.76834402782229,4.9728,0.8003382050639407,5.0272,0.8003382050639407,5.0104,0.76834402782229
signo_zodiacal_escorpio,0.5,0.0,0.49664,0.062067827660237336,0.49693612240700474,0.0673868659146583,0.49616,0.07746260588581588,0.4892316090767839,0.06800155188322635,0.496712,0.07667572882458677,0.5669579345214468,0.057865427532037154,4.961600000000001,0.7746260588581592,5.0288,0.7716225519808573,4.9712,0.7716225519808573,5.038399999999999,0.7746260588581592
signo_zodiacal_geminis,0.5,0.0,0.5026,0.05673515449446687,0.5049717801153095,0.061629123328296315,0.50188,0.07384423838788082,0.49538044215935717,0.062169766382867836,0.500582,0.07289256428371628,0.5688962976555608,0.0574779326164887,5.018800000000001,0.7384423838788085,4.9668,0.7343407060384781,5.0332,0.7343407060384781,4.981199999999999,0.7384423838788085
signo_zodiacal_leo,0.5,0.0,0.49656,0.05930261377038959,0.49684744774833006,0.06486828310130911,0.49516000000000004,0.07610623310501492,0.488555803392621,0.06619888188692895,0.497686,0.07357470951189354,0.5672905524664534,0.05735924290389644,4.9516,0.7610623310501498,5.0203999999999995,0.7386169168789728,4.9796000000000005,0.7386169168789728,5.0484,0.7610623310501496
signo_zodiacal_libra,0.5,0.0,0.50066,0.059974647282274786,0.5003925557895836,0.06468595337409669,0.49976,0.07570604474162437,0.4920676965911336,0.06563194475889424,0.4988,0.07436634121301659,0.5677603576000883,0.05713074761481816,4.9976,0.7570604474162439,4.9844,0.7610749701707719,5.0156,0.7610749701707719,5.0024,0.7570604474162439
signo_zodiacal_piscis,0.5,0.0,0.49910000000000004,0.058974112047436286,0.5001143329219799,0.06475505134293799,0.5018,0.07061680725531189,0.4936487071591107,0.06251801979311367,0.49751999999999996,0.07568366822023455,0.5653561064233324,0.05876781418120578,5.018,0.706168072553119,5.036,0.7706957531268586,4.964,0.7706957531268586,4.982,0.7061680725531189
signo_zodiacal_sagitario,0.5,0.0,0.5002,0.05819564817865567,0.4984600895509719,0.06363324814707735,0.50184,0.07490685197594328,0.4928164795843891,0.06518777593995503,0.500378,0.07430581285234215,0.568813460544959,0.05857793554309046,5.0184,0.7490685197594336,5.014399999999999,0.7312880447599414,4.985600000000001,0.7312880447599412,4.9816,0.7490685197594336
signo_zodiacal_tauro,0.5,0.0,0.49388,0.060642399368778334,0.49312184462596226,0.06628617569440023,0.49484,0.076053551431677,0.4866304730061222,0.06722086145566616,0.493672,0.07789132514642523,0.5630502449119508,0.05881629349498475,4.9483999999999995,0.7605355143167698,5.0708,0.7459895178361705,4.9292,0.7459895178361705,5.0516000000000005,0.7605355143167699
signo_zodiacal_virgo,0.5,0.0,0.49854000000000004,0.06303026279539149,0.4987676064458417,0.06868661280635072,0.4968,0.07740894191614528,0.4905825874256562,0.0682178848790331,0.497318,0.07626134316232464,0.5666379987760777,0.05932843874925196,4.968,0.7740894191614521,4.997199999999999,0.788845177095515,5.002800000000001,0.788845177095515,5.032,0.7740894191614521
