modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_aries,1,0.5,0.52,0.5522510822510822,0.45999999999999996,0.49106241539678075,0.47300000000000003,0.5697176363368313,4.6,4.2,5.8,5.4
rf,signo_zodiacal_aries,2,0.5,0.44000000000000006,0.4555050505050505,0.45999999999999996,0.4517226399331662,0.41600000000000004,0.5052298828622359,4.6,5.8,4.2,5.4
rf,signo_zodiacal_aries,3,0.5,0.54,0.5553030303030303,0.5799999999999998,0.5633477633477634,0.58,0.6481848423334491,5.8,5.0,5.0,4.2
rf,signo_zodiacal_aries,4,0.5,0.5,0.5,0.58,0.5367965367965368,0.534,0.6055321873688746,5.8,5.8,4.2,4.2
rf,signo_zodiacal_aries,5,0.5,0.53,0.5177655677655678,0.6,0.5504301325273192,0.519,0.5776399156399156,6.0,5.4,4.6,4.0
rf,signo_zodiacal_aries,6,0.5,0.5399999999999999,0.5604761904761905,0.5,0.5226737967914439,0.594,0.6534691399072203,5.0,4.2,5.8,5.0
rf,signo_zodiacal_aries,7,0.5,0.6,0.6121212121212121,0.5599999999999999,0.5786967418546366,0.644,0.6902233203672832,5.6,3.6,6.4,4.4
rf,signo_zodiacal_aries,8,0.5,0.55,0.5714285714285714,0.54,0.5507002801120449,0.5,0.5692671105124665,5.4,4.4,5.6,4.6
rf,signo_zodiacal_aries,9,0.5,0.55,0.5916666666666667,0.44000000000000006,0.49611111111111106,0.538,0.6293392512200561,4.4,3.4,6.6,5.6
rf,signo_zodiacal_aries,10,0.5,0.52,0.5294372294372294,0.56,0.5329004329004329,0.46799999999999997,0.5154275365157718,5.6,5.2,4.8,4.4
rf,signo_zodiacal_aries,11,0.5,0.48,0.48535353535353537,0.54,0.5080770107085897,0.516,0.5676188690910052,5.4,5.8,4.2,4.6
rf,signo_zodiacal_aries,12,0.5,0.44000000000000006,0.43661616161616157,0.42000000000000004,0.4250474671527303,0.506,0.5897225454284277,4.2,5.4,4.6,5.8
rf,signo_zodiacal_aries,13,0.5,0.4,0.38932178932178935,0.36,0.3698229531046868,0.426,0.5044823505527839,3.6,5.6,4.4,6.4
rf,signo_zodiacal_aries,14,0.5,0.53,0.5507575757575758,0.44000000000000006,0.47344877344877345,0.511,0.6067893385424344,4.4,3.8,6.2,5.6
rf,signo_zodiacal_aries,15,0.5,0.65,0.6884065934065934,0.6000000000000001,0.632588803637397,0.633,0.6548352650101876,6.0,3.0,7.0,4.0
rf,signo_zodiacal_aries,16,0.5,0.5199999999999999,0.5281385281385281,0.4,0.4495798319327731,0.6030000000000001,0.6071415241105643,4.0,3.6,6.4,6.0
rf,signo_zodiacal_aries,17,0.5,0.5900000000000001,0.5996031746031745,0.45999999999999996,0.5125264140744017,0.578,0.6320105633960122,4.6,2.8,7.2,5.4
rf,signo_zodiacal_aries,18,0.5,0.5,0.502020202020202,0.5,0.49906584643426743,0.51,0.5175669875360278,5.0,5.0,5.0,5.0
rf,signo_zodiacal_aries,19,0.5,0.49000000000000005,0.4896464646464646,0.4800000000000001,0.4823877876509455,0.532,0.5723278682102212,4.8,5.0,5.0,5.2
rf,signo_zodiacal_aries,20,0.5,0.5,0.49786324786324787,0.52,0.5053047638859995,0.541,0.57289649789495,5.2,5.2,4.8,4.8
rf,signo_zodiacal_aries,21,0.5,0.51,0.5129870129870129,0.58,0.5428571428571429,0.485,0.5720556757484002,5.8,5.6,4.4,4.2
rf,signo_zodiacal_aries,22,0.5,0.42000000000000004,0.43173076923076925,0.56,0.48232998885172795,0.36000000000000004,0.45738100788100783,5.6,7.2,2.8,4.4
rf,signo_zodiacal_aries,23,0.5,0.47000000000000003,0.4722222222222222,0.48,0.4735323156375788,0.46399999999999997,0.5675113887660327,4.8,5.4,4.6,5.2
rf,signo_zodiacal_aries,24,0.5,0.53,0.5392857142857143,0.45999999999999996,0.49209744503862146,0.458,0.5328359620255905,4.6,4.0,6.0,5.4
rf,signo_zodiacal_aries,25,0.5,0.5000000000000001,0.5126923076923077,0.42000000000000004,0.4365443252399774,0.5040000000000001,0.5713473275090922,4.2,4.2,5.8,5.8
rf,signo_zodiacal_aries,26,0.5,0.52,0.5144444444444445,0.62,0.5572025518341308,0.509,0.5534937366555013,6.2,5.8,4.2,3.8
rf,signo_zodiacal_aries,27,0.5,0.48,0.4746031746031746,0.5599999999999999,0.5047987616099072,0.51,0.5653409331466607,5.6,6.0,4.0,4.4
rf,signo_zodiacal_aries,28,0.5,0.54,0.5383838383838384,0.5599999999999999,0.5476874003189792,0.5489999999999999,0.6047787492005758,5.6,4.8,5.2,4.4
rf,signo_zodiacal_aries,29,0.5,0.61,0.6112791783380018,0.6399999999999999,0.6127141382868937,0.632,0.666605228105228,6.4,4.2,5.8,3.6
rf,signo_zodiacal_aries,30,0.5,0.37,0.3648018648018648,0.32,0.3322572736188297,0.359,0.4638475336153355,3.2,5.8,4.2,6.8
rf,signo_zodiacal_aries,31,0.5,0.61,0.6448051948051947,0.52,0.5718020541549953,0.631,0.6776273334508629,5.2,3.0,7.0,4.8
rf,signo_zodiacal_aries,32,0.5,0.55,0.5553113553113553,0.5599999999999999,0.539163372859025,0.508,0.572808581339541,5.6,4.6,5.4,4.4
rf,signo_zodiacal_aries,33,0.5,0.6,0.6216050616050616,0.5800000000000001,0.5806073892007395,0.6719999999999999,0.6482995017538361,5.8,3.8,6.2,4.2
rf,signo_zodiacal_aries,34,0.5,0.41,0.3793939393939394,0.32,0.34379281537176276,0.41400000000000003,0.48196728881713397,3.2,5.0,5.0,6.8
rf,signo_zodiacal_aries,35,0.5,0.49000000000000005,0.5309523809523808,0.44000000000000006,0.46165011459129107,0.43999999999999995,0.530158083746319,4.4,4.6,5.4,5.6
rf,signo_zodiacal_aries,36,0.5,0.52,0.5198051948051947,0.5,0.5055088702147525,0.493,0.5697166722166722,5.0,4.6,5.4,5.0
rf,signo_zodiacal_aries,37,0.5,0.42000000000000004,0.4201864801864802,0.48,0.44153746685554474,0.41200000000000003,0.48242401166085375,4.8,6.4,3.6,5.2
rf,signo_zodiacal_aries,38,0.5,0.51,0.5044444444444445,0.5599999999999999,0.5273843700159488,0.504,0.5534959403341756,5.6,5.4,4.6,4.4
rf,signo_zodiacal_aries,39,0.5,0.54,0.5275252525252525,0.54,0.531829573934837,0.6030000000000001,0.6490345569463216,5.4,4.6,5.4,4.6
rf,signo_zodiacal_aries,40,0.5,0.4,0.41000000000000003,0.43999999999999995,0.42161616161616167,0.376,0.45761303505575956,4.4,6.4,3.6,5.6
rf,signo_zodiacal_aries,41,0.5,0.47000000000000003,0.4561111111111112,0.41999999999999993,0.4363742690058479,0.4709999999999999,0.5747625838214074,4.2,4.8,5.2,5.8
rf,signo_zodiacal_aries,42,0.5,0.49000000000000005,0.48571428571428577,0.54,0.5054367201426025,0.517,0.552792578336696,5.4,5.6,4.4,4.6
rf,signo_zodiacal_aries,43,0.5,0.55,0.5561111111111112,0.48,0.5113742690058479,0.5439999999999999,0.5889529169660749,4.8,3.8,6.2,5.2
rf,signo_zodiacal_aries,44,0.5,0.5299999999999999,0.5368686868686868,0.48,0.5049289891395154,0.536,0.5861307283188089,4.8,4.2,5.8,5.2
rf,signo_zodiacal_aries,45,0.5,0.53,0.5230769230769231,0.5800000000000001,0.5466340422862161,0.479,0.56453849031945,5.8,5.2,4.8,4.2
rf,signo_zodiacal_aries,46,0.5,0.55,0.5511111111111111,0.5,0.5230409356725145,0.593,0.6059603349866507,5.0,4.0,6.0,5.0
rf,signo_zodiacal_aries,47,0.5,0.56,0.5751298701298702,0.52,0.5420915032679738,0.5780000000000001,0.6371832776786338,5.2,4.0,6.0,4.8
