modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_capricornio,1,0.5,0.55,0.5474747474747474,0.6,0.569548872180451,0.5559999999999999,0.5965406140127503,6.0,5.0,5.0,4.0
rf,signo_zodiacal_capricornio,2,0.5,0.45999999999999996,0.46299533799533793,0.4800000000000001,0.46743670771130724,0.441,0.5235650460650462,4.8,5.6,4.4,5.2
rf,signo_zodiacal_capricornio,3,0.5,0.5700000000000001,0.5822222222222221,0.5599999999999999,0.5585263157894738,0.5029999999999999,0.5283293156791609,5.6,4.2,5.8,4.4
rf,signo_zodiacal_capricornio,4,0.5,0.49000000000000005,0.49213675213675206,0.5,0.4933180778032037,0.502,0.5862808924821309,5.0,5.2,4.8,5.0
rf,signo_zodiacal_capricornio,5,0.5,0.4800000000000001,0.48404040404040405,0.48,0.4810025062656642,0.49099999999999994,0.5900043634556018,4.8,5.2,4.8,5.2
rf,signo_zodiacal_capricornio,6,0.5,0.53,0.5396270396270396,0.58,0.5478072651985696,0.5429999999999999,0.5596098607275077,5.8,5.2,4.8,4.2
rf,signo_zodiacal_capricornio,7,0.5,0.49000000000000005,0.4961460761460762,0.5,0.4946903490610584,0.516,0.5801944895489787,5.0,5.2,4.8,5.0
rf,signo_zodiacal_capricornio,8,0.5,0.5,0.5065934065934066,0.45999999999999996,0.471445271125578,0.526,0.5409280164280165,4.6,4.6,5.4,5.4
rf,signo_zodiacal_capricornio,9,0.5,0.54,0.5247619047619048,0.52,0.5157219251336899,0.579,0.6398732917409389,5.2,4.4,5.6,4.8
rf,signo_zodiacal_capricornio,10,0.5,0.5900000000000001,0.5772727272727273,0.6,0.5814935064935065,0.601,0.611495938272254,6.0,4.2,5.8,4.0
rf,signo_zodiacal_capricornio,11,0.5,0.47000000000000003,0.4722693972693973,0.5199999999999999,0.4894627874032909,0.4600000000000001,0.5164821702205603,5.2,5.8,4.2,4.8
rf,signo_zodiacal_capricornio,12,0.5,0.39,0.36428904428904424,0.4,0.3756672313194052,0.37299999999999994,0.49123956805148755,4.0,6.2,3.8,6.0
rf,signo_zodiacal_capricornio,13,0.5,0.44000000000000006,0.4298412698412698,0.32,0.363328173374613,0.41600000000000004,0.5490268554974437,3.2,4.4,5.6,6.8
rf,signo_zodiacal_capricornio,14,0.5,0.45,0.4535103785103785,0.38,0.40594516982994566,0.43200000000000005,0.5191657862261577,3.8,4.8,5.2,6.2
rf,signo_zodiacal_capricornio,15,0.5,0.48,0.424090909090909,0.32,0.35563492063492064,0.41200000000000003,0.4714899467577487,3.2,3.6,6.4,6.8
rf,signo_zodiacal_capricornio,16,0.5,0.54,0.5511111111111111,0.5,0.5147869674185463,0.5740000000000001,0.5937173639054444,5.0,4.2,5.8,5.0
rf,signo_zodiacal_capricornio,17,0.5,0.51,0.5142857142857142,0.5399999999999999,0.515759163437182,0.48100000000000004,0.516957958106565,5.4,5.2,4.8,4.6
rf,signo_zodiacal_capricornio,18,0.5,0.57,0.5808080808080808,0.5,0.5278822055137844,0.562,0.6307271442008284,5.0,3.6,6.4,5.0
rf,signo_zodiacal_capricornio,19,0.5,0.45,0.45008547008547006,0.45999999999999996,0.45276887871853544,0.413,0.5272381168882717,4.6,5.6,4.4,5.4
rf,signo_zodiacal_capricornio,20,0.5,0.39,0.36190476190476184,0.38,0.3649159663865546,0.34700000000000003,0.45560504201680674,3.8,6.0,4.0,6.2
rf,signo_zodiacal_capricornio,21,0.5,0.5900000000000001,0.6208236208236209,0.5800000000000001,0.5893456467255095,0.616,0.6939638427448025,5.8,4.0,6.0,4.2
rf,signo_zodiacal_capricornio,22,0.5,0.45,0.4532467532467533,0.44000000000000006,0.4360644257703081,0.36499999999999994,0.4781163687533656,4.4,5.4,4.6,5.6
rf,signo_zodiacal_capricornio,23,0.5,0.48,0.481025641025641,0.5199999999999999,0.4887391304347826,0.43,0.5184264938707662,5.2,5.6,4.4,4.8
rf,signo_zodiacal_capricornio,24,0.5,0.41,0.4136507936507937,0.42000000000000004,0.4132748538011697,0.395,0.4719394412776766,4.2,6.0,4.0,5.8
rf,signo_zodiacal_capricornio,25,0.5,0.48,0.4988095238095238,0.5599999999999999,0.5217171717171717,0.47400000000000003,0.5469179180812308,5.6,6.0,4.0,4.4
rf,signo_zodiacal_capricornio,26,0.5,0.5000000000000001,0.5045177045177045,0.54,0.5164759725400458,0.516,0.573203204088653,5.4,5.4,4.6,4.6
rf,signo_zodiacal_capricornio,27,0.5,0.55,0.573076923076923,0.5599999999999999,0.5398205659075226,0.54,0.5628945586577165,5.6,4.6,5.4,4.4
rf,signo_zodiacal_capricornio,28,0.5,0.53,0.5309090909090909,0.56,0.5390275689223059,0.538,0.5773384403694001,5.6,5.0,5.0,4.4
rf,signo_zodiacal_capricornio,29,0.5,0.39,0.39207459207459205,0.44000000000000006,0.4127862475688563,0.379,0.47037990930637985,4.4,6.6,3.4,5.6
rf,signo_zodiacal_capricornio,30,0.5,0.53,0.5344877344877345,0.52,0.5192220747948302,0.558,0.6038736787807994,5.2,4.6,5.4,4.8
