modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_escorpio,1,0.5,0.45999999999999996,0.4626373626373626,0.44000000000000006,0.4444134439019349,0.426,0.5014933569182795,4.4,5.2,4.8,5.6
rf,signo_zodiacal_escorpio,2,0.5,0.44000000000000006,0.40499999999999997,0.38,0.38476190476190475,0.44299999999999995,0.5390574825930863,3.8,5.0,5.0,6.2
rf,signo_zodiacal_escorpio,3,0.5,0.52,0.490909090909091,0.52,0.50008658008658,0.52,0.5757256436374083,5.2,4.8,5.2,4.8
rf,signo_zodiacal_escorpio,4,0.5,0.52,0.5222222222222221,0.4,0.44941520467836255,0.526,0.639710560079755,4.0,3.6,6.4,6.0
rf,signo_zodiacal_escorpio,5,0.5,0.45999999999999996,0.4466233766233766,0.42000000000000004,0.43027077497665733,0.45699999999999996,0.5437291232159653,4.2,5.0,5.0,5.8
rf,signo_zodiacal_escorpio,6,0.5,0.51,0.49936507936507935,0.4600000000000001,0.4775851393188854,0.45,0.5522006174080477,4.6,4.4,5.6,5.4
rf,signo_zodiacal_escorpio,7,0.5,0.51,0.5181818181818182,0.45999999999999996,0.4806182121971595,0.48599999999999993,0.568712704392271,4.6,4.4,5.6,5.4
rf,signo_zodiacal_escorpio,8,0.5,0.48,0.4786324786324787,0.56,0.5142500520074891,0.47000000000000003,0.5194811314416578,5.6,6.0,4.0,4.4
rf,signo_zodiacal_escorpio,9,0.5,0.32,0.3260683760683761,0.38,0.3490326607031412,0.29399999999999993,0.4402082013273964,3.8,7.4,2.6,6.2
rf,signo_zodiacal_escorpio,10,0.5,0.53,0.5363131313131313,0.5,0.5159231411862991,0.518,0.5492016404647984,5.0,4.4,5.6,5.0
rf,signo_zodiacal_escorpio,11,0.5,0.5199999999999999,0.5281818181818181,0.5,0.5107936507936508,0.484,0.5400204501380971,5.0,4.6,5.4,5.0
rf,signo_zodiacal_escorpio,12,0.5,0.5,0.5168253968253969,0.44000000000000006,0.4630409356725146,0.49399999999999994,0.5827370686588953,4.4,4.4,5.6,5.6
rf,signo_zodiacal_escorpio,13,0.5,0.5800000000000001,0.5910822510822511,0.6000000000000001,0.5821889483065954,0.49000000000000005,0.5611522278890699,6.0,4.4,5.6,4.0
rf,signo_zodiacal_escorpio,14,0.5,0.55,0.5521367521367522,0.5,0.5180239601561449,0.5609999999999999,0.600493052269368,5.0,4.0,6.0,5.0
rf,signo_zodiacal_escorpio,15,0.5,0.41999999999999993,0.414047619047619,0.38,0.39314006942489915,0.417,0.528112945705825,3.8,5.4,4.6,6.2
rf,signo_zodiacal_escorpio,16,0.5,0.6,0.6094444444444445,0.5199999999999999,0.5576900584795321,0.629,0.6695840984780613,5.2,3.2,6.8,4.8
rf,signo_zodiacal_escorpio,17,0.5,0.5,0.5087301587301587,0.5,0.4958454514182069,0.557,0.5860830788578467,5.0,5.0,5.0,5.0
rf,signo_zodiacal_escorpio,18,0.5,0.54,0.5273304473304472,0.54,0.5232581453634084,0.5619999999999999,0.583066542075056,5.4,4.6,5.4,4.6
rf,signo_zodiacal_escorpio,19,0.5,0.47000000000000003,0.4748640248640249,0.5,0.48299074431797545,0.44800000000000006,0.5203112714598783,5.0,5.6,4.4,5.0
rf,signo_zodiacal_escorpio,20,0.5,0.5900000000000001,0.5977777777777777,0.5599999999999999,0.5707177033492823,0.625,0.6682397267335348,5.6,3.8,6.2,4.4
rf,signo_zodiacal_escorpio,21,0.5,0.35,0.3184415584415584,0.28,0.2949366062214359,0.38499999999999995,0.47085146243505366,2.8,5.8,4.2,7.2
rf,signo_zodiacal_escorpio,22,0.5,0.56,0.5713264513264513,0.56,0.5595387445596087,0.553,0.6105651468414626,5.6,4.4,5.6,4.4
rf,signo_zodiacal_escorpio,23,0.5,0.5800000000000001,0.5788888888888889,0.64,0.6026411483253589,0.587,0.5968146020646021,6.4,4.8,5.2,3.6
rf,signo_zodiacal_escorpio,24,0.5,0.47000000000000003,0.4605194805194805,0.4600000000000001,0.4521288515406162,0.532,0.6218733200923603,4.6,5.2,4.8,5.4
rf,signo_zodiacal_escorpio,25,0.5,0.39,0.3934415584415584,0.43999999999999995,0.41194805194805195,0.334,0.4396100566100566,4.4,6.6,3.4,5.6
rf,signo_zodiacal_escorpio,26,0.5,0.44000000000000006,0.4331746031746032,0.36,0.3916615067079463,0.43600000000000005,0.5286349581790758,3.6,4.8,5.2,6.4
rf,signo_zodiacal_escorpio,27,0.5,0.47000000000000003,0.4665306915306915,0.48,0.4698594311866623,0.47700000000000004,0.5296205467219399,4.8,5.4,4.6,5.2
rf,signo_zodiacal_escorpio,28,0.5,0.4600000000000001,0.4575757575757575,0.44000000000000006,0.44786967418546364,0.417,0.5109256689303129,4.4,5.2,4.8,5.6
rf,signo_zodiacal_escorpio,29,0.5,0.47000000000000003,0.4882828282828283,0.44000000000000006,0.4474010025062657,0.466,0.535133724720412,4.4,5.0,5.0,5.6
rf,signo_zodiacal_escorpio,30,0.5,0.53,0.5317799847211612,0.5999999999999999,0.5491441020852786,0.484,0.5303004366634397,6.0,5.4,4.6,4.0
rf,signo_zodiacal_escorpio,31,0.5,0.49000000000000005,0.47555555555555556,0.5,0.4850186071238703,0.49799999999999994,0.5662339953648002,5.0,5.2,4.8,5.0
rf,signo_zodiacal_escorpio,32,0.5,0.52,0.4979797979797979,0.4,0.4354010025062657,0.545,0.5586585065261536,4.0,3.6,6.4,6.0
rf,signo_zodiacal_escorpio,33,0.5,0.6199999999999999,0.6133838383838384,0.64,0.6224348750664539,0.666,0.680053658329974,6.4,4.0,6.0,3.6
rf,signo_zodiacal_escorpio,34,0.5,0.4699999999999999,0.4722222222222222,0.42000000000000004,0.441786283891547,0.422,0.5027296231460318,4.2,4.8,5.2,5.8
rf,signo_zodiacal_escorpio,35,0.5,0.5700000000000001,0.5773809523809523,0.62,0.5789393939393939,0.538,0.5874009330023262,6.2,4.8,5.2,3.8
rf,signo_zodiacal_escorpio,36,0.5,0.6100000000000001,0.6183150183150183,0.5599999999999999,0.5799973078476242,0.5810000000000001,0.6139548039679619,5.6,3.4,6.6,4.4
rf,signo_zodiacal_escorpio,37,0.5,0.48,0.4481818181818181,0.44000000000000006,0.4371428571428571,0.4590000000000001,0.5064179792515706,4.4,4.8,5.2,5.6
rf,signo_zodiacal_escorpio,38,0.5,0.5,0.49313131313131314,0.42000000000000004,0.44798663324979116,0.475,0.5127162461721285,4.2,4.2,5.8,5.8
rf,signo_zodiacal_escorpio,39,0.5,0.4,0.40692640692640686,0.36,0.3754583651642475,0.433,0.5296545795106166,3.6,5.6,4.4,6.4
rf,signo_zodiacal_escorpio,40,0.5,0.41000000000000003,0.4038095238095238,0.4,0.3997860962566845,0.341,0.4704256819891495,4.0,5.8,4.2,6.0
rf,signo_zodiacal_escorpio,41,0.5,0.5,0.5088383838383839,0.48,0.49256474519632415,0.496,0.5463602971675728,4.8,4.8,5.2,5.2
rf,signo_zodiacal_escorpio,42,0.5,0.45,0.4446428571428571,0.45999999999999996,0.44364002011060827,0.47300000000000003,0.5289975455401151,4.6,5.6,4.4,5.4
rf,signo_zodiacal_escorpio,43,0.5,0.45,0.4618181818181818,0.45999999999999996,0.4471428571428572,0.418,0.4999460894282876,4.6,5.6,4.4,5.4
rf,signo_zodiacal_escorpio,44,0.5,0.49000000000000005,0.4909090909090909,0.52,0.5028935976304397,0.541,0.6598472120414846,5.2,5.4,4.6,4.8
rf,signo_zodiacal_escorpio,45,0.5,0.5,0.5031746031746032,0.4800000000000001,0.48539888044532004,0.525,0.5574905176522823,4.8,4.8,5.2,5.2
rf,signo_zodiacal_escorpio,46,0.5,0.47000000000000003,0.43880341880341883,0.44000000000000006,0.4336689549961861,0.524,0.5957808847499251,4.4,5.0,5.0,5.6
rf,signo_zodiacal_escorpio,47,0.5,0.5399999999999999,0.5485714285714286,0.5399999999999999,0.5339928698752229,0.516,0.5722215551905954,5.4,4.6,5.4,4.6
rf,signo_zodiacal_escorpio,48,0.5,0.52,0.45777777777777773,0.5,0.4732631578947368,0.56,0.5808785925976329,5.0,4.6,5.4,5.0
