modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_geminis,1,0.5,0.47000000000000003,0.43939393939393945,0.44000000000000006,0.43001443001443,0.47400000000000003,0.5377904036108371,4.4,5.0,5.0,5.6
rf,signo_zodiacal_geminis,2,0.5,0.37,0.3589743589743589,0.36000000000000004,0.35697940503432496,0.32599999999999996,0.4545538652953513,3.6,6.2,3.8,6.4
rf,signo_zodiacal_geminis,3,0.5,0.47000000000000003,0.45868686868686864,0.52,0.48203660666818565,0.481,0.5535132306633855,5.2,5.8,4.2,4.8
rf,signo_zodiacal_geminis,4,0.5,0.43,0.4066666666666666,0.30000000000000004,0.3383333333333333,0.40099999999999997,0.5469865057543075,3.0,4.4,5.6,7.0
rf,signo_zodiacal_geminis,5,0.5,0.47000000000000003,0.48519480519480523,0.42000000000000004,0.43844665138782785,0.442,0.4997162257247396,4.2,4.8,5.2,5.8
rf,signo_zodiacal_geminis,6,0.5,0.49000000000000005,0.5008791208791209,0.4600000000000001,0.47258312020460364,0.476,0.543061023341983,4.6,4.8,5.2,5.4
rf,signo_zodiacal_geminis,7,0.5,0.49000000000000005,0.48769230769230776,0.58,0.5197842432167374,0.522,0.5870727672740056,5.8,6.0,4.0,4.2
rf,signo_zodiacal_geminis,8,0.5,0.45999999999999996,0.47242424242424236,0.45999999999999996,0.4542857142857143,0.43599999999999994,0.538635681312152,4.6,5.4,4.6,5.4
rf,signo_zodiacal_geminis,9,0.5,0.5399999999999999,0.5082251082251081,0.5599999999999999,0.5270733652312598,0.5209999999999999,0.5423035308344906,5.6,4.8,5.2,4.4
rf,signo_zodiacal_geminis,10,0.5,0.5499999999999999,0.5372377622377622,0.6199999999999999,0.5717391304347826,0.5439999999999998,0.5985336705777882,6.2,5.2,4.8,3.8
rf,signo_zodiacal_geminis,11,0.5,0.47000000000000003,0.4802175602175602,0.45999999999999996,0.45737822817914353,0.477,0.5261728789786064,4.6,5.2,4.8,5.4
rf,signo_zodiacal_geminis,12,0.5,0.6100000000000001,0.6155555555555556,0.58,0.5896650717703349,0.649,0.6733439495660857,5.8,3.6,6.4,4.2
rf,signo_zodiacal_geminis,13,0.5,0.5,0.49142857142857144,0.42000000000000004,0.45006535947712417,0.484,0.5513542574556507,4.2,4.2,5.8,5.8
rf,signo_zodiacal_geminis,14,0.5,0.53,0.4926573426573427,0.48,0.4625258799171843,0.558,0.6140926465175691,4.8,4.2,5.8,5.2
rf,signo_zodiacal_geminis,15,0.5,0.56,0.55,0.6200000000000001,0.5797979797979798,0.5469999999999999,0.5868113259289729,6.2,5.0,5.0,3.8
rf,signo_zodiacal_geminis,16,0.5,0.52,0.4786324786324787,0.4999999999999999,0.47918511694255395,0.509,0.5916937131495955,5.0,4.6,5.4,5.0
rf,signo_zodiacal_geminis,17,0.5,0.5599999999999999,0.55,0.5999999999999999,0.5712918660287081,0.56,0.584671484775974,6.0,4.8,5.2,4.0
rf,signo_zodiacal_geminis,18,0.5,0.4699999999999999,0.4666666666666666,0.4,0.4188653451811346,0.465,0.552045046628638,4.0,4.6,5.4,6.0
rf,signo_zodiacal_geminis,19,0.5,0.53,0.5362637362637364,0.44000000000000006,0.47468030690537083,0.57,0.6061877095213009,4.4,3.8,6.2,5.6
rf,signo_zodiacal_geminis,20,0.5,0.6,0.633939393939394,0.5199999999999999,0.5583333333333333,0.609,0.6426538614464311,5.2,3.2,6.8,4.8
rf,signo_zodiacal_geminis,21,0.5,0.5800000000000001,0.6016317016317017,0.52,0.5439613526570048,0.618,0.6582498967320949,5.2,3.6,6.4,4.8
rf,signo_zodiacal_geminis,22,0.5,0.4800000000000001,0.48659340659340666,0.52,0.490431285111592,0.5210000000000001,0.6199960045973978,5.2,5.6,4.4,4.8
rf,signo_zodiacal_geminis,23,0.5,0.5200000000000001,0.5174242424242423,0.52,0.5167919799498746,0.547,0.6043813865872689,5.2,4.8,5.2,4.8
rf,signo_zodiacal_geminis,24,0.5,0.5599999999999999,0.5507575757575758,0.54,0.54107997265892,0.5730000000000001,0.569804110492191,5.4,4.2,5.8,4.6
rf,signo_zodiacal_geminis,25,0.5,0.53,0.5355555555555556,0.54,0.5339074960127591,0.54,0.6159247229378808,5.4,4.8,5.2,4.6
rf,signo_zodiacal_geminis,26,0.5,0.48,0.4840476190476191,0.5799999999999998,0.5189356725146199,0.45,0.5620829371007389,5.8,6.2,3.8,4.2
rf,signo_zodiacal_geminis,27,0.5,0.4600000000000001,0.4432900432900433,0.44000000000000006,0.43754350224938465,0.46900000000000003,0.5650599035467456,4.4,5.2,4.8,5.6
rf,signo_zodiacal_geminis,28,0.5,0.44000000000000006,0.43535353535353527,0.38,0.40181704260651624,0.43800000000000006,0.5030522157580981,3.8,5.0,5.0,6.2
rf,signo_zodiacal_geminis,29,0.5,0.5,0.488962148962149,0.5399999999999999,0.5045378920446898,0.473,0.5296028874805965,5.4,5.4,4.6,4.6
