modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_leo,1,0.5,0.55,0.5295238095238096,0.6,0.5512755417956656,0.546,0.5858939356996633,6.0,5.0,5.0,4.0
rf,signo_zodiacal_leo,2,0.5,0.4800000000000001,0.4983682983682984,0.44000000000000006,0.4583160800552104,0.4539999999999999,0.5202921600243582,4.4,4.8,5.2,5.6
rf,signo_zodiacal_leo,3,0.5,0.51,0.5023809523809524,0.48,0.48674985145573374,0.525,0.602572261072261,4.8,4.6,5.4,5.2
rf,signo_zodiacal_leo,4,0.5,0.47000000000000003,0.46904761904761905,0.4600000000000001,0.4594771241830065,0.465,0.5307038147610902,4.6,5.2,4.8,5.4
rf,signo_zodiacal_leo,5,0.5,0.53,0.5326923076923077,0.45999999999999996,0.4788819875776397,0.5269999999999999,0.574868953543876,4.6,4.0,6.0,5.4
rf,signo_zodiacal_leo,6,0.5,0.41000000000000003,0.4376373626373626,0.52,0.46815310293571166,0.30300000000000005,0.4521061295945197,5.2,7.0,3.0,4.8
rf,signo_zodiacal_leo,7,0.5,0.4600000000000001,0.45606060606060606,0.45999999999999996,0.45609478241057183,0.3989999999999999,0.5030524398202416,4.6,5.4,4.6,5.4
rf,signo_zodiacal_leo,8,0.5,0.55,0.5523076923076923,0.56,0.5532367149758455,0.5529999999999999,0.5874264189542828,5.6,4.6,5.4,4.4
rf,signo_zodiacal_leo,9,0.5,0.53,0.5338888888888889,0.52,0.5208771929824562,0.5770000000000001,0.634371709130223,5.2,4.6,5.4,4.8
rf,signo_zodiacal_leo,10,0.5,0.53,0.5358041958041958,0.5800000000000001,0.5433209109730849,0.5479999999999999,0.5866182036917331,5.8,5.2,4.8,4.2
rf,signo_zodiacal_leo,11,0.5,0.4,0.3984343434343434,0.42000000000000004,0.40468671679198,0.343,0.45528641740096853,4.2,6.2,3.8,5.8
rf,signo_zodiacal_leo,12,0.5,0.43,0.43823953823953826,0.48,0.4556390977443609,0.398,0.4801624501229765,4.8,6.2,3.8,5.2
rf,signo_zodiacal_leo,13,0.5,0.4699999999999999,0.4736796536796536,0.4,0.42846601798614187,0.39299999999999996,0.4782870936253289,4.0,4.6,5.4,6.0
rf,signo_zodiacal_leo,14,0.5,0.53,0.5565934065934066,0.5800000000000001,0.5535902503293808,0.526,0.5907641771712979,5.8,5.2,4.8,4.2
