modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_libra,1,0.5,0.53,0.5275335775335775,0.54,0.5273400310821229,0.587,0.6187546315913189,5.4,4.8,5.2,4.6
rf,signo_zodiacal_libra,2,0.5,0.51,0.509090909090909,0.45999999999999996,0.47817460317460314,0.5109999999999999,0.5736988256841198,4.6,4.4,5.6,5.4
rf,signo_zodiacal_libra,3,0.5,0.52,0.49833333333333335,0.44000000000000006,0.464093567251462,0.47800000000000004,0.5404006451065273,4.4,4.0,6.0,5.6
rf,signo_zodiacal_libra,4,0.5,0.56,0.58,0.52,0.5286666666666667,0.513,0.6013630444203198,5.2,4.0,6.0,4.8
rf,signo_zodiacal_libra,5,0.5,0.53,0.5166666666666666,0.6199999999999999,0.5604329004329005,0.5589999999999999,0.62804745804591,6.2,5.6,4.4,3.8
rf,signo_zodiacal_libra,6,0.5,0.49000000000000005,0.48626984126984124,0.34,0.3959098727210183,0.41500000000000004,0.5094732171852915,3.4,3.6,6.4,6.6
rf,signo_zodiacal_libra,7,0.5,0.55,0.5461843711843711,0.54,0.5359743620074754,0.652,0.7036718234465912,5.4,4.4,5.6,4.6
rf,signo_zodiacal_libra,8,0.5,0.48999999999999994,0.4999999999999999,0.54,0.5127323656735421,0.549,0.6120322459618126,5.4,5.6,4.4,4.6
rf,signo_zodiacal_libra,9,0.5,0.47000000000000003,0.4616666666666666,0.42000000000000004,0.439298245614035,0.44399999999999995,0.5013713986392004,4.2,4.8,5.2,5.8
rf,signo_zodiacal_libra,10,0.5,0.53,0.5272727272727272,0.52,0.5178571428571429,0.5309999999999999,0.6004109958668782,5.2,4.6,5.4,4.8
rf,signo_zodiacal_libra,11,0.5,0.53,0.5406349206349207,0.48,0.5060681114551084,0.5229999999999999,0.5628887505683171,4.8,4.2,5.8,5.2
rf,signo_zodiacal_libra,12,0.5,0.43,0.442983682983683,0.5,0.4640358868184955,0.41900000000000004,0.5121090225563909,5.0,6.4,3.6,5.0
rf,signo_zodiacal_libra,13,0.5,0.49000000000000005,0.4909090909090909,0.43999999999999995,0.4597117794486215,0.473,0.536633763295528,4.4,4.6,5.4,5.6
rf,signo_zodiacal_libra,14,0.5,0.6,0.6024242424242423,0.64,0.6077402597402597,0.626,0.6601732691113495,6.4,4.4,5.6,3.6
rf,signo_zodiacal_libra,15,0.5,0.45999999999999996,0.4625396825396826,0.44000000000000006,0.44243962848297214,0.42699999999999994,0.5360188553276789,4.4,5.2,4.8,5.6
rf,signo_zodiacal_libra,16,0.5,0.42000000000000004,0.4266511266511266,0.5199999999999999,0.46401622786062136,0.417,0.5151521118200685,5.2,6.8,3.2,4.8
rf,signo_zodiacal_libra,17,0.5,0.45999999999999996,0.4551515151515152,0.4600000000000001,0.45679197994987464,0.45099999999999996,0.5631216855040384,4.6,5.4,4.6,5.4
rf,signo_zodiacal_libra,18,0.5,0.51,0.5037878787878787,0.45999999999999996,0.47258297258297255,0.48200000000000004,0.5595130810881586,4.6,4.4,5.6,5.4
rf,signo_zodiacal_libra,19,0.5,0.4699999999999999,0.47944444444444445,0.42000000000000004,0.44102073365231254,0.48600000000000004,0.5393143975907133,4.2,4.8,5.2,5.8
rf,signo_zodiacal_libra,20,0.5,0.53,0.5442424242424242,0.4600000000000001,0.493015873015873,0.5469999999999999,0.6290983928352348,4.6,4.0,6.0,5.4
rf,signo_zodiacal_libra,21,0.5,0.49000000000000005,0.4809523809523809,0.42000000000000004,0.442530345471522,0.48,0.5498364219200133,4.2,4.4,5.6,5.8
rf,signo_zodiacal_libra,22,0.5,0.61,0.6566666666666666,0.5,0.5522727272727272,0.551,0.6095619482856325,5.0,2.8,7.2,5.0
rf,signo_zodiacal_libra,23,0.5,0.54,0.5516666666666666,0.5399999999999999,0.5383157894736842,0.499,0.5764757921816746,5.4,4.6,5.4,4.6
rf,signo_zodiacal_libra,24,0.5,0.48,0.4666666666666667,0.42000000000000004,0.43888888888888894,0.48900000000000005,0.5403890641522221,4.2,4.6,5.4,5.8
rf,signo_zodiacal_libra,25,0.5,0.54,0.5381818181818182,0.54,0.5380451127819549,0.545,0.5934386344649502,5.4,4.6,5.4,4.6
rf,signo_zodiacal_libra,26,0.5,0.51,0.4943589743589743,0.45999999999999996,0.45307246376811594,0.536,0.5870464335286316,4.6,4.4,5.6,5.4
rf,signo_zodiacal_libra,27,0.5,0.5,0.4693589743589744,0.48,0.4667896354852877,0.492,0.5587712658858169,4.8,4.8,5.2,5.2
rf,signo_zodiacal_libra,28,0.5,0.4600000000000001,0.4652369852369852,0.5,0.48008717445788374,0.434,0.5391163318106043,5.0,5.8,4.2,5.0
rf,signo_zodiacal_libra,29,0.5,0.33999999999999997,0.30968253968253967,0.28,0.2932370141038872,0.318,0.462070979072527,2.8,6.0,4.0,7.2
rf,signo_zodiacal_libra,30,0.5,0.52,0.5192857142857144,0.44000000000000006,0.44214452214452216,0.531,0.5708394279439172,4.4,4.0,6.0,5.6
rf,signo_zodiacal_libra,31,0.5,0.45,0.4522222222222222,0.43999999999999995,0.4440085061137693,0.371,0.4922109892171812,4.4,5.4,4.6,5.6
rf,signo_zodiacal_libra,32,0.5,0.42000000000000004,0.4235897435897436,0.45999999999999996,0.43920532556688163,0.36100000000000004,0.47800566366897634,4.6,6.2,3.8,5.4
rf,signo_zodiacal_libra,33,0.5,0.48999999999999994,0.4749206349206349,0.4,0.43047987616099076,0.404,0.5198335878088199,4.0,4.2,5.8,6.0
rf,signo_zodiacal_libra,34,0.5,0.35,0.31606060606060604,0.3,0.3056349206349206,0.33100000000000007,0.4309598646967068,3.0,6.0,4.0,7.0
rf,signo_zodiacal_libra,35,0.5,0.37,0.3707142857142857,0.36,0.36089126559714796,0.41,0.49082016083331864,3.6,6.2,3.8,6.4
rf,signo_zodiacal_libra,36,0.5,0.51,0.5152380952380953,0.45999999999999996,0.48048409794539826,0.516,0.5912843545343545,4.6,4.4,5.6,5.4
rf,signo_zodiacal_libra,37,0.5,0.54,0.5453379953379953,0.6000000000000001,0.5691917540887792,0.5940000000000001,0.6534916996488204,6.0,5.2,4.8,4.0
rf,signo_zodiacal_libra,38,0.5,0.53,0.5438827838827839,0.5599999999999999,0.5354770983492212,0.465,0.5260321226760856,5.6,5.0,5.0,4.4
rf,signo_zodiacal_libra,39,0.5,0.4600000000000001,0.43844988344988345,0.44000000000000006,0.43269151138716355,0.47700000000000004,0.5345375247387631,4.4,5.2,4.8,5.6
rf,signo_zodiacal_libra,40,0.5,0.36,0.3235775335775336,0.32000000000000006,0.31356445053577914,0.374,0.5025119427356269,3.2,6.0,4.0,6.8
rf,signo_zodiacal_libra,41,0.5,0.45,0.46424242424242423,0.33999999999999997,0.3815538847117795,0.425,0.5121594604226183,3.4,4.4,5.6,6.6
rf,signo_zodiacal_libra,42,0.5,0.47000000000000003,0.46797979797979794,0.4800000000000001,0.47256322624743674,0.43199999999999994,0.5404978751039122,4.8,5.4,4.6,5.2
rf,signo_zodiacal_libra,43,0.5,0.58,0.5844871794871794,0.5800000000000001,0.5693719806763284,0.6170000000000001,0.6670141057772636,5.8,4.2,5.8,4.2
rf,signo_zodiacal_libra,44,0.5,0.5000000000000001,0.5045732045732045,0.54,0.5136283804139505,0.506,0.5297275204156009,5.4,5.4,4.6,4.6
rf,signo_zodiacal_libra,45,0.5,0.47000000000000003,0.46970529470529476,0.48,0.46780482944165813,0.479,0.5457904605714203,4.8,5.4,4.6,5.2
rf,signo_zodiacal_libra,46,0.5,0.49000000000000005,0.4946031746031746,0.48,0.4792105263157895,0.4739999999999999,0.5502115035806986,4.8,5.0,5.0,5.2
rf,signo_zodiacal_libra,47,0.5,0.5800000000000001,0.5740909090909091,0.5599999999999999,0.5431318681318681,0.5700000000000001,0.6165338425764122,5.6,4.0,6.0,4.4
rf,signo_zodiacal_libra,48,0.5,0.6399999999999999,0.6528571428571428,0.62,0.631235575569941,0.653,0.6678304108172529,6.2,3.4,6.6,3.8
