modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_piscis,1,0.5,0.5599999999999999,0.5655555555555556,0.58,0.5705263157894737,0.5509999999999999,0.5807723095617832,5.8,4.6,5.4,4.2
rf,signo_zodiacal_piscis,2,0.5,0.56,0.5717460317460317,0.48,0.5168575851393189,0.542,0.615862664683098,4.8,3.6,6.4,5.2
rf,signo_zodiacal_piscis,3,0.5,0.51,0.5125097125097126,0.58,0.5405633649340744,0.4709999999999999,0.5441795797941309,5.8,5.6,4.4,4.2
rf,signo_zodiacal_piscis,4,0.5,0.52,0.5272727272727272,0.5399999999999999,0.5271111111111111,0.505,0.5708703349454123,5.4,5.0,5.0,4.6
rf,signo_zodiacal_piscis,5,0.5,0.6299999999999999,0.6219047619047618,0.6599999999999999,0.6363157894736842,0.6199999999999999,0.6604158141480123,6.6,4.0,6.0,3.4
rf,signo_zodiacal_piscis,6,0.5,0.4600000000000001,0.44844877344877343,0.38,0.408344390387734,0.395,0.48104637089776414,3.8,4.6,5.4,6.2
rf,signo_zodiacal_piscis,7,0.5,0.5199999999999999,0.5186868686868686,0.5599999999999999,0.5333295359611149,0.476,0.5565097994540718,5.6,5.2,4.8,4.4
rf,signo_zodiacal_piscis,8,0.5,0.53,0.5319658119658119,0.5199999999999999,0.5128647706222076,0.5069999999999999,0.5724092108441953,5.2,4.6,5.4,4.8
rf,signo_zodiacal_piscis,9,0.5,0.63,0.6571139971139971,0.6599999999999999,0.6373684210526316,0.7110000000000001,0.7427253285929758,6.6,4.0,6.0,3.4
rf,signo_zodiacal_piscis,10,0.5,0.58,0.5863636363636363,0.6,0.59004329004329,0.587,0.6297954170012994,6.0,4.4,5.6,4.0
rf,signo_zodiacal_piscis,11,0.5,0.4,0.376984126984127,0.36,0.35927318295739347,0.392,0.5037943329460357,3.6,5.6,4.4,6.4
rf,signo_zodiacal_piscis,12,0.5,0.61,0.5870940170940171,0.68,0.6271354275015601,0.611,0.6669945430386607,6.8,4.6,5.4,3.2
rf,signo_zodiacal_piscis,13,0.5,0.57,0.5802197802197803,0.52,0.5397840295538505,0.583,0.6163202412482598,5.2,3.8,6.2,4.8
