modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_sagitario,1,0.5,0.43,0.4207142857142857,0.36,0.3861437908496732,0.4600000000000001,0.49802328081275454,3.6,5.0,5.0,6.4
rf,signo_zodiacal_sagitario,2,0.5,0.42000000000000004,0.38769841269841265,0.31999999999999995,0.3479360165118679,0.313,0.45310659404235254,3.2,4.8,5.2,6.8
rf,signo_zodiacal_sagitario,3,0.5,0.53,0.5492063492063493,0.42000000000000004,0.47430340557275547,0.5599999999999999,0.6003959902326775,4.2,3.6,6.4,5.8
rf,signo_zodiacal_sagitario,4,0.5,0.47000000000000003,0.47192307692307695,0.5,0.4791787439613526,0.38499999999999995,0.47785328663424637,5.0,5.6,4.4,5.0
rf,signo_zodiacal_sagitario,5,0.5,0.5,0.5326890756302521,0.5599999999999999,0.5294989106753812,0.45599999999999996,0.5433641544214299,5.6,5.6,4.4,4.4
rf,signo_zodiacal_sagitario,6,0.5,0.53,0.5578465978465978,0.58,0.5576768519764885,0.493,0.5449440924572503,5.8,5.2,4.8,4.2
rf,signo_zodiacal_sagitario,7,0.5,0.45,0.44848484848484843,0.43999999999999995,0.43772499430394163,0.458,0.5589771811435897,4.4,5.4,4.6,5.6
rf,signo_zodiacal_sagitario,8,0.5,0.39,0.3448051948051948,0.31999999999999995,0.3257830404889228,0.33199999999999996,0.44038919474058796,3.2,5.4,4.6,6.8
rf,signo_zodiacal_sagitario,9,0.5,0.5199999999999999,0.5111111111111111,0.5599999999999999,0.5292631578947369,0.569,0.6105862150405493,5.6,5.2,4.8,4.4
rf,signo_zodiacal_sagitario,10,0.5,0.54,0.5438034188034188,0.5599999999999999,0.5472043085315397,0.5569999999999999,0.6060394403498118,5.6,4.8,5.2,4.4
rf,signo_zodiacal_sagitario,11,0.5,0.54,0.5350072150072149,0.52,0.524422821760283,0.575,0.575541502615032,5.2,4.4,5.6,4.8
rf,signo_zodiacal_sagitario,12,0.5,0.4800000000000001,0.48535353535353537,0.44000000000000006,0.4561162263948642,0.45899999999999996,0.5258749024453359,4.4,4.8,5.2,5.6
rf,signo_zodiacal_sagitario,13,0.5,0.45,0.46987179487179487,0.44000000000000006,0.44936319718928414,0.485,0.5817165928326918,4.4,5.4,4.6,5.6
rf,signo_zodiacal_sagitario,14,0.5,0.55,0.5444444444444445,0.5800000000000001,0.5598086124401914,0.561,0.5831582938904921,5.8,4.8,5.2,4.2
rf,signo_zodiacal_sagitario,15,0.5,0.49000000000000005,0.49343434343434345,0.5,0.49494190020505807,0.48,0.54753711261219,5.0,5.2,4.8,5.0
rf,signo_zodiacal_sagitario,16,0.5,0.59,0.6007142857142858,0.5599999999999999,0.5756676003734827,0.5860000000000001,0.6142093651962073,5.6,3.8,6.2,4.4
rf,signo_zodiacal_sagitario,17,0.5,0.52,0.5251526251526251,0.4999999999999999,0.5032758599591283,0.5429999999999999,0.6196789136216381,5.0,4.6,5.4,5.0
rf,signo_zodiacal_sagitario,18,0.5,0.5,0.48818181818181816,0.5,0.4894805194805195,0.48699999999999993,0.5740225526107879,5.0,5.0,5.0,5.0
rf,signo_zodiacal_sagitario,19,0.5,0.45,0.45272727272727276,0.4,0.4200793650793651,0.4739999999999999,0.5542946765137168,4.0,5.0,5.0,6.0
rf,signo_zodiacal_sagitario,20,0.5,0.47000000000000003,0.4697125097125097,0.52,0.4913312926585238,0.47400000000000003,0.5400370919929742,5.2,5.8,4.2,4.8
rf,signo_zodiacal_sagitario,21,0.5,0.36,0.3555555555555555,0.32,0.3362573099415204,0.316,0.45659732183880786,3.2,6.0,4.0,6.8
rf,signo_zodiacal_sagitario,22,0.5,0.44000000000000006,0.41611111111111115,0.38,0.386374269005848,0.46099999999999997,0.5284910453323766,3.8,5.0,5.0,6.2
rf,signo_zodiacal_sagitario,23,0.5,0.47000000000000003,0.46535353535353535,0.48,0.4709318751424014,0.45599999999999996,0.513070171658407,4.8,5.4,4.6,5.2
rf,signo_zodiacal_sagitario,24,0.5,0.49000000000000005,0.4686013986013986,0.5599999999999999,0.5054216701173223,0.533,0.5935875770256576,5.6,5.8,4.2,4.4
rf,signo_zodiacal_sagitario,25,0.5,0.53,0.5376623376623376,0.44000000000000006,0.4802987861811391,0.5399999999999999,0.5913518470693393,4.4,3.8,6.2,5.6
rf,signo_zodiacal_sagitario,26,0.5,0.43999999999999995,0.4261904761904762,0.44000000000000006,0.4267379679144385,0.42899999999999994,0.5348707326385345,4.4,5.6,4.4,5.6
rf,signo_zodiacal_sagitario,27,0.5,0.49000000000000005,0.49984126984126986,0.38,0.42257059761703725,0.4129999999999999,0.4878007578936372,3.8,4.0,6.0,6.2
rf,signo_zodiacal_sagitario,28,0.5,0.53,0.5130158730158729,0.5399999999999999,0.521578947368421,0.5740000000000001,0.6019428524691682,5.4,4.8,5.2,4.6
rf,signo_zodiacal_sagitario,29,0.5,0.57,0.586111111111111,0.4800000000000001,0.5186469962785752,0.524,0.5465698180388583,4.8,3.4,6.6,5.2
rf,signo_zodiacal_sagitario,30,0.5,0.4699999999999999,0.4644444444444445,0.45999999999999996,0.4606166932482722,0.483,0.5065781816222993,4.6,5.2,4.8,5.4
rf,signo_zodiacal_sagitario,31,0.5,0.44000000000000006,0.4390476190476191,0.45999999999999996,0.4245488721804511,0.45200000000000007,0.5507121560929611,4.6,5.8,4.2,5.4
rf,signo_zodiacal_sagitario,32,0.5,0.37,0.3572222222222222,0.33999999999999997,0.3462307283359915,0.364,0.4719076756576757,3.4,6.0,4.0,6.6
rf,signo_zodiacal_sagitario,33,0.5,0.65,0.7045454545454545,0.6,0.6333333333333333,0.6080000000000001,0.674775713450636,6.0,3.0,7.0,4.0
rf,signo_zodiacal_sagitario,34,0.5,0.45,0.4471056721056721,0.45999999999999996,0.45046311430750785,0.454,0.5193520194975303,4.6,5.6,4.4,5.4
rf,signo_zodiacal_sagitario,35,0.5,0.4800000000000001,0.47575757575757577,0.4800000000000001,0.47542340700235436,0.48600000000000004,0.5758971455101486,4.8,5.2,4.8,5.2
rf,signo_zodiacal_sagitario,36,0.5,0.55,0.5501298701298701,0.48,0.507296181630547,0.505,0.5931232748159994,4.8,3.8,6.2,5.2
rf,signo_zodiacal_sagitario,37,0.5,0.54,0.5346464646464647,0.54,0.5346578567631199,0.558,0.6170975582724809,5.4,4.6,5.4,4.6
rf,signo_zodiacal_sagitario,38,0.5,0.54,0.5833333333333333,0.44000000000000006,0.48427887901572114,0.5670000000000001,0.6117818925140905,4.4,3.6,6.4,5.6
rf,signo_zodiacal_sagitario,39,0.5,0.65,0.668968253968254,0.6599999999999999,0.6519203177283672,0.674,0.6987619369794292,6.6,3.6,6.4,3.4
rf,signo_zodiacal_sagitario,40,0.5,0.4600000000000001,0.44484126984126976,0.36,0.3949948400412796,0.418,0.5393076235769734,3.6,4.4,5.6,6.4
rf,signo_zodiacal_sagitario,41,0.5,0.56,0.5765151515151514,0.5,0.5285714285714285,0.5700000000000001,0.60595364765953,5.0,3.8,6.2,5.0
rf,signo_zodiacal_sagitario,42,0.5,0.55,0.5533333333333333,0.4800000000000001,0.5024242424242424,0.584,0.585133522308445,4.8,3.8,6.2,5.2
rf,signo_zodiacal_sagitario,43,0.5,0.48,0.4731351981351981,0.5,0.4834477498093059,0.44800000000000006,0.5030117386913052,5.0,5.4,4.6,5.0
rf,signo_zodiacal_sagitario,44,0.5,0.4700000000000001,0.48353535353535354,0.44000000000000006,0.450457963089542,0.4619999999999999,0.4962019544782702,4.4,5.0,5.0,5.6
rf,signo_zodiacal_sagitario,45,0.5,0.53,0.5324098124098124,0.54,0.5289046144773699,0.5279999999999999,0.5808121041325375,5.4,4.8,5.2,4.6
rf,signo_zodiacal_sagitario,46,0.5,0.45,0.4461111111111111,0.44000000000000006,0.44102073365231254,0.43899999999999995,0.49113640934229175,4.4,5.4,4.6,5.6
rf,signo_zodiacal_sagitario,47,0.5,0.53,0.5523809523809524,0.4600000000000001,0.4935680332739157,0.489,0.546856659680189,4.6,4.0,6.0,5.4
rf,signo_zodiacal_sagitario,48,0.5,0.43,0.40714285714285714,0.45999999999999996,0.426351752822341,0.437,0.5225339007397831,4.6,6.0,4.0,5.4
rf,signo_zodiacal_sagitario,49,0.5,0.45,0.45313131313131316,0.5,0.47144862155388473,0.417,0.49652129346401785,5.0,6.0,4.0,5.0
rf,signo_zodiacal_sagitario,50,0.5,0.63,0.6330769230769231,0.6399999999999999,0.6324637681159421,0.6160000000000001,0.6429385860957069,6.4,3.8,6.2,3.6
rf,signo_zodiacal_sagitario,51,0.5,0.47000000000000003,0.47610389610389614,0.48,0.47368474662592314,0.524,0.5857942972060619,4.8,5.4,4.6,5.2
rf,signo_zodiacal_sagitario,52,0.5,0.53,0.5123076923076922,0.48,0.48019198193111234,0.5589999999999999,0.6129508726567551,4.8,4.2,5.8,5.2
rf,signo_zodiacal_sagitario,53,0.5,0.39,0.4015540015540015,0.43999999999999995,0.416868257600523,0.356,0.4812904744893909,4.4,6.6,3.4,5.6
rf,signo_zodiacal_sagitario,54,0.5,0.5800000000000001,0.5707492507492508,0.6,0.5806503470953599,0.5980000000000001,0.6739978893655365,6.0,4.4,5.6,4.0
rf,signo_zodiacal_sagitario,55,0.5,0.5,0.5288888888888889,0.4,0.4458771929824561,0.533,0.6232832451346383,4.0,4.0,6.0,6.0
rf,signo_zodiacal_sagitario,56,0.5,0.54,0.55,0.48,0.5116959064327485,0.51,0.5839799181726427,4.8,4.0,6.0,5.2
rf,signo_zodiacal_sagitario,57,0.5,0.41,0.3966666666666666,0.34,0.3593939393939394,0.42800000000000005,0.5413773828510671,3.4,5.2,4.8,6.6
rf,signo_zodiacal_sagitario,58,0.5,0.41000000000000003,0.41172105672105674,0.42000000000000004,0.4130718099596818,0.39299999999999996,0.4801369109047128,4.2,6.0,4.0,5.8
rf,signo_zodiacal_sagitario,59,0.5,0.45,0.4444444444444445,0.38,0.40935672514619875,0.45299999999999996,0.5190091185044745,3.8,4.8,5.2,6.2
rf,signo_zodiacal_sagitario,60,0.5,0.53,0.5295238095238095,0.48,0.49320261437908497,0.585,0.6728590947236459,4.8,4.2,5.8,5.2
rf,signo_zodiacal_sagitario,61,0.5,0.52,0.5176923076923077,0.6,0.5519943138478608,0.5269999999999999,0.6123581336963689,6.0,5.6,4.4,4.0
rf,signo_zodiacal_sagitario,62,0.5,0.4,0.353030303030303,0.38,0.3653679653679654,0.374,0.48987034473953983,3.8,5.8,4.2,6.2
rf,signo_zodiacal_sagitario,63,0.5,0.5800000000000001,0.5751248751248751,0.62,0.5899768603093412,0.5690000000000001,0.5689009482949112,6.2,4.6,5.4,3.8
rf,signo_zodiacal_sagitario,64,0.5,0.56,0.5722727272727273,0.5,0.5224242424242425,0.5459999999999999,0.5853817489699843,5.0,3.8,6.2,5.0
rf,signo_zodiacal_sagitario,65,0.5,0.5199999999999999,0.5272727272727272,0.5,0.5024242424242424,0.481,0.5713926731163574,5.0,4.6,5.4,5.0
rf,signo_zodiacal_sagitario,66,0.5,0.5,0.5170995670995671,0.52,0.5133180544945251,0.458,0.5666333326116607,5.2,5.2,4.8,4.8
rf,signo_zodiacal_sagitario,67,0.5,0.34,0.32796536796536796,0.36,0.3415380697733639,0.29000000000000004,0.4479616923324354,3.6,6.8,3.2,6.4
rf,signo_zodiacal_sagitario,68,0.5,0.43000000000000005,0.42666666666666664,0.48,0.44783959899749376,0.438,0.5359655889346291,4.8,6.2,3.8,5.2
rf,signo_zodiacal_sagitario,69,0.5,0.51,0.5566666666666666,0.45999999999999996,0.48666666666666664,0.532,0.5899240285857934,4.6,4.4,5.6,5.4
rf,signo_zodiacal_sagitario,70,0.5,0.6000000000000001,0.5846464646464646,0.52,0.5387391555812608,0.549,0.6021034721212739,5.2,3.2,6.8,4.8
rf,signo_zodiacal_sagitario,71,0.5,0.49000000000000005,0.4857503607503607,0.45999999999999996,0.46750566255210224,0.509,0.5648789162334055,4.6,4.8,5.2,5.4
rf,signo_zodiacal_sagitario,72,0.5,0.39,0.4206349206349206,0.42000000000000004,0.41253869969040247,0.37299999999999994,0.4704553043275954,4.2,6.4,3.6,5.8
rf,signo_zodiacal_sagitario,73,0.5,0.5,0.4705627705627705,0.43999999999999995,0.43901980372568605,0.5200000000000001,0.5628579086032646,4.4,4.4,5.6,5.6
rf,signo_zodiacal_sagitario,74,0.5,0.52,0.5217760017760018,0.52,0.515305399047491,0.489,0.5565493472815454,5.2,4.8,5.2,4.8
rf,signo_zodiacal_sagitario,75,0.5,0.43999999999999995,0.4411965811965811,0.4,0.40570120954560307,0.4130000000000001,0.5212795270604867,4.0,5.2,4.8,6.0
rf,signo_zodiacal_sagitario,76,0.5,0.48,0.48027528027528027,0.54,0.5044458973520758,0.44000000000000006,0.506338838663916,5.4,5.8,4.2,4.6
rf,signo_zodiacal_sagitario,77,0.5,0.53,0.521474358974359,0.68,0.5882639100030403,0.569,0.6549512377027857,6.8,6.2,3.8,3.2
rf,signo_zodiacal_sagitario,78,0.5,0.68,0.7222222222222221,0.6,0.6394896331738437,0.709,0.7242034866578211,6.0,2.4,7.6,4.0
rf,signo_zodiacal_sagitario,79,0.5,0.45,0.44000000000000006,0.38,0.40280701754385967,0.39699999999999996,0.46699133486052996,3.8,4.8,5.2,6.2
rf,signo_zodiacal_sagitario,80,0.5,0.5700000000000001,0.5588888888888889,0.6,0.5734024455077087,0.634,0.6505140949521755,6.0,4.6,5.4,4.0
rf,signo_zodiacal_sagitario,81,0.5,0.4999999999999999,0.48,0.4600000000000001,0.46492822966507175,0.51,0.6045520780389201,4.6,4.6,5.4,5.4
rf,signo_zodiacal_sagitario,82,0.5,0.49000000000000005,0.4809163059163059,0.5,0.4798806972181585,0.4779999999999999,0.5059225188296396,5.0,5.2,4.8,5.0
rf,signo_zodiacal_sagitario,83,0.5,0.39,0.39404761904761904,0.41999999999999993,0.4025518341307815,0.358,0.5059521277655953,4.2,6.4,3.6,5.8
rf,signo_zodiacal_sagitario,84,0.5,0.5800000000000001,0.5713286713286714,0.66,0.6117824204780726,0.615,0.6563637355076983,6.6,5.0,5.0,3.4
rf,signo_zodiacal_sagitario,85,0.5,0.42000000000000004,0.43010101010101015,0.45999999999999996,0.44317156527682844,0.43,0.5450796807251915,4.6,6.2,3.8,5.4
rf,signo_zodiacal_sagitario,86,0.5,0.42000000000000004,0.42005772005772,0.36000000000000004,0.3821797139908595,0.41400000000000003,0.478248538011696,3.6,5.2,4.8,6.4
rf,signo_zodiacal_sagitario,87,0.5,0.5,0.5031746031746032,0.45999999999999996,0.4715099915564312,0.549,0.5945715750537732,4.6,4.6,5.4,5.4
